date,equity,cash,invested_value,n_positions
2025-09-04,3339188.8,3339188.8,0.0,0
2025-09-09,3345193.2,3345193.2,0.0,02025-09-10,3350173.2,3350173.2,0.0,0
2025-09-11,3351431.2,3351431.2,0.0,0
2025-09-12,3374915.8,3374915.8,0.0,0
2025-09-15,3394157.8,3394157.8,0.0,0
2025-09-16,3407456.6,3407456.6,0.0,0
2025-09-17,3384889.6,3384889.6,0.0,0
2025-09-18,3409426.6,3409426.6,0.0,0
2025-09-19,3427124.6,3427124.6,0.0,0
2025-09-22,3456576.4,3456576.4,0.0,0
2025-09-23,3477479.6,3477479.6,0.0,0
2025-09-24,3459245.8,3459245.8,0.0,0
2025-09-25,1717404.5,1717404.5,0.0,0
2025-09-29,1677209.4,1677209.4,0.0,0
2025-09-30,1677215.4,1677215.4,0.0,0
2025-10-01,1677215.4,1677215.4,0.0,0
2025-10-02,1677215.4,1677215.4,0.0,0
2025-10-10,1677215.4,1677215.4,0.0,0
2025-10-13,1692946.5,1692946.5,0.0,0
2025-10-14,1692626.1,1692626.1,0.0,0
2025-10-15,1695424.6,1695424.6,0.0,0
2025-10-16,1700623.1,1700623.1,0.0,0
2025-10-17,1700948.9,1700948.9,0.0,0
