date,action,code,qty,price,pnl
2025-09-12,BUY,035900,1,76600.0,
2025-09-12,BUY,403870,4,28600.0,
2025-09-12,BUY,204270,5,21200.0,
2025-09-16,BUY,030200,6,51600.0,
2025-09-16,BUY,042700,3,93100.0,
2025-09-16,BUY,161580,9,35800.0,
2025-09-17,BUY,082270,6,52100.0,
2025-09-17,BUY,035900,3,76400.0,
2025-09-17,BUY,335890,27,12410.0,
2025-09-18,BUY,031980,7,44150.0,
2025-09-18,BUY,403870,7,30800.0,
2025-09-18,BUY,257720,7,45700.0,
2025-09-18,BUY,003550,4,76900.0,
2025-09-18,BUY,060370,14,24350.0,
2025-09-18,BUY,241560,6,54900.0,
2025-09-18,BUY,009830,11,30250.0,
2025-09-18,BUY,005380,1,218000.0,
2025-09-18,BUY,052400,6,50200.0,
2025-09-18,BUY,000270,3,101800.0,
2025-09-19,BUY,068760,6,54700.0,
2025-09-22,BUY,281740,26,13120.0,
2025-09-22,BUY,034020,5,62400.0,
2025-09-22,BUY,051910,1,295500.0,
2025-09-22,BUY,025980,38,9040.0,
2025-09-22,BUY,336570,34,10090.0,
2025-09-22,BUY,005387,2,167300.0,
2025-09-22,BUY,352820,1,287000.0,
2025-09-23,BUY,068270,1,184300.0,
2025-09-23,BUY,000100,2,123200.0,
2025-09-24,BUY,044490,10,33050.0,
2025-10-15,BUY,000720,4,62300.0,
2025-10-15,BUY,352820,1,278000.0,
2025-10-15,BUY,178320,12,22800.0,
2025-10-15,BUY,068760,5,53800.0,
2025-10-15,BUY,272210,5,53500.0,
2025-10-15,BUY,068760,5,53900.0,
2025-10-15,BUY,009830,9,29100.0,
2025-10-16,BUY,161390,8,41350.0,
2025-10-16,BUY,005490,1,285000.0,
2025-10-16,BUY,047050,6,51400.0,
2025-10-16,BUY,009830,2,29600.0,
2025-10-16,BUY,000880,4,83000.0,
2025-10-17,SELL,000720,4,56000.0,-25200.0
2025-10-17,BUY,086520,4,72800.0,
2025-10-17,BUY,137400,8,41100.0,
2025-10-17,BUY,348370,4,84900.0,
2025-10-17,BUY,263750,9,35500.0,
2025-10-17,BUY,029780,6,49500.0,
2025-10-21,BUY,096770,2,125000.0,
2025-10-21,BUY,348370,3,86200.0,
2025-10-21,BUY,326030,3,106900.0,
2025-10-21,BUY,352820,1,280500.0,
2025-10-21,BUY,052400,6,50900.0,
2025-10-21,BUY,272210,6,53800.0,
2025-10-21,BUY,044490,10,32450.0,
2025-10-22,BUY,950160,7,44550.0,
