date,close,open,high,low,volume
1996-07-01,126.0,126.0,126.0,126.0,0
1996-07-02,126.0,126.0,126.0,126.0,0
1996-07-03,126.0,126.0,126.0,126.0,0
1996-07-04,126.0,126.0,126.0,126.0,0
1996-07-05,126.0,126.0,126.0,126.0,0
1996-07-06,126.0,126.0,126.0,126.0,0
1996-07-08,126.0,126.0,126.0,126.0,0
1996-07-09,126.0,126.0,126.0,126.0,0
1996-07-10,126.0,126.0,126.0,126.0,0
1996-07-11,126.0,126.0,126.0,126.0,0
1996-07-12,126.0,126.0,126.0,126.0,0
1996-07-13,126.0,126.0,126.0,126.0,0
1996-07-15,126.0,126.0,126.0,126.0,0
1996-07-16,126.0,126.0,126.0,126.0,0
1996-07-18,126.0,126.0,126.0,126.0,0
1996-07-19,126.0,126.0,126.0,126.0,0
1996-07-20,126.0,126.0,126.0,126.0,0
1996-07-22,126.0,126.0,126.0,126.0,0
1996-07-23,126.0,126.0,126.0,126.0,0
1996-07-24,126.0,126.0,126.0,126.0,0
1996-07-25,126.0,126.0,126.0,126.0,0
1996-07-26,126.0,126.0,126.0,126.0,0
1996-07-27,126.0,126.0,126.0,126.0,0
1996-07-29,128.0,128.0,128.0,128.0,1000
1996-07-30,128.0,128.0,128.0,128.0,0
1996-07-31,128.0,128.0,128.0,128.0,0
1996-08-01,128.0,128.0,128.0,128.0,0
1996-08-02,128.0,128.0,128.0,128.0,0
1996-08-03,128.0,128.0,128.0,128.0,0
1996-08-05,128.0,128.0,128.0,128.0,0
1996-08-06,128.0,128.0,128.0,128.0,0
1996-08-07,128.0,128.0,128.0,128.0,0
1996-08-08,128.0,128.0,128.0,128.0,0
1996-08-09,128.0,128.0,128.0,128.0,0
1996-08-10,128.0,128.0,128.0,128.0,0
1996-08-12,128.0,128.0,128.0,128.0,0
1996-08-13,128.0,128.0,128.0,128.0,0
1996-08-14,128.0,128.0,128.0,128.0,0
1996-08-16,129.0,129.0,129.0,129.0,3000
1996-08-17,129.0,129.0,129.0,129.0,0
