date,close,open,high,low,volume
1996-07-01,1147.0,1146.0,1146.0,1146.0,0
1996-07-02,373.0,373.0,373.0,373.0,0
1996-07-03,373.0,373.0,373.0,373.0,0
1996-07-04,373.0,373.0,373.0,373.0,0
1996-07-05,373.0,373.0,373.0,373.0,0
1996-07-06,373.0,373.0,373.0,373.0,0
1996-07-08,373.0,373.0,373.0,373.0,0
1996-07-09,373.0,373.0,373.0,373.0,0
1996-07-10,373.0,373.0,373.0,373.0,0
1996-07-11,373.0,373.0,373.0,373.0,0
1996-07-12,373.0,373.0,373.0,373.0,0
1996-07-13,373.0,373.0,373.0,373.0,0
1996-07-15,373.0,373.0,373.0,373.0,0
1996-07-16,391.0,390.0,390.0,390.0,0
1996-07-18,408.0,407.0,407.0,407.0,0
1996-07-19,425.0,424.0,424.0,424.0,0
1996-07-20,425.0,424.0,424.0,424.0,0
1996-07-22,425.0,424.0,424.0,424.0,0
1996-07-23,425.0,424.0,424.0,424.0,0
1996-07-24,425.0,424.0,424.0,424.0,0
1996-07-25,425.0,424.0,424.0,424.0,0
1996-07-26,425.0,424.0,424.0,424.0,0
1996-07-27,425.0,424.0,424.0,424.0,0
1996-07-29,425.0,424.0,424.0,424.0,0
1996-07-30,425.0,424.0,424.0,424.0,0
1996-07-31,425.0,424.0,424.0,424.0,0
1996-08-01,425.0,424.0,424.0,424.0,0
1996-08-02,425.0,424.0,424.0,424.0,0
1996-08-03,425.0,424.0,424.0,424.0,0
1996-08-05,425.0,424.0,424.0,424.0,0
1996-08-06,425.0,424.0,424.0,424.0,0
1996-08-07,425.0,424.0,424.0,424.0,0
1996-08-08,425.0,424.0,424.0,424.0,0
1996-08-09,425.0,424.0,424.0,424.0,0
1996-08-10,425.0,424.0,424.0,424.0,0
1996-08-12,425.0,424.0,424.0,424.0,0
1996-08-13,425.0,424.0,424.0,424.0,0
1996-08-14,425.0,424.0,424.0,424.0,0
1996-08-16,425.0,424.0,424.0,424.0,0
1996-08-17,425.0,424.0,424.0,424.0,0
1996-08-19,425.0,424.0,424.0,424.0,0
1996-08-20,425.0,424.0,424.0,424.0,0
1996-08-21,425.0,424.0,424.0,424.0,0
