date,close,open,high,low,volume
2018-02-13,14078.0,10829.0,14078.0,10829.0,1548539
2018-02-14,13351.0,17157.0,17800.0,13350.0,9160132
2018-02-19,13029.0,12961.0,13807.0,12572.0,1929364
2018-02-20,12640.0,14044.0,14281.0,12301.0,2025081
2018-02-21,12420.0,12352.0,12927.0,12183.0,1025252
2018-02-22,11828.0,12403.0,12656.0,11793.0,755386
2018-02-23,11642.0,11963.0,12132.0,11438.0,593271
2018-02-26,11862.0,11692.0,11963.0,11540.0,700367
2018-02-27,13994.0,12521.0,15059.0,12284.0,7596987
2018-02-28,13046.0,13638.0,13790.0,12826.0,1471403
2018-03-02,12860.0,12690.0,12859.0,12098.0,734512
2018-03-05,13537.0,12758.0,13705.0,12453.0,1642818
2018-03-06,13740.0,13215.0,14196.0,13079.0,1379205
2018-03-07,12454.0,13689.0,13705.0,12453.0,735691
2018-03-08,12894.0,12521.0,14348.0,12487.0,1672687
2018-03-09,12945.0,12995.0,13452.0,12859.0,438248
2018-03-12,13215.0,13266.0,13502.0,13147.0,492697
2018-03-13,12894.0,13130.0,13147.0,12792.0,503778
2018-03-14,12928.0,12741.0,13299.0,12707.0,429239
2018-03-15,13401.0,12826.0,13401.0,12741.0,679995
2018-03-16,14383.0,13469.0,14518.0,13181.0,1309198
2018-03-19,14840.0,14179.0,15228.0,13790.0,1888514
2018-03-20,14687.0,14484.0,15364.0,14365.0,957135
2018-03-21,14061.0,14839.0,14856.0,13841.0,656467
2018-03-22,14501.0,14416.0,15854.0,13993.0,2049262
2018-03-23,13537.0,13976.0,14281.0,13485.0,537160
2018-03-26,13537.0,13536.0,13672.0,12978.0,415937
2018-03-27,13943.0,13773.0,14315.0,13638.0,444631
2018-03-28,13824.0,13739.0,14484.0,13485.0,483015
2018-03-29,13875.0,13976.0,14264.0,13790.0,281320
2018-03-30,13841.0,14179.0,14484.0,13841.0,372113
2018-04-02,13858.0,13858.0,14281.0,13722.0,391102
2018-04-03,14281.0,13858.0,14281.0,13858.0,392903
2018-04-04,14417.0,14416.0,14433.0,14027.0,456978
2018-04-05,14011.0,14602.0,14721.0,13976.0,468450
2018-04-06,13537.0,14061.0,14145.0,13536.0,387709
2018-04-09,13469.0,13384.0,13621.0,13232.0,276384
2018-04-10,13689.0,13638.0,13942.0,13502.0,309105
2018-04-11,13638.0,13722.0,14179.0,13638.0,392921
2018-04-12,13300.0,13672.0,13807.0,13164.0,293712
2018-04-13,13181.0,13367.0,13401.0,13012.0,238686
2018-04-16,13198.0,13232.0,13249.0,12978.0,222419
2018-04-17,12894.0,13249.0,13266.0,12859.0,198252
2018-04-18,12758.0,12910.0,13096.0,12758.0,232678
2018-04-19,11946.0,12656.0,12690.0,11929.0,342407
2018-04-20,12031.0,11963.0,12200.0,11776.0,166133
2018-04-23,11202.0,12064.0,12098.0,11167.0,264057
2018-04-24,11117.0,11066.0,11370.0,11066.0,149775
2018-04-25,10931.0,10998.0,11269.0,10812.0,122441
2018-04-26,11286.0,11032.0,11455.0,11032.0,141106
2018-04-27,11354.0,11489.0,11489.0,11252.0,83345
2018-04-30,10508.0,11353.0,11353.0,10490.0,263014
2018-05-02,10271.0,10304.0,10423.0,9780.0,229093
2018-05-03,10186.0,10406.0,10490.0,10152.0,108902
2018-05-04,9882.0,10118.0,10186.0,9746.0,161461
2018-05-08,9916.0,9898.0,10051.0,9864.0,105968
2018-05-09,10525.0,9814.0,10558.0,9814.0,174568
2018-05-10,10931.0,10694.0,11066.0,10389.0,140886
2018-05-11,11083.0,10947.0,11286.0,10812.0,136829
2018-05-14,10288.0,10660.0,10744.0,10237.0,338253
2018-05-15,10322.0,10423.0,10507.0,10220.0,155661
2018-05-16,10423.0,10440.0,10575.0,10321.0,177406
2018-05-17,10305.0,10524.0,10524.0,10203.0,90873
2018-05-18,10525.0,10406.0,10626.0,10355.0,140177
2018-05-21,10694.0,10524.0,10914.0,10524.0,126059
2018-05-23,10660.0,10863.0,10914.0,10558.0,97598
