date,close,open,high,low,volume
1996-07-01,84.0,84.0,84.0,84.0,0
1996-07-02,84.0,84.0,84.0,84.0,0
1996-07-03,84.0,84.0,84.0,84.0,0
1996-07-04,84.0,84.0,84.0,84.0,0
1996-07-05,84.0,84.0,84.0,84.0,0
1996-07-06,84.0,84.0,84.0,84.0,0
1996-07-08,84.0,84.0,84.0,84.0,0
1996-07-09,84.0,84.0,84.0,84.0,0
1996-07-10,84.0,84.0,84.0,84.0,0
1996-07-11,84.0,84.0,84.0,84.0,0
1996-07-12,84.0,84.0,84.0,84.0,0
1996-07-13,84.0,84.0,84.0,84.0,0
1996-07-15,84.0,84.0,84.0,84.0,0
1996-07-16,89.0,90.0,90.0,90.0,0
1996-07-18,89.0,90.0,90.0,90.0,0
1996-07-19,89.0,90.0,90.0,90.0,0
1996-07-20,89.0,90.0,90.0,90.0,0
1996-07-22,91.0,92.0,92.0,92.0,0
1996-07-23,91.0,92.0,92.0,92.0,0
1996-07-24,91.0,92.0,92.0,92.0,0
1996-07-25,91.0,92.0,92.0,92.0,0
1996-07-26,91.0,92.0,92.0,92.0,0
1996-07-27,91.0,92.0,92.0,92.0,0
1996-07-29,91.0,92.0,92.0,92.0,0
1996-07-30,91.0,92.0,92.0,92.0,0
1996-07-31,91.0,92.0,92.0,92.0,0
1996-08-01,91.0,92.0,92.0,92.0,0
1996-08-02,91.0,92.0,92.0,92.0,0
1996-08-03,91.0,92.0,92.0,92.0,0
1996-08-05,91.0,92.0,92.0,92.0,0
1996-08-06,91.0,92.0,92.0,92.0,0
1996-08-07,95.0,95.0,95.0,95.0,0
1996-08-08,95.0,95.0,95.0,95.0,0
1996-08-09,95.0,95.0,95.0,95.0,0
1996-08-10,95.0,95.0,95.0,95.0,0
1996-08-12,97.0,97.0,97.0,97.0,0
1996-08-13,97.0,97.0,97.0,97.0,0
1996-08-14,97.0,97.0,97.0,97.0,0
1996-08-16,97.0,97.0,97.0,97.0,0
1996-08-17,97.0,97.0,97.0,97.0,0
1996-08-19,100.0,101.0,101.0,101.0,0
1996-08-20,100.0,101.0,101.0,101.0,0
1996-08-21,100.0,101.0,101.0,101.0,0
1996-08-22,100.0,101.0,101.0,101.0,0
1996-08-23,100.0,101.0,101.0,101.0,0
1996-08-24,100.0,101.0,101.0,101.0,0
1996-08-26,100.0,101.0,101.0,101.0,0
