date,close,open,high,low,volume
1996-07-01,1318.0,1317.0,1317.0,1317.0,0
1996-07-02,431.0,431.0,431.0,431.0,0
1996-07-03,453.0,453.0,453.0,453.0,0
1996-07-04,474.0,475.0,475.0,475.0,0
1996-07-05,494.0,494.0,494.0,494.0,0
1996-07-06,516.0,516.0,516.0,516.0,0
1996-07-08,537.0,537.0,537.0,537.0,0
1996-07-09,569.0,569.0,569.0,569.0,0
1996-07-10,600.0,599.0,599.0,599.0,0
1996-07-11,631.0,632.0,632.0,632.0,0
1996-07-12,663.0,663.0,663.0,663.0,0
1996-07-13,695.0,695.0,695.0,695.0,0
1996-07-15,727.0,726.0,726.0,726.0,0
1996-07-16,758.0,759.0,759.0,759.0,0
1996-07-18,789.0,789.0,789.0,789.0,0
1996-07-19,789.0,789.0,789.0,789.0,1000
1996-07-20,789.0,789.0,789.0,789.0,0
1996-07-22,829.0,830.0,830.0,830.0,0
1996-07-23,869.0,868.0,868.0,868.0,0
1996-07-24,908.0,908.0,908.0,908.0,0
1996-07-25,947.0,946.0,946.0,946.0,0
1996-07-26,987.0,988.0,988.0,988.0,0
1996-07-27,1026.0,1026.0,1026.0,1026.0,0
1996-07-29,1066.0,1066.0,1066.0,1066.0,0
1996-07-30,1119.0,1119.0,1119.0,1119.0,1000
1996-07-31,1171.0,1171.0,1171.0,1171.0,0
1996-08-01,1223.0,1223.0,1223.0,1223.0,0
1996-08-02,1276.0,1275.0,1275.0,1275.0,0
1996-08-03,1329.0,1328.0,1328.0,1328.0,0
1996-08-05,1407.0,1407.0,1407.0,1407.0,100
1996-08-06,1487.0,1486.0,1486.0,1486.0,0
1996-08-07,1566.0,1567.0,1567.0,1567.0,0
1996-08-08,1645.0,1645.0,1645.0,1645.0,0
1996-08-09,1724.0,1724.0,1724.0,1724.0,0
1996-08-10,1802.0,1803.0,1803.0,1803.0,0
1996-08-12,1882.0,1882.0,1882.0,1882.0,0
1996-08-13,1986.0,1986.0,1986.0,1986.0,0
1996-08-14,2092.0,2091.0,2091.0,2091.0,0
1996-08-16,1986.0,1986.0,1986.0,1986.0,0
1996-08-17,1882.0,1882.0,1882.0,1882.0,0
1996-08-19,1776.0,1777.0,1777.0,1777.0,0
1996-08-20,1698.0,1698.0,1698.0,1698.0,0
1996-08-21,1618.0,1619.0,1619.0,1619.0,20
1996-08-22,1539.0,1539.0,1539.0,1539.0,0
1996-08-23,1460.0,1459.0,1459.0,1459.0,0
1996-08-24,1381.0,1381.0,1381.0,1381.0,0
1996-08-26,1303.0,1302.0,1302.0,1302.0,20
1996-08-27,1250.0,1249.0,1249.0,1249.0,0
1996-08-28,1197.0,1197.0,1197.0,1197.0,0
1996-08-29,1145.0,1148.0,1148.0,1145.0,1510
1996-08-30,1197.0,1091.0,1197.0,1091.0,110
1996-08-31,1250.0,1249.0,1249.0,1249.0,100
1996-09-02,1250.0,1249.0,1249.0,1249.0,0
1996-09-03,1250.0,1249.0,1249.0,1249.0,0
1996-09-04,1200.0,1201.0,1201.0,1201.0,1000
1996-09-05,1200.0,1201.0,1201.0,1201.0,0
1996-09-06,1200.0,1201.0,1201.0,1201.0,0
1996-09-07,1200.0,1201.0,1201.0,1201.0,0
1996-09-09,1200.0,1201.0,1201.0,1201.0,0
1996-09-10,1200.0,1201.0,1201.0,1201.0,0
1996-09-11,1150.0,1149.0,1149.0,1149.0,20
1996-09-12,1097.0,1100.0,1100.0,1097.0,1040
1996-09-13,1047.0,1046.0,1046.0,1046.0,80
1996-09-14,1047.0,1046.0,1046.0,1046.0,0
1996-09-16,1047.0,1046.0,1046.0,1046.0,0
1996-09-17,1047.0,1046.0,1046.0,1046.0,0
1996-09-18,1010.0,1010.0,1010.0,1010.0,6000
1996-09-19,1010.0,1010.0,1010.0,1010.0,0
1996-09-20,971.0,972.0,972.0,972.0,6000
1996-09-21,1010.0,1010.0,1010.0,1010.0,1000
1996-09-23,971.0,972.0,972.0,972.0,3800
1996-09-24,971.0,972.0,972.0,972.0,0
1996-09-25,971.0,972.0,972.0,972.0,0
1996-09-30,971.0,972.0,972.0,972.0,0
1996-10-01,1010.0,1010.0,1010.0,1010.0,0
1996-10-02,1051.0,1051.0,1051.0,1051.0,0
1996-10-04,1089.0,1088.0,1088.0,1088.0,0
1996-10-05,1142.0,1142.0,1142.0,1142.0,0
1996-10-07,1194.0,1194.0,1194.0,1194.0,0
1996-10-08,1247.0,1246.0,1246.0,1246.0,0
1996-10-09,1300.0,1300.0,1300.0,1300.0,0
1996-10-10,1353.0,1354.0,1354.0,1354.0,0
1996-10-11,1432.0,1432.0,1432.0,1432.0,0
1996-10-12,1511.0,1511.0,1511.0,1511.0,0
1996-10-14,1590.0,1590.0,1590.0,1590.0,0
1996-10-15,1668.0,1667.0,1667.0,1667.0,0
1996-10-16,1747.0,1747.0,1747.0,1747.0,1000
1996-10-17,1826.0,1825.0,1825.0,1825.0,1000
1996-10-18,1816.0,1815.0,1815.0,1815.0,0
1996-10-19,1816.0,1815.0,1815.0,1815.0,0
1996-10-21,1736.0,1736.0,1736.0,1736.0,1000
1996-10-22,1658.0,1657.0,1657.0,1657.0,400
1996-10-23,1579.0,1579.0,1579.0,1579.0,10
1996-10-24,1579.0,1579.0,1579.0,1579.0,0
1996-10-25,1552.0,1552.0,1552.0,1552.0,0
1996-10-26,1474.0,1474.0,1474.0,1474.0,10
1996-10-28,1395.0,1396.0,1396.0,1396.0,0
1996-10-29,1316.0,1316.0,1316.0,1316.0,0
1996-10-30,1368.0,1369.0,1369.0,1369.0,150
1996-10-31,1395.0,1396.0,1396.0,1396.0,50
1996-11-01,1395.0,1396.0,1396.0,1396.0,0
1996-11-02,1342.0,1342.0,1342.0,1342.0,50
1996-11-04,1264.0,1264.0,1264.0,1264.0,50
1996-11-05,1184.0,1185.0,1185.0,1185.0,50
1996-11-06,1184.0,1185.0,1185.0,1185.0,0
1996-11-07,1105.0,1104.0,1104.0,1104.0,50
1996-11-08,1021.0,1021.0,1021.0,1021.0,100
1996-11-09,945.0,946.0,946.0,946.0,10
1996-11-11,874.0,872.0,875.0,872.0,60
1996-11-12,805.0,942.0,942.0,805.0,1020
1996-11-13,869.0,868.0,868.0,868.0,1000
1996-11-14,803.0,804.0,804.0,804.0,50
1996-11-15,742.0,741.0,741.0,741.0,20460
1996-11-16,800.0,801.0,801.0,801.0,0
1996-11-18,800.0,801.0,801.0,801.0,0
1996-11-19,863.0,863.0,863.0,863.0,0
1996-11-20,866.0,863.0,865.0,863.0,80
1996-11-21,935.0,935.0,935.0,935.0,0
1996-11-22,1008.0,1007.0,1007.0,1007.0,0
1996-11-25,1087.0,1088.0,1088.0,1088.0,0
1996-11-26,1174.0,1174.0,1174.0,1174.0,0
1996-11-27,1265.0,1084.0,1265.0,1084.0,30
1996-11-28,1166.0,1167.0,1167.0,1167.0,10
1996-11-29,1166.0,1074.0,1167.0,1074.0,160
1996-11-30,1166.0,1167.0,1167.0,1167.0,0
1996-12-02,1166.0,1167.0,1167.0,1167.0,0
1996-12-03,1166.0,1167.0,1167.0,1167.0,0
1996-12-04,1166.0,1167.0,1167.0,1167.0,0
1996-12-05,1168.0,1171.0,1171.0,1168.0,48150
1996-12-06,1168.0,1168.0,1168.0,1168.0,0
1996-12-07,1168.0,1168.0,1168.0,1168.0,0
1996-12-09,1168.0,1168.0,1168.0,1168.0,0
1996-12-10,1184.0,1185.0,1185.0,1185.0,900
1996-12-11,1211.0,1212.0,1212.0,1212.0,17000
1996-12-12,1223.0,1223.0,1223.0,1223.0,23500
1996-12-13,1223.0,1223.0,1223.0,1223.0,0
1996-12-14,1223.0,1223.0,1223.0,1223.0,0
1996-12-16,1237.0,1238.0,1238.0,1238.0,30680
1996-12-17,1237.0,1238.0,1238.0,1238.0,0
1996-12-18,1237.0,1238.0,1238.0,1238.0,0
1996-12-19,1239.0,1239.0,1239.0,1239.0,600
1996-12-20,1242.0,1242.0,1242.0,1242.0,34000
1996-12-21,1329.0,1328.0,1328.0,1328.0,0
1996-12-23,1329.0,1328.0,1328.0,1328.0,0
1996-12-24,1332.0,1332.0,1332.0,1332.0,14700
1996-12-26,1335.0,1335.0,1335.0,1335.0,9930
1996-12-27,1335.0,1335.0,1335.0,1335.0,0
1997-01-03,1335.0,1335.0,1335.0,1335.0,0
1997-01-04,1335.0,1335.0,1335.0,1335.0,0
1997-01-06,1335.0,1335.0,1335.0,1335.0,0
1997-01-07,1335.0,1335.0,1335.0,1335.0,0
1997-01-08,1335.0,1335.0,1335.0,1335.0,0
1997-01-09,1335.0,1335.0,1335.0,1335.0,0
1997-01-10,1335.0,1335.0,1335.0,1335.0,0
1997-01-11,1336.0,1336.0,1336.0,1336.0,100
1997-01-13,1336.0,1336.0,1336.0,1336.0,0
1997-01-14,1336.0,1336.0,1336.0,1336.0,1000
1997-01-15,1231.0,1230.0,1230.0,1230.0,1000
1997-01-16,1133.0,1132.0,1132.0,1132.0,0
1997-01-17,1044.0,1044.0,1044.0,1044.0,0
1997-01-18,1125.0,1125.0,1125.0,1125.0,100
1997-01-20,1215.0,1215.0,1215.0,1215.0,10
1997-01-21,1305.0,1305.0,1305.0,1305.0,120
1997-01-22,1305.0,1305.0,1305.0,1305.0,0
1997-01-23,1305.0,1305.0,1305.0,1305.0,0
1997-01-24,1305.0,1305.0,1305.0,1305.0,0
1997-01-25,1305.0,1305.0,1305.0,1305.0,0
1997-01-27,1305.0,1305.0,1305.0,1305.0,0
1997-01-28,1305.0,1305.0,1305.0,1305.0,0
1997-01-29,1305.0,1305.0,1305.0,1305.0,0
1997-01-30,1305.0,1305.0,1305.0,1305.0,0
1997-01-31,1305.0,1305.0,1305.0,1305.0,0
1997-02-01,1305.0,1305.0,1305.0,1305.0,0
1997-02-03,1305.0,1305.0,1305.0,1305.0,0
1997-02-04,1305.0,1305.0,1305.0,1305.0,0
1997-02-05,1305.0,1305.0,1305.0,1305.0,0
1997-02-06,1305.0,1305.0,1305.0,1305.0,0
1997-02-10,1202.0,1202.0,1202.0,1202.0,0
1997-02-11,1106.0,1105.0,1105.0,1105.0,0
1997-02-12,1106.0,1105.0,1105.0,1105.0,0
1997-02-13,1106.0,1105.0,1105.0,1105.0,0
1997-02-14,1194.0,1194.0,1194.0,1194.0,0
1997-02-15,1098.0,1098.0,1098.0,1098.0,50
1997-02-17,1098.0,1098.0,1098.0,1098.0,0
1997-02-18,1098.0,1098.0,1098.0,1098.0,0
1997-02-19,1098.0,1098.0,1098.0,1098.0,0
1997-02-20,1098.0,1098.0,1098.0,1098.0,0
1997-02-21,1112.0,1113.0,1113.0,1113.0,1000
1997-02-22,1112.0,1113.0,1113.0,1113.0,0
1997-02-24,1112.0,1113.0,1113.0,1113.0,0
1997-02-25,1112.0,1113.0,1113.0,1113.0,0
1997-02-26,1123.0,1122.0,1122.0,1122.0,1050
1997-02-27,1123.0,1122.0,1122.0,1122.0,0
1997-02-28,1123.0,1122.0,1122.0,1122.0,0
1997-03-03,1123.0,1122.0,1122.0,1122.0,0
1997-03-04,1117.0,1116.0,1116.0,1116.0,1200
