date,close,open,high,low,volume
2003-01-15,376.0,376.0,376.0,376.0,836960
2003-01-16,419.0,419.0,419.0,371.0,3505112
2003-01-17,371.0,417.0,419.0,371.0,922580
2003-01-20,360.0,371.0,371.0,330.0,364778
2003-01-21,357.0,357.0,379.0,344.0,369976
2003-01-22,317.0,344.0,365.0,317.0,456100
2003-01-23,330.0,322.0,354.0,314.0,823164
2003-01-24,298.0,328.0,344.0,293.0,567074
2003-01-27,285.0,282.0,295.0,276.0,201657
2003-01-28,301.0,276.0,303.0,276.0,182133
2003-01-29,298.0,293.0,309.0,290.0,129779
2003-01-30,315.0,296.0,315.0,296.0,153956
2003-02-03,317.0,306.0,336.0,306.0,84625
2003-02-04,309.0,317.0,325.0,308.0,87465
2003-02-05,295.0,303.0,314.0,295.0,114832
2003-02-06,298.0,298.0,306.0,293.0,127580
2003-02-07,304.0,295.0,306.0,290.0,120058
2003-02-10,328.0,306.0,336.0,304.0,426474
2003-02-11,339.0,336.0,354.0,314.0,815166
2003-02-12,315.0,333.0,336.0,311.0,288118
2003-02-13,301.0,309.0,322.0,298.0,385315
2003-02-14,322.0,300.0,336.0,295.0,244507
2003-02-17,328.0,333.0,347.0,326.0,256991
2003-02-18,317.0,333.0,336.0,306.0,358613
2003-02-19,322.0,322.0,333.0,314.0,176051
2003-02-20,339.0,328.0,346.0,325.0,395847
2003-02-21,339.0,341.0,343.0,325.0,196322
2003-02-24,352.0,338.0,360.0,336.0,267583
2003-02-25,352.0,346.0,360.0,341.0,192980
2003-02-26,352.0,349.0,362.0,343.0,236938
2003-02-27,360.0,352.0,360.0,336.0,146694
2003-02-28,376.0,357.0,381.0,355.0,211705
2003-03-03,371.0,379.0,379.0,357.0,171259
2003-03-04,365.0,365.0,373.0,362.0,55843
2003-03-05,350.0,366.0,366.0,344.0,137643
2003-03-06,346.0,351.0,354.0,327.0,57160
2003-03-07,346.0,346.0,349.0,332.0,55752
2003-03-10,352.0,357.0,357.0,341.0,24008
2003-03-11,346.0,341.0,349.0,332.0,25782
2003-03-12,344.0,341.0,346.0,333.0,25433
2003-03-13,350.0,347.0,350.0,339.0,35797
2003-03-14,350.0,363.0,363.0,350.0,35745
2003-03-17,336.0,341.0,349.0,328.0,12286
2003-03-18,346.0,346.0,346.0,338.0,17575
2003-03-19,350.0,357.0,357.0,333.0,19974
2003-03-20,357.0,360.0,360.0,341.0,59062
2003-03-21,355.0,357.0,360.0,350.0,67693
2003-03-24,350.0,350.0,357.0,350.0,28428
2003-03-25,341.0,339.0,346.0,322.0,18330
2003-03-26,341.0,341.0,346.0,336.0,17323
2003-03-27,339.0,346.0,349.0,319.0,24955
2003-03-28,346.0,343.0,346.0,336.0,11269
2003-03-31,352.0,346.0,351.0,336.0,23164
