date,close,open,high,low,volume
2001-01-09,2300.0,2300.0,2300.0,2300.0,394966
2001-01-10,2025.0,2025.0,2220.0,2025.0,8412846
2001-01-11,1870.0,1950.0,1960.0,1785.0,7536158
2001-01-12,1805.0,1870.0,2010.0,1700.0,7700972
2001-01-15,1845.0,1810.0,1965.0,1765.0,7150684
2001-01-16,1775.0,1855.0,1895.0,1705.0,3866606
2001-01-17,1680.0,1710.0,1850.0,1650.0,4538040
2001-01-18,1800.0,1655.0,1880.0,1655.0,6258534
2001-01-19,1600.0,1835.0,1900.0,1585.0,3561002
2001-01-22,1610.0,1645.0,1685.0,1575.0,3480604
2001-01-26,1530.0,1600.0,1715.0,1495.0,3832244
2001-01-29,1710.0,1485.0,1710.0,1485.0,5098364
2001-01-30,1915.0,1810.0,1915.0,1775.0,6531430
2001-01-31,1730.0,1965.0,1965.0,1690.0,4203614
2001-02-01,1760.0,1730.0,1900.0,1640.0,3550484
2001-02-02,1630.0,1700.0,1795.0,1580.0,1912962
2001-02-05,1555.0,1585.0,1690.0,1500.0,1795022
2001-02-06,1625.0,1605.0,1630.0,1550.0,1539714
2001-02-07,1570.0,1620.0,1690.0,1555.0,1916476
2001-02-08,1575.0,1575.0,1625.0,1570.0,1290954
2001-02-09,1635.0,1575.0,1685.0,1565.0,2439602
2001-02-12,1610.0,1650.0,1665.0,1590.0,1308478
2001-02-13,1675.0,1630.0,1730.0,1610.0,2743438
2001-02-14,1670.0,1675.0,1725.0,1640.0,2209152
2001-02-15,1645.0,1690.0,1700.0,1620.0,1854914
2001-02-16,1605.0,1645.0,1665.0,1585.0,1464412
2001-02-19,1630.0,1600.0,1665.0,1565.0,1433172
2001-02-20,1725.0,1680.0,1800.0,1660.0,3066792
2001-02-21,1665.0,1735.0,1790.0,1665.0,1683810
2001-02-22,1565.0,1625.0,1675.0,1500.0,1316596
2001-02-23,1600.0,1505.0,1675.0,1505.0,1678714
2001-02-26,1675.0,1600.0,1730.0,1600.0,2056370
2001-02-27,1560.0,1705.0,1705.0,1560.0,1533294
2001-02-28,1620.0,1560.0,1720.0,1525.0,2822254
2001-03-02,1540.0,1620.0,1630.0,1515.0,1103436
2001-03-05,1535.0,1515.0,1545.0,1460.0,896500
2001-03-06,1525.0,1545.0,1575.0,1510.0,1060956
2001-03-07,1525.0,1535.0,1585.0,1515.0,1248292
2001-03-08,1600.0,1550.0,1655.0,1535.0,2987046
2001-03-09,1545.0,1590.0,1590.0,1540.0,1182544
2001-03-12,1510.0,1520.0,1565.0,1475.0,915512
2001-03-13,1335.0,1455.0,1475.0,1330.0,1423094
2001-03-14,1405.0,1400.0,1425.0,1380.0,900158
