date,close,open,high,low,volume
1999-12-10,2514.0,2243.0,2512.0,1974.0,125732
1999-12-13,2813.0,2812.0,2812.0,2812.0,9730
1999-12-14,3150.0,3149.0,3149.0,3149.0,1378
1999-12-15,3525.0,3523.0,3523.0,3299.0,79566
1999-12-16,3943.0,3942.0,3942.0,3590.0,326305
1999-12-17,3472.0,3815.0,3815.0,3472.0,180492
1999-12-20,3060.0,3187.0,3410.0,3059.0,148056
1999-12-21,3427.0,3067.0,3427.0,3067.0,88104
1999-12-22,3831.0,3665.0,3829.0,3665.0,44418
1999-12-23,4287.0,4287.0,4287.0,4039.0,127984
1999-12-24,3777.0,4188.0,4188.0,3777.0,89584
1999-12-27,3330.0,3440.0,3964.0,3328.0,38242
1999-12-28,2933.0,2933.0,2992.0,2933.0,20972
2000-01-04,2694.0,2580.0,2992.0,2580.0,56816
2000-01-05,2694.0,2843.0,2843.0,2372.0,50726
2000-01-06,2499.0,2991.0,3007.0,2371.0,29592
2000-01-07,2304.0,2468.0,2468.0,2198.0,19756
2000-01-10,2514.0,2468.0,2512.0,2295.0,35978
2000-01-11,2620.0,2513.0,2768.0,2244.0,34960
2000-01-12,2543.0,2617.0,2745.0,2400.0,40900
2000-01-13,2843.0,2843.0,2843.0,2843.0,9704
2000-01-14,2993.0,3177.0,3177.0,2505.0,161804
2000-01-17,2843.0,2739.0,3053.0,2634.0,48072
2000-01-18,2604.0,2768.0,2768.0,2535.0,33374
2000-01-19,2356.0,2542.0,2662.0,2295.0,37016
2000-01-20,2170.0,2244.0,2333.0,2079.0,47996
2000-01-21,2304.0,2393.0,2393.0,2145.0,19696
2000-01-24,2245.0,2033.0,2303.0,2033.0,29014
2000-01-25,2125.0,2244.0,2244.0,2064.0,20460
2000-01-26,2170.0,2124.0,2214.0,2095.0,13716
2000-01-27,2155.0,2064.0,2169.0,2020.0,11566
2000-01-28,2170.0,2095.0,2319.0,2095.0,8652
2000-01-31,2184.0,2155.0,2185.0,2020.0,8502
2000-02-01,2349.0,2094.0,2378.0,2094.0,16340
2000-02-02,2626.0,2424.0,2625.0,2244.0,32948
2000-02-03,2723.0,2625.0,2768.0,2543.0,18118
2000-02-07,2888.0,2618.0,2947.0,2618.0,35370
2000-02-08,2694.0,2888.0,2978.0,2588.0,31572
2000-02-09,2776.0,2708.0,2805.0,2694.0,23530
2000-02-10,3105.0,2767.0,3104.0,2752.0,108476
2000-02-11,3472.0,3472.0,3472.0,2857.0,331998
2000-02-14,3292.0,3516.0,3740.0,3230.0,106064
2000-02-15,2903.0,3352.0,3366.0,2902.0,66950
2000-02-16,3247.0,2767.0,3245.0,2767.0,60124
2000-02-17,3636.0,3635.0,3635.0,3606.0,72738
2000-02-18,4070.0,4069.0,4069.0,4069.0,18024
2000-02-21,4557.0,4554.0,4554.0,4174.0,629664
2000-02-22,5102.0,5012.0,5102.0,4555.0,447996
2000-02-23,5708.0,5161.0,5709.0,4742.0,501270
2000-02-24,6390.0,5843.0,6389.0,5686.0,606190
2000-02-25,7153.0,7153.0,7153.0,7153.0,112008
2000-02-28,8007.0,8004.0,8004.0,8004.0,31230
2000-02-29,8963.0,8961.0,8961.0,8857.0,845838
2000-03-02,10026.0,10024.0,10024.0,10024.0,14704
2000-03-03,11223.0,11222.0,11222.0,10473.0,562578
2000-03-06,12570.0,12569.0,12569.0,12569.0,34002
2000-03-07,11073.0,11821.0,11821.0,11073.0,188878
2000-03-08,12390.0,9755.0,12390.0,9755.0,1549854
2000-03-09,13827.0,13019.0,13871.0,12569.0,860434
2000-03-10,12570.0,13527.0,14484.0,12346.0,883836
2000-03-13,11193.0,12568.0,12689.0,11147.0,478868
2000-03-14,12525.0,11192.0,12524.0,10998.0,518544
2000-03-15,11597.0,12300.0,12868.0,11372.0,464306
2000-03-16,10206.0,10953.0,11223.0,10204.0,351156
2000-03-17,8994.0,9874.0,10922.0,8992.0,343724
2000-03-20,7916.0,8379.0,8739.0,7915.0,286684
2000-03-21,7033.0,6971.0,7915.0,6971.0,689422
2000-03-22,7872.0,7481.0,7870.0,7332.0,470690
2000-03-23,7436.0,8004.0,8020.0,7182.0,606574
2000-03-24,8316.0,8314.0,8314.0,8314.0,88428
2000-03-27,8035.0,9304.0,9304.0,7716.0,675626
2000-03-28,7680.0,7679.0,8669.0,7343.0,701914
2000-03-29,7156.0,7772.0,8146.0,7062.0,285020
2000-03-30,6391.0,7062.0,7062.0,6315.0,255332
2000-03-31,6316.0,6389.0,6726.0,5791.0,354196
2000-04-03,5662.0,6726.0,6894.0,5567.0,422662
2000-04-04,5419.0,5530.0,5605.0,4988.0,270578
2000-04-06,6055.0,5717.0,6053.0,5380.0,327866
2000-04-07,6764.0,6501.0,6763.0,6351.0,350202
2000-04-10,7569.0,7566.0,7566.0,7473.0,160008
2000-04-11,7102.0,6912.0,8220.0,6670.0,1096298
2000-04-12,6914.0,7099.0,7473.0,6763.0,379520
2000-04-14,6092.0,6689.0,6726.0,6090.0,249724
2000-04-17,5362.0,5362.0,5362.0,5362.0,15970
2000-04-18,5195.0,5606.0,5904.0,4895.0,291956
2000-04-19,5269.0,5492.0,5642.0,4895.0,315828
2000-04-20,5419.0,4931.0,5418.0,4895.0,264078
2000-04-21,5793.0,5585.0,6053.0,5269.0,431882
2000-04-24,5233.0,5940.0,5960.0,5157.0,208758
2000-04-25,5120.0,5044.0,5305.0,4876.0,212228
2000-04-26,5046.0,5437.0,5437.0,4895.0,231744
2000-04-27,4447.0,4521.0,4688.0,4447.0,712768
2000-04-28,4259.0,4447.0,4596.0,4109.0,887882
2000-05-02,4765.0,4259.0,4763.0,4222.0,1108854
2000-05-03,4821.0,4857.0,5193.0,4669.0,1070194
2000-05-04,4821.0,4669.0,5044.0,4558.0,794736
2000-05-08,5382.0,5044.0,5380.0,5007.0,764912
2000-05-09,5495.0,5380.0,5735.0,5118.0,1212930
2000-05-10,5362.0,5380.0,5585.0,5269.0,757930
2000-05-12,5998.0,5362.0,5997.0,5343.0,861486
2000-05-15,6709.0,6707.0,6707.0,5642.0,2948602
2000-05-16,7512.0,6538.0,7511.0,5904.0,2988346
2000-05-17,8409.0,8258.0,8407.0,7846.0,1839222
2000-05-18,7400.0,7846.0,9304.0,7397.0,5097800
2000-05-19,6522.0,6521.0,6726.0,6521.0,262472
2000-05-22,5755.0,5754.0,5754.0,5754.0,26476
2000-05-23,5082.0,5081.0,5081.0,5081.0,13040
2000-05-24,4485.0,4482.0,4482.0,4482.0,15176
2000-05-25,5007.0,4482.0,5007.0,4482.0,1944982
2000-05-26,4410.0,4745.0,5044.0,4409.0,1225770
2000-05-29,3886.0,3886.0,4259.0,3886.0,1292656
2000-05-30,4335.0,4109.0,4333.0,3922.0,1701810
2000-05-31,4840.0,4558.0,4838.0,4558.0,1257084
2000-06-01,4259.0,4669.0,4820.0,4259.0,1608382
2000-06-02,4559.0,4521.0,4708.0,4035.0,2075416
2000-06-05,5101.0,4688.0,5100.0,4688.0,1307458
2000-06-07,5046.0,5175.0,5698.0,4782.0,2228068
2000-06-08,4727.0,5230.0,5343.0,4596.0,1919832
2000-06-09,4784.0,4726.0,4969.0,4539.0,951158
2000-06-12,5046.0,4857.0,5269.0,4857.0,1165376
2000-06-13,4597.0,4857.0,5044.0,4482.0,877022
2000-06-14,4559.0,4708.0,4782.0,4371.0,596268
2000-06-15,4092.0,4371.0,4447.0,4016.0,585504
2000-06-16,4335.0,4091.0,4464.0,3942.0,688546
2000-06-19,4073.0,4147.0,4315.0,4072.0,594380
2000-06-20,4092.0,4147.0,4277.0,3998.0,555838
2000-06-21,4167.0,4203.0,4409.0,4128.0,730766
2000-06-22,4167.0,4147.0,4371.0,4072.0,592250
2000-06-23,4037.0,4109.0,4109.0,3979.0,346312
2000-06-26,4110.0,3979.0,4222.0,3979.0,428930
2000-06-27,4130.0,4147.0,4222.0,4035.0,409410
2000-06-28,4092.0,4109.0,4222.0,4053.0,325730
2000-06-29,3999.0,4072.0,4166.0,3942.0,369314
2000-06-30,4465.0,3960.0,4464.0,3811.0,1093776
2000-07-03,4989.0,4669.0,4988.0,4615.0,1519234
2000-07-04,4821.0,5118.0,5492.0,4615.0,2805592
2000-07-05,4259.0,4669.0,4820.0,4259.0,882000
2000-07-06,4073.0,3773.0,4259.0,3773.0,1114942
2000-07-07,4204.0,4035.0,4296.0,4035.0,760702
2000-07-10,4224.0,4128.0,4521.0,4035.0,1150410
2000-07-11,4054.0,4259.0,4390.0,3811.0,737550
2000-07-12,4054.0,3922.0,4277.0,3922.0,600624
2000-07-13,3868.0,4053.0,4109.0,3848.0,420908
2000-07-14,3849.0,3886.0,3979.0,3773.0,459110
2000-07-18,3886.0,3848.0,4035.0,3811.0,485388
2000-07-19,3626.0,3960.0,3998.0,3474.0,496822
2000-07-20,3438.0,3437.0,3691.0,3217.0,664734
2000-07-21,3364.0,3493.0,3568.0,3362.0,439966
2000-07-24,2964.0,3288.0,3362.0,2958.0,661880
2000-07-25,2990.0,2801.0,3280.0,2694.0,728574
2000-07-26,2911.0,2989.0,3101.0,2839.0,311952
2000-07-27,3233.0,2955.0,3250.0,2884.0,901794
2000-07-28,3139.0,3228.0,3493.0,3007.0,1055450
2000-07-31,2994.0,3195.0,3195.0,2951.0,374750
2000-08-01,3214.0,3062.0,3344.0,3037.0,620748
2000-08-02,3217.0,3138.0,3362.0,3138.0,771902
2000-08-03,3603.0,3344.0,3601.0,3175.0,790868
2000-08-04,4018.0,3661.0,4016.0,3474.0,1709524
2000-08-07,3999.0,4147.0,4427.0,3773.0,2688464
2000-08-08,4465.0,4035.0,4464.0,3904.0,2193904
2000-08-09,3980.0,4558.0,4931.0,3960.0,3226848
2000-08-10,4037.0,3979.0,4259.0,3848.0,1773268
2000-08-11,3725.0,3960.0,4147.0,3661.0,1025066
2000-08-14,3674.0,3687.0,3922.0,3632.0,808982
2000-08-16,3632.0,3587.0,3721.0,3549.0,598108
2000-08-17,3636.0,3661.0,3811.0,3616.0,564262
2000-08-18,3588.0,3624.0,3665.0,3474.0,397474
2000-08-21,3733.0,3549.0,3866.0,3452.0,918866
2000-08-22,3636.0,3755.0,3773.0,3609.0,385610
2000-08-23,3494.0,3624.0,3709.0,3455.0,343020
2000-08-24,3236.0,3441.0,3475.0,3175.0,391090
2000-08-25,3251.0,3112.0,3317.0,3112.0,235920
2000-08-28,3307.0,3254.0,3400.0,3231.0,416290
