date,close,open,high,low,volume
2018-11-21,1150.0,1350.0,1450.0,1130.0,23384126
2018-11-22,1205.0,1170.0,1345.0,1140.0,22603690
2018-11-23,1275.0,1200.0,1340.0,1185.0,19116595
2018-11-26,1335.0,1275.0,1380.0,1260.0,13057067
2018-11-27,1285.0,1325.0,1340.0,1280.0,4868678
2018-11-28,1240.0,1345.0,1345.0,1230.0,5854681
2018-11-29,1230.0,1260.0,1260.0,1205.0,2846618
2018-11-30,1205.0,1225.0,1260.0,1200.0,2637005
2018-12-03,1225.0,1215.0,1235.0,1190.0,1794374
2018-12-04,1205.0,1215.0,1235.0,1200.0,1216834
2018-12-05,1180.0,1180.0,1200.0,1170.0,998753
2018-12-06,1150.0,1185.0,1185.0,1145.0,1300692
2018-12-07,1160.0,1160.0,1190.0,1155.0,1249831
2018-12-10,1125.0,1145.0,1155.0,1115.0,1172691
2018-12-11,1125.0,1135.0,1145.0,1115.0,886213
2018-12-12,1115.0,1130.0,1140.0,1100.0,1469510
2018-12-13,1130.0,1115.0,1155.0,1110.0,824253
2018-12-14,1100.0,1140.0,1140.0,1090.0,897111
2018-12-17,1065.0,1095.0,1100.0,1060.0,846416
2018-12-18,1020.0,1050.0,1075.0,1010.0,1394490
2018-12-19,998.0,1020.0,1025.0,991.0,1484408
2018-12-20,998.0,992.0,1040.0,990.0,1339650
2018-12-21,1010.0,1005.0,1030.0,998.0,956917
2018-12-24,1070.0,1010.0,1145.0,1005.0,5403946
2018-12-26,1105.0,1055.0,1145.0,1040.0,3357726
2018-12-27,1100.0,1105.0,1135.0,1070.0,1309125
2018-12-28,1100.0,1090.0,1130.0,1090.0,1118333
2019-01-02,1090.0,1125.0,1130.0,1080.0,532358
2019-01-03,1070.0,1100.0,1115.0,1070.0,686681
2019-01-04,1060.0,1080.0,1080.0,1035.0,647216
2019-01-07,1075.0,1070.0,1095.0,1060.0,509355
2019-01-08,1045.0,1080.0,1085.0,1045.0,584899
2019-01-09,1050.0,1055.0,1075.0,1045.0,527184
2019-01-10,1100.0,1055.0,1100.0,1055.0,680714
2019-01-11,1090.0,1100.0,1105.0,1070.0,759882
2019-01-14,1080.0,1080.0,1095.0,1065.0,290921
2019-01-15,1080.0,1080.0,1095.0,1075.0,391069
2019-01-16,1085.0,1090.0,1100.0,1070.0,463383
2019-01-17,1100.0,1095.0,1130.0,1075.0,935975
2019-01-18,1110.0,1095.0,1120.0,1085.0,581636
2019-01-21,1090.0,1115.0,1125.0,1090.0,480229
2019-01-22,1090.0,1095.0,1115.0,1085.0,352842
2019-01-23,1085.0,1090.0,1100.0,1085.0,274353
2019-01-24,1090.0,1090.0,1105.0,1085.0,257172
2019-01-25,1105.0,1095.0,1115.0,1085.0,558841
2019-01-28,1105.0,1105.0,1120.0,1095.0,264173
2019-01-29,1100.0,1100.0,1110.0,1095.0,283776
2019-01-30,1090.0,1100.0,1110.0,1080.0,399392
2019-01-31,1095.0,1095.0,1105.0,1090.0,266991
2019-02-01,1090.0,1100.0,1105.0,1085.0,177730
2019-02-07,1050.0,1090.0,1095.0,1050.0,566026
2019-02-08,1080.0,1070.0,1090.0,1070.0,308455
2019-02-11,1085.0,1080.0,1110.0,1075.0,170509
2019-02-12,1090.0,1090.0,1090.0,1070.0,207610
2019-02-13,1095.0,1090.0,1105.0,1080.0,383138
2019-02-14,1095.0,1095.0,1100.0,1080.0,223674
2019-02-15,1090.0,1100.0,1100.0,1080.0,206792
2019-02-18,1090.0,1090.0,1105.0,1085.0,460973
2019-02-19,1085.0,1100.0,1100.0,1080.0,180852
2019-02-20,1085.0,1085.0,1090.0,1080.0,215627
2019-02-21,1075.0,1090.0,1095.0,1075.0,358686
2019-02-22,1070.0,1080.0,1085.0,1070.0,272400
2019-02-25,1100.0,1080.0,1130.0,1075.0,1161765
2019-02-26,1260.0,1110.0,1350.0,1105.0,34271931
2019-02-27,1255.0,1245.0,1285.0,1210.0,7334475
2019-02-28,1160.0,1240.0,1260.0,1155.0,4884004
2019-03-04,1245.0,1200.0,1250.0,1180.0,4026607
2019-03-05,1215.0,1230.0,1245.0,1200.0,1972430
2019-03-06,1305.0,1215.0,1335.0,1200.0,10630768
2019-03-07,1315.0,1345.0,1420.0,1310.0,9313745
2019-03-08,1330.0,1310.0,1370.0,1295.0,2904758
2019-03-11,1435.0,1345.0,1505.0,1315.0,11485897
2019-03-12,1485.0,1430.0,1540.0,1430.0,7000145
2019-03-13,1545.0,1505.0,1565.0,1465.0,4730062
2019-03-14,1480.0,1520.0,1565.0,1465.0,3324242
2019-03-15,1425.0,1500.0,1500.0,1385.0,4312459
2019-03-18,1580.0,1420.0,1585.0,1405.0,9465241
2019-03-19,1590.0,1620.0,1760.0,1555.0,19349244
2019-03-20,1545.0,1590.0,1600.0,1495.0,3126632
2019-03-21,1485.0,1540.0,1560.0,1475.0,1857677
2019-03-22,1515.0,1485.0,1515.0,1430.0,2240154
2019-03-25,1405.0,1470.0,1495.0,1395.0,1978315
2019-03-26,1435.0,1410.0,1450.0,1400.0,889136
2019-03-27,1400.0,1430.0,1450.0,1390.0,704094
2019-03-28,1305.0,1370.0,1400.0,1270.0,1686626
2019-03-29,1350.0,1315.0,1360.0,1290.0,1278621
2019-04-01,1415.0,1350.0,1465.0,1340.0,4091777
2019-04-02,1415.0,1420.0,1450.0,1385.0,1869904
2019-04-03,1470.0,1415.0,1530.0,1400.0,5425030
2019-04-04,1470.0,1460.0,1515.0,1440.0,1397871
2019-04-05,1460.0,1470.0,1495.0,1430.0,836620
2019-04-08,1550.0,1470.0,1595.0,1450.0,8502697
2019-04-09,1515.0,1545.0,1565.0,1500.0,1814667
2019-04-10,1515.0,1515.0,1585.0,1495.0,3353308
2019-04-11,1490.0,1535.0,1535.0,1480.0,1203690
2019-04-12,1495.0,1490.0,1515.0,1485.0,1019553
2019-04-15,1500.0,1495.0,1525.0,1485.0,1328238
2019-04-16,1475.0,1500.0,1500.0,1430.0,1547790
2019-04-17,1430.0,1465.0,1470.0,1415.0,757629
2019-04-18,1405.0,1420.0,1455.0,1380.0,969317
2019-04-19,1410.0,1405.0,1435.0,1395.0,476866
2019-04-22,1400.0,1410.0,1430.0,1395.0,359035
2019-04-23,1390.0,1395.0,1420.0,1370.0,610806
2019-04-24,1415.0,1410.0,1430.0,1390.0,490951
2019-04-25,1370.0,1420.0,1425.0,1370.0,442559
2019-04-26,1365.0,1365.0,1405.0,1360.0,421570
2019-04-29,1385.0,1385.0,1390.0,1360.0,233087
2019-04-30,1370.0,1370.0,1400.0,1365.0,300382
2019-05-02,1385.0,1370.0,1395.0,1360.0,201341
2019-05-03,1395.0,1385.0,1415.0,1375.0,217431
2019-05-07,1370.0,1370.0,1385.0,1360.0,192967
2019-05-08,1340.0,1370.0,1390.0,1340.0,318544
2019-05-09,1265.0,1345.0,1355.0,1260.0,1065027
2019-05-10,1250.0,1250.0,1310.0,1240.0,761519
2019-05-13,1250.0,1250.0,1290.0,1245.0,376773
2019-05-14,1250.0,1220.0,1280.0,1220.0,296767
2019-05-15,1275.0,1275.0,1320.0,1260.0,953756
2019-05-16,1265.0,1265.0,1290.0,1255.0,429283
2019-05-17,1280.0,1265.0,1325.0,1260.0,526417
2019-05-20,1255.0,1270.0,1290.0,1255.0,297324
2019-05-21,1260.0,1260.0,1275.0,1245.0,249036
2019-05-22,1255.0,1250.0,1265.0,1245.0,347639
2019-05-23,1230.0,1255.0,1260.0,1230.0,295732
2019-05-24,1240.0,1240.0,1280.0,1225.0,449844
2019-05-27,1235.0,1235.0,1265.0,1220.0,506448
2019-05-28,1250.0,1245.0,1265.0,1235.0,516301
2019-05-29,1210.0,1255.0,1255.0,1210.0,429177
2019-05-30,1195.0,1215.0,1220.0,1190.0,333799
