date,close,open,high,low,volume
1996-09-24,10595.0,10595.0,10595.0,10595.0,100
1996-09-25,11194.0,11195.0,11195.0,11195.0,10
1996-09-30,11794.0,11795.0,11795.0,11795.0,0
1996-10-01,12394.0,12394.0,12394.0,12394.0,0
1996-10-02,12994.0,12994.0,12994.0,12994.0,0
1996-10-04,13593.0,13594.0,13594.0,13594.0,0
1996-10-05,14193.0,14194.0,14194.0,14194.0,0
1996-10-07,14793.0,14793.0,14793.0,14793.0,0
1996-10-08,15393.0,15393.0,15393.0,15393.0,0
1996-10-09,16142.0,16143.0,16143.0,16143.0,0
1996-10-10,16892.0,16892.0,16892.0,16892.0,200
1996-10-11,17642.0,17642.0,17642.0,17642.0,0
1996-10-12,18391.0,18392.0,18392.0,18392.0,0
1996-10-14,19141.0,19141.0,19141.0,19141.0,0
1996-10-15,19890.0,19891.0,19891.0,19891.0,0
1996-10-16,20640.0,20641.0,20641.0,20641.0,0
1996-10-17,21640.0,21640.0,21640.0,21640.0,0
1996-10-18,22639.0,22640.0,22640.0,22640.0,0
1996-10-19,23639.0,23639.0,23639.0,23639.0,0
1996-10-21,24638.0,24639.0,24639.0,24639.0,0
1996-10-22,25638.0,25638.0,25638.0,25638.0,0
1996-10-23,27137.0,27138.0,27138.0,27138.0,100
1996-10-24,28637.0,28637.0,28637.0,28637.0,100
1996-10-25,30136.0,30136.0,30136.0,30136.0,0
1996-10-26,31635.0,31636.0,31636.0,31636.0,0
1996-10-28,33134.0,33135.0,33135.0,33135.0,0
1996-10-29,34634.0,34634.0,34634.0,34634.0,0
1996-10-30,36133.0,36134.0,36134.0,36134.0,0
1996-10-31,38132.0,38133.0,38133.0,38133.0,600
1996-11-01,41181.0,41181.0,41181.0,41181.0,0
1996-11-02,44429.0,44430.0,44430.0,44430.0,0
1996-11-04,47978.0,47978.0,47978.0,47978.0,16600
1996-11-05,51726.0,51727.0,51727.0,49977.0,85950
1996-11-06,47728.0,55725.0,55725.0,47728.0,22100
1996-11-07,51476.0,46979.0,51477.0,44480.0,20470
1996-11-08,49977.0,49977.0,51477.0,49977.0,48660
1996-11-09,45979.0,49977.0,49977.0,45979.0,9890
1996-11-11,42330.0,42331.0,42331.0,42331.0,11190
1996-11-12,42330.0,40732.0,44980.0,40732.0,8760
1996-11-13,42330.0,42981.0,42981.0,42231.0,4810
1996-11-14,39981.0,43480.0,43480.0,39982.0,5370
1996-11-15,36783.0,39982.0,39982.0,36783.0,7370
1996-11-16,34984.0,35984.0,35984.0,34984.0,5180
1996-11-18,37782.0,34734.0,37783.0,34734.0,12390
1996-11-19,38982.0,40782.0,40782.0,38982.0,22180
1996-11-20,38732.0,38982.0,39232.0,36034.0,2430
1996-11-21,37083.0,38483.0,38483.0,36483.0,3100
1996-11-22,36483.0,37083.0,38483.0,36483.0,8730
1996-11-25,37483.0,37483.0,37483.0,37483.0,100
1996-11-26,34734.0,35484.0,36483.0,34734.0,2300
1996-11-27,35483.0,35034.0,35484.0,35034.0,740
1996-11-28,36483.0,34984.0,36483.0,33085.0,8010
1996-11-29,34984.0,36733.0,36733.0,34984.0,3050
1996-11-30,35483.0,35484.0,35484.0,35484.0,130
1996-12-02,34984.0,34984.0,34984.0,33985.0,5050
1996-12-03,34984.0,34984.0,34984.0,34984.0,200
1996-12-04,32485.0,33485.0,33485.0,32485.0,5880
1996-12-05,30086.0,32535.0,32535.0,30086.0,6750
1996-12-06,29986.0,28137.0,30086.0,27737.0,7730
1996-12-07,32385.0,32385.0,32385.0,32385.0,5000
1996-12-09,32535.0,34934.0,34934.0,32435.0,2770
1996-12-10,31485.0,32485.0,32485.0,31486.0,3160
1996-12-11,30486.0,31486.0,31486.0,30486.0,6120
1996-12-12,31485.0,30986.0,31486.0,28987.0,8420
1996-12-13,32485.0,30486.0,32485.0,29986.0,3140
1996-12-14,31485.0,31486.0,31486.0,31486.0,2570
1996-12-16,30236.0,30486.0,30486.0,30036.0,8110
1996-12-17,29986.0,29986.0,29986.0,27987.0,6920
1996-12-18,29986.0,29487.0,29986.0,29487.0,12200
1996-12-19,29986.0,29986.0,29986.0,29737.0,10790
1996-12-20,32385.0,29986.0,32385.0,29836.0,17410
1996-12-21,30736.0,30486.0,30736.0,30486.0,300
1996-12-23,30736.0,30236.0,30736.0,30236.0,530
1996-12-24,30236.0,30736.0,30736.0,30236.0,3400
1996-12-26,30236.0,30236.0,30536.0,30236.0,6630
1996-12-27,31985.0,29986.0,31986.0,29986.0,2320
1997-01-03,31985.0,31986.0,31986.0,31986.0,300
1997-01-04,31485.0,31486.0,31486.0,31486.0,1400
1997-01-06,28986.0,30236.0,30236.0,28987.0,5930
1997-01-07,27487.0,28987.0,28987.0,27138.0,14800
1997-01-08,27487.0,27488.0,28487.0,27488.0,15070
1997-01-09,27487.0,27488.0,27488.0,25538.0,11460
1997-01-10,27487.0,27488.0,27488.0,26988.0,5590
1997-01-11,28487.0,27488.0,28487.0,27488.0,20690
1997-01-13,27487.0,27488.0,27488.0,26488.0,21100
1997-01-14,26987.0,27488.0,27488.0,25988.0,13690
1997-01-15,26487.0,27488.0,27488.0,26488.0,11550
1997-01-16,28587.0,26488.0,28587.0,25988.0,63780
1997-01-17,30836.0,30836.0,30836.0,30836.0,14870
1997-01-18,32435.0,32985.0,32985.0,30836.0,15250
1997-01-20,32435.0,31436.0,32435.0,31436.0,4130
1997-01-21,31485.0,32435.0,33935.0,30986.0,109150
1997-01-22,31435.0,31436.0,31436.0,28987.0,5250
1997-01-23,29986.0,29986.0,30036.0,29986.0,8580
