date,close,open,high,low,volume
1996-10-24,431.0,430.0,430.0,430.0,8
1996-10-25,450.0,450.0,450.0,450.0,88
1996-10-26,470.0,469.0,469.0,469.0,32
1996-10-28,450.0,469.0,489.0,450.0,400
1996-10-29,431.0,430.0,430.0,430.0,0
1996-10-30,411.0,411.0,411.0,411.0,0
1996-10-31,392.0,391.0,391.0,391.0,0
1996-11-01,360.0,360.0,360.0,360.0,0
1996-11-02,360.0,333.0,388.0,331.0,364
1996-11-04,336.0,388.0,388.0,335.0,57
1996-11-05,351.0,335.0,351.0,335.0,55
1996-11-06,362.0,362.0,362.0,362.0,50
1996-11-07,343.0,352.0,352.0,333.0,223
1996-11-08,315.0,339.0,342.0,315.0,385
1996-11-09,340.0,339.0,339.0,339.0,108
1996-11-11,366.0,313.0,366.0,313.0,356
1996-11-12,343.0,342.0,342.0,342.0,0
1996-11-13,343.0,341.0,370.0,341.0,220
1996-11-14,360.0,323.0,360.0,323.0,100
1996-11-15,343.0,331.0,342.0,331.0,16
1996-11-16,360.0,336.0,360.0,336.0,200
1996-11-18,358.0,331.0,358.0,331.0,240
1996-11-19,350.0,350.0,350.0,350.0,0
1996-11-20,360.0,340.0,360.0,340.0,200
1996-11-21,357.0,352.0,357.0,352.0,200
1996-11-22,382.0,328.0,381.0,328.0,300
1996-11-25,377.0,351.0,376.0,351.0,208
1996-11-26,372.0,347.0,372.0,347.0,210
1996-11-27,367.0,371.0,371.0,343.0,111
1996-11-28,382.0,342.0,381.0,342.0,340
1996-11-29,372.0,352.0,372.0,352.0,250
1996-11-30,382.0,372.0,381.0,372.0,200
1996-12-02,351.0,357.0,357.0,351.0,91
1996-12-03,362.0,352.0,362.0,352.0,23
1996-12-04,382.0,374.0,381.0,374.0,200
1996-12-05,382.0,362.0,381.0,362.0,246
1996-12-06,382.0,362.0,381.0,362.0,108
1996-12-07,382.0,380.0,381.0,380.0,80
1996-12-09,372.0,372.0,372.0,372.0,0
1996-12-10,362.0,380.0,380.0,362.0,46
1996-12-11,377.0,362.0,376.0,362.0,108
1996-12-12,380.0,372.0,379.0,372.0,100
1996-12-13,382.0,372.0,381.0,372.0,200
1996-12-14,362.0,372.0,380.0,362.0,121
1996-12-16,381.0,363.0,380.0,362.0,236
1996-12-17,381.0,350.0,380.0,350.0,108
1996-12-18,351.0,372.0,372.0,351.0,74
1996-12-19,377.0,376.0,376.0,376.0,50
1996-12-20,367.0,367.0,367.0,367.0,0
1996-12-21,367.0,367.0,367.0,367.0,0
1996-12-23,367.0,367.0,367.0,367.0,0
1996-12-24,377.0,367.0,376.0,367.0,100
1996-12-26,379.0,347.0,378.0,347.0,232
1996-12-27,352.0,352.0,352.0,352.0,8
1997-01-03,352.0,352.0,352.0,352.0,0
1997-01-04,352.0,352.0,352.0,352.0,0
1997-01-06,352.0,342.0,352.0,342.0,50
1997-01-07,352.0,352.0,352.0,352.0,0
1997-01-08,351.0,351.0,351.0,351.0,50
1997-01-09,351.0,351.0,351.0,351.0,0
1997-01-10,372.0,350.0,372.0,350.0,90
1997-01-11,372.0,372.0,372.0,372.0,0
1997-01-13,372.0,372.0,372.0,372.0,0
1997-01-14,343.0,342.0,342.0,342.0,56
1997-01-15,352.0,337.0,352.0,337.0,80
1997-01-16,352.0,352.0,352.0,352.0,0
1997-01-17,352.0,352.0,352.0,352.0,0
1997-01-18,380.0,372.0,379.0,372.0,50
1997-01-20,371.0,371.0,371.0,371.0,47
1997-01-21,370.0,362.0,370.0,362.0,50
1997-01-22,371.0,370.0,371.0,370.0,50
1997-01-23,362.0,362.0,362.0,362.0,0
1997-01-24,362.0,362.0,362.0,362.0,0
1997-01-25,362.0,362.0,362.0,362.0,0
1997-01-27,362.0,352.0,362.0,352.0,100
1997-01-28,362.0,362.0,362.0,362.0,104
1997-01-29,334.0,333.0,333.0,333.0,8
1997-01-30,335.0,334.0,334.0,334.0,0
1997-01-31,333.0,332.0,332.0,332.0,35
1997-02-01,333.0,332.0,332.0,332.0,0
1997-02-03,333.0,332.0,332.0,332.0,0
1997-02-04,308.0,308.0,308.0,308.0,50
1997-02-05,302.0,302.0,302.0,302.0,0
1997-02-06,279.0,279.0,279.0,279.0,21
1997-02-10,257.0,257.0,257.0,257.0,30
1997-02-11,278.0,278.0,278.0,236.0,466
1997-02-12,300.0,278.0,299.0,274.0,140
