date,close,open,high,low,volume
1997-01-07,1331.0,1330.0,1330.0,1330.0,2020
1997-01-08,1434.0,1434.0,1434.0,1434.0,200
1997-01-09,1545.0,1545.0,1545.0,1545.0,90
1997-01-10,1667.0,1667.0,1667.0,1667.0,280
1997-01-11,1798.0,1799.0,1799.0,1799.0,360
1997-01-13,1941.0,1941.0,1941.0,1941.0,0
1997-01-14,2095.0,2095.0,2095.0,2095.0,350
1997-01-15,2262.0,2262.0,2262.0,2262.0,45840
1997-01-16,2218.0,2261.0,2431.0,2083.0,41290
1997-01-17,2393.0,2218.0,2393.0,2179.0,24730
1997-01-18,2582.0,2583.0,2583.0,2472.0,27480
1997-01-20,2733.0,2476.0,2789.0,2476.0,36380
1997-01-21,2931.0,2732.0,2935.0,2653.0,29340
1997-01-22,2852.0,2852.0,2931.0,2733.0,27670
1997-01-23,2891.0,2852.0,2891.0,2772.0,26890
1997-01-24,2773.0,2833.0,2833.0,2662.0,9320
1997-01-25,2773.0,2773.0,2852.0,2615.0,2130
1997-01-27,2773.0,2693.0,2773.0,2693.0,5920
1997-01-28,2773.0,2551.0,2773.0,2551.0,2070
1997-01-29,2769.0,2971.0,2971.0,2694.0,6960
1997-01-30,2986.0,2713.0,2987.0,2693.0,20380
1997-01-31,2931.0,2930.0,3049.0,2748.0,10790
1997-02-01,2931.0,2852.0,2930.0,2852.0,4420
1997-02-03,3010.0,2927.0,3011.0,2891.0,2520
1997-02-04,3050.0,2931.0,3049.0,2931.0,8090
1997-02-05,3010.0,3011.0,3011.0,3011.0,5000
1997-02-06,3010.0,2772.0,3011.0,2772.0,7680
1997-02-10,3010.0,2772.0,3011.0,2772.0,10930
1997-02-11,2971.0,2773.0,3011.0,2773.0,10500
1997-02-12,2931.0,2772.0,2962.0,2772.0,6210
1997-02-13,2931.0,2696.0,2930.0,2696.0,7600
1997-02-14,2931.0,2772.0,2930.0,2772.0,4490
1997-02-15,2931.0,2772.0,2930.0,2772.0,5500
1997-02-17,3165.0,2772.0,3164.0,2772.0,8650
1997-02-18,3165.0,2915.0,3164.0,2915.0,2230
1997-02-19,3165.0,2930.0,3164.0,2930.0,2270
1997-02-20,3129.0,2930.0,3129.0,2930.0,200
