date,close,open,high,low,volume
1999-12-21,1787.0,1789.0,1789.0,1789.0,30
1999-12-22,2001.0,2002.0,2002.0,2002.0,10
1999-12-23,2240.0,2240.0,2240.0,2240.0,150
1999-12-24,2508.0,2509.0,2509.0,2509.0,0
1999-12-27,2806.0,2807.0,2807.0,2807.0,150
1999-12-28,3141.0,3143.0,3143.0,3143.0,4770
2000-01-04,3517.0,3519.0,3519.0,3519.0,180
2000-01-05,3934.0,3936.0,3936.0,3936.0,10
2000-01-06,4402.0,4404.0,4404.0,4404.0,930
2000-01-07,4927.0,4927.0,4927.0,4660.0,640960
2000-01-10,5509.0,5511.0,5511.0,5202.0,467380
2000-01-11,6153.0,6153.0,6153.0,6153.0,19080
2000-01-12,6873.0,6874.0,6874.0,5458.0,996640
2000-01-13,6050.0,6051.0,6541.0,6051.0,158100
2000-01-14,5329.0,5331.0,5331.0,5331.0,7530
2000-01-17,4712.0,4713.0,5820.0,4713.0,1363030
2000-01-18,4887.0,4738.0,5073.0,4455.0,980940
2000-01-19,4304.0,4969.0,4974.0,4305.0,544550
2000-01-20,3789.0,3810.0,4016.0,3790.0,312920
2000-01-21,3450.0,3616.0,3955.0,3337.0,1469650
2000-01-24,3295.0,3450.0,3605.0,3270.0,485520
2000-01-25,2904.0,3122.0,3179.0,2906.0,433820
2000-01-26,2832.0,2925.0,3038.0,2730.0,355710
2000-01-27,2564.0,2791.0,2935.0,2493.0,229720
2000-01-28,2868.0,2576.0,2870.0,2483.0,311980
2000-01-31,3192.0,2688.0,3209.0,2688.0,592760
2000-02-01,3573.0,3295.0,3573.0,3254.0,556530
2000-02-02,3965.0,3605.0,4001.0,3507.0,512210
2000-02-03,4124.0,4110.0,4316.0,3492.0,463400
2000-02-07,4619.0,4274.0,4620.0,4223.0,528840
2000-02-08,4067.0,4687.0,4944.0,4068.0,706130
2000-02-09,4249.0,4095.0,4430.0,3992.0,652930
2000-02-10,3810.0,3765.0,4249.0,3739.0,473810
2000-02-11,4263.0,4120.0,4264.0,3970.0,645540
2000-02-14,4773.0,4377.0,4774.0,4120.0,1114410
2000-02-15,5329.0,5073.0,5331.0,4687.0,2042960
2000-02-16,4841.0,5408.0,5512.0,4713.0,1192990
2000-02-17,5200.0,4990.0,5355.0,4686.0,1214100
2000-02-18,5819.0,5408.0,5820.0,5201.0,1246110
2000-02-21,6333.0,5407.0,6514.0,5304.0,1370670
2000-02-22,5638.0,6643.0,7003.0,5587.0,1170210
2000-02-23,5051.0,5767.0,5922.0,4970.0,744070
2000-02-24,5638.0,5175.0,5638.0,5098.0,835220
2000-02-25,5612.0,5665.0,6128.0,5407.0,1003210
2000-02-28,6282.0,5510.0,6282.0,5510.0,1490300
2000-02-29,7029.0,6798.0,7030.0,6746.0,406470
2000-03-02,7852.0,7853.0,7853.0,7853.0,44230
2000-03-03,8754.0,8240.0,8781.0,6927.0,1820160
2000-03-06,7724.0,9425.0,9425.0,7726.0,853830
2000-03-07,7183.0,6797.0,7415.0,6797.0,882910
2000-03-08,7801.0,6644.0,7957.0,6644.0,971470
2000-03-09,8059.0,7828.0,8729.0,7803.0,751740
2000-03-10,7750.0,8136.0,8420.0,7622.0,649930
2000-03-13,7467.0,7726.0,7828.0,7081.0,557810
2000-03-14,7467.0,7211.0,7468.0,6798.0,391300
2000-03-15,7724.0,7313.0,8189.0,7211.0,587330
2000-03-16,7003.0,7726.0,7726.0,6825.0,362100
2000-03-17,6179.0,7364.0,7364.0,6180.0,379310
2000-03-20,5459.0,5563.0,5769.0,5460.0,183090
2000-03-21,5020.0,4815.0,5407.0,4815.0,517070
2000-03-22,5612.0,5304.0,5613.0,5175.0,391880
2000-03-23,6282.0,6282.0,6282.0,5819.0,724720
2000-03-24,6230.0,6333.0,6695.0,5922.0,547770
2000-03-27,6977.0,6231.0,6979.0,6180.0,467730
2000-03-28,7080.0,7184.0,7467.0,6952.0,507120
2000-03-29,6848.0,6643.0,7930.0,6591.0,1041280
2000-03-30,6591.0,6335.0,6696.0,6052.0,428090
2000-03-31,6333.0,6180.0,6591.0,6128.0,246200
2000-04-03,5612.0,6488.0,6746.0,5587.0,350880
2000-04-04,5062.0,4945.0,5151.0,4945.0,257020
2000-04-06,5252.0,5176.0,5510.0,5124.0,245080
2000-04-07,5871.0,5408.0,5872.0,5408.0,322800
2000-04-10,6565.0,6412.0,6566.0,6180.0,340940
2000-04-11,5792.0,5870.0,6102.0,5793.0,235040
2000-04-12,5792.0,5793.0,5793.0,5793.0,0
2000-04-14,5792.0,5793.0,5793.0,5793.0,0
2000-04-17,5097.0,5098.0,5098.0,5098.0,77305
2000-04-18,4490.0,4492.0,5563.0,4492.0,628482
2000-04-19,4073.0,4739.0,4770.0,3956.0,730943
2000-04-20,3607.0,3960.0,4034.0,3585.0,286722
2000-04-21,4039.0,3648.0,4040.0,3426.0,563512
2000-04-24,4289.0,4034.0,4431.0,3835.0,398102
2000-04-25,4317.0,3977.0,4397.0,3902.0,238586
2000-04-26,4203.0,4432.0,4659.0,4090.0,287491
2000-04-27,3879.0,3983.0,4238.0,3880.0,165526
2000-04-28,3749.0,3909.0,4045.0,3693.0,113701
2000-05-02,4112.0,3863.0,4147.0,3812.0,160117
2000-05-03,3976.0,3886.0,4057.0,3863.0,104478
2000-05-04,4402.0,4051.0,4455.0,3875.0,510686
2000-05-08,4931.0,4716.0,4932.0,4546.0,195423
2000-05-09,5078.0,5113.0,5283.0,4607.0,768282
2000-05-10,5152.0,4886.0,5397.0,4886.0,412267
2000-05-12,5226.0,5113.0,5420.0,5039.0,426794
2000-05-15,5113.0,5228.0,5796.0,4898.0,553323
2000-05-16,4942.0,4999.0,5102.0,4607.0,210899
2000-05-17,4533.0,5115.0,5228.0,4438.0,256962
2000-05-18,3994.0,4006.0,4052.0,3995.0,69824
2000-05-19,3618.0,3699.0,3750.0,3517.0,290566
2000-05-22,3187.0,3580.0,3580.0,3189.0,148343
2000-05-23,3170.0,2864.0,3239.0,2846.0,206632
2000-05-24,2841.0,2927.0,3063.0,2796.0,132310
2000-05-25,3181.0,2762.0,3183.0,2762.0,264244
2000-05-26,2801.0,3189.0,3342.0,2802.0,222455
2000-05-29,3107.0,2614.0,3108.0,2500.0,130493
2000-05-30,3408.0,3125.0,3467.0,3125.0,255904
2000-05-31,3818.0,3802.0,3819.0,3637.0,219854
2000-06-01,3948.0,3864.0,4091.0,3421.0,341524
2000-06-02,4062.0,3977.0,4204.0,3806.0,431633
2000-06-05,4544.0,4176.0,4545.0,4176.0,363822
2000-06-07,5089.0,5091.0,5091.0,4852.0,360356
2000-06-08,4553.0,4937.0,5253.0,4486.0,354662
2000-06-09,4341.0,4172.0,4410.0,4009.0,292201
2000-06-12,4595.0,4545.0,4681.0,4128.0,252304
2000-06-13,4178.0,4639.0,4766.0,4171.0,224927
2000-06-14,4127.0,4425.0,4425.0,4042.0,106777
2000-06-15,3659.0,4086.0,4086.0,3634.0,141321
2000-06-16,3786.0,3447.0,3992.0,3404.0,159208
2000-06-19,3583.0,3508.0,3873.0,3508.0,162795
2000-06-20,3693.0,3712.0,3762.0,3618.0,135233
2000-06-21,3744.0,3787.0,4000.0,3711.0,225537
2000-06-22,3744.0,3830.0,3957.0,3668.0,162772
2000-06-23,3744.0,3660.0,4086.0,3592.0,262502
2000-06-26,3786.0,3813.0,3839.0,3745.0,129538
2000-06-27,3735.0,3839.0,3881.0,3660.0,203307
2000-06-28,3599.0,3703.0,3728.0,3558.0,272226
2000-06-29,3463.0,3660.0,3668.0,3404.0,255141
2000-06-30,3463.0,3447.0,3583.0,3396.0,198427
2000-07-03,3481.0,3405.0,3550.0,3397.0,321977
2000-07-04,3259.0,3413.0,3430.0,3234.0,746661
2000-07-05,2876.0,3149.0,3200.0,2876.0,822827
2000-07-06,2680.0,2834.0,2843.0,2579.0,651303
2000-07-07,2749.0,2639.0,2801.0,2639.0,550336
2000-07-10,2894.0,2725.0,3039.0,2699.0,1039128
2000-07-11,2672.0,2895.0,2921.0,2596.0,470722
2000-07-12,2689.0,2638.0,2740.0,2545.0,488908
2000-07-13,2757.0,2810.0,2971.0,2665.0,1158672
2000-07-14,2680.0,2851.0,2860.0,2655.0,455637
2000-07-18,2527.0,2640.0,2690.0,2511.0,406351
2000-07-19,2230.0,2409.0,2469.0,2231.0,667038
2000-07-20,2204.0,2128.0,2299.0,1976.0,610881
2000-07-21,2110.0,2265.0,2299.0,2095.0,323588
2000-07-24,1864.0,2069.0,2129.0,1865.0,439882
2000-07-25,1914.0,1865.0,1958.0,1729.0,498069
2000-07-26,1949.0,1907.0,2103.0,1822.0,779193
2000-07-27,1864.0,1891.0,1967.0,1840.0,301039
2000-07-28,1949.0,1907.0,2018.0,1865.0,879855
2000-07-31,1923.0,1958.0,2001.0,1899.0,454618
2000-08-01,2076.0,1957.0,2120.0,1898.0,583414
2000-08-02,2110.0,2077.0,2163.0,2010.0,463542
2000-08-03,2357.0,2127.0,2358.0,2120.0,421327
2000-08-04,2374.0,2494.0,2621.0,2307.0,1273206
2000-08-07,2426.0,2469.0,2656.0,2342.0,2524677
2000-08-08,2195.0,2418.0,2511.0,2163.0,1131907
2000-08-09,2187.0,2120.0,2238.0,2009.0,714899
2000-08-10,2246.0,2238.0,2374.0,2127.0,735756
2000-08-11,2161.0,2171.0,2247.0,2127.0,298337
2000-08-14,2094.0,2128.0,2214.0,2086.0,299828
2000-08-16,2076.0,2094.0,2127.0,2009.0,289927
2000-08-17,1974.0,2052.0,2112.0,1967.0,335301
2000-08-18,1983.0,2001.0,2027.0,1874.0,347305
2000-08-21,1906.0,1924.0,2034.0,1872.0,343314
2000-08-22,1931.0,1881.0,1966.0,1881.0,291643
2000-08-23,1872.0,1916.0,1950.0,1847.0,251695
2000-08-24,1778.0,1874.0,1891.0,1729.0,373354
2000-08-25,1889.0,1789.0,1967.0,1746.0,650538
2000-08-28,2110.0,1925.0,2112.0,1925.0,837085
2000-08-29,1965.0,2042.0,2085.0,1932.0,721200
2000-08-30,1949.0,1925.0,2035.0,1882.0,518991
2000-08-31,1872.0,1916.0,1941.0,1822.0,279179
2000-09-01,1864.0,1916.0,1916.0,1814.0,194393
2000-09-04,1804.0,1814.0,1856.0,1780.0,157557
2000-09-05,1838.0,1805.0,1847.0,1780.0,206053
2000-09-06,1804.0,1831.0,1856.0,1789.0,182579
2000-09-07,1735.0,1788.0,1788.0,1728.0,245126
2000-09-08,1702.0,1746.0,1780.0,1660.0,342850
2000-09-14,1642.0,1678.0,1678.0,1559.0,168896
2000-09-15,1583.0,1584.0,1704.0,1575.0,205430
2000-09-18,1396.0,1499.0,1508.0,1397.0,100818
2000-09-19,1234.0,1278.0,1320.0,1236.0,313325
2000-09-20,1285.0,1201.0,1320.0,1201.0,270177
2000-09-21,1131.0,1251.0,1285.0,1132.0,314281
2000-09-22,1029.0,1048.0,1073.0,1005.0,367313
2000-09-25,1097.0,1030.0,1141.0,1021.0,321382
2000-09-26,1149.0,1031.0,1167.0,1031.0,320180
2000-09-27,1285.0,1150.0,1286.0,1150.0,482871
2000-09-28,1318.0,1285.0,1387.0,1208.0,906167
2000-09-29,1447.0,1363.0,1473.0,1286.0,997620
2000-10-02,1421.0,1405.0,1499.0,1346.0,996044
2000-10-04,1514.0,1371.0,1558.0,1336.0,854997
2000-10-05,1506.0,1533.0,1644.0,1448.0,858182
2000-10-06,1472.0,1516.0,1575.0,1448.0,506956
2000-10-09,1608.0,1472.0,1634.0,1438.0,1147618
2000-10-10,1548.0,1625.0,1659.0,1489.0,682393
2000-10-11,1370.0,1474.0,1516.0,1372.0,412937
2000-10-12,1327.0,1285.0,1371.0,1242.0,379446
2000-10-13,1421.0,1235.0,1473.0,1176.0,387048
2000-10-16,1548.0,1447.0,1549.0,1447.0,1005729
2000-10-17,1370.0,1490.0,1508.0,1372.0,283686
2000-10-18,1336.0,1329.0,1379.0,1243.0,400059
2000-10-19,1318.0,1242.0,1429.0,1242.0,469578
2000-10-20,1345.0,1405.0,1405.0,1329.0,391753
2000-10-23,1225.0,1261.0,1337.0,1227.0,265256
2000-10-24,1208.0,1166.0,1251.0,1166.0,223319
2000-10-25,1174.0,1236.0,1236.0,1167.0,161829
2000-10-26,1080.0,1115.0,1157.0,1081.0,249521
2000-10-27,1106.0,1106.0,1157.0,1090.0,234414
2000-10-30,1029.0,1099.0,1107.0,1022.0,147708
2000-10-31,1055.0,962.0,1056.0,911.0,169460
2000-11-01,1106.0,1072.0,1132.0,1072.0,218712
2000-11-02,1106.0,1081.0,1141.0,1081.0,281220
