date,close,open,high,low,volume
1997-07-04,1260.0,1259.0,1259.0,1259.0,1240
1997-07-05,1359.0,1358.0,1358.0,1358.0,4960
1997-07-07,1467.0,1466.0,1466.0,1466.0,3320
1997-07-08,1583.0,1583.0,1583.0,1583.0,13490
1997-07-09,1676.0,1706.0,1709.0,1457.0,59520
1997-07-10,1545.0,1674.0,1674.0,1546.0,15140
1997-07-11,1586.0,1521.0,1586.0,1439.0,19190
1997-07-12,1497.0,1556.0,1556.0,1467.0,2880
1997-07-14,1407.0,1467.0,1467.0,1408.0,3440
1997-07-15,1452.0,1317.0,1453.0,1303.0,8240
1997-07-16,1438.0,1438.0,1467.0,1438.0,6440
1997-07-18,1407.0,1437.0,1467.0,1392.0,5100
1997-07-19,1407.0,1362.0,1408.0,1348.0,1740
1997-07-21,1407.0,1303.0,1408.0,1303.0,2190
1997-07-22,1333.0,1389.0,1389.0,1333.0,1700
1997-07-23,1393.0,1228.0,1408.0,1228.0,2130
1997-07-24,1377.0,1362.0,1378.0,1332.0,1140
1997-07-25,1318.0,1378.0,1378.0,1319.0,1540
1997-07-26,1333.0,1318.0,1392.0,1318.0,1590
1997-07-28,1363.0,1333.0,1378.0,1318.0,1020
1997-07-29,1377.0,1332.0,1378.0,1332.0,1180
1997-07-30,1347.0,1273.0,1348.0,1273.0,290
1997-07-31,1347.0,1246.0,1348.0,1246.0,1250
1997-08-01,1347.0,1243.0,1348.0,1243.0,630
1997-08-02,1347.0,1345.0,1348.0,1345.0,800
1997-08-04,1333.0,1243.0,1333.0,1243.0,1680
1997-08-05,1333.0,1234.0,1333.0,1234.0,620
1997-08-06,1329.0,1331.0,1331.0,1233.0,2140
1997-08-07,1318.0,1319.0,1319.0,1244.0,1140
1997-08-08,1314.0,1286.0,1314.0,1227.0,720
1997-08-09,1314.0,1212.0,1314.0,1212.0,1350
1997-08-11,1288.0,1288.0,1288.0,1231.0,630
1997-08-12,1288.0,1288.0,1288.0,1216.0,1280
1997-08-13,1288.0,1258.0,1288.0,1243.0,1300
1997-08-14,1288.0,1258.0,1288.0,1243.0,1540
1997-08-16,1288.0,1258.0,1288.0,1258.0,330
1997-08-18,1288.0,1246.0,1288.0,1214.0,990
1997-08-19,1281.0,1285.0,1285.0,1246.0,710
1997-08-20,1245.0,1281.0,1281.0,1245.0,1600
1997-08-21,1281.0,1282.0,1287.0,1282.0,1680
1997-08-22,1278.0,1278.0,1278.0,1249.0,1890
1997-08-23,1258.0,1258.0,1258.0,1258.0,600
1997-08-25,1254.0,1253.0,1253.0,1239.0,1450
1997-08-26,1231.0,1249.0,1249.0,1227.0,1900
1997-08-27,1228.0,1228.0,1228.0,1228.0,1000
1997-08-28,1201.0,1197.0,1224.0,1197.0,580
1997-08-29,1239.0,1197.0,1239.0,1197.0,1180
1997-08-30,1239.0,1239.0,1239.0,1227.0,360
1997-09-01,1239.0,1239.0,1239.0,1239.0,1100
1997-09-02,1228.0,1240.0,1240.0,1228.0,1150
1997-09-03,1239.0,1221.0,1242.0,1221.0,760
1997-09-04,1239.0,1254.0,1257.0,1227.0,1300
1997-09-05,1239.0,1230.0,1239.0,1230.0,1200
1997-09-06,1254.0,1253.0,1253.0,1239.0,2100
1997-09-08,1258.0,1258.0,1258.0,1258.0,1300
1997-09-09,1272.0,1257.0,1273.0,1257.0,550
1997-09-10,1272.0,1257.0,1375.0,1257.0,1030
1997-09-11,1288.0,1273.0,1369.0,1270.0,220
1997-09-12,1288.0,1288.0,1303.0,1288.0,1100
1997-09-13,1272.0,1273.0,1273.0,1273.0,1000
1997-09-18,1272.0,1273.0,1273.0,1273.0,420
1997-09-19,1272.0,1273.0,1273.0,1270.0,1750
1997-09-20,1272.0,1257.0,1273.0,1257.0,1200
1997-09-22,1272.0,1273.0,1273.0,1273.0,110
1997-09-23,1269.0,1257.0,1269.0,1257.0,300
1997-09-24,1269.0,1266.0,1269.0,1266.0,200
1997-09-25,1258.0,1258.0,1258.0,1171.0,2330
1997-09-26,1267.0,1267.0,1267.0,1267.0,110
1997-09-27,1254.0,1266.0,1266.0,1167.0,500
1997-09-29,1239.0,1254.0,1254.0,1155.0,470
1997-09-30,1239.0,1239.0,1239.0,1239.0,50
1997-10-01,1239.0,1239.0,1239.0,1141.0,620
1997-10-02,1236.0,1237.0,1237.0,1228.0,1110
1997-10-04,1236.0,1237.0,1237.0,1237.0,110
1997-10-06,1234.0,1234.0,1234.0,1198.0,410
1997-10-07,1228.0,1228.0,1228.0,1228.0,210
1997-10-08,1228.0,1228.0,1228.0,1228.0,1050
1997-10-09,1213.0,1225.0,1225.0,1214.0,200
1997-10-10,1213.0,1214.0,1214.0,1214.0,1000
1997-10-11,1206.0,1206.0,1206.0,1206.0,250
1997-10-13,1198.0,1207.0,1207.0,1111.0,290
1997-10-14,1194.0,1107.0,1193.0,1107.0,340
1997-10-15,1194.0,1193.0,1223.0,1193.0,60
1997-10-16,1213.0,1195.0,1214.0,1195.0,150
1997-10-17,1213.0,1214.0,1214.0,1214.0,50
1997-10-18,1209.0,1197.0,1212.0,1116.0,580
1997-10-20,1209.0,1209.0,1209.0,1209.0,160
1997-10-21,1209.0,1209.0,1209.0,1209.0,50
