date,close,open,high,low,volume
1999-07-30,6120.0,6118.0,6118.0,6118.0,0
1999-08-02,6852.0,6850.0,6850.0,6850.0,0
1999-08-03,7675.0,7674.0,7674.0,7674.0,0
1999-08-04,8589.0,8589.0,8589.0,8589.0,0
1999-08-05,9595.0,9595.0,9595.0,9595.0,0
1999-08-06,10721.0,10721.0,10721.0,10721.0,0
1999-08-09,12000.0,11999.0,11999.0,11572.0,0
1999-08-10,13432.0,13432.0,13432.0,13432.0,0
1999-08-11,15016.0,15016.0,15016.0,15016.0,0
1999-08-12,16813.0,16812.0,16812.0,16812.0,0
1999-08-13,15047.0,16691.0,16752.0,14802.0,0
1999-08-16,16844.0,15229.0,16844.0,14924.0,0
1999-08-17,14834.0,16448.0,16813.0,14834.0,0
1999-08-18,13067.0,13067.0,13067.0,13067.0,0
1999-08-19,13158.0,12183.0,13706.0,11513.0,0
1999-08-20,12184.0,12488.0,13158.0,12000.0,0
1999-08-23,12488.0,12213.0,13096.0,12213.0,0
1999-08-24,12671.0,12792.0,13096.0,12183.0,0
1999-08-25,12184.0,12609.0,12670.0,11634.0,0
1999-08-26,11879.0,11938.0,12457.0,11573.0,0
1999-08-27,12000.0,12182.0,12790.0,11877.0,0
1999-08-30,11391.0,11573.0,11998.0,11267.0,0
1999-08-31,10660.0,11024.0,11024.0,10110.0,0
1999-09-01,10842.0,10658.0,11877.0,10049.0,0
1999-09-02,10356.0,10659.0,11207.0,10232.0,0
1999-09-03,10417.0,10356.0,10659.0,9807.0,0
1999-09-06,10965.0,11268.0,11268.0,10659.0,0
1999-09-07,10508.0,10842.0,10842.0,10416.0,0
1999-09-08,10660.0,10232.0,10780.0,10202.0,0
1999-09-09,11269.0,10902.0,11694.0,10659.0,0
1999-09-10,11269.0,11298.0,11541.0,10963.0,0
1999-09-13,10934.0,11572.0,11572.0,10841.0,0
1999-09-14,10356.0,10721.0,10721.0,10050.0,0
1999-09-15,10356.0,10416.0,10598.0,10172.0,0
1999-09-16,10112.0,10416.0,10537.0,9989.0,0
1999-09-17,9412.0,9137.0,9990.0,9076.0,0
1999-09-20,8345.0,8588.0,9106.0,8284.0,0
1999-09-21,8284.0,8344.0,8466.0,7369.0,0
1999-09-22,9016.0,7980.0,9137.0,7858.0,0
1999-09-27,8528.0,9136.0,9136.0,8344.0,0
1999-09-28,7797.0,8283.0,8404.0,7734.0,0
1999-09-29,7309.0,7796.0,8040.0,7065.0,0
1999-09-30,7096.0,7430.0,7613.0,6821.0,0
1999-10-01,6578.0,6942.0,7064.0,6272.0,0
1999-10-04,7340.0,6700.0,7339.0,6517.0,0
1999-10-05,7919.0,7675.0,8193.0,7614.0,0
1999-10-06,8010.0,7918.0,8162.0,7370.0,0
1999-10-07,8345.0,8039.0,8679.0,7674.0,0
1999-10-08,7980.0,8039.0,8345.0,7918.0,0
1999-10-11,8923.0,8100.0,8922.0,7978.0,0
1999-10-12,9990.0,9440.0,9990.0,9350.0,0
1999-10-13,9747.0,9990.0,10479.0,9321.0,0
1999-10-14,8589.0,9441.0,9562.0,8589.0,0
1999-10-15,9076.0,8588.0,9411.0,8405.0,0
1999-10-18,8771.0,8404.0,8982.0,8221.0,0
1999-10-19,8893.0,8831.0,9075.0,7857.0,0
1999-10-20,9625.0,9685.0,9929.0,9075.0,0
1999-10-21,9137.0,9868.0,10172.0,8953.0,0
1999-10-22,9502.0,9135.0,9561.0,8952.0,0
1999-10-25,10324.0,9684.0,10535.0,9439.0,0
1999-10-26,11543.0,10476.0,11541.0,10232.0,0
1999-10-27,10417.0,11757.0,12670.0,10356.0,0
1999-10-28,10356.0,10842.0,11147.0,9898.0,0
1999-10-29,11421.0,10963.0,11572.0,10659.0,0
1999-11-01,11574.0,11878.0,12364.0,11268.0,0
1999-11-02,11757.0,11390.0,12488.0,11087.0,0
1999-11-03,11514.0,11757.0,12184.0,11452.0,0
1999-11-04,11696.0,11756.0,12061.0,11300.0,0
1999-11-05,13097.0,11938.0,13096.0,11603.0,0
1999-11-08,13218.0,13948.0,14496.0,13095.0,0
1999-11-09,12061.0,12791.0,13370.0,11633.0,0
1999-11-10,13493.0,12059.0,13492.0,11450.0,0
1999-11-11,14193.0,13917.0,14893.0,13765.0,0
1999-11-12,12945.0,14071.0,15228.0,12517.0,0
1999-11-15,14499.0,14011.0,14499.0,13128.0,0
1999-11-16,14682.0,14498.0,15200.0,13767.0,0
1999-11-17,16417.0,16416.0,16416.0,16416.0,0
1999-11-18,16630.0,16841.0,16994.0,15197.0,0
1999-11-19,17727.0,17300.0,18275.0,16599.0,0
1999-11-22,18154.0,17057.0,19128.0,16753.0,0
1999-11-23,20316.0,18274.0,20315.0,18274.0,0
1999-11-24,22753.0,20102.0,22752.0,19736.0,0
1999-11-25,25464.0,24914.0,25463.0,24245.0,0
1999-11-26,27780.0,28511.0,28511.0,22905.0,0
1999-11-29,28480.0,26804.0,30946.0,25890.0,0
1999-11-30,26378.0,27413.0,29241.0,26073.0,0
1999-12-01,23241.0,24427.0,25524.0,23241.0,0
1999-12-02,20468.0,23269.0,24670.0,20467.0,0
1999-12-03,22906.0,20773.0,22905.0,18763.0,0
1999-12-06,25647.0,24367.0,25647.0,23453.0,0
1999-12-07,27231.0,25829.0,28631.0,24977.0,0
1999-12-08,25891.0,27108.0,28691.0,25585.0,0
1999-12-09,28998.0,25890.0,28998.0,25616.0,0
1999-12-10,31069.0,30824.0,32469.0,30459.0,0
1999-12-13,31374.0,30459.0,34541.0,27414.0,0
1999-12-14,29790.0,28937.0,31373.0,28937.0,0
1999-12-15,26226.0,27291.0,28571.0,26225.0,0
1999-12-16,23088.0,25462.0,27412.0,23087.0,0
1999-12-17,21931.0,24367.0,24367.0,20347.0,0
1999-12-20,24551.0,21930.0,24551.0,20408.0,0
1999-12-21,25891.0,25585.0,27108.0,25280.0,0
1999-12-22,28540.0,27412.0,28935.0,25951.0,0
1999-12-23,26805.0,28541.0,31070.0,25890.0,0
1999-12-24,25220.0,26011.0,26194.0,24366.0,0
1999-12-27,25861.0,25648.0,27109.0,23820.0,0
1999-12-28,23637.0,24427.0,25585.0,22783.0,0
2000-01-04,21185.0,20824.0,23604.0,20824.0,0
2000-01-05,20858.0,21510.0,22491.0,19679.0,0
2000-01-06,21969.0,21576.0,23211.0,19287.0,0
2000-01-07,19354.0,20270.0,20793.0,19354.0,0
2000-01-10,18830.0,20268.0,20528.0,17325.0,0
2000-01-11,20596.0,19614.0,21086.0,19287.0,0
2000-01-12,18438.0,19026.0,19483.0,18143.0,0
2000-01-13,16934.0,17653.0,17783.0,16246.0,0
2000-01-14,15430.0,17717.0,18239.0,15068.0,0
2000-01-17,15887.0,16279.0,16606.0,14317.0,0
2000-01-18,16019.0,15887.0,16476.0,15495.0,0
2000-01-19,14842.0,16410.0,17784.0,14515.0,0
2000-01-20,15300.0,15234.0,15756.0,13109.0,0
2000-01-21,15562.0,15691.0,16477.0,14744.0,0
2000-01-24,17196.0,15658.0,17195.0,15658.0,0
2000-01-25,15822.0,16343.0,17585.0,15754.0,0
2000-01-26,15463.0,16344.0,16541.0,14907.0,0
2000-01-27,14777.0,14842.0,15332.0,13958.0,0
2000-01-28,14777.0,13599.0,15299.0,13599.0,0
2000-01-31,15364.0,14055.0,15918.0,14055.0,0
2000-02-01,17196.0,16246.0,17195.0,15429.0,0
2000-02-02,19255.0,17652.0,19254.0,17521.0,0
2000-02-03,21544.0,20170.0,21543.0,19940.0,0
2000-02-07,24129.0,24128.0,24128.0,24128.0,0
2000-02-08,27002.0,27001.0,27001.0,22692.0,0
2000-02-09,26571.0,27000.0,29407.0,26282.0,0
2000-02-10,23770.0,24415.0,27825.0,23697.0,0
2000-02-11,25494.0,25493.0,26068.0,22979.0,0
2000-02-14,22909.0,24057.0,26211.0,22621.0,0
2000-02-15,20467.0,23698.0,24344.0,20179.0,0
2000-02-16,22191.0,19820.0,22621.0,18815.0,0
2000-02-17,24488.0,22620.0,24773.0,22260.0,0
2000-02-18,25710.0,25493.0,26929.0,25205.0,0
2000-02-21,24488.0,23338.0,26856.0,23158.0,0
2000-02-22,23555.0,25349.0,26498.0,22404.0,0
2000-02-23,21544.0,23409.0,23553.0,20753.0,0
2000-02-24,24129.0,22620.0,24128.0,22404.0,0
2000-02-25,27002.0,25134.0,27001.0,25134.0,0
2000-02-28,25997.0,25852.0,29444.0,25637.0,0
2000-02-29,29085.0,27647.0,29084.0,26068.0,0
2000-03-02,31167.0,32565.0,32565.0,30232.0,0
2000-03-03,27506.0,28798.0,29444.0,27434.0,0
