date,close,open,high,low,volume
1997-11-10,2752.0,2752.0,2752.0,2752.0,7720
1997-11-11,2752.0,2758.0,2758.0,2752.0,2600
1997-11-12,2752.0,2752.0,2752.0,2752.0,5300
1997-11-13,2752.0,2758.0,2758.0,2752.0,3000
1997-11-14,2969.0,2970.0,2970.0,2970.0,10
1997-11-15,2769.0,2769.0,2769.0,2769.0,0
1997-11-17,2752.0,2752.0,2752.0,2752.0,2600
1997-11-18,2752.0,2752.0,2752.0,2752.0,5000
1997-11-19,2752.0,2752.0,2752.0,2752.0,2400
1997-11-20,2752.0,2752.0,2752.0,2752.0,5230
1997-11-21,2752.0,2752.0,2752.0,2752.0,10210
1997-11-22,2752.0,2752.0,2752.0,2752.0,0
1997-11-24,2752.0,2752.0,2752.0,2752.0,27170
1997-11-25,2752.0,2752.0,2752.0,2752.0,44090
1997-11-26,2752.0,2752.0,2752.0,2752.0,21960
1997-11-27,2752.0,2752.0,2752.0,2752.0,500
1997-11-28,2752.0,2752.0,2752.0,2752.0,11900
1997-11-29,2752.0,2752.0,2752.0,2752.0,0
1997-12-01,2752.0,2752.0,2752.0,2752.0,5370
1997-12-02,2752.0,2752.0,2752.0,2752.0,5400
1997-12-03,2752.0,2752.0,2752.0,2752.0,15030
1997-12-04,2752.0,2970.0,2970.0,2752.0,3810
1997-12-05,2969.0,2970.0,2970.0,2752.0,2650
1997-12-06,3205.0,2970.0,3205.0,2970.0,2000
1997-12-08,3457.0,3211.0,3457.0,3211.0,1800
1997-12-09,3182.0,3182.0,3182.0,3182.0,0
1997-12-10,3434.0,3434.0,3434.0,3434.0,100
1997-12-11,3703.0,3704.0,3704.0,3704.0,100
1997-12-12,3703.0,3704.0,3704.0,3704.0,0
1997-12-13,3703.0,3704.0,3704.0,3704.0,0
1997-12-15,3996.0,3996.0,3996.0,3996.0,0
1997-12-16,4185.0,4185.0,4185.0,4185.0,0
1997-12-17,3852.0,3853.0,3853.0,3853.0,0
1997-12-19,3549.0,3549.0,3549.0,3549.0,0
1997-12-20,3325.0,3325.0,3325.0,3325.0,0
1997-12-22,3061.0,3062.0,3062.0,3062.0,0
1997-12-23,2820.0,2821.0,2821.0,2821.0,0
1997-12-24,3044.0,3044.0,3044.0,3044.0,10
1997-12-26,3285.0,3285.0,3285.0,3285.0,10
1997-12-27,3210.0,3211.0,3211.0,3211.0,0
1998-01-03,3464.0,3464.0,3464.0,3464.0,10
1998-01-05,3464.0,3464.0,3464.0,3464.0,10
1998-01-06,3464.0,3464.0,3464.0,3464.0,0
