date,close,open,high,low,volume
1999-12-07,46168.0,46192.0,46192.0,46192.0,3
1999-12-08,51654.0,51647.0,51647.0,51647.0,63
1999-12-09,57846.0,57842.0,57842.0,57842.0,12
1999-12-10,64791.0,64808.0,64808.0,64808.0,24
1999-12-13,72560.0,72557.0,72557.0,72557.0,60
1999-12-14,81200.0,81170.0,81170.0,81170.0,198
1999-12-15,90830.0,90826.0,90826.0,90826.0,180
1999-12-16,101683.0,101680.0,101680.0,101680.0,474
1999-12-17,113761.0,113757.0,113757.0,89571.0,119484
1999-12-20,127369.0,116784.0,127365.0,110058.0,92863
1999-12-21,142224.0,142242.0,142242.0,137004.0,18257
1999-12-22,158705.0,158725.0,158725.0,158725.0,9238
1999-12-23,177257.0,177277.0,177277.0,177277.0,18713
1999-12-24,197857.0,197830.0,197830.0,197830.0,9583
1999-12-27,221212.0,221208.0,221208.0,221208.0,3662
1999-12-28,247321.0,247294.0,247294.0,234256.0,48798
2000-01-04,276868.0,276841.0,276841.0,247290.0,51391
2000-01-05,281671.0,276852.0,309828.0,243876.0,240699
2000-01-06,248004.0,262428.0,308442.0,247998.0,51436
2000-01-07,218481.0,218501.0,218501.0,218501.0,3094
2000-01-10,192371.0,192368.0,225344.0,192368.0,50575
2000-01-11,193737.0,195074.0,208832.0,186854.0,73360
2000-01-12,171065.0,171034.0,171034.0,171034.0,4172
2000-01-13,151147.0,151144.0,151144.0,151144.0,8061
2000-01-14,133278.0,133401.0,156621.0,133278.0,42963
2000-01-17,137398.0,144247.0,144247.0,123663.0,24920
2000-01-18,153902.0,140140.0,153898.0,138082.0,34479
2000-01-19,136033.0,171093.0,171093.0,136053.0,56226
2000-01-20,122283.0,127794.0,130524.0,119796.0,28032
2000-01-21,122707.0,122308.0,134401.0,122308.0,75038
2000-01-24,123672.0,122301.0,137424.0,122301.0,115843
2000-01-25,138081.0,116771.0,138050.0,108800.0,78853
2000-01-26,154585.0,154605.0,154605.0,151155.0,16969
2000-01-27,173137.0,173157.0,173157.0,166281.0,84606
2000-01-28,162142.0,164875.0,173140.0,152505.0,61406
2000-01-31,162825.0,151151.0,167639.0,147029.0,46277
2000-02-01,160753.0,166239.0,177238.0,157995.0,71779
2000-02-02,179988.0,162128.0,179984.0,160739.0,95771
2000-02-03,201294.0,190962.0,201294.0,185496.0,92652
2000-02-07,225332.0,219841.0,225328.0,215023.0,32777
2000-02-08,219846.0,243909.0,252174.0,215745.0,108217
2000-02-09,218481.0,226052.0,232235.0,207500.0,167327
2000-02-10,232207.0,206079.0,244569.0,200592.0,167642
2000-02-11,259705.0,259002.0,259729.0,243906.0,120651
2000-02-14,276185.0,258998.0,287180.0,247325.0,128824
2000-02-15,243201.0,276177.0,279603.0,243174.0,62598
2000-02-16,236327.0,229468.0,250054.0,214345.0,68354
2000-02-17,264508.0,219858.0,264507.0,219858.0,85104
2000-02-18,296103.0,296096.0,296096.0,296096.0,6273
2000-02-21,331135.0,331108.0,331108.0,317401.0,43251
2000-02-22,302295.0,370334.0,370334.0,295436.0,157081
