date,close,open,high,low,volume
1999-08-13,1075.0,1075.0,1075.0,1075.0,2880
1999-08-16,1202.0,1203.0,1203.0,1203.0,5030
1999-08-17,1346.0,1347.0,1347.0,1347.0,583290
1999-08-18,1507.0,1507.0,1507.0,1507.0,1445350
1999-08-19,1686.0,1687.0,1687.0,1687.0,296990
1999-08-20,1887.0,1887.0,1887.0,1887.0,28920
1999-08-23,2112.0,2113.0,2113.0,2113.0,25520
1999-08-24,2363.0,2363.0,2363.0,2363.0,211600
1999-08-25,2547.0,2631.0,2631.0,2363.0,1270040
1999-08-26,2442.0,2459.0,2710.0,2338.0,731270
1999-08-27,2233.0,2318.0,2485.0,2171.0,360710
1999-08-30,2413.0,2238.0,2497.0,2238.0,335880
1999-08-31,2580.0,2418.0,2647.0,2309.0,425100
1999-09-01,2542.0,2581.0,2631.0,2447.0,227810
1999-09-02,2367.0,2505.0,2505.0,2338.0,144090
1999-09-03,2208.0,2192.0,2334.0,2134.0,186320
1999-09-06,2413.0,2230.0,2459.0,2130.0,182690
1999-09-07,2526.0,2547.0,2631.0,2359.0,544360
1999-09-08,2401.0,2526.0,2672.0,2380.0,210890
1999-09-09,2438.0,2297.0,2464.0,2263.0,126700
1999-09-10,2396.0,2380.0,2459.0,2363.0,139600
1999-09-13,2401.0,2380.0,2443.0,2276.0,170950
1999-09-14,2275.0,2384.0,2384.0,2255.0,139760
1999-09-15,2363.0,2280.0,2380.0,2192.0,167330
1999-09-16,2380.0,2326.0,2422.0,2280.0,85190
1999-09-17,2371.0,2297.0,2372.0,2263.0,63330
1999-09-20,2359.0,2372.0,2388.0,2330.0,112650
1999-09-21,2254.0,2359.0,2359.0,2234.0,158780
1999-09-22,2208.0,2255.0,2255.0,2155.0,100190
1999-09-27,2150.0,2380.0,2380.0,2109.0,43130
1999-09-28,2171.0,2130.0,2297.0,2130.0,146040
1999-09-29,2087.0,2130.0,2134.0,2029.0,96090
1999-09-30,2108.0,2046.0,2171.0,1996.0,115660
1999-10-01,1920.0,2004.0,2029.0,1858.0,82480
1999-10-04,1691.0,1879.0,1883.0,1691.0,127100
1999-10-05,1849.0,1716.0,1894.0,1691.0,257980
1999-10-06,1879.0,1733.0,1904.0,1733.0,126840
1999-10-07,1941.0,1877.0,1942.0,1837.0,117650
1999-10-08,1920.0,1942.0,1971.0,1900.0,83550
1999-10-11,2121.0,1879.0,2130.0,1879.0,148870
1999-10-12,2371.0,2130.0,2372.0,2130.0,428540
1999-10-13,2655.0,2414.0,2656.0,2267.0,718520
1999-10-14,2630.0,2835.0,2923.0,2359.0,956390
1999-10-15,2839.0,2556.0,2910.0,2547.0,809910
1999-10-18,3177.0,2714.0,3178.0,2672.0,1063100
1999-10-19,3215.0,3215.0,3512.0,3057.0,1255740
1999-10-20,3340.0,3332.0,3445.0,3240.0,551400
1999-10-21,3741.0,3378.0,3741.0,3282.0,941440
1999-10-22,4175.0,3716.0,4176.0,3675.0,690060
1999-10-25,4676.0,4593.0,4677.0,4447.0,367160
1999-10-26,5219.0,5220.0,5220.0,4927.0,351460
1999-10-27,5219.0,5846.0,5846.0,5073.0,264020
1999-10-28,5845.0,5428.0,5846.0,5115.0,1666520
1999-10-29,6534.0,6535.0,6535.0,6180.0,1251270
1999-11-01,6618.0,6535.0,7036.0,6096.0,2132530
1999-11-02,6430.0,6326.0,6765.0,6326.0,975680
1999-11-03,7077.0,6556.0,7182.0,6556.0,1490430
1999-11-04,7349.0,7182.0,7600.0,6973.0,1444840
1999-11-05,7286.0,7203.0,7454.0,7057.0,983340
1999-11-08,8142.0,7495.0,8143.0,7391.0,952800
1999-11-09,9102.0,8769.0,9103.0,8184.0,1336160
1999-11-10,10188.0,9980.0,10189.0,9604.0,636840
1999-11-11,10188.0,10189.0,10189.0,10189.0,0
1999-11-12,10188.0,10189.0,10189.0,10189.0,0
1999-11-15,11399.0,11400.0,11400.0,10899.0,1243735
1999-11-16,12756.0,12757.0,12757.0,12318.0,852648
1999-11-17,13884.0,14281.0,14281.0,12109.0,3520879
1999-11-18,12360.0,12256.0,13487.0,12235.0,1805135
1999-11-19,13842.0,13842.0,13842.0,13487.0,643703
1999-11-22,15491.0,15492.0,15492.0,15492.0,162263
1999-11-23,17349.0,17350.0,17350.0,17350.0,35484
1999-11-24,19416.0,18791.0,19417.0,17413.0,1084138
1999-11-25,21713.0,21714.0,21714.0,21714.0,38493
1999-11-26,24302.0,24302.0,24302.0,22632.0,1010209
1999-11-29,27183.0,27184.0,27184.0,25764.0,410501
1999-11-30,30440.0,30441.0,30441.0,30441.0,33505
1999-12-01,34073.0,34074.0,34074.0,34074.0,43325
1999-12-02,38123.0,38124.0,38124.0,35493.0,1161996
1999-12-03,39251.0,34032.0,42592.0,33990.0,1665786
1999-12-06,43844.0,39669.0,43845.0,36788.0,1306131
1999-12-07,49064.0,49064.0,49064.0,44262.0,403255
1999-12-08,54910.0,54910.0,54910.0,52614.0,239065
1999-12-09,61382.0,61382.0,61382.0,61382.0,34042
1999-12-10,68689.0,68690.0,68690.0,68690.0,37253
1999-12-13,76832.0,76832.0,76832.0,70986.0,700072
1999-12-14,86018.0,86019.0,86019.0,81426.0,416509
1999-12-15,85601.0,79338.0,96249.0,78085.0,801486
1999-12-16,75370.0,77250.0,83514.0,75371.0,451649
1999-12-17,66393.0,66393.0,66393.0,66393.0,50368
1999-12-20,61800.0,58459.0,64723.0,58459.0,2117528
1999-12-21,69107.0,65141.0,69107.0,64723.0,1076357
1999-12-22,77250.0,71404.0,77250.0,70986.0,739925
1999-12-23,86500.0,86500.0,86500.0,86500.0,26552
1999-12-24,96750.0,86750.0,96750.0,83500.0,568893
