date,close,open,high,low,volume
2000-12-26,1350.0,1350.0,1350.0,1350.0,238852
2001-01-02,1510.0,1510.0,1510.0,1330.0,1697530
2001-01-03,1520.0,1530.0,1660.0,1420.0,2299733
2001-01-04,1700.0,1630.0,1700.0,1610.0,618017
2001-01-05,1900.0,1900.0,1900.0,1750.0,1355764
2001-01-08,1910.0,1900.0,2110.0,1800.0,1734980
2001-01-09,2130.0,1980.0,2130.0,1960.0,1300997
2001-01-10,1940.0,2350.0,2380.0,1890.0,1750804
2001-01-11,2140.0,2010.0,2140.0,1800.0,1055348
2001-01-12,2120.0,2220.0,2290.0,2100.0,1108823
2001-01-15,2370.0,2300.0,2370.0,2200.0,1114256
2001-01-16,2500.0,2450.0,2600.0,2210.0,1414644
2001-01-17,2800.0,2550.0,2800.0,2550.0,1000587
2001-01-18,3130.0,3090.0,3130.0,2950.0,189031
2001-01-19,3500.0,3500.0,3500.0,3430.0,119555
2001-01-22,3920.0,3600.0,3920.0,3290.0,1565508
2001-01-26,4390.0,4110.0,4390.0,4000.0,621966
2001-01-29,4910.0,4610.0,4910.0,4600.0,55408
2001-01-30,5490.0,5490.0,5490.0,5300.0,125279
2001-01-31,6140.0,5800.0,6140.0,4840.0,603008
2001-02-01,5410.0,6140.0,6200.0,5410.0,1809624
2001-02-02,4770.0,4770.0,5150.0,4770.0,677179
2001-02-05,4200.0,4200.0,4300.0,4200.0,149504
2001-02-06,4320.0,4250.0,4590.0,4070.0,1760212
2001-02-07,3820.0,4030.0,4420.0,3810.0,1127617
2001-02-08,4270.0,3950.0,4270.0,3820.0,2581670
2001-02-09,4050.0,4000.0,4440.0,4000.0,1173468
2001-02-12,3890.0,4050.0,4080.0,3830.0,737204
2001-02-13,4240.0,3980.0,4340.0,3960.0,1270380
2001-02-14,4350.0,4240.0,4680.0,4100.0,1353555
2001-02-15,4200.0,4350.0,4440.0,4150.0,541401
2001-02-16,3910.0,4200.0,4210.0,3850.0,516743
2001-02-19,4370.0,3820.0,4370.0,3790.0,741626
2001-02-20,4200.0,4670.0,4730.0,4070.0,1139175
2001-02-21,4080.0,4030.0,4140.0,4000.0,336568
2001-02-22,3600.0,4000.0,4100.0,3600.0,319270
2001-02-23,3490.0,3490.0,3700.0,3230.0,195713
2001-02-26,3900.0,3580.0,3900.0,3580.0,364801
2001-02-27,3520.0,3950.0,3960.0,3510.0,311576
2001-02-28,3600.0,3320.0,3700.0,3300.0,119287
2001-03-02,3200.0,3630.0,3630.0,3200.0,135667
2001-03-05,3250.0,2940.0,3480.0,2940.0,213220
2001-03-06,3250.0,3250.0,3530.0,3240.0,289859
2001-03-07,3400.0,3310.0,3480.0,3310.0,182598
2001-03-08,3520.0,3520.0,3680.0,3380.0,377827
2001-03-09,3440.0,3530.0,3550.0,3400.0,181189
2001-03-12,3050.0,3300.0,3350.0,3030.0,162003
2001-03-13,2760.0,2760.0,2940.0,2720.0,117303
2001-03-14,2950.0,3010.0,3010.0,2870.0,102297
2001-03-15,2900.0,2700.0,2900.0,2660.0,164318
2001-03-16,2900.0,2930.0,3030.0,2800.0,149080
2001-03-19,2940.0,2850.0,3020.0,2800.0,143820
2001-03-20,3290.0,3100.0,3290.0,3080.0,195440
2001-03-21,3680.0,3410.0,3680.0,3360.0,452112
2001-03-22,3980.0,3810.0,4060.0,3800.0,763173
2001-03-23,4060.0,3930.0,4100.0,3800.0,370536
2001-03-26,4060.0,4110.0,4340.0,3800.0,475481
2001-03-27,4130.0,4020.0,4540.0,4000.0,796748
2001-03-28,4080.0,4160.0,4450.0,3920.0,486440
2001-03-29,3760.0,4020.0,4110.0,3720.0,190250
2001-03-30,3340.0,3610.0,3770.0,3310.0,909683
2001-04-02,3280.0,3310.0,3430.0,3020.0,356024
2001-04-03,3670.0,3210.0,3670.0,3210.0,256247
2001-04-04,3240.0,3760.0,3920.0,3230.0,1147151
2001-04-06,3620.0,3400.0,3620.0,3250.0,347593
2001-04-09,3640.0,3810.0,4050.0,3580.0,1247950
2001-04-10,3900.0,3670.0,4070.0,3670.0,1404284
2001-04-11,3930.0,4050.0,4150.0,3850.0,885608
2001-04-12,4400.0,4070.0,4400.0,3860.0,1171118
