date,close,open,high,low,volume
2000-01-18,2161.0,2161.0,2161.0,2161.0,1420
2000-01-19,2417.0,2417.0,2417.0,2417.0,1210
2000-01-20,2707.0,2706.0,2706.0,2127.0,2376330
2000-01-21,3032.0,2851.0,3031.0,2720.0,918220
2000-01-24,3392.0,3071.0,3392.0,3071.0,249820
2000-01-25,3795.0,3795.0,3795.0,3514.0,372910
2000-01-26,3343.0,3971.0,4207.0,3343.0,1161000
2000-01-27,2944.0,2944.0,2944.0,2944.0,59170
2000-01-28,2593.0,2593.0,2698.0,2593.0,1655240
2000-01-31,2518.0,2540.0,2803.0,2412.0,1285440
2000-02-01,2540.0,2676.0,2676.0,2426.0,732090
2000-02-02,2654.0,2566.0,2838.0,2500.0,855870
2000-02-03,2632.0,2719.0,2737.0,2548.0,837080
2000-02-07,2948.0,2759.0,2948.0,2720.0,712680
2000-02-08,2755.0,2970.0,3075.0,2637.0,679470
2000-02-09,2808.0,2759.0,2874.0,2676.0,577720
2000-02-10,3141.0,2720.0,3141.0,2632.0,821460
2000-02-11,3514.0,3514.0,3514.0,3514.0,357330
2000-02-14,3935.0,3935.0,3935.0,3290.0,856000
2000-02-15,3466.0,3913.0,3988.0,3466.0,659390
2000-02-16,3510.0,3422.0,3637.0,3075.0,497670
2000-02-17,3931.0,3387.0,3931.0,3387.0,618210
2000-02-18,4387.0,3975.0,4387.0,3953.0,651660
2000-02-21,4914.0,4251.0,4914.0,4005.0,553020
2000-02-22,4914.0,5440.0,5484.0,4387.0,699600
2000-02-23,4738.0,4738.0,5220.0,4343.0,493600
2000-02-24,5287.0,4958.0,5287.0,4826.0,260640
2000-02-25,5901.0,5901.0,5901.0,5703.0,125470
2000-02-28,5748.0,5703.0,6537.0,5550.0,921660
2000-02-29,6427.0,5747.0,6427.0,5440.0,1199800
2000-03-02,7195.0,7019.0,7195.0,6581.0,824670
2000-03-03,6362.0,6624.0,7239.0,6339.0,812770
2000-03-06,5616.0,6581.0,6669.0,5616.0,416350
2000-03-07,5265.0,5089.0,5660.0,4958.0,387300
2000-03-08,5879.0,4958.0,5879.0,4958.0,418650
2000-03-09,6581.0,6274.0,6581.0,6054.0,578010
2000-03-10,6230.0,6932.0,6932.0,6054.0,831120
2000-03-13,6010.0,6054.0,6581.0,5703.0,353830
2000-03-14,5572.0,5703.0,5879.0,5308.0,301190
2000-03-15,6230.0,5440.0,6230.0,5264.0,671410
2000-03-16,6142.0,5747.0,6230.0,5572.0,324780
2000-03-17,5418.0,6273.0,6318.0,5418.0,181550
2000-03-20,4783.0,4783.0,5045.0,4783.0,140130
2000-03-21,4387.0,4212.0,4519.0,4212.0,221080
2000-03-22,4826.0,4387.0,4914.0,4387.0,210250
2000-03-23,4387.0,4826.0,5133.0,4255.0,492370
2000-03-24,4914.0,4431.0,4914.0,4277.0,245960
2000-03-27,5484.0,5220.0,5483.0,4935.0,277960
2000-03-28,5616.0,5089.0,6142.0,5089.0,746330
2000-03-29,4957.0,5352.0,5615.0,4957.0,158550
2000-03-30,4672.0,4519.0,4826.0,4431.0,129110
2000-03-31,4607.0,4387.0,5001.0,4387.0,143020
2000-04-03,4124.0,4650.0,4913.0,4058.0,147940
2000-04-04,3856.0,3729.0,3948.0,3632.0,147350
2000-04-06,3817.0,3904.0,4058.0,3772.0,82270
2000-04-07,4256.0,3865.0,4255.0,3865.0,143410
2000-04-10,4716.0,4606.0,4716.0,4387.0,236730
2000-04-11,4168.0,4255.0,4299.0,4168.0,89300
2000-04-12,4058.0,3729.0,4124.0,3729.0,83240
2000-04-14,3795.0,3685.0,3992.0,3685.0,63940
2000-04-17,3343.0,3343.0,3343.0,3343.0,33570
2000-04-18,3290.0,3510.0,3685.0,2961.0,208290
2000-04-19,3554.0,3593.0,3593.0,3422.0,117430
2000-04-20,3979.0,3597.0,3979.0,3597.0,195930
2000-04-21,4256.0,4080.0,4334.0,3865.0,166470
2000-04-24,3861.0,4255.0,4255.0,3777.0,99060
2000-04-25,3681.0,3611.0,3861.0,3510.0,313500
2000-04-26,3422.0,3795.0,3993.0,3242.0,257020
2000-04-27,3330.0,3422.0,3598.0,3246.0,143780
2000-04-28,3374.0,3312.0,3457.0,3290.0,122370
2000-05-02,3462.0,3339.0,3725.0,3334.0,475620
2000-05-03,3378.0,3426.0,3461.0,3334.0,183550
2000-05-04,3510.0,3343.0,3619.0,3343.0,296200
2000-05-08,3931.0,3672.0,3931.0,3624.0,670410
2000-05-09,3821.0,3891.0,4080.0,3619.0,599800
2000-05-10,4278.0,3953.0,4278.0,3948.0,373510
2000-05-12,4783.0,4783.0,4783.0,4607.0,810820
2000-05-15,5287.0,5199.0,5352.0,4431.0,2039820
2000-05-16,4672.0,5264.0,5264.0,4672.0,883620
2000-05-17,4826.0,4431.0,5221.0,4431.0,2133470
2000-05-18,4256.0,4497.0,4694.0,4255.0,831940
2000-05-19,3747.0,3817.0,3992.0,3746.0,375110
2000-05-22,3299.0,3303.0,3637.0,3299.0,446190
2000-05-23,2904.0,2943.0,3071.0,2904.0,550810
2000-05-24,2558.0,2602.0,2720.0,2558.0,405580
2000-05-25,2861.0,2781.0,2861.0,2698.0,122410
2000-05-26,2961.0,3203.0,3203.0,2637.0,974410
2000-05-29,2983.0,2807.0,3180.0,2719.0,482240
2000-05-30,3339.0,3071.0,3339.0,3071.0,601580
2000-05-31,3554.0,3589.0,3685.0,3466.0,690960
2000-06-01,3247.0,3422.0,3532.0,3159.0,482500
2000-06-02,3378.0,3422.0,3553.0,3259.0,634350
2000-06-05,3457.0,3422.0,3636.0,3391.0,557920
2000-06-07,3356.0,3334.0,3509.0,3281.0,680770
2000-06-08,3426.0,3290.0,3685.0,3207.0,845620
2000-06-09,3343.0,3334.0,3483.0,3273.0,271810
2000-06-12,3378.0,3422.0,3506.0,3294.0,230420
2000-06-13,3181.0,3378.0,3400.0,3075.0,261350
2000-06-14,3247.0,3246.0,3378.0,3119.0,248940
2000-06-15,2896.0,3334.0,3334.0,2860.0,246320
2000-06-16,2927.0,2654.0,2983.0,2654.0,177510
2000-06-19,2939.0,2939.0,2974.0,2895.0,105520
