date,close,open,high,low,volume
2000-05-04,4354.0,4352.0,4352.0,4352.0,44
2000-05-08,4872.0,4870.0,4870.0,4870.0,29
2000-05-09,5455.0,5453.0,5453.0,5453.0,7
2000-05-10,6103.0,6100.0,6100.0,6100.0,240
2000-05-12,6834.0,6831.0,6831.0,6831.0,891
2000-05-15,7647.0,7645.0,7645.0,7645.0,1230
2000-05-16,8555.0,8551.0,8551.0,8551.0,11366
2000-05-17,9579.0,9575.0,9575.0,9575.0,3292
2000-05-18,10486.0,10720.0,10720.0,9541.0,7856765
2000-05-19,9237.0,10012.0,10012.0,9236.0,1724581
2000-05-22,8130.0,8128.0,8128.0,8128.0,130312
2000-05-23,7163.0,7161.0,7161.0,7161.0,21312
2000-05-24,8012.0,6313.0,8011.0,6313.0,9152631
2000-05-25,8967.0,8599.0,8964.0,8422.0,926722
2000-05-26,7894.0,9411.0,10036.0,7891.0,7531699
2000-05-29,6952.0,7009.0,8069.0,6950.0,3440526
2000-05-30,6893.0,7069.0,7292.0,6278.0,4106977
2000-05-31,7718.0,7279.0,7715.0,7245.0,1929950
2000-06-01,7600.0,7538.0,8588.0,7326.0,4822563
2000-06-02,7705.0,7905.0,8341.0,7421.0,3869104
2000-06-05,8625.0,8364.0,8623.0,8245.0,1115901
2000-06-07,8684.0,9387.0,9588.0,8374.0,3863166
2000-06-08,7647.0,8245.0,8588.0,7645.0,2469966
2000-06-09,7658.0,7408.0,8057.0,6948.0,1739335
2000-06-12,7364.0,7798.0,8174.0,7220.0,1733781
2000-06-13,6834.0,6901.0,7278.0,6595.0,1473443
2000-06-14,7069.0,7069.0,7468.0,6656.0,1665391
2000-06-15,6221.0,7185.0,7232.0,6218.0,870070
2000-06-16,6010.0,6007.0,6420.0,5690.0,1529172
2000-06-19,5773.0,6101.0,6349.0,5724.0,1124441
2000-06-20,5903.0,5890.0,6125.0,5689.0,1743501
2000-06-21,6609.0,6125.0,6608.0,6030.0,1162072
2000-06-22,6775.0,6961.0,7267.0,6490.0,4367660
2000-06-23,6763.0,6420.0,7032.0,6302.0,2388963
2000-06-26,6598.0,6655.0,6796.0,6549.0,1330792
2000-06-27,6551.0,6654.0,7008.0,6371.0,1569004
2000-06-28,6409.0,6549.0,6866.0,6359.0,2326999
2000-06-29,6364.0,6489.0,6595.0,6019.0,1711910
2000-06-30,5973.0,6254.0,6290.0,5890.0,799811
2000-07-03,6033.0,5890.0,6160.0,5853.0,723139
2000-07-04,5856.0,5960.0,6078.0,5713.0,629238
2000-07-05,5155.0,5830.0,5830.0,5152.0,716977
2000-07-06,4584.0,4723.0,4923.0,4535.0,795084
2000-07-07,5131.0,4593.0,5129.0,4498.0,2108251
2000-07-10,5067.0,5182.0,5336.0,4863.0,1813894
2000-07-11,4477.0,4875.0,4946.0,4457.0,912743
2000-07-12,4630.0,4946.0,4946.0,4510.0,1106023
2000-07-13,4371.0,4474.0,4710.0,4322.0,657818
2000-07-14,4260.0,4427.0,4452.0,4181.0,658773
2000-07-18,4513.0,4297.0,4763.0,4256.0,2445558
2000-07-19,3977.0,4510.0,4557.0,3974.0,929802
2000-07-20,4017.0,3876.0,4169.0,3498.0,1256504
2000-07-21,3629.0,3828.0,4063.0,3627.0,696563
2000-07-24,3199.0,3485.0,3527.0,3198.0,607832
2000-07-25,3181.0,2954.0,3297.0,2901.0,1091248
2000-07-26,3252.0,3179.0,3509.0,3038.0,1700701
2000-07-27,3640.0,3190.0,3638.0,3132.0,1881198
2000-07-28,3417.0,3638.0,3991.0,3415.0,2867288
2000-07-31,3335.0,3480.0,3592.0,3320.0,1049126
2000-08-01,3652.0,3360.0,3709.0,3330.0,1653908
2000-08-02,3770.0,3556.0,3944.0,3479.0,2237613
2000-08-03,4218.0,3767.0,4215.0,3767.0,1902882
2000-08-04,3947.0,4310.0,4368.0,3838.0,1693696
2000-08-07,3712.0,3921.0,4051.0,3651.0,937791
2000-08-08,3523.0,3709.0,3838.0,3497.0,1123312
2000-08-09,3558.0,3521.0,3639.0,3461.0,858118
2000-08-10,3481.0,3556.0,3598.0,3450.0,488334
2000-08-11,3317.0,3356.0,3509.0,3297.0,674569
2000-08-14,3394.0,3415.0,3581.0,3380.0,1133080
2000-08-16,3440.0,3527.0,3562.0,3392.0,499441
2000-08-17,3582.0,3451.0,3733.0,3451.0,1258062
2000-08-18,3741.0,3545.0,4005.0,3509.0,4368620
2000-08-21,3358.0,3779.0,3845.0,3320.0,1806509
2000-08-22,3394.0,3392.0,3485.0,3344.0,846953
2000-08-23,3558.0,3415.0,3768.0,3415.0,2124438
2000-08-24,3417.0,3556.0,3709.0,3391.0,724721
2000-08-25,3476.0,3303.0,3473.0,3085.0,681060
2000-08-28,3747.0,3531.0,3804.0,3415.0,1269184
2000-08-29,3699.0,3804.0,3940.0,3651.0,993704
2000-08-30,3640.0,3732.0,3762.0,3602.0,504679
2000-08-31,3440.0,3556.0,3644.0,3297.0,459190
2000-09-01,3476.0,3356.0,3473.0,3356.0,451963
2000-09-04,3394.0,3332.0,3457.0,3332.0,305880
2000-09-05,3340.0,3392.0,3439.0,3315.0,256984
2000-09-06,3305.0,3251.0,3369.0,3251.0,223819
2000-09-07,3051.0,3249.0,3249.0,2983.0,359178
2000-09-08,3122.0,3050.0,3120.0,2961.0,228840
2000-09-14,3058.0,2979.0,3085.0,2837.0,282777
2000-09-15,2946.0,3063.0,3240.0,2933.0,273308
2000-09-18,2592.0,2707.0,2707.0,2588.0,153157
2000-09-19,2286.0,2284.0,2461.0,2284.0,432350
2000-09-20,2168.0,2296.0,2407.0,2118.0,532057
2000-09-21,1909.0,2176.0,2200.0,1906.0,704908
2000-09-22,1686.0,1684.0,1789.0,1684.0,227910
2000-09-25,1674.0,1524.0,1764.0,1488.0,1566322
2000-09-26,1873.0,1647.0,1871.0,1599.0,1102401
2000-09-27,2050.0,1901.0,2096.0,1848.0,1205103
2000-09-28,2004.0,2048.0,2143.0,1925.0,1193569
2000-09-29,2103.0,2083.0,2195.0,2018.0,1170885
2000-10-02,2026.0,2037.0,2066.0,1942.0,787113
2000-10-04,2014.0,1918.0,2118.0,1884.0,1112681
2000-10-05,2256.0,2060.0,2255.0,2037.0,2128319
2000-10-06,2221.0,2260.0,2348.0,2137.0,1303361
2000-10-09,2310.0,2232.0,2473.0,2143.0,1841459
2000-10-10,2263.0,2307.0,2389.0,2142.0,849957
2000-10-11,1991.0,2177.0,2201.0,1989.0,586113
2000-10-12,1909.0,1894.0,1976.0,1794.0,600813
2000-10-13,1715.0,1772.0,1772.0,1682.0,519039
2000-10-16,1915.0,1831.0,1913.0,1831.0,478951
2000-10-17,1697.0,1861.0,1888.0,1684.0,416064
2000-10-18,1644.0,1612.0,1765.0,1530.0,307716
2000-10-19,1715.0,1599.0,1734.0,1589.0,294338
2000-10-20,1768.0,1776.0,1823.0,1735.0,369228
2000-10-23,1585.0,1670.0,1741.0,1558.0,432247
2000-10-24,1614.0,1547.0,1688.0,1547.0,377647
2000-10-25,1632.0,1589.0,1659.0,1577.0,380408
2000-10-26,1567.0,1565.0,1642.0,1541.0,312778
2000-10-27,1544.0,1613.0,1624.0,1536.0,294268
2000-10-30,1508.0,1500.0,1707.0,1459.0,1378227
