date,close,open,high,low,volume
2000-04-27,6604.0,6603.0,6603.0,6603.0,36
2000-04-28,7386.0,7386.0,7386.0,7386.0,58
2000-05-02,8271.0,8271.0,8271.0,8271.0,175
2000-05-03,9258.0,9257.0,9257.0,9257.0,845
2000-05-04,10361.0,10360.0,10360.0,10360.0,4990
2000-05-08,11592.0,11592.0,11592.0,11592.0,21167
2000-05-09,12977.0,12977.0,12977.0,12207.0,2246152
2000-05-10,12977.0,12336.0,14515.0,12336.0,3060613
2000-05-12,12515.0,12976.0,13822.0,12309.0,2141133
2000-05-15,11015.0,12515.0,12745.0,11014.0,617472
2000-05-16,11849.0,10258.0,12284.0,9707.0,2411571
2000-05-17,10438.0,11078.0,12027.0,10437.0,1008692
2000-05-18,9194.0,9193.0,9488.0,9193.0,88938
2000-05-19,8207.0,8091.0,8335.0,8091.0,921365
2000-05-22,7232.0,8322.0,8668.0,7232.0,1126951
2000-05-23,7386.0,7078.0,7924.0,6385.0,1465835
2000-05-24,8271.0,7565.0,8271.0,6796.0,3218690
2000-05-25,9258.0,8847.0,9257.0,8565.0,1656726
2000-05-26,8155.0,8950.0,9360.0,8154.0,1650843
2000-05-29,7181.0,7180.0,7334.0,7180.0,646668
2000-05-30,7053.0,7014.0,7386.0,6334.0,2414343
2000-05-31,7899.0,7488.0,7898.0,7333.0,1674959
2000-06-01,7258.0,7668.0,8129.0,7052.0,2314187
2000-06-02,6950.0,7565.0,7668.0,6693.0,2054787
2000-06-05,7784.0,7411.0,7783.0,7244.0,1537774
2000-06-07,7463.0,8155.0,8565.0,7373.0,2144097
2000-06-08,6873.0,7591.0,7693.0,6590.0,1433732
2000-06-09,7168.0,6719.0,7257.0,6488.0,891416
2000-06-12,7027.0,7129.0,7488.0,6744.0,781568
2000-06-13,6488.0,6796.0,7052.0,6334.0,637670
2000-06-14,6719.0,6616.0,6923.0,6411.0,743140
2000-06-15,5924.0,6539.0,6629.0,5924.0,498223
2000-06-16,5642.0,5487.0,6013.0,5256.0,1176598
2000-06-19,6309.0,5488.0,6308.0,5411.0,1686869
2000-06-20,6104.0,6436.0,6641.0,6013.0,1248735
2000-06-21,6591.0,6154.0,6642.0,6013.0,1023496
