date,close,open,high,low,volume
2002-03-12,2000.0,2000.0,2000.0,2000.0,432
2002-03-13,2240.0,2240.0,2240.0,2240.0,411
2002-03-14,2505.0,2505.0,2505.0,2505.0,1147
2002-03-15,2805.0,2805.0,2805.0,2805.0,8715
2002-03-18,3140.0,3140.0,3140.0,3140.0,76749
2002-03-19,3515.0,3515.0,3515.0,3210.0,255674
2002-03-20,3280.0,3550.0,3850.0,3150.0,218349
2002-03-21,3100.0,3140.0,3280.0,2920.0,141418
2002-03-22,3470.0,3155.0,3470.0,3010.0,209272
2002-03-25,3885.0,3520.0,3885.0,3500.0,194924
2002-03-26,4350.0,4090.0,4350.0,3950.0,143805
2002-03-27,4870.0,4800.0,4870.0,4700.0,19584
2002-03-28,4290.0,5450.0,5450.0,4290.0,272556
2002-03-29,4500.0,4460.0,4620.0,3930.0,195745
2002-04-01,4300.0,4700.0,4780.0,4100.0,96581
2002-04-02,3980.0,3950.0,4300.0,3950.0,85071
2002-04-03,3900.0,3810.0,4230.0,3780.0,113185
2002-04-04,3745.0,3750.0,3950.0,3675.0,87737
2002-04-08,3580.0,3800.0,3845.0,3560.0,65904
2002-04-09,4005.0,3560.0,4005.0,3560.0,183748
2002-04-10,3530.0,4110.0,4130.0,3525.0,128988
2002-04-11,3550.0,3530.0,3720.0,3460.0,70103
2002-04-12,3140.0,3300.0,3330.0,3135.0,111536
2002-04-15,3100.0,3140.0,3260.0,3020.0,80780
2002-04-16,3140.0,3130.0,3180.0,3060.0,68474
2002-04-17,3080.0,3170.0,3330.0,3070.0,87753
2002-04-18,3010.0,3100.0,3130.0,2900.0,56522
2002-04-19,2900.0,3040.0,3070.0,2900.0,41796
2002-04-22,2555.0,2820.0,2900.0,2555.0,66581
2002-04-23,2520.0,2310.0,2520.0,2250.0,80616
2002-04-24,2450.0,2450.0,2790.0,2450.0,83919
2002-04-25,2330.0,2450.0,2500.0,2270.0,60379
2002-04-26,2370.0,2380.0,2420.0,2310.0,41704
2002-04-29,2200.0,2270.0,2390.0,2200.0,57921
2002-04-30,2170.0,2150.0,2290.0,2110.0,48232
2002-05-02,2380.0,2240.0,2390.0,2215.0,65776
2002-05-03,2270.0,2285.0,2345.0,2235.0,35427
2002-05-06,2255.0,2220.0,2320.0,2180.0,41807
2002-05-07,2400.0,2200.0,2525.0,2200.0,189817
2002-05-08,2390.0,2410.0,2485.0,2370.0,88903
2002-05-09,2280.0,2480.0,2490.0,2265.0,55507
2002-05-10,2210.0,2250.0,2380.0,2180.0,72353
2002-05-13,2175.0,2160.0,2250.0,2160.0,54652
2002-05-14,2195.0,2250.0,2310.0,2190.0,77792
2002-05-15,2170.0,2210.0,2260.0,2170.0,69159
2002-05-16,2180.0,2170.0,2230.0,2170.0,46377
2002-05-17,2250.0,2220.0,2270.0,2190.0,58240
2002-05-20,2520.0,2270.0,2520.0,2270.0,328070
2002-05-21,2610.0,2525.0,2815.0,2460.0,308425
2002-05-22,2610.0,2600.0,2770.0,2550.0,125788
2002-05-23,2710.0,2700.0,2860.0,2570.0,242319
2002-05-24,2385.0,2720.0,2790.0,2385.0,157097
2002-05-27,2210.0,2385.0,2420.0,2150.0,114034
2002-05-28,2060.0,2230.0,2255.0,1950.0,94597
2002-05-29,1970.0,2080.0,2080.0,1950.0,72161
2002-05-30,1840.0,1900.0,2000.0,1770.0,73200
2002-05-31,1740.0,1850.0,1880.0,1735.0,62523
2002-06-03,1785.0,1750.0,1785.0,1680.0,71132
2002-06-04,1720.0,1750.0,1750.0,1680.0,57126
2002-06-05,1830.0,1760.0,1910.0,1760.0,127041
2002-06-07,1685.0,1800.0,1800.0,1685.0,64880
2002-06-10,1745.0,1720.0,1755.0,1685.0,56087
2002-06-11,1780.0,1750.0,1905.0,1740.0,191511
2002-06-12,1735.0,1750.0,1765.0,1710.0,114378
2002-06-14,1715.0,1710.0,1790.0,1705.0,147374
2002-06-17,1680.0,1735.0,1760.0,1680.0,137832
2002-06-18,1680.0,1710.0,1740.0,1675.0,113124
2002-06-19,1480.0,1680.0,1690.0,1480.0,149818
2002-06-20,1495.0,1405.0,1500.0,1315.0,163421
2002-06-21,1485.0,1510.0,1580.0,1440.0,265683
2002-06-24,1350.0,1410.0,1450.0,1310.0,128955
2002-06-25,1200.0,1360.0,1380.0,1190.0,109701
2002-06-26,1060.0,1150.0,1150.0,1060.0,76895
2002-06-27,1090.0,1070.0,1120.0,1015.0,96342
2002-06-28,1180.0,1110.0,1220.0,1110.0,181666
2002-07-02,1220.0,1100.0,1260.0,1080.0,153728
2002-07-03,1265.0,1190.0,1275.0,1120.0,86319
2002-07-04,1270.0,1300.0,1330.0,1265.0,97511
2002-07-05,1245.0,1255.0,1295.0,1225.0,170317
2002-07-08,1270.0,1280.0,1330.0,1245.0,184481
2002-07-09,1420.0,1270.0,1420.0,1270.0,196954
2002-07-10,1460.0,1450.0,1550.0,1425.0,319846
2002-07-11,1500.0,1460.0,1530.0,1380.0,179076
2002-07-12,1505.0,1550.0,1580.0,1470.0,135448
2002-07-15,1420.0,1495.0,1510.0,1415.0,89266
2002-07-16,1335.0,1435.0,1450.0,1300.0,89573
2002-07-18,1350.0,1340.0,1390.0,1330.0,54730
2002-07-19,1255.0,1330.0,1330.0,1205.0,54660
2002-07-22,1110.0,1150.0,1175.0,1110.0,55131
2002-07-23,1230.0,1070.0,1235.0,1070.0,75529
2002-07-24,1210.0,1200.0,1210.0,1150.0,43861
2002-07-25,1240.0,1290.0,1290.0,1235.0,72170
2002-07-26,1185.0,1210.0,1240.0,1140.0,42358
2002-07-29,1220.0,1200.0,1315.0,1195.0,90655
2002-07-30,1260.0,1270.0,1285.0,1240.0,46153
2002-07-31,1210.0,1260.0,1260.0,1210.0,33285
2002-08-01,1180.0,1190.0,1230.0,1160.0,34992
2002-08-02,1150.0,1140.0,1185.0,1140.0,20778
2002-08-05,1080.0,1110.0,1135.0,1080.0,26618
2002-08-06,1085.0,1060.0,1085.0,1025.0,31889
2002-08-07,1145.0,1120.0,1185.0,1120.0,36391
2002-08-08,1135.0,1120.0,1170.0,1120.0,18115
2002-08-09,1120.0,1150.0,1175.0,1120.0,31693
2002-08-12,1125.0,1125.0,1150.0,1125.0,24336
2002-08-13,1180.0,1150.0,1190.0,1140.0,34811
2002-08-14,1250.0,1150.0,1265.0,1150.0,58836
2002-08-16,1230.0,1300.0,1300.0,1220.0,44540
2002-08-19,1235.0,1210.0,1270.0,1210.0,37675
2002-08-20,1310.0,1250.0,1340.0,1250.0,77716
2002-08-21,1290.0,1280.0,1330.0,1275.0,34226
2002-08-22,1260.0,1260.0,1325.0,1260.0,61417
2002-08-23,1300.0,1280.0,1320.0,1270.0,50700
2002-08-26,1300.0,1290.0,1315.0,1270.0,26826
2002-08-27,1430.0,1310.0,1455.0,1310.0,267125
2002-08-28,1420.0,1400.0,1480.0,1360.0,139560
2002-08-29,1500.0,1440.0,1560.0,1430.0,205022
2002-08-30,1495.0,1535.0,1545.0,1470.0,104722
2002-09-02,1380.0,1500.0,1500.0,1370.0,114401
2002-09-03,1410.0,1390.0,1500.0,1390.0,114714
2002-09-04,1400.0,1365.0,1465.0,1365.0,53729
2002-09-05,1560.0,1400.0,1565.0,1400.0,116382
2002-09-06,1470.0,1585.0,1585.0,1470.0,82005
2002-09-09,1300.0,1500.0,1510.0,1300.0,88346
