date,close,open,high,low,volume
2000-04-27,5325.0,5326.0,5326.0,5326.0,49
2000-04-28,5961.0,5961.0,5961.0,5961.0,1
2000-05-02,6677.0,6676.0,6676.0,6676.0,28
2000-05-03,7471.0,7469.0,7469.0,7469.0,111
2000-05-04,8366.0,8365.0,8365.0,8365.0,214
2000-05-08,9358.0,9358.0,9358.0,9358.0,336
2000-05-09,10470.0,10470.0,10470.0,10470.0,670
2000-05-10,11723.0,11723.0,11723.0,11723.0,694
2000-05-12,13114.0,13115.0,13115.0,13115.0,1582
2000-05-15,14683.0,14683.0,14683.0,14683.0,1479
2000-05-16,16432.0,16431.0,16431.0,16431.0,7680
2000-05-17,18399.0,18398.0,18398.0,18398.0,5000
2000-05-18,20585.0,20584.0,20584.0,20584.0,161775
2000-05-19,18121.0,22254.0,22254.0,18120.0,853701
2000-05-22,15956.0,15974.0,17008.0,15954.0,49602
2000-05-23,14923.0,14048.0,17863.0,14048.0,1363285
2000-05-24,16710.0,15100.0,16709.0,14067.0,671512
2000-05-25,18697.0,18697.0,18697.0,18697.0,16697
2000-05-26,20904.0,20903.0,20903.0,19353.0,455536
2000-05-29,18399.0,19392.0,23405.0,18398.0,1655392
2000-05-30,17286.0,18398.0,19471.0,16292.0,1741349
2000-05-31,19353.0,18518.0,19353.0,17923.0,399877
2000-06-01,20824.0,19751.0,21658.0,18479.0,1700056
2000-06-02,23287.0,21816.0,23286.0,21260.0,1116195
2000-06-05,26069.0,26069.0,26069.0,25672.0,77326
2000-06-07,26069.0,29168.0,29168.0,23962.0,1336090
2000-06-08,22970.0,26468.0,27182.0,22970.0,788700
2000-06-09,24122.0,21460.0,25037.0,21062.0,907333
2000-06-12,22055.0,23684.0,25710.0,21895.0,768714
2000-06-13,19432.0,20862.0,21777.0,19431.0,386260
2000-06-14,21738.0,19870.0,21738.0,18161.0,996219
2000-06-15,19155.0,22015.0,22452.0,19153.0,736719
2000-06-16,17883.0,18281.0,19870.0,17168.0,573395
2000-06-19,16293.0,17883.0,19074.0,15935.0,487904
2000-06-20,17843.0,17008.0,18239.0,16610.0,746887
2000-06-21,16810.0,18042.0,18200.0,16293.0,623740
2000-06-22,17803.0,17286.0,18439.0,16094.0,820900
2000-06-23,16771.0,17883.0,18002.0,16690.0,312048
2000-06-26,16789.0,16292.0,17444.0,16173.0,328875
2000-06-27,16789.0,17186.0,18001.0,16610.0,363099
2000-06-28,17088.0,16610.0,17286.0,15775.0,306010
2000-06-29,19135.0,17883.0,19135.0,17088.0,831726
2000-06-30,17606.0,19950.0,20824.0,16850.0,1160039
2000-07-03,17526.0,17683.0,18837.0,16968.0,424111
2000-07-04,16889.0,17763.0,17883.0,16432.0,300607
2000-07-05,14863.0,15935.0,16650.0,14862.0,267872
2000-07-06,13094.0,13730.0,14067.0,13093.0,221979
2000-07-07,14187.0,11862.0,14465.0,11862.0,487145
2000-07-10,14704.0,13988.0,15299.0,13789.0,394904
2000-07-11,13313.0,14345.0,14345.0,12954.0,235020
2000-07-12,12836.0,13391.0,13710.0,12319.0,195806
2000-07-13,12558.0,12518.0,13591.0,12398.0,345026
2000-07-14,12320.0,12576.0,12914.0,12199.0,148755
2000-07-18,12239.0,12339.0,12954.0,12160.0,193035
2000-07-19,10790.0,11922.0,12042.0,10789.0,177207
2000-07-20,11245.0,10033.0,11603.0,9497.0,414056
2000-07-21,10054.0,11246.0,11524.0,9934.0,259279
2000-07-24,8861.0,9497.0,9696.0,8861.0,135679
2000-07-25,8861.0,8663.0,9597.0,7829.0,655522
2000-07-26,9001.0,8980.0,9696.0,8344.0,623309
2000-07-27,8982.0,9219.0,9518.0,8902.0,382964
2000-07-28,9339.0,8743.0,10054.0,8663.0,918015
2000-07-31,9339.0,9498.0,9895.0,9180.0,516115
2000-08-01,10094.0,9498.0,10273.0,9338.0,615029
2000-08-02,9896.0,10173.0,10888.0,9736.0,459879
2000-08-03,10411.0,10133.0,10787.0,10133.0,486411
2000-08-04,9896.0,10928.0,11008.0,9657.0,325905
2000-08-07,9080.0,9993.0,10112.0,8940.0,161301
2000-08-08,8942.0,9358.0,9457.0,8762.0,196777
2000-08-09,8982.0,8802.0,9259.0,8762.0,137122
2000-08-10,8742.0,8940.0,9040.0,8742.0,93779
2000-08-11,8326.0,8743.0,8901.0,8066.0,111643
2000-08-14,8127.0,8544.0,8704.0,8067.0,66438
2000-08-16,8384.0,7867.0,8582.0,7867.0,128230
2000-08-17,7988.0,8266.0,8544.0,7869.0,111725
2000-08-18,7352.0,7947.0,8026.0,7232.0,127994
2000-08-21,7153.0,7431.0,7710.0,7074.0,94866
2000-08-22,7690.0,7152.0,7828.0,6993.0,242222
2000-08-23,6954.0,7550.0,7629.0,6835.0,169558
2000-08-24,6218.0,6755.0,7112.0,6119.0,125636
2000-08-25,6080.0,6020.0,6337.0,5781.0,107238
2000-08-28,6795.0,6278.0,6795.0,6120.0,201149
2000-08-29,6597.0,6954.0,6954.0,6437.0,233335
2000-08-30,6478.0,6675.0,6815.0,6456.0,118595
2000-08-31,6199.0,6477.0,6596.0,5841.0,119145
2000-09-01,6399.0,6359.0,6538.0,6061.0,170324
2000-09-04,7153.0,6517.0,7153.0,6398.0,350409
2000-09-05,7512.0,7431.0,8008.0,7313.0,843790
2000-09-06,7034.0,7351.0,7470.0,6915.0,229454
2000-09-07,6795.0,7113.0,7510.0,6636.0,255908
2000-09-08,6557.0,6795.0,7033.0,6357.0,127161
2000-09-14,5961.0,6160.0,6359.0,5842.0,116763
2000-09-15,5742.0,5960.0,6337.0,5562.0,146424
2000-09-18,5067.0,5365.0,5365.0,5067.0,38298
2000-09-19,4470.0,4469.0,4727.0,4469.0,139816
2000-09-20,4529.0,4490.0,4887.0,4450.0,169928
2000-09-21,3994.0,4530.0,4530.0,3993.0,50494
2000-09-22,3517.0,3596.0,3771.0,3517.0,67524
2000-09-25,3938.0,3104.0,3939.0,3104.0,282972
2000-09-26,4014.0,3783.0,4372.0,3783.0,247124
2000-09-27,4490.0,4132.0,4491.0,4053.0,177646
2000-09-28,4789.0,4570.0,5027.0,4510.0,307708
2000-09-29,4849.0,4849.0,5187.0,4590.0,323642
2000-10-02,4669.0,4847.0,5006.0,4569.0,157177
2000-10-04,4868.0,4490.0,4926.0,4450.0,221020
2000-10-05,5444.0,4688.0,5443.0,4688.0,186822
2000-10-06,5703.0,6041.0,6080.0,5563.0,572899
2000-10-09,6199.0,5801.0,6279.0,5583.0,394876
2000-10-10,6378.0,6199.0,6517.0,6120.0,295429
2000-10-11,5723.0,6159.0,6318.0,5623.0,204181
2000-10-12,5206.0,5642.0,5663.0,5186.0,128525
2000-10-13,5245.0,5006.0,5562.0,4589.0,420478
2000-10-16,5663.0,5563.0,5721.0,5404.0,272504
2000-10-17,4988.0,5226.0,5484.0,4987.0,141934
2000-10-18,4589.0,4589.0,4887.0,4390.0,207326
2000-10-19,4629.0,4451.0,4728.0,4451.0,147011
2000-10-20,4629.0,4809.0,4986.0,4590.0,209647
2000-10-23,4133.0,4410.0,4569.0,4091.0,116652
2000-10-24,4272.0,3974.0,4551.0,3974.0,156943
2000-10-25,4192.0,4410.0,4469.0,4171.0,103585
2000-10-26,3974.0,3973.0,4171.0,3894.0,94430
2000-10-27,3835.0,4092.0,4152.0,3814.0,62649
2000-10-30,3846.0,3774.0,4171.0,3774.0,123980
2000-10-31,3974.0,3779.0,4052.0,3388.0,154315
2000-11-01,4094.0,4093.0,4292.0,4013.0,117513
2000-11-02,4074.0,3994.0,4272.0,3895.0,135536
2000-11-03,4232.0,4092.0,4431.0,4053.0,235798
2000-11-06,4391.0,4291.0,4569.0,4251.0,180003
2000-11-07,4311.0,4411.0,4767.0,4251.0,325164
2000-11-08,4192.0,4271.0,4450.0,4112.0,129443
2000-11-09,4232.0,4072.0,4332.0,4072.0,95747
2000-11-10,4729.0,4232.0,4727.0,4212.0,287793
2000-11-13,4292.0,4728.0,4749.0,4252.0,257559
2000-11-14,4589.0,4430.0,4767.0,4371.0,275964
2000-11-15,4908.0,4768.0,5126.0,4728.0,393855
2000-11-16,4967.0,5046.0,5443.0,4827.0,554201
2000-11-17,4808.0,4887.0,4887.0,4648.0,189152
2000-11-20,4710.0,4710.0,4829.0,4650.0,100072
2000-11-21,4311.0,4569.0,4569.0,4212.0,138419
2000-11-22,4213.0,4212.0,4431.0,4073.0,105096
2000-11-23,3955.0,4053.0,4172.0,3814.0,118859
2000-11-24,3974.0,3973.0,4112.0,3894.0,87515
2000-11-27,4450.0,4171.0,4450.0,4052.0,218382
2000-11-28,4272.0,4491.0,4531.0,4033.0,207793
2000-11-29,3955.0,4093.0,4093.0,3814.0,65706
2000-11-30,3581.0,3879.0,3994.0,3481.0,125245
2000-12-01,3509.0,3218.0,3556.0,3218.0,127617
2000-12-04,3398.0,3361.0,3655.0,3361.0,63160
2000-12-05,3517.0,3397.0,3656.0,3397.0,260591
2000-12-06,3417.0,3647.0,3774.0,3365.0,182199
2000-12-07,3239.0,3278.0,3458.0,3183.0,100157
2000-12-08,3199.0,3254.0,3326.0,3151.0,80754
2000-12-11,3299.0,3199.0,3337.0,3199.0,135509
2000-12-12,3195.0,3298.0,3337.0,3175.0,104625
2000-12-13,3255.0,3211.0,3258.0,3187.0,58798
2000-12-14,3234.0,3214.0,3253.0,3198.0,42981
2000-12-15,3167.0,3138.0,3234.0,3138.0,55340
2000-12-18,3107.0,3142.0,3190.0,3106.0,46476
2000-12-19,2739.0,3099.0,3099.0,2737.0,81121
2000-12-20,2412.0,2503.0,2543.0,2412.0,62422
2000-12-21,2126.0,2126.0,2198.0,2126.0,82222
2000-12-22,1872.0,2105.0,2224.0,1870.0,68532
2000-12-26,1828.0,1752.0,1891.0,1668.0,94328
2001-01-02,2047.0,1809.0,2047.0,1809.0,47738
2001-01-03,2246.0,2047.0,2273.0,1947.0,158395
2001-01-04,2464.0,2464.0,2503.0,2384.0,119222
2001-01-05,2345.0,2452.0,2499.0,2205.0,121837
2001-01-08,2452.0,2198.0,2500.0,2198.0,131654
2001-01-09,2747.0,2464.0,2746.0,2404.0,290654
2001-01-10,2503.0,2781.0,3071.0,2503.0,334361
2001-01-11,2801.0,2587.0,2802.0,2587.0,253172
2001-01-12,3135.0,3134.0,3134.0,3134.0,17178
2001-01-15,3509.0,3508.0,3508.0,3508.0,4695
2001-01-16,3926.0,3925.0,3925.0,3655.0,293406
2001-01-17,3656.0,3974.0,4232.0,3458.0,519502
2001-01-18,3299.0,3680.0,3731.0,3239.0,368953
2001-01-19,3692.0,3457.0,3690.0,3103.0,289898
2001-01-22,4133.0,4131.0,4131.0,3913.0,709077
2001-01-26,3894.0,4331.0,4469.0,3854.0,699026
2001-01-29,4094.0,3895.0,4292.0,3858.0,543965
2001-01-30,4173.0,4092.0,4530.0,4013.0,717961
2001-01-31,4094.0,4172.0,4272.0,3735.0,254815
2001-02-01,3938.0,3895.0,4491.0,3854.0,330471
2001-02-02,3803.0,4032.0,4212.0,3779.0,194867
2001-02-05,3351.0,3696.0,3696.0,3350.0,125241
2001-02-06,3553.0,3457.0,3695.0,3421.0,330591
2001-02-07,3278.0,3552.0,3628.0,3277.0,186595
2001-02-08,3358.0,3182.0,3528.0,3182.0,152025
2001-02-09,3366.0,3418.0,3477.0,3346.0,107285
2001-02-12,3696.0,3357.0,3695.0,3337.0,231969
2001-02-13,4053.0,3774.0,4131.0,3774.0,551616
2001-02-14,4529.0,3941.0,4529.0,3941.0,378640
2001-02-15,4511.0,4729.0,4769.0,4292.0,974171
2001-02-16,4113.0,4530.0,4569.0,4092.0,304194
