date,close,open,high,low,volume
2005-11-18,23276.0,27377.0,31490.0,23274.0,652525
2005-11-21,21495.0,22448.0,23295.0,21076.0,330927
2005-11-22,21426.0,22198.0,22675.0,21350.0,192813
2005-11-23,20827.0,21632.0,22185.0,20596.0,203823
2005-11-24,23938.0,20817.0,23925.0,20817.0,438379
2005-11-25,27528.0,24788.0,27525.0,24270.0,332866
2005-11-28,29862.0,29592.0,31630.0,27003.0,546491
2005-11-29,26753.0,29852.0,29852.0,25447.0,239850
2005-11-30,26234.0,26999.0,28296.0,25896.0,164119
2005-12-01,30154.0,26220.0,30141.0,26220.0,281570
2005-12-02,29603.0,31825.0,34342.0,28713.0,411467
2005-12-05,30379.0,29779.0,31742.0,28300.0,202136
2005-12-06,29378.0,29969.0,31629.0,29377.0,165547
2005-12-07,25718.0,28492.0,28861.0,25641.0,153390
2005-12-08,26271.0,25410.0,27407.0,25410.0,83752
2005-12-09,24753.0,25234.0,26269.0,24602.0,75669
2005-12-12,23753.0,24154.0,24934.0,23676.0,70361
2005-12-13,24643.0,23308.0,25346.0,22678.0,116527
2005-12-14,24051.0,24640.0,25386.0,23866.0,63879
2005-12-15,23197.0,24595.0,24595.0,23116.0,42247
2005-12-16,21978.0,22265.0,23301.0,21230.0,58194
2005-12-19,21092.0,20345.0,21751.0,20345.0,64133
2005-12-20,21277.0,20796.0,22391.0,20757.0,58737
2005-12-21,21052.0,20931.0,22153.0,20931.0,57501
2005-12-22,21605.0,21308.0,23486.0,20898.0,145638
2005-12-23,21317.0,22395.0,22947.0,21286.0,58230
2005-12-26,19644.0,21189.0,21780.0,19596.0,76867
2005-12-27,18465.0,19618.0,19874.0,18025.0,64465
2005-12-28,18650.0,18130.0,19791.0,18113.0,69230
2005-12-29,18058.0,18346.0,19046.0,18049.0,50854
2006-01-02,17536.0,17790.0,18120.0,17011.0,46003
2006-01-03,20167.0,17581.0,20177.0,17581.0,81419
2006-01-04,20013.0,20271.0,21866.0,19350.0,158389
2006-01-05,19978.0,20010.0,20715.0,19788.0,38977
2006-01-06,19053.0,20336.0,20336.0,19038.0,36201
2006-01-09,18183.0,19039.0,19597.0,18169.0,41371
2006-01-10,18167.0,17938.0,18382.0,17755.0,27371
2006-01-11,18500.0,18156.0,19750.0,18156.0,60988
2006-01-12,18113.0,18543.0,19236.0,17872.0,39207
2006-01-13,18650.0,18113.0,18903.0,17869.0,31214
2006-01-16,18576.0,18865.0,20093.0,18541.0,100692
2006-01-17,19351.0,18758.0,19350.0,18387.0,73123
