date,close,open,high,low,volume
2001-11-08,2436.0,2436.0,2436.0,2436.0,1648856
2001-11-09,2295.0,2436.0,2560.0,2154.0,1743005
2001-11-12,2321.0,2256.0,2375.0,2136.0,412284
2001-11-13,2251.0,2286.0,2339.0,2242.0,321705
2001-11-14,2520.0,2225.0,2520.0,2207.0,501992
2001-11-15,2820.0,2692.0,2820.0,2648.0,303147
2001-11-16,2869.0,3045.0,3156.0,2758.0,997436
2001-11-19,2732.0,2833.0,2904.0,2648.0,215160
2001-11-20,2507.0,2736.0,2825.0,2405.0,336501
2001-11-21,2560.0,2471.0,2736.0,2471.0,298807
2001-11-22,2489.0,2516.0,2621.0,2409.0,186145
2001-11-23,2560.0,2534.0,2710.0,2427.0,232813
2001-11-26,2427.0,2568.0,2648.0,2414.0,144113
2001-11-27,2277.0,2427.0,2462.0,2260.0,367805
2001-11-28,2140.0,2224.0,2304.0,2030.0,245501
2001-11-29,2180.0,2144.0,2282.0,2034.0,252549
2001-11-30,2207.0,2127.0,2260.0,2100.0,505776
2001-12-03,2118.0,2216.0,2220.0,2109.0,293256
2001-12-04,2114.0,2118.0,2135.0,2039.0,330552
2001-12-05,2233.0,2114.0,2365.0,2092.0,560351
2001-12-06,2498.0,2251.0,2497.0,2225.0,637472
2001-12-07,2339.0,2543.0,2596.0,2304.0,739938
2001-12-10,2471.0,2356.0,2542.0,2304.0,372156
2001-12-11,2560.0,2480.0,2692.0,2471.0,358990
2001-12-12,2427.0,2488.0,2586.0,2383.0,214991
2001-12-13,2454.0,2436.0,2507.0,2409.0,142391
2001-12-14,2454.0,2453.0,2471.0,2356.0,79149
2001-12-17,2295.0,2427.0,2427.0,2269.0,108402
2001-12-18,2237.0,2229.0,2348.0,2216.0,73586
2001-12-19,2251.0,2238.0,2273.0,2118.0,119188
2001-12-20,2321.0,2251.0,2383.0,2251.0,89968
2001-12-21,2237.0,2366.0,2366.0,2171.0,112923
2001-12-24,2260.0,2189.0,2260.0,2127.0,117239
2001-12-26,2180.0,2247.0,2277.0,2166.0,85992
2001-12-27,2198.0,2162.0,2229.0,2162.0,52649
2001-12-28,2317.0,2198.0,2348.0,2198.0,103258
2002-01-02,2251.0,2282.0,2291.0,2234.0,89594
2002-01-03,2185.0,2251.0,2277.0,2184.0,101185
2002-01-04,2224.0,2145.0,2225.0,2145.0,114838
2002-01-07,2198.0,2251.0,2251.0,2144.0,72951
2002-01-08,2145.0,2153.0,2197.0,2030.0,122394
2002-01-09,2030.0,2079.0,2163.0,2030.0,300178
2002-01-10,1937.0,2030.0,2057.0,1906.0,172436
2002-01-11,1959.0,1929.0,1986.0,1897.0,84575
2002-01-14,1898.0,1916.0,1964.0,1897.0,62528
2002-01-15,1915.0,1871.0,1951.0,1844.0,108164
2002-01-16,2052.0,1942.0,2092.0,1880.0,146855
2002-01-17,2048.0,2075.0,2092.0,1969.0,43109
2002-01-18,2065.0,2047.0,2065.0,1968.0,65588
2002-01-21,2004.0,2035.0,2039.0,1969.0,25458
2002-01-22,2004.0,2004.0,2030.0,1942.0,63434
2002-01-23,1986.0,1973.0,2013.0,1951.0,23963
2002-01-24,1942.0,1991.0,2021.0,1920.0,30681
2002-01-25,1968.0,1916.0,1977.0,1911.0,42995
2002-01-28,2132.0,1937.0,2162.0,1897.0,94794
2002-01-29,2154.0,2118.0,2197.0,2030.0,80995
2002-01-30,2092.0,2153.0,2179.0,2030.0,66901
2002-01-31,2118.0,2091.0,2144.0,2074.0,19680
2002-02-01,2048.0,2119.0,2119.0,2048.0,46734
