date,close,open,high,low,volume
2001-05-17,29789.0,29795.0,29795.0,29795.0,1145
2001-05-18,33333.0,33339.0,33339.0,33339.0,1257
2001-05-21,37288.0,37294.0,37294.0,37294.0,14152
2001-05-22,41757.0,41762.0,41762.0,41762.0,7583
2001-05-23,46739.0,46745.0,46745.0,46745.0,3494
2001-05-24,52132.0,52132.0,52132.0,52132.0,15979
2001-05-25,58295.0,58296.0,58296.0,58296.0,872
2001-05-28,65229.0,65235.0,65235.0,65235.0,220800
2001-05-29,65229.0,72938.0,72938.0,57785.0,3153207
2001-05-30,69338.0,64720.0,69344.0,59069.0,1180237
2001-05-31,61120.0,66771.0,72934.0,61121.0,798758
2001-06-01,54186.0,56504.0,58298.0,53933.0,1359227
2001-06-04,53930.0,54956.0,58554.0,51618.0,681686
2001-06-05,47509.0,54446.0,55218.0,47510.0,456616
2001-06-07,44684.0,46282.0,47204.0,42736.0,534097
2001-06-08,46739.0,43764.0,48953.0,43764.0,590760
2001-06-11,45352.0,43761.0,47509.0,43761.0,245645
2001-06-12,46482.0,46177.0,47820.0,45969.0,305946
2001-06-13,46225.0,46744.0,48797.0,45821.0,246995
2001-06-14,45198.0,46743.0,46743.0,44431.0,192468
2001-06-15,45609.0,44588.0,45615.0,43764.0,197258
2001-06-18,44171.0,44690.0,45509.0,43710.0,127524
2001-06-19,46225.0,44639.0,47719.0,43763.0,358740
2001-06-20,41859.0,47049.0,47205.0,41606.0,176129
2001-06-21,40216.0,42171.0,43093.0,39962.0,109564
2001-06-22,40062.0,40322.0,41094.0,39295.0,114899
2001-06-25,37905.0,38475.0,40067.0,37807.0,117984
2001-06-26,35080.0,37496.0,38113.0,35034.0,145178
2001-06-27,33487.0,34929.0,35546.0,33078.0,121210
2001-06-28,36569.0,33905.0,37498.0,33905.0,234363
2001-06-29,38213.0,37498.0,38530.0,35958.0,205890
2001-07-02,36929.0,38215.0,38267.0,36779.0,83036
2001-07-03,36775.0,36469.0,38216.0,36319.0,89604
2001-07-04,37237.0,36983.0,38015.0,36885.0,88720
2001-07-05,35953.0,37291.0,37648.0,35648.0,78730
2001-07-06,34001.0,35033.0,35287.0,34002.0,63314
2001-07-09,31844.0,33286.0,33286.0,29999.0,81717
2001-07-10,32563.0,32356.0,32869.0,31226.0,80029
2001-07-11,30919.0,30054.0,31801.0,30054.0,59197
2001-07-12,34617.0,31591.0,34623.0,31591.0,140977
2001-07-13,31382.0,36006.0,36364.0,31382.0,123100
2001-07-16,30817.0,31434.0,32103.0,29739.0,78027
2001-07-18,31073.0,30820.0,32826.0,30307.0,137227
2001-07-19,33333.0,31079.0,33339.0,31079.0,205912
2001-07-20,37288.0,33904.0,37294.0,32872.0,487491
2001-07-23,37853.0,38165.0,41348.0,35956.0,839952
2001-07-24,37134.0,38114.0,38991.0,35548.0,481197
2001-07-25,40062.0,38523.0,40990.0,38009.0,597044
2001-07-26,41089.0,40120.0,43407.0,39042.0,679465
2001-07-27,39754.0,40578.0,41859.0,39293.0,349312
2001-07-30,36569.0,39556.0,39556.0,35802.0,346173
2001-07-31,39035.0,36573.0,39040.0,35956.0,412895
2001-08-01,38983.0,38522.0,40269.0,38113.0,243988
2001-08-02,37545.0,39961.0,39961.0,37084.0,197781
2001-08-03,39497.0,37807.0,39554.0,37035.0,215941
2001-08-06,41859.0,39553.0,43146.0,39553.0,619725
2001-08-07,42116.0,41604.0,42474.0,39960.0,293622
2001-08-08,41346.0,42119.0,42632.0,41092.0,192192
2001-08-09,38161.0,40168.0,40215.0,38058.0,170647
2001-08-10,38521.0,37806.0,39346.0,37806.0,98867
2001-08-13,36877.0,38526.0,39294.0,36468.0,138165
2001-08-14,36004.0,36471.0,37244.0,35445.0,117390
2001-08-16,33385.0,34930.0,34930.0,32416.0,93881
2001-08-17,33898.0,33645.0,35340.0,33489.0,80020
2001-08-20,32614.0,32366.0,33543.0,32366.0,53798
2001-08-21,33179.0,32879.0,34061.0,32107.0,62216
2001-08-22,33333.0,33028.0,34366.0,33028.0,74915
2001-08-23,33333.0,33645.0,34931.0,33339.0,76817
2001-08-24,33385.0,33390.0,33852.0,31488.0,70357
2001-08-27,33796.0,34418.0,34828.0,32925.0,47049
2001-08-28,32614.0,32366.0,33392.0,31899.0,45779
2001-08-29,30714.0,30818.0,32052.0,30668.0,46275
2001-08-30,29276.0,30308.0,30718.0,28768.0,44800
2001-08-31,25783.0,27992.0,27992.0,25784.0,75214
2001-09-03,26040.0,25170.0,26196.0,25066.0,38403
2001-09-04,26451.0,24144.0,27229.0,24144.0,40404
2001-09-05,26245.0,26707.0,26967.0,25427.0,36573
2001-09-06,27735.0,25579.0,27741.0,25579.0,50080
2001-09-07,28249.0,27228.0,28410.0,26201.0,54496
2001-09-10,29276.0,27742.0,30054.0,27431.0,37801
2001-09-11,28249.0,29794.0,30820.0,28202.0,36957
2001-09-12,24859.0,24864.0,24864.0,24864.0,3461
2001-09-13,23369.0,22193.0,24915.0,22193.0,81699
2001-09-14,20596.0,21830.0,23323.0,20601.0,67679
2001-09-17,18130.0,20604.0,20604.0,18136.0,112867
2001-09-18,20287.0,19267.0,20293.0,19007.0,59596
2001-09-19,20339.0,19779.0,21216.0,19572.0,45535
2001-09-20,20801.0,20190.0,21579.0,19215.0,42405
2001-09-21,19774.0,19572.0,20034.0,18597.0,24978
2001-09-24,20031.0,19777.0,20498.0,18906.0,24984
2001-09-25,19106.0,20501.0,21118.0,19112.0,48119
2001-09-26,20544.0,20545.0,20545.0,19005.0,20285
2001-09-27,20390.0,20292.0,20702.0,19779.0,22687
2001-09-28,21161.0,20083.0,21576.0,20083.0,95482
2001-10-04,22342.0,21829.0,23063.0,21777.0,79286
2001-10-05,21572.0,21987.0,21987.0,20908.0,53686
2001-10-08,21007.0,20546.0,21935.0,20032.0,68993
2001-10-09,23523.0,21575.0,23524.0,21575.0,126306
2001-10-10,25218.0,23886.0,26297.0,23783.0,302663
2001-10-11,25732.0,26349.0,27070.0,24706.0,206934
2001-10-12,26400.0,26193.0,26706.0,24653.0,194836
