date,close,open,high,low,volume
2000-09-07,2184.0,2184.0,2184.0,2184.0,8550
2000-09-08,1967.0,1955.0,2361.0,1925.0,1448660
2000-09-14,1954.0,1968.0,1968.0,1863.0,569170
2000-09-15,1965.0,1901.0,2046.0,1836.0,1336340
2000-09-18,1777.0,1900.0,1907.0,1739.0,481220
2000-09-19,1607.0,1777.0,1777.0,1593.0,553470
2000-09-20,1541.0,1607.0,1659.0,1499.0,611280
2000-09-21,1541.0,1541.0,1725.0,1358.0,1039760
2000-09-22,1390.0,1501.0,1501.0,1356.0,568290
2000-09-25,1429.0,1355.0,1427.0,1276.0,476460
2000-09-26,1417.0,1362.0,1467.0,1346.0,702520
2000-09-27,1481.0,1417.0,1567.0,1371.0,879190
2000-09-28,1476.0,1483.0,1523.0,1430.0,571870
2000-09-29,1653.0,1509.0,1654.0,1482.0,1489480
2000-10-02,1848.0,1652.0,1849.0,1652.0,2431090
2000-10-04,1777.0,1848.0,2068.0,1756.0,1934200
2000-10-05,1761.0,1825.0,1933.0,1717.0,824850
2000-10-06,1699.0,1746.0,1812.0,1651.0,550210
2000-10-09,1607.0,1758.0,1823.0,1561.0,1407230
2000-10-10,1555.0,1607.0,1673.0,1521.0,816380
2000-10-11,1429.0,1506.0,1506.0,1368.0,796190
2000-10-12,1600.0,1350.0,1601.0,1350.0,1083120
2000-10-13,1440.0,1454.0,1517.0,1411.0,646130
2000-10-16,1499.0,1476.0,1574.0,1476.0,730240
2000-10-17,1321.0,1377.0,1460.0,1322.0,443650
2000-10-18,1357.0,1311.0,1371.0,1213.0,545050
2000-10-19,1370.0,1286.0,1390.0,1286.0,376230
2000-10-20,1457.0,1399.0,1510.0,1358.0,745440
2000-10-23,1370.0,1429.0,1449.0,1311.0,315150
2000-10-24,1306.0,1378.0,1384.0,1286.0,317190
2000-10-25,1328.0,1278.0,1369.0,1265.0,380260
2000-10-26,1267.0,1265.0,1337.0,1245.0,226420
2000-10-27,1357.0,1292.0,1420.0,1279.0,1003620
2000-10-30,1308.0,1375.0,1388.0,1232.0,433310
2000-10-31,1331.0,1311.0,1344.0,1193.0,167880
2000-11-01,1345.0,1345.0,1410.0,1322.0,362030
2000-11-02,1321.0,1266.0,1345.0,1266.0,243140
2000-11-03,1365.0,1344.0,1370.0,1298.0,401800
2000-11-06,1524.0,1392.0,1522.0,1382.0,309570
2000-11-07,1493.0,1567.0,1601.0,1449.0,1281070
2000-11-08,1541.0,1508.0,1541.0,1456.0,454580
2000-11-09,1724.0,1534.0,1724.0,1508.0,1037200
2000-11-10,1614.0,1803.0,1823.0,1554.0,1553850
2000-11-13,1462.0,1610.0,1610.0,1429.0,562190
2000-11-14,1600.0,1480.0,1627.0,1480.0,1026340
2000-11-15,1574.0,1600.0,1730.0,1534.0,1143590
2000-11-16,1518.0,1567.0,1604.0,1486.0,297340
