date,close,open,high,low,volume
2010-06-15,8184.0,9628.0,10066.0,8184.0,2562627
2010-06-16,8315.0,7711.0,8744.0,7615.0,3946486
2010-06-17,8140.0,8437.0,8639.0,8140.0,1492183
2010-06-18,7142.0,7965.0,8044.0,7002.0,1854574
2010-06-21,7309.0,7238.0,7588.0,6748.0,848086
2010-06-22,7615.0,7483.0,8184.0,7396.0,2447195
2010-06-23,7221.0,7501.0,7693.0,7089.0,609945
2010-06-24,7204.0,7151.0,7378.0,7089.0,434984
2010-06-25,6932.0,7072.0,7230.0,6932.0,367109
2010-06-28,7309.0,6932.0,7387.0,6722.0,844966
2010-06-29,7431.0,7615.0,7746.0,7387.0,547402
2010-06-30,7694.0,7186.0,7842.0,7186.0,639396
2010-07-01,7676.0,7623.0,7930.0,7571.0,435386
2010-07-02,7790.0,7781.0,7877.0,7650.0,252376
2010-07-05,7878.0,7965.0,8044.0,7807.0,260476
2010-07-06,7694.0,7842.0,7921.0,7571.0,154542
2010-07-07,8009.0,7693.0,8131.0,7562.0,465473
2010-07-08,7878.0,8105.0,8166.0,7877.0,234328
2010-07-09,7615.0,7868.0,7956.0,7588.0,232365
2010-07-12,7615.0,7693.0,7693.0,7492.0,188186
2010-07-13,7571.0,7650.0,7886.0,7571.0,406176
2010-07-14,7353.0,7615.0,7685.0,7238.0,300999
2010-07-15,7379.0,7335.0,7545.0,7335.0,198456
2010-07-16,7335.0,7440.0,7580.0,7326.0,165438
2010-07-19,7134.0,7230.0,7518.0,7133.0,210785
2010-07-20,6950.0,7203.0,7256.0,6949.0,227949
2010-07-21,6469.0,7002.0,7002.0,6345.0,411654
2010-07-22,5891.0,6468.0,6564.0,5890.0,441818
2010-07-23,6110.0,5969.0,6214.0,5689.0,389621
2010-07-26,6110.0,6118.0,6354.0,6030.0,163324
2010-07-27,6390.0,6127.0,6503.0,6013.0,445068
2010-07-28,6153.0,6389.0,6494.0,6144.0,129862
2010-07-29,5865.0,6153.0,6214.0,5820.0,161402
2010-07-30,5908.0,5899.0,6039.0,5689.0,145301
2010-08-02,5803.0,5978.0,5987.0,5698.0,118426
2010-08-03,5733.0,5838.0,5855.0,5671.0,109694
2010-08-04,5471.0,5742.0,5777.0,5453.0,160443
2010-08-05,4989.0,5479.0,5601.0,4954.0,238404
2010-08-06,5077.0,4997.0,5348.0,4910.0,159492
2010-08-09,5217.0,5164.0,5216.0,5033.0,72326
2010-08-10,5208.0,5146.0,5374.0,5138.0,72899
2010-08-11,5331.0,5208.0,5680.0,5138.0,296116
2010-08-12,5156.0,5400.0,5400.0,5094.0,91084
2010-08-13,5042.0,5164.0,5181.0,4989.0,61986
2010-08-16,5147.0,5041.0,5225.0,5006.0,81496
2010-08-17,5654.0,5216.0,5917.0,5173.0,447396
2010-08-18,5663.0,5777.0,5777.0,5418.0,121616
2010-08-19,6083.0,5601.0,6372.0,5575.0,347635
2010-08-20,6022.0,5777.0,6127.0,5777.0,112775
2010-08-23,6652.0,6302.0,6879.0,6258.0,635182
2010-08-24,6644.0,6634.0,6879.0,6582.0,176174
2010-08-25,6696.0,6643.0,6739.0,6451.0,109459
2010-08-26,6652.0,6696.0,7063.0,6608.0,518454
