date,close,open,high,low,volume
2012-11-27,4158.0,4610.0,4610.0,3949.0,5570624
2012-11-28,4203.0,4153.0,4376.0,4078.0,2894955
2012-11-29,4830.0,4327.0,4829.0,4287.0,7080955
2012-11-30,4402.0,4973.0,5048.0,4312.0,5693682
2012-12-03,4551.0,4451.0,4630.0,4312.0,1871782
2012-12-04,4476.0,4421.0,4476.0,4287.0,1228970
2012-12-05,4352.0,4476.0,4824.0,4352.0,1444380
2012-12-06,4123.0,4302.0,4376.0,4123.0,802210
2012-12-07,4064.0,4102.0,4212.0,3964.0,760061
2012-12-10,3979.0,4128.0,4163.0,3974.0,492955
2012-12-11,3745.0,3939.0,3979.0,3745.0,635889
2012-12-12,3780.0,3730.0,3790.0,3655.0,274636
2012-12-13,3805.0,3780.0,3894.0,3765.0,294037
2012-12-14,3870.0,3804.0,3939.0,3765.0,375387
2012-12-17,3730.0,3904.0,3904.0,3710.0,234216
2012-12-18,3591.0,3735.0,3800.0,3531.0,413688
2012-12-20,3487.0,3581.0,3620.0,3486.0,283931
2012-12-21,3422.0,3516.0,3556.0,3382.0,307631
2012-12-24,3502.0,3392.0,3506.0,3322.0,235891
2012-12-26,3551.0,3506.0,3606.0,3446.0,210436
2012-12-27,3467.0,3581.0,3581.0,3436.0,217909
2012-12-28,3472.0,3456.0,3536.0,3456.0,137405
2013-01-02,3531.0,3516.0,3561.0,3471.0,237922
2013-01-03,3621.0,3536.0,3715.0,3506.0,359164
2013-01-04,3720.0,3630.0,3790.0,3615.0,354138
2013-01-07,3715.0,3775.0,3795.0,3690.0,113380
2013-01-08,3919.0,3705.0,3979.0,3640.0,680750
2013-01-09,3904.0,3944.0,4008.0,3879.0,821236
2013-01-10,3840.0,3984.0,3984.0,3824.0,189623
2013-01-11,3805.0,3844.0,3874.0,3740.0,258119
2013-01-14,3765.0,3750.0,3829.0,3705.0,193242
2013-01-15,3701.0,3780.0,3864.0,3700.0,321523
2013-01-16,3581.0,3745.0,3765.0,3546.0,469205
2013-01-17,3546.0,3625.0,3625.0,3491.0,187797
2013-01-18,3556.0,3556.0,3610.0,3536.0,128947
2013-01-21,3586.0,3556.0,3615.0,3541.0,124132
2013-01-22,3691.0,3586.0,3785.0,3586.0,487591
2013-01-23,3656.0,3720.0,3720.0,3650.0,133567
2013-01-24,3651.0,3665.0,3725.0,3625.0,171076
2013-01-25,3631.0,3655.0,3725.0,3571.0,152766
2013-01-28,3566.0,3606.0,3650.0,3536.0,126152
2013-01-29,3586.0,3586.0,3625.0,3571.0,63249
2013-01-30,3636.0,3620.0,3645.0,3591.0,82627
2013-01-31,3725.0,3650.0,3969.0,3645.0,1478853
2013-02-01,3621.0,3690.0,3730.0,3620.0,315118
2013-02-04,3596.0,3645.0,3680.0,3596.0,116110
2013-02-05,3492.0,3551.0,3571.0,3476.0,274288
2013-02-06,3556.0,3501.0,3591.0,3481.0,100959
2013-02-07,3497.0,3556.0,3576.0,3471.0,204117
2013-02-08,3546.0,3511.0,3566.0,3496.0,58605
2013-02-12,3556.0,3546.0,3601.0,3516.0,65334
2013-02-13,3641.0,3586.0,3655.0,3556.0,124452
2013-02-14,3606.0,3650.0,3655.0,3591.0,111057
2013-02-15,3586.0,3625.0,3630.0,3576.0,145916
2013-02-18,3735.0,3586.0,3740.0,3586.0,461989
2013-02-19,3681.0,3715.0,3730.0,3635.0,342262
2013-02-20,3347.0,3745.0,3745.0,3292.0,1118325
2013-02-21,3293.0,3352.0,3357.0,3272.0,426340
2013-02-22,3283.0,3322.0,3337.0,3282.0,260448
2013-02-25,3148.0,3292.0,3322.0,3138.0,292542
2013-02-26,3218.0,3118.0,3267.0,3093.0,124992
2013-02-27,3193.0,3242.0,3242.0,3178.0,88324
2013-02-28,3193.0,3208.0,3262.0,3188.0,107835
2013-03-04,3188.0,3203.0,3242.0,3183.0,61383
2013-03-05,3208.0,3193.0,3277.0,3168.0,147520
2013-03-06,3178.0,3213.0,3228.0,3153.0,103379
2013-03-07,3129.0,3178.0,3183.0,3093.0,158516
2013-03-08,3119.0,3128.0,3188.0,3093.0,93602
2013-03-11,2999.0,3103.0,3118.0,2964.0,359689
2013-03-12,3094.0,2994.0,3123.0,2994.0,111528
2013-03-13,3039.0,3128.0,3133.0,3039.0,108046
2013-03-14,3024.0,3043.0,3113.0,2984.0,140339
2013-03-15,3094.0,3034.0,3118.0,3034.0,83566
2013-03-18,3039.0,3098.0,3128.0,3034.0,149625
2013-03-19,3009.0,3024.0,3058.0,2989.0,91185
2013-03-20,2984.0,3004.0,3063.0,2959.0,111327
2013-03-21,3019.0,2994.0,3043.0,2989.0,90240
2013-03-22,3009.0,3004.0,3019.0,2984.0,58645
2013-03-25,3074.0,3009.0,3098.0,3009.0,116882
2013-03-26,3074.0,3083.0,3083.0,3039.0,58239
2013-03-27,3059.0,3083.0,3083.0,3034.0,91571
2013-03-28,3089.0,3068.0,3128.0,3039.0,191589
2013-03-29,3208.0,3098.0,3297.0,3093.0,633581
2013-04-01,3213.0,3247.0,3257.0,3163.0,111534
2013-04-02,3173.0,3213.0,3223.0,3163.0,104085
2013-04-03,3129.0,3193.0,3242.0,3108.0,110517
2013-04-04,3119.0,3173.0,3173.0,2954.0,183398
2013-04-05,3029.0,3083.0,3103.0,2984.0,134597
2013-04-08,2925.0,2994.0,3014.0,2924.0,161823
2013-04-09,2860.0,2835.0,2964.0,2745.0,174874
2013-04-10,2855.0,2825.0,2889.0,2805.0,93773
2013-04-11,2880.0,2874.0,2914.0,2785.0,104187
2013-04-12,2875.0,2919.0,2929.0,2850.0,96996
2013-04-15,2895.0,2874.0,2894.0,2850.0,53850
2013-04-16,2830.0,2854.0,2884.0,2815.0,128581
2013-04-17,2755.0,2830.0,2840.0,2710.0,179653
2013-04-18,2671.0,2735.0,2765.0,2636.0,162436
2013-04-19,2671.0,2636.0,2705.0,2586.0,138159
2013-04-22,2581.0,2675.0,2675.0,2561.0,234037
2013-04-23,2616.0,2561.0,2631.0,2561.0,90572
2013-04-24,2691.0,2621.0,2705.0,2621.0,135005
2013-04-25,2706.0,2710.0,2745.0,2680.0,53607
2013-04-26,2681.0,2705.0,2725.0,2656.0,83149
2013-04-29,2711.0,2685.0,2710.0,2646.0,95480
2013-04-30,2681.0,2710.0,2710.0,2651.0,75491
2013-05-02,2830.0,2660.0,2830.0,2656.0,145445
2013-05-03,2885.0,2830.0,2899.0,2805.0,101162
2013-05-06,2885.0,2884.0,2914.0,2874.0,82033
2013-05-07,2900.0,2914.0,2914.0,2859.0,57193
2013-05-08,2915.0,2919.0,2919.0,2884.0,43512
2013-05-09,2954.0,2914.0,2999.0,2914.0,95707
2013-05-10,2979.0,2934.0,3019.0,2919.0,102712
2013-05-13,2890.0,2999.0,2999.0,2864.0,71335
2013-05-14,2775.0,2879.0,2899.0,2740.0,176283
2013-05-15,2830.0,2770.0,2830.0,2755.0,64476
2013-05-16,2900.0,2825.0,2924.0,2770.0,136762
2013-05-20,2915.0,2924.0,2949.0,2884.0,64526
2013-05-21,3034.0,2884.0,3073.0,2884.0,314300
2013-05-22,3114.0,3068.0,3163.0,3014.0,305934
2013-05-23,3094.0,3148.0,3163.0,3048.0,155008
2013-05-24,3134.0,3098.0,3168.0,3068.0,148369
2013-05-27,3293.0,3113.0,3292.0,3113.0,345551
2013-05-28,3233.0,3307.0,3337.0,3198.0,197229
2013-05-29,3158.0,3208.0,3237.0,3158.0,164909
2013-05-30,3168.0,3158.0,3193.0,3133.0,77486
2013-05-31,3178.0,3148.0,3188.0,3148.0,57173
2013-06-03,3138.0,3148.0,3148.0,3103.0,87665
2013-06-04,3114.0,3158.0,3158.0,3093.0,26360
2013-06-05,3064.0,3083.0,3133.0,3009.0,95818
2013-06-07,3004.0,3048.0,3073.0,2984.0,71929
2013-06-10,3019.0,2989.0,3019.0,2979.0,39979
2013-06-11,3004.0,3034.0,3053.0,2939.0,51457
2013-06-12,3069.0,2999.0,3093.0,2999.0,69150
2013-06-13,3084.0,3068.0,3113.0,3019.0,36242
2013-06-14,3084.0,3108.0,3108.0,3029.0,31465
2013-06-17,3059.0,3083.0,3093.0,3004.0,31010
2013-06-18,3024.0,2964.0,3058.0,2959.0,70206
2013-06-19,3074.0,3098.0,3407.0,3063.0,1690471
2013-06-20,2870.0,3024.0,3024.0,2705.0,467608
2013-06-21,2860.0,2785.0,2899.0,2705.0,188535
2013-06-24,2770.0,2840.0,2934.0,2770.0,72932
2013-06-25,2596.0,2715.0,2750.0,2596.0,169926
2013-06-26,2631.0,2611.0,2710.0,2611.0,73095
2013-06-27,2716.0,2700.0,2770.0,2651.0,46202
2013-06-28,2721.0,2735.0,2765.0,2695.0,23875
2013-07-01,2835.0,2735.0,2909.0,2725.0,38656
2013-07-02,2885.0,2835.0,2909.0,2825.0,11675
2013-07-03,3074.0,2894.0,3093.0,2859.0,152197
2013-07-04,3148.0,3034.0,3198.0,2994.0,250437
2013-07-05,3014.0,3357.0,3382.0,3009.0,522996
2013-07-08,2969.0,3024.0,3113.0,2924.0,128917
2013-07-09,2984.0,2969.0,3029.0,2934.0,45034
2013-07-10,2989.0,2944.0,3024.0,2944.0,82470
2013-07-11,2964.0,2949.0,3019.0,2939.0,85212
2013-07-12,2974.0,2974.0,3078.0,2934.0,76989
2013-07-15,3009.0,2969.0,3024.0,2909.0,66044
2013-07-16,2979.0,3024.0,3039.0,2949.0,76565
2013-07-17,2994.0,2989.0,3282.0,2974.0,226371
2013-07-18,2984.0,2989.0,3063.0,2959.0,54117
2013-07-19,3138.0,3083.0,3267.0,3024.0,570205
2013-07-22,3213.0,3198.0,3282.0,3138.0,308984
2013-07-23,3531.0,3213.0,3645.0,3208.0,1381441
2013-07-24,3432.0,3536.0,3814.0,3362.0,764472
2013-07-25,3243.0,3426.0,3531.0,3183.0,589498
2013-07-26,3134.0,3208.0,3327.0,3133.0,301939
2013-07-29,3188.0,3123.0,3228.0,3058.0,256099
2013-07-30,3203.0,3158.0,3272.0,3138.0,185549
2013-07-31,3248.0,3228.0,3272.0,3158.0,106494
2013-08-01,3352.0,3277.0,3387.0,3252.0,302681
2013-08-02,3362.0,3357.0,3407.0,3262.0,124379
2013-08-05,3313.0,3332.0,3392.0,3237.0,144279
2013-08-06,3208.0,3282.0,3292.0,3193.0,120613
2013-08-07,3138.0,3183.0,3223.0,3123.0,72232
2013-08-08,3173.0,3143.0,3223.0,3123.0,110318
2013-08-09,3273.0,3148.0,3282.0,3133.0,56349
2013-08-12,3223.0,3257.0,3267.0,3188.0,64697
2013-08-13,3208.0,3232.0,3237.0,3183.0,22351
2013-08-14,3303.0,3183.0,3322.0,3173.0,84400
2013-08-16,3168.0,3183.0,3272.0,3158.0,85705
2013-08-19,3153.0,3193.0,3203.0,3113.0,45480
2013-08-20,3168.0,3213.0,3213.0,3083.0,66530
2013-08-21,3099.0,3118.0,3173.0,3034.0,65045
2013-08-22,3034.0,3078.0,3083.0,2974.0,54439
2013-08-23,3109.0,2989.0,3118.0,2989.0,44105
2013-08-26,3158.0,3108.0,3158.0,3073.0,22739
2013-08-27,3153.0,3153.0,3173.0,3098.0,46524
2013-08-28,3129.0,3148.0,3148.0,3043.0,43528
2013-08-29,3129.0,3148.0,3148.0,3024.0,28011
2013-08-30,3129.0,3128.0,3133.0,3088.0,19548
2013-09-02,3099.0,3108.0,3133.0,3043.0,41759
2013-09-03,3059.0,3098.0,3123.0,3034.0,48894
2013-09-04,3079.0,3058.0,3093.0,3053.0,58277
2013-09-05,3074.0,3098.0,3108.0,3039.0,9262
2013-09-06,3089.0,3073.0,3093.0,3048.0,52101
2013-09-09,3138.0,3093.0,3178.0,3093.0,44193
2013-09-10,3153.0,3148.0,3183.0,3108.0,31063
2013-09-11,3198.0,3158.0,3208.0,3123.0,44829
2013-09-12,3138.0,3198.0,3198.0,3128.0,34973
2013-09-13,3079.0,3158.0,3178.0,3073.0,78712
2013-09-16,3084.0,3118.0,3118.0,3053.0,34354
2013-09-17,3104.0,3098.0,3103.0,3043.0,31398
2013-09-23,3074.0,3073.0,3103.0,3034.0,28403
2013-09-24,3019.0,3029.0,3098.0,2989.0,81215
2013-09-25,3039.0,3014.0,3093.0,2989.0,55519
2013-09-26,3014.0,3034.0,3088.0,2984.0,46851
2013-09-27,3019.0,3004.0,3029.0,2999.0,52929
2013-09-30,2935.0,3019.0,3019.0,2934.0,84155
2013-10-01,2651.0,2974.0,2974.0,2616.0,270321
2013-10-02,2706.0,2626.0,2740.0,2626.0,71366
2013-10-04,2532.0,2735.0,2735.0,2526.0,192383
2013-10-07,2547.0,2511.0,2571.0,2496.0,66733
2013-10-08,2437.0,2536.0,2546.0,2429.0,151622
2013-10-10,2325.0,2408.0,2431.0,2322.0,221594
2013-10-11,2387.0,2342.0,2402.0,2342.0,108166
2013-10-14,2746.0,2392.0,2745.0,2387.0,389968
2013-10-15,2810.0,2894.0,2999.0,2785.0,531070
2013-10-16,2755.0,2800.0,2830.0,2720.0,85349
2013-10-17,2765.0,2755.0,2879.0,2725.0,70334
2013-10-18,2785.0,2790.0,2825.0,2760.0,58410
2013-10-21,2770.0,2785.0,2790.0,2720.0,34621
2013-10-22,2721.0,2755.0,2785.0,2720.0,26237
2013-10-23,2790.0,2735.0,2954.0,2735.0,157324
2013-10-24,2765.0,2775.0,2850.0,2750.0,52804
2013-10-25,2721.0,2765.0,2815.0,2705.0,95444
2013-10-28,2636.0,2690.0,2695.0,2571.0,93481
2013-10-29,2621.0,2621.0,2631.0,2561.0,38103
2013-10-30,2656.0,2621.0,2656.0,2586.0,35343
2013-10-31,2656.0,2646.0,2685.0,2561.0,47326
2013-11-01,2641.0,2646.0,2675.0,2581.0,18004
2013-11-04,2661.0,2596.0,2745.0,2596.0,45311
2013-11-05,2676.0,2651.0,2685.0,2651.0,7145
2013-11-06,2636.0,2685.0,2690.0,2551.0,20479
2013-11-07,2636.0,2596.0,2680.0,2576.0,36580
2013-11-08,2616.0,2591.0,2646.0,2586.0,19331
2013-11-11,2661.0,2616.0,2685.0,2611.0,21456
2013-11-12,2671.0,2656.0,2670.0,2586.0,12703
2013-11-13,2581.0,2596.0,2660.0,2581.0,44262
2013-11-14,2611.0,2591.0,2621.0,2576.0,43560
2013-11-15,2646.0,2621.0,2840.0,2611.0,146957
2013-11-18,2641.0,2641.0,2660.0,2606.0,43691
2013-11-19,2616.0,2601.0,2641.0,2601.0,12920
2013-11-20,2601.0,2626.0,2636.0,2586.0,40715
2013-11-21,2621.0,2581.0,2631.0,2581.0,15135
2013-11-22,2656.0,2621.0,2660.0,2601.0,44764
2013-11-25,2746.0,2656.0,2805.0,2656.0,171627
2013-11-26,2721.0,2750.0,2785.0,2611.0,51793
2013-11-27,2790.0,2735.0,2924.0,2735.0,167877
2013-11-28,2711.0,2889.0,3034.0,2685.0,336429
2013-11-29,2537.0,2656.0,2656.0,2467.0,568299
2013-12-02,2512.0,2469.0,2561.0,2454.0,182294
2013-12-03,2412.0,2531.0,2531.0,2412.0,112889
2013-12-04,2450.0,2386.0,2473.0,2377.0,132061
2013-12-05,2537.0,2447.0,2556.0,2447.0,77564
2013-12-06,2487.0,2536.0,2551.0,2452.0,68103
2013-12-09,2382.0,2473.0,2491.0,2377.0,99616
2013-12-10,2315.0,2357.0,2386.0,2292.0,84416
2013-12-11,2325.0,2264.0,2337.0,2264.0,42199
2013-12-12,2325.0,2324.0,2327.0,2237.0,81276
2013-12-13,2472.0,2324.0,2526.0,2324.0,264977
2013-12-16,2387.0,2486.0,2511.0,2387.0,53993
2013-12-17,2293.0,2312.0,2397.0,2292.0,106234
2013-12-18,2213.0,2312.0,2312.0,2175.0,114902
2013-12-19,2271.0,2217.0,2334.0,2212.0,47529
2013-12-20,2283.0,2270.0,2282.0,2245.0,9047
2013-12-23,2228.0,2282.0,2282.0,2143.0,36901
2013-12-24,2164.0,2143.0,2223.0,2143.0,71681
2013-12-26,2136.0,2202.0,2202.0,2113.0,43669
2013-12-27,2024.0,2138.0,2153.0,2019.0,193984
2013-12-30,1990.0,2009.0,2029.0,1934.0,196453
2014-01-02,1982.0,1994.0,2048.0,1976.0,182888
2014-01-03,1999.0,1966.0,1999.0,1966.0,38206
2014-01-06,2007.0,2013.0,2013.0,1964.0,139500
2014-01-07,1997.0,2003.0,2005.0,1969.0,63500
2014-01-08,2007.0,1995.0,2015.0,1969.0,80001
2014-01-09,2151.0,2035.0,2217.0,2008.0,303342
2014-01-10,2136.0,2182.0,2182.0,2088.0,41363
2014-01-13,2174.0,2133.0,2175.0,2084.0,77671
2014-01-14,2188.0,2173.0,2190.0,2150.0,81442
2014-01-15,2179.0,2228.0,2228.0,2113.0,84476
2014-01-16,2139.0,2178.0,2178.0,2108.0,39272
2014-01-17,2126.0,2158.0,2158.0,2088.0,34991
2014-01-20,2037.0,2125.0,2125.0,2023.0,104497
2014-01-21,2019.0,2039.0,2071.0,2009.0,101383
2014-01-22,2054.0,2051.0,2074.0,2009.0,54598
2014-01-23,2089.0,2069.0,2095.0,2004.0,30532
2014-01-24,2077.0,2088.0,2113.0,2053.0,3758
2014-01-27,1987.0,2060.0,2060.0,1964.0,50742
2014-01-28,2004.0,1971.0,2009.0,1939.0,29131
2014-01-29,2009.0,2004.0,2029.0,1956.0,9238
2014-02-03,1999.0,2014.0,2029.0,1951.0,45223
2014-02-04,1982.0,1986.0,1989.0,1879.0,64431
2014-02-05,1975.0,1999.0,2006.0,1941.0,56311
2014-02-06,1977.0,1971.0,1986.0,1919.0,40331
2014-02-07,1987.0,1976.0,1995.0,1946.0,26909
2014-02-10,1990.0,1999.0,2006.0,1964.0,4789
2014-02-11,1990.0,1989.0,2001.0,1954.0,18024
2014-02-12,2002.0,1989.0,2018.0,1949.0,41439
2014-02-13,1930.0,2001.0,2009.0,1892.0,118054
2014-02-14,1920.0,1939.0,1961.0,1919.0,31493
2014-02-17,1947.0,1964.0,1964.0,1919.0,16020
2014-02-18,1942.0,1919.0,1951.0,1906.0,20178
2014-02-19,1915.0,1949.0,1949.0,1890.0,64797
2014-02-20,1850.0,1904.0,1916.0,1802.0,102810
2014-02-21,1888.0,1839.0,1909.0,1821.0,72409
2014-02-24,1883.0,1884.0,1884.0,1849.0,29774
2014-02-25,1888.0,1884.0,1889.0,1856.0,44624
2014-02-26,1902.0,1889.0,1924.0,1864.0,38851
2014-02-27,1922.0,1901.0,1924.0,1856.0,58227
2014-02-28,1907.0,1919.0,1921.0,1859.0,41777
2014-03-03,1907.0,1869.0,1909.0,1849.0,55850
2014-03-04,1893.0,1879.0,1899.0,1849.0,27800
2014-03-05,1962.0,1891.0,1974.0,1864.0,57511
2014-03-06,1965.0,1959.0,2014.0,1931.0,127777
2014-03-07,1957.0,1974.0,1984.0,1924.0,26845
2014-03-10,1947.0,1964.0,1964.0,1906.0,23583
2014-03-11,1890.0,1946.0,1946.0,1887.0,41698
2014-03-12,1888.0,1889.0,1919.0,1856.0,34099
2014-03-13,1893.0,1886.0,1904.0,1859.0,26899
2014-03-14,1960.0,1890.0,1974.0,1885.0,56299
2014-03-17,1999.0,1959.0,2004.0,1956.0,90506
2014-03-18,2019.0,2006.0,2024.0,1974.0,36787
2014-03-19,2062.0,2008.0,2063.0,1981.0,114512
2014-03-20,2054.0,2061.0,2071.0,2031.0,33737
2014-03-21,2084.0,2071.0,2095.0,2044.0,47469
2014-03-24,2079.0,2084.0,2108.0,2021.0,48988
2014-03-25,2064.0,2074.0,2079.0,1989.0,47376
2014-03-26,2007.0,2073.0,2073.0,1981.0,71748
2014-03-27,1990.0,2006.0,2024.0,1959.0,37848
2014-03-28,2032.0,1989.0,2033.0,1989.0,17532
2014-03-31,2024.0,2031.0,2031.0,1989.0,7069
2014-04-01,2032.0,2020.0,2038.0,1998.0,32283
2014-04-02,2022.0,2030.0,2030.0,1974.0,57330
2014-04-03,1990.0,2021.0,2021.0,1964.0,64797
2014-04-04,2014.0,1989.0,2014.0,1969.0,32185
2014-04-07,2002.0,2013.0,2013.0,1984.0,8094
2014-04-08,1999.0,2004.0,2011.0,1984.0,20097
2014-04-09,1995.0,1989.0,2004.0,1944.0,24400
2014-04-10,2091.0,1994.0,2262.0,1989.0,1058751
2014-04-11,2099.0,2064.0,2128.0,2034.0,158152
2014-04-14,2082.0,2103.0,2108.0,2048.0,155032
2014-04-15,2079.0,2135.0,2135.0,2069.0,92754
2014-04-16,2216.0,2085.0,2247.0,2083.0,435615
2014-04-17,2206.0,2214.0,2237.0,2183.0,97137
2014-04-18,2253.0,2205.0,2278.0,2170.0,212937
2014-04-21,2283.0,2275.0,2282.0,2238.0,122375
2014-04-22,2228.0,2294.0,2297.0,2193.0,100625
2014-04-23,2124.0,2228.0,2228.0,2103.0,170372
2014-04-24,2091.0,2123.0,2173.0,2048.0,74904
2014-04-25,2054.0,2090.0,2113.0,2004.0,111488
2014-04-28,2024.0,2059.0,2061.0,2014.0,41895
2014-04-29,2019.0,2016.0,2034.0,1994.0,22484
2014-04-30,2129.0,2021.0,2128.0,2021.0,72982
