date,close,open,high,low,volume
2004-08-13,38496.0,37210.0,39781.0,35450.0,949374
2004-08-16,37278.0,38766.0,38968.0,34503.0,324494
2004-08-17,35588.0,38158.0,38158.0,35182.0,171980
2004-08-18,35317.0,34910.0,37211.0,33219.0,420786
2004-08-19,37821.0,36535.0,38159.0,35791.0,174957
2004-08-20,38024.0,37010.0,38025.0,36670.0,54481
2004-08-23,37684.0,38023.0,39647.0,37143.0,103466
2004-08-24,39376.0,37954.0,40186.0,37886.0,204556
2004-08-25,40594.0,40120.0,40864.0,38969.0,114725
2004-08-26,41339.0,41541.0,42151.0,40459.0,162693
2004-08-27,41948.0,41541.0,42760.0,41541.0,162517
2004-08-30,40188.0,42351.0,42351.0,39917.0,118861
2004-08-31,39716.0,39242.0,40391.0,38564.0,123332
2004-09-01,41271.0,39309.0,41271.0,38971.0,215177
2004-09-02,41474.0,41271.0,42354.0,41068.0,87859
2004-09-03,41677.0,41746.0,43978.0,41474.0,259473
2004-09-06,41136.0,42150.0,42421.0,40865.0,54660
2004-09-07,40121.0,41136.0,41609.0,39714.0,70371
2004-09-08,41474.0,39783.0,42624.0,39783.0,115208
2004-09-09,41474.0,41542.0,41949.0,41203.0,78063
2004-09-10,44384.0,42218.0,44385.0,41542.0,219883
2004-09-13,47766.0,46005.0,49658.0,45329.0,435624
2004-09-14,46819.0,47765.0,48375.0,46414.0,170337
2004-09-15,47901.0,47359.0,48983.0,46749.0,147180
2004-09-16,48172.0,48037.0,49186.0,47901.0,122648
2004-09-17,51825.0,48171.0,53449.0,48171.0,373574
2004-09-20,52502.0,53789.0,54735.0,52367.0,195676
2004-09-21,53449.0,52704.0,54936.0,52704.0,139110
2004-09-22,51081.0,54127.0,55007.0,51015.0,118184
2004-09-23,49390.0,50470.0,51080.0,48373.0,115071
2004-09-24,51150.0,49389.0,52164.0,49389.0,86792
2004-09-30,49796.0,51148.0,51960.0,48983.0,75487
2004-10-01,50067.0,49120.0,50541.0,49120.0,75425
2004-10-04,51419.0,51553.0,51758.0,50539.0,106866
2004-10-05,51150.0,51352.0,51961.0,50472.0,88433
2004-10-06,48510.0,51148.0,51350.0,47629.0,167190
2004-10-07,45736.0,48305.0,48507.0,44517.0,244745
2004-10-08,46954.0,45195.0,47022.0,44923.0,121452
2004-10-11,47969.0,46005.0,48374.0,45803.0,113531
2004-10-12,48578.0,47832.0,49658.0,47832.0,165065
2004-10-13,52637.0,48849.0,53787.0,48712.0,396157
2004-10-14,52773.0,52231.0,54804.0,51692.0,196803
2004-10-15,51419.0,51892.0,52907.0,50200.0,73664
2004-10-18,49390.0,50742.0,51148.0,48575.0,115428
2004-10-19,51825.0,49998.0,52095.0,49795.0,113013
2004-10-20,49390.0,51148.0,51689.0,48982.0,82902
2004-10-21,48037.0,49524.0,50607.0,47361.0,102168
2004-10-22,48984.0,48037.0,49659.0,47969.0,174337
2004-10-25,48713.0,48305.0,49591.0,47629.0,113724
2004-10-26,48037.0,48712.0,49524.0,47834.0,127173
2004-10-27,47089.0,48306.0,48915.0,45803.0,154093
2004-10-28,48578.0,47763.0,48644.0,47224.0,138139
2004-10-29,47089.0,48306.0,48306.0,46750.0,67247
2004-11-01,46683.0,46478.0,48441.0,46141.0,99496
2004-11-02,46751.0,46817.0,47629.0,46681.0,73412
2004-11-03,48037.0,47361.0,48038.0,46751.0,106289
2004-11-04,46548.0,48575.0,48575.0,46478.0,94265
2004-11-05,46683.0,46953.0,47832.0,46614.0,68156
2004-11-08,45601.0,46479.0,46682.0,45194.0,99600
2004-11-09,46210.0,45534.0,46346.0,45534.0,75745
2004-11-10,46548.0,46680.0,47899.0,46411.0,70753
2004-11-11,45668.0,46546.0,46817.0,45666.0,60314
2004-11-12,46345.0,46479.0,46547.0,45938.0,73379
2004-11-15,47901.0,46954.0,49388.0,46681.0,249517
2004-11-16,49998.0,48713.0,50946.0,48576.0,306682
2004-11-17,51216.0,50743.0,51757.0,50199.0,244592
2004-11-18,51353.0,51825.0,51962.0,49794.0,170638
2004-11-19,49118.0,50744.0,51418.0,48983.0,96103
2004-11-22,49593.0,48441.0,50607.0,48441.0,108033
2004-11-23,51419.0,50065.0,51689.0,50065.0,150596
2004-11-24,51013.0,51418.0,51893.0,50403.0,91492
2004-11-25,51013.0,51418.0,51961.0,51013.0,123209
2004-11-26,48849.0,51014.0,51150.0,48578.0,106303
2004-11-29,48984.0,48576.0,49591.0,48171.0,43771
2004-11-30,49255.0,49254.0,49930.0,48711.0,112692
2004-12-01,47766.0,48712.0,49522.0,47561.0,80569
2004-12-02,47089.0,48712.0,48983.0,47022.0,80578
2004-12-03,47022.0,47495.0,47766.0,46480.0,50933
2004-12-06,47834.0,46953.0,47900.0,46683.0,54366
2004-12-07,46142.0,47562.0,48508.0,46005.0,54032
2004-12-08,46683.0,46005.0,47224.0,45937.0,87636
2004-12-09,46074.0,46886.0,47291.0,46074.0,46048
2004-12-10,43775.0,46210.0,46818.0,43572.0,121867
2004-12-13,42354.0,42827.0,43775.0,42083.0,79636
2004-12-14,40594.0,42488.0,43028.0,39647.0,282529
2004-12-15,43233.0,41337.0,43232.0,41201.0,274935
2004-12-16,43504.0,43842.0,43842.0,42083.0,150461
2004-12-17,44856.0,42893.0,44922.0,42893.0,188746
2004-12-20,44518.0,44586.0,44991.0,44247.0,53732
2004-12-21,44450.0,44923.0,45196.0,44179.0,51495
2004-12-22,44316.0,44722.0,45195.0,43978.0,76332
2004-12-23,43436.0,44923.0,44923.0,43435.0,60242
2004-12-24,42895.0,43299.0,43841.0,42894.0,51689
2004-12-27,43166.0,43841.0,44721.0,43165.0,132364
2004-12-28,43504.0,43573.0,43978.0,43232.0,124077
2004-12-29,43707.0,42286.0,44045.0,42286.0,128991
2004-12-30,44044.0,43503.0,44449.0,43096.0,129774
2005-01-03,45127.0,44315.0,45464.0,43773.0,102488
2005-01-04,45330.0,45127.0,45464.0,44652.0,89194
2005-01-05,46819.0,44587.0,47563.0,44519.0,181546
2005-01-06,49930.0,47225.0,50676.0,46547.0,260610
2005-01-07,52096.0,50135.0,52637.0,49864.0,271310
2005-01-10,53788.0,52775.0,54058.0,51285.0,251936
2005-01-11,52637.0,53854.0,54329.0,51961.0,146755
2005-01-12,51419.0,51689.0,53516.0,50470.0,172776
2005-01-13,53111.0,51352.0,54193.0,51284.0,336933
2005-01-14,54938.0,52774.0,54937.0,52164.0,291386
2005-01-17,60215.0,56156.0,61500.0,55139.0,326509
