date,close,open,high,low,volume
2001-07-26,1686.0,1685.0,1685.0,1685.0,178201
2001-07-27,1887.0,1686.0,1887.0,1654.0,467070
2001-07-30,1728.0,1936.0,1936.0,1663.0,721251
2001-07-31,1657.0,1742.0,1754.0,1638.0,248005
2001-08-01,1750.0,1668.0,1749.0,1668.0,173232
2001-08-02,1958.0,1806.0,1959.0,1706.0,169524
2001-08-03,2111.0,1992.0,2190.0,1983.0,254527
2001-08-06,2219.0,2078.0,2263.0,2078.0,142050
2001-08-07,2224.0,2172.0,2243.0,2140.0,139172
2001-08-08,2399.0,2236.0,2398.0,2188.0,197697
2001-08-09,2395.0,2395.0,2437.0,2333.0,67786
2001-08-10,2406.0,2367.0,2447.0,2367.0,38950
2001-08-13,2399.0,2384.0,2431.0,2333.0,54647
2001-08-14,2425.0,2430.0,2443.0,2381.0,66189
2001-08-16,2413.0,2409.0,2431.0,2327.0,59918
2001-08-17,2395.0,2269.0,2395.0,2269.0,34241
2001-08-20,2334.0,2334.0,2364.0,2283.0,33042
2001-08-21,2395.0,2363.0,2395.0,2269.0,43949
2001-08-22,2350.0,2352.0,2527.0,2349.0,134275
2001-08-23,2350.0,2349.0,2368.0,2268.0,45302
2001-08-24,2626.0,2285.0,2626.0,2220.0,91464
2001-08-27,2918.0,2657.0,2917.0,2431.0,140077
2001-08-28,2707.0,2822.0,2850.0,2708.0,69521
2001-08-29,2383.0,2591.0,2591.0,2384.0,128601
2001-08-30,2108.0,2265.0,2265.0,2097.0,90819
2001-08-31,1962.0,1925.0,2107.0,1925.0,48624
2001-09-03,1954.0,1896.0,1977.0,1896.0,46577
2001-09-04,2003.0,1978.0,2043.0,1978.0,80306
2001-09-05,1945.0,1955.0,2004.0,1897.0,30725
2001-09-06,2068.0,1919.0,2068.0,1919.0,39566
2001-09-07,2075.0,2041.0,2099.0,1992.0,42773
2001-09-10,2042.0,2059.0,2130.0,1997.0,45950
2001-09-11,2042.0,2042.0,2104.0,2003.0,54033
2001-09-12,1799.0,1799.0,1799.0,1799.0,17656
2001-09-13,1750.0,1717.0,1799.0,1685.0,63139
2001-09-14,1547.0,1751.0,1751.0,1544.0,65298
2001-09-17,1361.0,1540.0,1540.0,1361.0,17912
2001-09-18,1404.0,1332.0,1459.0,1332.0,42908
2001-09-19,1569.0,1368.0,1568.0,1368.0,90012
2001-09-20,1589.0,1603.0,1653.0,1555.0,77897
2001-09-21,1591.0,1527.0,1608.0,1527.0,74018
2001-09-24,1599.0,1593.0,1661.0,1557.0,389065
2001-09-25,1638.0,1630.0,1682.0,1604.0,281659
2001-09-26,1735.0,1656.0,1756.0,1641.0,332158
2001-09-27,1686.0,1718.0,1750.0,1685.0,63439
2001-09-28,1719.0,1685.0,1734.0,1659.0,194285
2001-10-04,1896.0,1751.0,1913.0,1751.0,206869
2001-10-05,1890.0,1851.0,1908.0,1830.0,74656
2001-10-08,1883.0,1857.0,1961.0,1815.0,98179
2001-10-09,1978.0,1916.0,2026.0,1916.0,225604
2001-10-10,2033.0,1977.0,2101.0,1948.0,191086
2001-10-11,2059.0,2042.0,2123.0,2042.0,202509
2001-10-12,2059.0,2039.0,2074.0,1993.0,84528
2001-10-15,2139.0,2026.0,2162.0,2026.0,94587
2001-10-16,2230.0,2138.0,2229.0,2138.0,61083
2001-10-17,2211.0,2335.0,2335.0,2208.0,55691
2001-10-18,2269.0,2205.0,2383.0,2155.0,254240
2001-10-19,2289.0,2243.0,2301.0,2236.0,124684
2001-10-22,2299.0,2272.0,2330.0,2272.0,65465
2001-10-23,2188.0,2301.0,2301.0,2188.0,84278
2001-10-24,2188.0,2140.0,2217.0,2114.0,47821
2001-10-25,2188.0,2188.0,2249.0,2175.0,33356
2001-10-26,2206.0,2175.0,2247.0,2175.0,69543
2001-10-29,2237.0,2188.0,2250.0,2188.0,21762
2001-10-30,2276.0,2269.0,2366.0,2236.0,195118
2001-10-31,2399.0,2301.0,2470.0,2301.0,508698
2001-11-01,2399.0,2428.0,2428.0,2346.0,174803
2001-11-02,2334.0,2399.0,2506.0,2302.0,256995
2001-11-05,2383.0,2351.0,2419.0,2205.0,74512
2001-11-06,2354.0,2384.0,2465.0,2351.0,207902
2001-11-07,2334.0,2357.0,2399.0,2272.0,89703
2001-11-08,2350.0,2284.0,2382.0,2284.0,124688
2001-11-09,2399.0,2357.0,2550.0,2357.0,135813
2001-11-12,2366.0,2383.0,2411.0,2334.0,84845
2001-11-13,2281.0,2340.0,2366.0,2253.0,79738
2001-11-14,2555.0,2304.0,2554.0,2284.0,307059
2001-11-15,2723.0,2657.0,2846.0,2657.0,396614
2001-11-16,2740.0,2754.0,2845.0,2695.0,164506
2001-11-19,2742.0,2788.0,2817.0,2723.0,171200
2001-11-20,3070.0,2820.0,3069.0,2820.0,380877
2001-11-21,2854.0,3177.0,3194.0,2776.0,562909
2001-11-22,2983.0,2933.0,3069.0,2852.0,336248
2001-11-23,2993.0,3040.0,3064.0,2933.0,197209
2001-11-26,2993.0,2986.0,3047.0,2850.0,249193
2001-11-27,3194.0,3080.0,3340.0,3080.0,824085
2001-11-28,3485.0,3242.0,3550.0,3242.0,709844
2001-11-29,3599.0,3566.0,3744.0,3323.0,561115
2001-11-30,3599.0,3727.0,3727.0,3517.0,379022
2001-12-03,3502.0,3695.0,4019.0,3484.0,719994
2001-12-04,3404.0,3598.0,3598.0,3209.0,495552
