date,close,open,high,low,volume
2002-05-28,7554.0,7555.0,7555.0,7555.0,74733
2002-05-29,7407.0,7554.0,8363.0,6783.0,435845
2002-05-30,6521.0,7406.0,7438.0,6519.0,105426
2002-05-31,6313.0,6321.0,6784.0,5743.0,286040
2002-06-03,5704.0,5820.0,6298.0,5666.0,104454
2002-06-04,5712.0,5410.0,6127.0,5271.0,263081
2002-06-05,5974.0,5936.0,6244.0,5797.0,153345
2002-06-07,5404.0,5780.0,5934.0,5263.0,43087
2002-06-10,5465.0,5280.0,5549.0,5280.0,88375
2002-06-11,5404.0,5626.0,5626.0,5317.0,36506
2002-06-12,5281.0,5410.0,5488.0,5056.0,61587
2002-06-14,5057.0,5357.0,5357.0,4973.0,74064
2002-06-17,4872.0,4972.0,5087.0,4840.0,73603
2002-06-18,5057.0,4934.0,5450.0,4834.0,281345
2002-06-19,4456.0,5102.0,5195.0,4455.0,83972
2002-06-20,4448.0,4247.0,4602.0,4094.0,42387
2002-06-21,4733.0,4247.0,4780.0,4139.0,125003
2002-06-24,5164.0,4856.0,5164.0,4556.0,123362
2002-06-25,4587.0,5581.0,5781.0,4547.0,209761
2002-06-26,4162.0,4586.0,4586.0,4039.0,83076
2002-06-27,4009.0,4085.0,4316.0,3861.0,57768
2002-06-28,4009.0,4046.0,4255.0,4008.0,68249
2002-07-02,3931.0,3847.0,4009.0,3716.0,47743
2002-07-03,3970.0,3853.0,4238.0,3784.0,50127
2002-07-04,4162.0,4170.0,4170.0,4039.0,41662
2002-07-05,4641.0,4162.0,4655.0,4100.0,72493
2002-07-08,5018.0,4856.0,5195.0,4702.0,113711
2002-07-09,5018.0,4972.0,5057.0,4733.0,54029
2002-07-10,5018.0,4802.0,5396.0,4794.0,107487
2002-07-11,4710.0,4793.0,4878.0,4708.0,27703
2002-07-12,4717.0,4725.0,4856.0,4640.0,32868
2002-07-15,4702.0,4741.0,4780.0,4556.0,51498
2002-07-16,4933.0,4740.0,5164.0,4671.0,177494
2002-07-18,4980.0,5087.0,5226.0,4855.0,75296
2002-07-19,4818.0,4779.0,4963.0,4671.0,41413
2002-07-22,4895.0,4556.0,4895.0,4256.0,91789
2002-07-23,4910.0,4594.0,5025.0,4556.0,70563
2002-07-24,5180.0,4663.0,5180.0,4625.0,65032
2002-07-25,5550.0,5186.0,5795.0,5047.0,204789
2002-07-26,5049.0,5395.0,5449.0,4939.0,135910
2002-07-29,4448.0,4787.0,5011.0,4448.0,226925
2002-07-30,4171.0,4285.0,4439.0,4031.0,267963
2002-07-31,4332.0,4177.0,4624.0,4169.0,189664
2002-08-01,4286.0,4178.0,4487.0,4178.0,75530
2002-08-02,4471.0,4238.0,4477.0,4200.0,126676
2002-08-05,4301.0,4594.0,4609.0,4247.0,95462
2002-08-06,4178.0,4132.0,4193.0,4009.0,113681
2002-08-07,4201.0,4225.0,4364.0,4202.0,43807
2002-08-08,4278.0,4223.0,4354.0,4161.0,94459
2002-08-09,4240.0,4362.0,4462.0,4238.0,32861
2002-08-12,4108.0,4239.0,4293.0,4093.0,85913
2002-08-13,4309.0,4109.0,4394.0,4086.0,61653
2002-08-14,4286.0,4317.0,4394.0,4225.0,96841
2002-08-16,4471.0,4393.0,4501.0,4362.0,66876
2002-08-19,4556.0,4610.0,4856.0,4510.0,117396
2002-08-20,4571.0,4694.0,4694.0,4509.0,96042
2002-08-21,4741.0,4523.0,4762.0,4523.0,103141
2002-08-22,5072.0,4825.0,5303.0,4817.0,292123
2002-08-23,4856.0,4949.0,5072.0,4748.0,93155
2002-08-26,4972.0,4849.0,5204.0,4664.0,173536
2002-08-27,5080.0,5009.0,5395.0,4932.0,250255
2002-08-28,4849.0,5009.0,5179.0,4508.0,185102
2002-08-29,5041.0,4864.0,5041.0,4725.0,73564
2002-08-30,5134.0,5140.0,5163.0,5047.0,101246
2002-09-02,5396.0,5165.0,5450.0,4980.0,108746
2002-09-03,5149.0,5242.0,5396.0,5150.0,96048
2002-09-04,4818.0,5010.0,5010.0,4817.0,84827
2002-09-05,4841.0,4841.0,4934.0,4802.0,54876
2002-09-06,4564.0,4833.0,4833.0,4540.0,89772
2002-09-09,4016.0,4239.0,4609.0,4016.0,135787
2002-09-10,3893.0,4086.0,4086.0,3708.0,75568
2002-09-11,4178.0,4032.0,4217.0,3970.0,84428
2002-09-12,4471.0,4231.0,4492.0,4184.0,88419
2002-09-13,4471.0,4462.0,4469.0,4161.0,65099
2002-09-16,4648.0,4325.0,4649.0,4325.0,104576
2002-09-17,4679.0,4548.0,4811.0,4548.0,121425
2002-09-18,4510.0,4617.0,4725.0,4424.0,34336
2002-09-19,4771.0,4394.0,4779.0,4394.0,46232
2002-09-23,4579.0,4454.0,4654.0,4454.0,28421
2002-09-24,4209.0,4393.0,4470.0,4208.0,49733
2002-09-25,4432.0,4093.0,4671.0,3776.0,272433
2002-09-26,4564.0,4617.0,4624.0,4046.0,196596
2002-09-27,4317.0,4439.0,4501.0,4246.0,32150
2002-09-30,4086.0,4201.0,4309.0,3892.0,68940
2002-10-01,4124.0,3939.0,4193.0,3939.0,28492
2002-10-02,4047.0,4177.0,4308.0,4045.0,19504
2002-10-04,4086.0,3830.0,4131.0,3776.0,126130
2002-10-07,3993.0,4015.0,4153.0,3868.0,169687
2002-10-08,4093.0,4009.0,4155.0,3908.0,298827
2002-10-09,4024.0,4099.0,4161.0,3930.0,138682
2002-10-10,3854.0,4023.0,4023.0,3830.0,93933
2002-10-11,3931.0,3986.0,4009.0,3870.0,126420
2002-10-14,4171.0,3954.0,4170.0,3931.0,208957
2002-10-15,4162.0,4293.0,4455.0,4154.0,268745
2002-10-16,3970.0,4200.0,4231.0,3953.0,80282
2002-10-17,3970.0,3937.0,3991.0,3899.0,85920
2002-10-18,4124.0,4016.0,4202.0,4009.0,100741
2002-10-21,4093.0,4163.0,4301.0,3993.0,109114
2002-10-22,4394.0,4139.0,4417.0,4101.0,297141
2002-10-23,4633.0,4539.0,4708.0,4315.0,299448
2002-10-24,4533.0,4771.0,4771.0,4455.0,109220
2002-10-25,4409.0,4401.0,4547.0,4331.0,90191
2002-10-28,4270.0,4394.0,4532.0,4262.0,163634
2002-10-29,4186.0,4308.0,4339.0,4177.0,99438
2002-10-30,4009.0,4131.0,4224.0,3961.0,98560
2002-10-31,4270.0,4016.0,4293.0,4000.0,156259
2002-11-01,4009.0,4185.0,4239.0,3969.0,78155
2002-11-04,4047.0,4092.0,4177.0,3999.0,89618
2002-11-05,3962.0,4046.0,4139.0,3954.0,51763
2002-11-06,3970.0,3984.0,4022.0,3930.0,85257
2002-11-07,3862.0,3930.0,3991.0,3860.0,45024
2002-11-08,3877.0,3815.0,4000.0,3800.0,47142
2002-11-11,4340.0,3870.0,4340.0,3870.0,311961
2002-11-12,4340.0,4340.0,4541.0,4286.0,200395
2002-11-13,4625.0,4493.0,4856.0,4493.0,601856
