date,close,open,high,low,volume
2005-01-21,7610.0,6800.0,7610.0,6800.0,51349
2005-01-24,8520.0,8520.0,8520.0,8520.0,10980
2005-01-25,9540.0,9540.0,9540.0,9540.0,304440
2005-01-26,10650.0,10650.0,10650.0,10650.0,194211
2005-01-27,11900.0,11900.0,11900.0,11900.0,129833
2005-01-28,12300.0,11000.0,13200.0,10650.0,4275478
2005-01-31,12100.0,12500.0,12800.0,11600.0,1119119
2005-02-01,11700.0,12200.0,12550.0,11700.0,781456
2005-02-02,10700.0,11750.0,11900.0,10550.0,694733
2005-02-03,10150.0,10400.0,10850.0,10150.0,485610
2005-02-04,9500.0,10000.0,10500.0,9300.0,1275457
2005-02-07,10400.0,9610.0,10600.0,9610.0,1501133
2005-02-11,10200.0,10450.0,10500.0,9800.0,835089
2005-02-14,10400.0,10300.0,10600.0,9980.0,1014872
2005-02-15,10300.0,10450.0,10650.0,9960.0,803999
2005-02-16,11500.0,10600.0,11500.0,10550.0,1311823
2005-02-17,12850.0,12200.0,12850.0,12000.0,1103227
2005-02-18,11350.0,12700.0,12700.0,11350.0,2788320
2005-02-21,10850.0,10800.0,11200.0,10450.0,905784
2005-02-22,10150.0,10800.0,11150.0,10000.0,992398
2005-02-23,10450.0,9620.0,10600.0,9620.0,609472
2005-02-24,10400.0,10100.0,10750.0,10100.0,518822
2005-02-25,10000.0,10450.0,10650.0,9900.0,815721
2005-02-28,10050.0,10400.0,10450.0,10000.0,463740
2005-03-02,9900.0,10100.0,10200.0,9820.0,408975
2005-03-03,9480.0,9750.0,9900.0,9450.0,449869
2005-03-04,9300.0,9580.0,9580.0,9050.0,489836
2005-03-07,9430.0,9300.0,9700.0,9290.0,381211
2005-03-08,8950.0,9700.0,9700.0,8710.0,343498
2005-03-09,9360.0,8750.0,9390.0,8690.0,366883
2005-03-10,9160.0,9220.0,9350.0,9120.0,194842
2005-03-11,9800.0,9070.0,10000.0,9070.0,524645
2005-03-14,9660.0,9800.0,9840.0,9550.0,229266
2005-03-15,9160.0,9800.0,9800.0,9160.0,271282
2005-03-16,9310.0,9010.0,9680.0,8810.0,437760
2005-03-17,8960.0,9050.0,9350.0,8930.0,222140
2005-03-18,8720.0,8830.0,9080.0,8670.0,235207
2005-03-21,8520.0,8700.0,8790.0,8480.0,291809
2005-03-22,8660.0,8530.0,8870.0,8530.0,210035
2005-03-23,8330.0,8500.0,8790.0,8330.0,191704
2005-03-24,8350.0,8440.0,8550.0,8180.0,173020
2005-03-25,9150.0,8450.0,9260.0,8350.0,707495
2005-03-28,8850.0,9560.0,9650.0,8690.0,808537
2005-03-29,8370.0,8870.0,8870.0,8310.0,292255
2005-03-30,8150.0,8310.0,8410.0,8080.0,239390
2005-03-31,8010.0,8200.0,8300.0,7960.0,254962
2005-04-01,8000.0,7850.0,8200.0,7820.0,263915
2005-04-04,8000.0,8000.0,8120.0,7980.0,180404
2005-04-06,8170.0,8030.0,8440.0,8030.0,221523
2005-04-07,8150.0,8130.0,8240.0,8100.0,129005
