date,close,open,high,low,volume
2001-07-10,4500.0,4500.0,4500.0,4500.0,497436
2001-07-11,5025.0,4445.0,5025.0,4305.0,2451156
2001-07-12,4425.0,5300.0,5500.0,4425.0,2318776
2001-07-13,3895.0,4505.0,4505.0,3895.0,873452
2001-07-16,3730.0,3890.0,4150.0,3625.0,818822
2001-07-18,3300.0,3505.0,3800.0,3285.0,549212
2001-07-19,3140.0,3295.0,3415.0,3140.0,384074
2001-07-20,2770.0,3115.0,3150.0,2770.0,483148
2001-07-23,3100.0,2805.0,3100.0,2805.0,1060796
2001-07-24,2950.0,3100.0,3110.0,2775.0,780880
2001-07-25,3055.0,2800.0,3175.0,2800.0,559298
2001-07-26,3150.0,3110.0,3230.0,3075.0,373714
2001-07-27,3400.0,3100.0,3485.0,3100.0,777108
2001-07-30,3215.0,3450.0,3450.0,3195.0,362982
2001-07-31,3320.0,3215.0,3400.0,3185.0,518232
2001-08-01,3310.0,3325.0,3480.0,3260.0,422126
2001-08-02,3185.0,3315.0,3410.0,3130.0,363490
2001-08-03,3195.0,3250.0,3260.0,3155.0,210740
2001-08-06,3330.0,3200.0,3380.0,3170.0,436370
2001-08-07,3280.0,3385.0,3440.0,3280.0,511146
2001-08-08,3110.0,3250.0,3275.0,3110.0,273948
2001-08-09,3100.0,3095.0,3165.0,3010.0,332434
2001-08-10,3050.0,3110.0,3150.0,3030.0,162246
2001-08-13,3055.0,3005.0,3175.0,3005.0,195992
2001-08-14,3060.0,3060.0,3115.0,3025.0,125418
2001-08-16,3250.0,3060.0,3395.0,3050.0,807960
2001-08-17,3580.0,3200.0,3625.0,3155.0,921944
2001-08-20,4005.0,3580.0,4005.0,3500.0,1511884
2001-08-21,3950.0,4150.0,4400.0,3950.0,2099434
2001-08-22,3750.0,3900.0,4145.0,3505.0,736948
2001-08-23,3545.0,3850.0,3900.0,3530.0,464240
2001-08-24,3395.0,3500.0,3580.0,3370.0,352810
2001-08-27,3800.0,3425.0,3800.0,3425.0,620144
2001-08-28,3695.0,3800.0,3965.0,3640.0,674620
2001-08-29,3700.0,3585.0,3925.0,3585.0,597164
2001-08-30,4020.0,3780.0,4105.0,3710.0,1100740
2001-08-31,3550.0,3900.0,4080.0,3540.0,663026
2001-09-03,3600.0,3630.0,3750.0,3550.0,353766
2001-09-04,3575.0,3550.0,3645.0,3400.0,378802
2001-09-05,3650.0,3625.0,3810.0,3590.0,563076
2001-09-06,3675.0,3680.0,3725.0,3600.0,332862
2001-09-07,3800.0,3615.0,3880.0,3575.0,528682
2001-09-10,4255.0,3900.0,4255.0,3880.0,1283038
2001-09-11,3975.0,4405.0,4625.0,3900.0,2465134
2001-09-12,3500.0,3500.0,3500.0,3500.0,43808
2001-09-13,3335.0,3250.0,3650.0,3150.0,1078394
2001-09-14,2935.0,3425.0,3520.0,2935.0,1017088
2001-09-17,2585.0,3000.0,3000.0,2585.0,579868
2001-09-18,2860.0,2650.0,2890.0,2650.0,722724
2001-09-19,2835.0,2910.0,2975.0,2810.0,564654
2001-09-20,2570.0,2755.0,2810.0,2510.0,414164
2001-09-21,2575.0,2450.0,2745.0,2335.0,704742
2001-09-24,2625.0,2580.0,2700.0,2555.0,457034
2001-09-25,2595.0,2875.0,2880.0,2530.0,626618
2001-09-26,2625.0,2730.0,2745.0,2540.0,348470
2001-09-27,2940.0,2680.0,2940.0,2640.0,1124624
2001-09-28,3205.0,3000.0,3280.0,3000.0,1616878
2001-10-04,3400.0,3370.0,3550.0,3345.0,772630
2001-10-05,3130.0,3350.0,3350.0,3130.0,914914
2001-10-08,2950.0,3005.0,3185.0,2815.0,731388
2001-10-09,3150.0,3075.0,3185.0,3000.0,1148096
2001-10-10,3150.0,3095.0,3335.0,3095.0,1231666
2001-10-11,3225.0,3285.0,3350.0,3175.0,1820062
2001-10-12,3215.0,3275.0,3320.0,3135.0,836836
2001-10-15,3400.0,3250.0,3430.0,3190.0,1400554
2001-10-16,3375.0,3500.0,3625.0,3370.0,1793724
2001-10-17,3450.0,3475.0,3550.0,3375.0,1026192
2001-10-18,3655.0,3350.0,3825.0,3300.0,3455142
2001-10-19,3635.0,3655.0,3785.0,3585.0,1207274
2001-10-22,4070.0,3835.0,4070.0,3810.0,1941034
2001-10-23,4095.0,4100.0,4435.0,3830.0,2577080
2001-10-24,4040.0,4095.0,4220.0,4010.0,1244758
2001-10-25,3785.0,4080.0,4110.0,3750.0,966482
2001-10-26,3805.0,3825.0,3945.0,3715.0,752974
2001-10-29,3730.0,3760.0,3860.0,3690.0,502284
2001-10-30,3550.0,3585.0,3690.0,3505.0,422260
2001-10-31,3840.0,3575.0,3940.0,3555.0,1179784
2001-11-01,3865.0,3805.0,3915.0,3780.0,792408
2001-11-02,3725.0,3900.0,3950.0,3680.0,722674
2001-11-05,3875.0,3815.0,3885.0,3765.0,450944
2001-11-06,3900.0,4045.0,4075.0,3900.0,1193970
2001-11-07,3790.0,3900.0,3925.0,3790.0,463582
2001-11-08,3800.0,3800.0,3865.0,3780.0,330172
2001-11-09,3875.0,3850.0,4035.0,3820.0,998142
2001-11-12,3985.0,3925.0,3985.0,3875.0,536502
2001-11-13,4050.0,3980.0,4075.0,3930.0,639982
2001-11-14,4030.0,4125.0,4210.0,4025.0,840974
2001-11-15,3845.0,4050.0,4050.0,3795.0,618980
2001-11-16,3785.0,3830.0,3900.0,3740.0,539942
2001-11-19,3835.0,3790.0,4050.0,3790.0,686890
2001-11-20,3725.0,3850.0,3895.0,3685.0,332450
2001-11-21,3675.0,3700.0,3780.0,3660.0,255088
2001-11-22,3675.0,3630.0,3715.0,3630.0,195398
2001-11-23,3725.0,3650.0,3785.0,3650.0,426086
2001-11-26,3675.0,3845.0,3845.0,3635.0,377654
2001-11-27,3640.0,3675.0,3750.0,3620.0,385256
2001-11-28,3500.0,3590.0,3700.0,3470.0,329466
2001-11-29,3500.0,3400.0,3550.0,3400.0,160950
2001-11-30,3595.0,3550.0,3625.0,3550.0,292068
2001-12-03,3795.0,3550.0,3845.0,3550.0,611502
2001-12-04,3745.0,3770.0,3805.0,3690.0,399440
2001-12-05,3860.0,3760.0,3915.0,3745.0,697498
2001-12-06,4090.0,3850.0,4110.0,3850.0,806904
2001-12-07,4175.0,4090.0,4210.0,4045.0,592046
2001-12-10,4350.0,4175.0,4600.0,4130.0,820308
2001-12-11,4300.0,4250.0,4550.0,4250.0,491384
2001-12-12,4390.0,4345.0,4390.0,4290.0,225334
2001-12-13,4200.0,4300.0,4390.0,4170.0,321676
2001-12-14,4200.0,4155.0,4350.0,4050.0,373166
2001-12-17,4005.0,4225.0,4275.0,4005.0,187768
2001-12-18,3815.0,3950.0,4075.0,3790.0,203196
2001-12-19,3725.0,3815.0,4050.0,3710.0,237546
2001-12-20,3840.0,3710.0,3870.0,3710.0,240438
2001-12-21,3845.0,3840.0,3970.0,3800.0,236954
