date,close,open,high,low,volume
2002-08-22,12512.0,12510.0,12510.0,12510.0,213978
2002-08-23,13998.0,13997.0,13997.0,13997.0,153066
2002-08-26,15640.0,15637.0,15637.0,14112.0,369734
2002-08-27,15405.0,15481.0,16380.0,14699.0,184624
2002-08-28,13567.0,15247.0,16029.0,13565.0,82564
2002-08-29,11964.0,11963.0,13527.0,11963.0,255009
2002-08-30,12121.0,12901.0,13135.0,11963.0,115538
2002-09-02,13020.0,10947.0,13567.0,10947.0,218647
2002-09-03,13724.0,12275.0,14386.0,12275.0,131802
2002-09-04,15366.0,14074.0,15364.0,13370.0,214162
2002-09-05,17204.0,16576.0,17202.0,16576.0,104681
2002-09-06,19198.0,17124.0,19235.0,15168.0,337099
2002-09-09,21387.0,18062.0,21465.0,18062.0,130262
2002-09-10,23929.0,23146.0,23928.0,20564.0,267140
2002-09-11,21075.0,24710.0,26195.0,21073.0,200607
2002-09-12,18572.0,21073.0,21112.0,18571.0,198451
2002-09-13,16344.0,16811.0,18296.0,16342.0,593057
2002-09-16,14389.0,16342.0,17007.0,14386.0,473760
2002-09-17,14428.0,14778.0,15326.0,14074.0,670199
2002-09-18,12707.0,13879.0,14192.0,12706.0,367005
2002-09-19,12551.0,12198.0,13449.0,11534.0,625371
2002-09-23,11065.0,12549.0,12667.0,11063.0,440942
2002-09-24,9775.0,10634.0,10868.0,9773.0,517472
2002-09-25,8602.0,9265.0,9773.0,8601.0,650969
2002-09-26,7742.0,8638.0,8991.0,7599.0,603125
2002-09-27,8641.0,7662.0,8640.0,7310.0,1030348
2002-09-30,7624.0,8365.0,9616.0,7622.0,1220980
2002-10-01,7499.0,7200.0,8209.0,7068.0,787660
2002-10-02,7233.0,7936.0,7936.0,7232.0,301820
2002-10-04,6412.0,6880.0,7232.0,6364.0,312859
2002-10-07,5802.0,6223.0,6293.0,5691.0,381600
2002-10-08,6178.0,5667.0,6450.0,5667.0,620779
2002-10-09,5458.0,6262.0,6325.0,5457.0,356946
2002-10-10,4817.0,5317.0,5348.0,4808.0,328037
2002-10-11,5231.0,5041.0,5386.0,4705.0,578605
2002-10-14,5857.0,5629.0,5855.0,5543.0,151496
2002-10-15,6553.0,6544.0,6551.0,6341.0,130419
2002-10-16,6467.0,6997.0,7294.0,6270.0,1256314
2002-10-17,6842.0,6566.0,7012.0,6332.0,519147
2002-10-18,7272.0,7200.0,7427.0,6957.0,417891
2002-10-21,8133.0,7200.0,8131.0,7115.0,627007
2002-10-22,7194.0,8366.0,8522.0,7193.0,950020
2002-10-23,7116.0,7122.0,7325.0,6692.0,450744
2002-10-24,6530.0,7208.0,7489.0,6527.0,636798
2002-10-25,6131.0,6255.0,6473.0,6058.0,414840
2002-10-28,6749.0,6309.0,6864.0,6293.0,411407
2002-10-29,6803.0,6582.0,7020.0,6582.0,396006
2002-10-30,6874.0,6880.0,7240.0,6685.0,538597
2002-10-31,6584.0,7036.0,7075.0,6536.0,286442
