date,close,open,high,low,volume
2020-09-24,14676.0,16422.0,16422.0,13433.0,4556054
2020-09-25,14273.0,15011.0,15431.0,14121.0,1229936
2020-09-28,14424.0,14625.0,14877.0,14340.0,526358
2020-09-29,14508.0,14642.0,14944.0,14323.0,450725
2020-10-05,14155.0,14507.0,14642.0,14071.0,519977
2020-10-06,14659.0,14306.0,15011.0,14289.0,619018
2020-10-07,15583.0,14541.0,15700.0,14507.0,722328
2020-10-08,16019.0,15733.0,16556.0,15733.0,633340
2020-10-12,15633.0,16019.0,16203.0,15549.0,192310
2020-10-13,15129.0,15767.0,15834.0,14944.0,312606
2020-10-14,14575.0,15112.0,15112.0,14440.0,313288
2020-10-15,14592.0,14743.0,14743.0,14071.0,203849
2020-10-16,14861.0,14625.0,15246.0,14323.0,269146
2020-10-19,14609.0,14994.0,15028.0,14575.0,127552
2020-10-20,14844.0,14407.0,14894.0,14289.0,196610
2020-10-21,14945.0,14910.0,15078.0,14759.0,107622
2020-10-22,14995.0,14877.0,15179.0,14793.0,148717
2020-10-23,15314.0,15045.0,15414.0,14877.0,233319
2020-10-26,14491.0,15313.0,15330.0,14474.0,245084
2020-10-27,14458.0,14289.0,14726.0,14272.0,116716
2020-10-28,14558.0,14608.0,14608.0,14390.0,110567
2020-10-29,14458.0,14172.0,14524.0,14155.0,98543
2020-10-30,14357.0,14541.0,14591.0,14272.0,113021
2020-11-02,14441.0,14356.0,14608.0,14256.0,100637
2020-11-03,14474.0,14390.0,14608.0,14340.0,128564
2020-11-04,14945.0,14491.0,15716.0,14272.0,500039
2020-11-05,15734.0,15162.0,16321.0,14978.0,912090
2020-11-06,15247.0,16086.0,16220.0,15112.0,729945
2020-11-09,15314.0,15565.0,15649.0,15196.0,344595
2020-11-10,15213.0,15364.0,15364.0,14894.0,234203
2020-11-11,14777.0,15263.0,15297.0,14776.0,182174
2020-11-12,14911.0,14776.0,15095.0,14675.0,151421
2020-11-13,14911.0,14978.0,15431.0,14692.0,193091
2020-11-16,15935.0,15112.0,15985.0,14810.0,506104
2020-11-17,14810.0,15364.0,15632.0,14776.0,538129
2020-11-18,14642.0,14843.0,14961.0,14407.0,295755
2020-11-19,14592.0,14709.0,15011.0,14524.0,309431
2020-11-20,14659.0,14726.0,14743.0,14524.0,162108
2020-11-23,14726.0,14692.0,14877.0,14659.0,171946
2020-11-24,14642.0,14810.0,14826.0,14608.0,159493
2020-11-25,14508.0,14776.0,14776.0,14390.0,167640
2020-11-26,15112.0,14692.0,15884.0,14575.0,1442855
2020-11-27,14726.0,15028.0,15078.0,14625.0,366424
2020-11-30,14558.0,14709.0,14726.0,14524.0,181969
2020-12-01,14508.0,14474.0,14675.0,14474.0,143289
2020-12-02,14558.0,14608.0,14692.0,14474.0,199501
2020-12-03,14508.0,14675.0,14675.0,14474.0,154271
2020-12-04,14491.0,14608.0,14642.0,14474.0,216715
2020-12-07,14508.0,14608.0,14843.0,14507.0,345164
2020-12-08,14441.0,14558.0,14625.0,14423.0,201696
2020-12-09,14542.0,14541.0,14575.0,14440.0,104433
2020-12-10,14592.0,14474.0,14743.0,14474.0,147970
2020-12-11,14525.0,14743.0,14961.0,14524.0,281861
2020-12-14,14911.0,14625.0,15313.0,14541.0,740879
2020-12-15,14743.0,15146.0,15448.0,14743.0,462600
2020-12-16,14810.0,14894.0,15112.0,14810.0,230422
2020-12-17,14978.0,14944.0,15129.0,14826.0,220015
2020-12-18,14844.0,15112.0,15112.0,14776.0,193388
2020-12-21,18739.0,15028.0,19276.0,14877.0,9732408
2020-12-22,16960.0,18403.0,18605.0,16791.0,2313186
2020-12-23,16523.0,17396.0,17664.0,16388.0,1702693
2020-12-24,16086.0,16321.0,16590.0,15884.0,814374
2020-12-28,16019.0,16287.0,16321.0,15918.0,503883
2020-12-29,15986.0,15582.0,16103.0,15549.0,510615
2020-12-30,16489.0,15851.0,16640.0,15817.0,902856
2021-01-04,16070.0,16489.0,16489.0,15985.0,469693
2021-01-05,16221.0,16069.0,16388.0,15868.0,433556
2021-01-06,16221.0,16405.0,16472.0,16086.0,311894
2021-01-07,16271.0,16237.0,16674.0,16237.0,422193
2021-01-08,16070.0,16338.0,16405.0,15817.0,377558
2021-01-11,15213.0,16153.0,16153.0,15213.0,488265
2021-01-12,15465.0,15364.0,15716.0,15229.0,270990
2021-01-13,15616.0,15498.0,15733.0,15481.0,136101
2021-01-14,15415.0,15532.0,15616.0,15381.0,137223
2021-01-15,15532.0,15582.0,15616.0,15414.0,134913
2021-01-18,15247.0,15414.0,15515.0,15179.0,158240
2021-01-19,15280.0,15213.0,15381.0,14961.0,155831
2021-01-20,15364.0,15481.0,15532.0,15313.0,118887
2021-01-21,15583.0,15414.0,15683.0,15414.0,195648
2021-01-22,16170.0,15683.0,16674.0,15666.0,777153
2021-01-25,16506.0,16271.0,16556.0,16086.0,442668
2021-01-26,16338.0,16606.0,16623.0,16220.0,223338
2021-01-27,16288.0,16371.0,16489.0,16187.0,155232
2021-01-28,15868.0,16052.0,16119.0,15767.0,198147
2021-01-29,15448.0,15884.0,16069.0,15078.0,254943
2021-02-01,15599.0,15213.0,15632.0,15112.0,146990
2021-02-02,15683.0,15700.0,15884.0,15465.0,87410
2021-02-03,15734.0,15649.0,15952.0,15599.0,118961
2021-02-04,16741.0,15632.0,17463.0,15448.0,1986290
2021-02-05,16187.0,16388.0,16573.0,16086.0,366177
2021-02-08,15834.0,16069.0,16086.0,15767.0,173920
2021-02-09,16288.0,15834.0,16304.0,15817.0,170383
2021-02-10,16389.0,16338.0,16539.0,16287.0,222444
2021-02-15,16137.0,15985.0,16220.0,15817.0,180951
2021-02-16,16271.0,16119.0,16506.0,16119.0,172702
2021-02-17,17396.0,16506.0,17463.0,16422.0,1073769
2021-02-18,17430.0,17631.0,17664.0,16959.0,712100
2021-02-19,17060.0,17429.0,17429.0,15784.0,531197
2021-02-22,16557.0,17127.0,17161.0,16556.0,241639
2021-02-23,16523.0,16321.0,17832.0,16069.0,648300
2021-02-24,15952.0,16657.0,16657.0,15868.0,198310
2021-02-25,16389.0,16187.0,16388.0,16002.0,150623
2021-02-26,16120.0,15952.0,16388.0,15884.0,175385
2021-03-02,16086.0,16321.0,16422.0,15952.0,127084
2021-03-03,16053.0,15985.0,16203.0,15952.0,75833
2021-03-04,16338.0,15884.0,16774.0,15868.0,196047
2021-03-05,16271.0,16153.0,16271.0,15935.0,100312
2021-03-08,15986.0,16287.0,16422.0,15985.0,88413
2021-03-09,15868.0,15952.0,16035.0,15448.0,108429
2021-03-10,16137.0,15918.0,16136.0,15784.0,95220
2021-03-11,16086.0,16556.0,16623.0,15952.0,195485
2021-03-12,16019.0,16254.0,16254.0,15952.0,137679
2021-03-15,15767.0,15985.0,15985.0,15750.0,119578
2021-03-16,15633.0,15716.0,15767.0,15498.0,153339
2021-03-17,15482.0,15632.0,15716.0,15414.0,109159
2021-03-18,15583.0,15649.0,15750.0,15565.0,82482
