date,close,open,high,low,volume
2001-12-26,14155.0,14144.0,14144.0,14144.0,49889
2001-12-27,13554.0,14521.0,15827.0,13053.0,162762
2001-12-28,14705.0,14147.0,15061.0,13980.0,58061
2002-01-02,16442.0,15124.0,16427.0,14737.0,20148
2002-01-03,17697.0,17129.0,18386.0,17129.0,84639
2002-01-04,16442.0,17232.0,17408.0,16104.0,47651
2002-01-07,15789.0,15767.0,16423.0,14676.0,17092
2002-01-08,15521.0,15120.0,15989.0,15120.0,19494
2002-01-09,15626.0,15502.0,15992.0,14956.0,19063
2002-01-10,14646.0,15280.0,15613.0,14244.0,14111
2002-01-11,15299.0,13584.0,15709.0,13584.0,11826
2002-01-14,14972.0,14959.0,15448.0,14469.0,7721
2002-01-15,14705.0,14960.0,16753.0,14525.0,18133
2002-01-16,14482.0,14414.0,16319.0,14248.0,11471
2002-01-17,14482.0,14470.0,14904.0,13490.0,6747
2002-01-18,14155.0,14032.0,14790.0,13653.0,8921
2002-01-21,13391.0,13813.0,13813.0,13167.0,10145
2002-01-22,13614.0,13379.0,14960.0,13379.0,7679
2002-01-23,14044.0,13263.0,14187.0,13162.0,8233
2002-01-24,14319.0,14028.0,14676.0,13586.0,5216
2002-01-25,13992.0,13865.0,14301.0,13702.0,3436
2002-01-28,14869.0,13975.0,15393.0,13975.0,20385
2002-01-29,14809.0,15056.0,15120.0,14140.0,8240
2002-01-30,15358.0,14412.0,15716.0,14412.0,59870
2002-01-31,15410.0,15877.0,16100.0,15166.0,44708
2002-02-01,14208.0,15710.0,15821.0,14186.0,37173
2002-02-04,14593.0,14192.0,14794.0,14192.0,10899
2002-02-05,14104.0,13870.0,14905.0,13870.0,11113
2002-02-06,13777.0,14680.0,14680.0,13755.0,11143
2002-02-07,12634.0,13111.0,13547.0,12612.0,10216
2002-02-08,13013.0,12344.0,14036.0,12344.0,3753
2002-02-14,12901.0,12999.0,13323.0,12666.0,4261
2002-02-15,13124.0,12723.0,13868.0,12723.0,1527
2002-02-18,12960.0,12828.0,13586.0,12828.0,5226
2002-02-19,12797.0,12886.0,13163.0,12497.0,10814
2002-02-20,13013.0,12612.0,14082.0,12612.0,15774
2002-02-21,13064.0,13163.0,13699.0,12775.0,8564
2002-02-22,12901.0,12943.0,12943.0,12454.0,5895
2002-02-25,12471.0,12715.0,12882.0,12393.0,7945
2002-02-26,12359.0,12448.0,12829.0,12281.0,8855
2002-02-27,12523.0,12945.0,12945.0,12010.0,7998
2002-02-28,12575.0,12496.0,12718.0,12229.0,5724
2002-03-04,12960.0,12606.0,12994.0,12449.0,9444
2002-03-05,13614.0,13379.0,13656.0,13055.0,10459
2002-03-06,13614.0,13593.0,13758.0,13213.0,9177
2002-03-07,13941.0,14075.0,14565.0,13650.0,8133
2002-03-08,13503.0,13980.0,14145.0,12832.0,8678
2002-03-11,13992.0,14032.0,14301.0,13488.0,11332
2002-03-12,14155.0,14680.0,14956.0,13865.0,24055
2002-03-13,13340.0,13651.0,14352.0,13159.0,20050
2002-03-14,13614.0,13213.0,13593.0,12778.0,11681
2002-03-15,13881.0,13378.0,14145.0,13378.0,16686
2002-03-18,15521.0,15499.0,15499.0,15222.0,20358
2002-03-19,14430.0,17350.0,17350.0,14410.0,123165
2002-03-20,15032.0,15056.0,16045.0,14734.0,67630
2002-03-21,14542.0,15119.0,15656.0,14463.0,54750
2002-03-22,16279.0,15499.0,16256.0,15278.0,212996
2002-03-25,16279.0,16915.0,18170.0,15879.0,240252
2002-03-26,15463.0,16809.0,16865.0,15227.0,81449
2002-03-27,15521.0,15499.0,16147.0,15166.0,67072
2002-03-28,17370.0,17349.0,17349.0,17349.0,29230
2002-03-29,19441.0,19417.0,19417.0,18493.0,71945
2002-04-01,21727.0,21704.0,21704.0,21483.0,59385
2002-04-02,24288.0,24266.0,24266.0,22527.0,250151
2002-04-03,27168.0,24483.0,27156.0,23402.0,73338
2002-04-04,30383.0,30368.0,30368.0,29389.0,15734
2002-04-08,33975.0,33963.0,33963.0,32657.0,74753
2002-04-09,37568.0,34828.0,37553.0,31775.0,350076
2002-04-10,41109.0,35917.0,41088.0,33199.0,208055
2002-04-11,40782.0,37654.0,43377.0,37654.0,186323
2002-04-12,35935.0,39517.0,40277.0,35921.0,127967
2002-04-15,40241.0,35918.0,40217.0,34549.0,57338
2002-04-16,45028.0,45015.0,45015.0,45015.0,5145
2002-04-17,50417.0,50395.0,50395.0,50395.0,2285
2002-04-18,44375.0,50235.0,54100.0,44363.0,538090
2002-04-19,39750.0,44361.0,44361.0,39082.0,260132
2002-04-22,35007.0,42454.0,44460.0,34992.0,376609
2002-04-23,30820.0,33737.0,35587.0,30799.0,304302
2002-04-24,27168.0,30864.0,32379.0,27156.0,301109
2002-04-25,24771.0,25628.0,27422.0,23935.0,406903
2002-04-26,24013.0,24926.0,26230.0,23991.0,215718
2002-04-29,21186.0,22855.0,23892.0,21153.0,183460
2002-04-30,22492.0,19420.0,23616.0,19420.0,404285
2002-05-02,21237.0,22528.0,23556.0,20781.0,195228
2002-05-03,23739.0,21709.0,23717.0,21488.0,407169
2002-05-06,26567.0,24436.0,26554.0,24269.0,335933
2002-05-07,26567.0,27914.0,29716.0,25141.0,373496
2002-05-08,26025.0,27205.0,29388.0,25023.0,434956
2002-05-09,27391.0,26720.0,27968.0,25351.0,193254
2002-05-10,28312.0,27742.0,30202.0,27364.0,452338
