date,close,open,high,low,volume
2002-04-25,3500.0,3500.0,3500.0,3500.0,254797
2002-04-26,3920.0,3680.0,3920.0,3510.0,846334
2002-04-29,3450.0,3920.0,3920.0,3450.0,513398
2002-04-30,3150.0,3210.0,3320.0,3130.0,217610
2002-05-02,3220.0,3500.0,3500.0,3180.0,158101
2002-05-03,3130.0,3060.0,3190.0,2960.0,161745
2002-05-06,3100.0,3050.0,3250.0,2980.0,120506
2002-05-07,3470.0,3150.0,3470.0,3110.0,266484
2002-05-08,3880.0,3640.0,3880.0,3600.0,311299
2002-05-09,3420.0,4000.0,4000.0,3420.0,226873
2002-05-10,3700.0,3400.0,3800.0,3350.0,258788
2002-05-13,3460.0,3500.0,3700.0,3300.0,155197
2002-05-14,3450.0,3350.0,3600.0,3350.0,80692
2002-05-15,3250.0,3440.0,3720.0,3250.0,89505
2002-05-16,3280.0,3310.0,3380.0,3150.0,87680
2002-05-17,3330.0,3380.0,3380.0,3200.0,93776
2002-05-20,3270.0,3330.0,3340.0,3240.0,35453
2002-05-21,3260.0,3220.0,3330.0,3100.0,75431
2002-05-22,3140.0,3260.0,3260.0,3130.0,19503
2002-05-23,3490.0,3190.0,3490.0,2910.0,60549
2002-05-24,3080.0,3390.0,3390.0,3080.0,51161
2002-05-27,3280.0,2910.0,3280.0,2900.0,24706
2002-05-28,2890.0,3130.0,3130.0,2890.0,160333
2002-05-29,2620.0,2820.0,2950.0,2610.0,44274
2002-05-30,2630.0,2620.0,2700.0,2510.0,36764
2002-05-31,2660.0,2540.0,2680.0,2440.0,61505
2002-06-03,2580.0,2620.0,2680.0,2450.0,9752
2002-06-04,2310.0,2460.0,2550.0,2280.0,272650
2002-06-05,2300.0,2330.0,2400.0,2240.0,59806
2002-06-07,2100.0,2240.0,2270.0,2100.0,36385
2002-06-10,2120.0,2050.0,2180.0,2050.0,96264
2002-06-11,2220.0,2100.0,2230.0,2100.0,52919
2002-06-12,2210.0,2230.0,2240.0,2180.0,29505
2002-06-14,2200.0,2200.0,2240.0,2180.0,28439
2002-06-17,2190.0,2200.0,2260.0,2180.0,22857
2002-06-18,2100.0,2250.0,2250.0,2100.0,46324
2002-06-19,1850.0,2120.0,2150.0,1850.0,86353
2002-06-20,1810.0,1810.0,1900.0,1720.0,81306
2002-06-21,1860.0,1790.0,1950.0,1790.0,64208
2002-06-24,1710.0,1840.0,1840.0,1660.0,30949
2002-06-25,1680.0,1650.0,1780.0,1550.0,110254
2002-06-26,1480.0,1750.0,1750.0,1480.0,53662
2002-06-27,1480.0,1570.0,1580.0,1470.0,17754
2002-06-28,1600.0,1490.0,1630.0,1490.0,46616
2002-07-02,1610.0,1500.0,1700.0,1500.0,23878
2002-07-03,1700.0,1560.0,1790.0,1560.0,12235
2002-07-04,1770.0,1650.0,1790.0,1650.0,40105
2002-07-05,1780.0,1800.0,1820.0,1660.0,57948
2002-07-08,1900.0,1820.0,1920.0,1730.0,260998
2002-07-09,1920.0,1880.0,2080.0,1860.0,133234
2002-07-10,2150.0,1900.0,2150.0,1870.0,194907
2002-07-11,2000.0,2100.0,2200.0,1930.0,255946
2002-07-12,2070.0,2050.0,2170.0,1940.0,199156
2002-07-15,1920.0,1970.0,2080.0,1920.0,73761
2002-07-16,1690.0,1830.0,1980.0,1690.0,121570
2002-07-18,1690.0,1710.0,1760.0,1690.0,62039
2002-07-19,1740.0,1630.0,1740.0,1550.0,69712
2002-07-22,1700.0,1660.0,1900.0,1600.0,121732
2002-07-23,1790.0,1700.0,1850.0,1630.0,88924
2002-07-24,1760.0,1790.0,1790.0,1640.0,33680
2002-07-25,1800.0,1780.0,1930.0,1750.0,320191
2002-07-26,1680.0,1750.0,1880.0,1630.0,299832
2002-07-29,1680.0,1720.0,1780.0,1680.0,121425
2002-07-30,1740.0,1710.0,1750.0,1660.0,86029
2002-07-31,1640.0,1700.0,1740.0,1600.0,146193
2002-08-01,1620.0,1620.0,1690.0,1610.0,65517
2002-08-02,1810.0,1590.0,1810.0,1510.0,222772
2002-08-05,1600.0,1750.0,1750.0,1600.0,322019
2002-08-06,1430.0,1510.0,1550.0,1420.0,387807
2002-08-07,1430.0,1480.0,1500.0,1420.0,217385
2002-08-08,1470.0,1450.0,1520.0,1340.0,304773
2002-08-09,1450.0,1480.0,1590.0,1450.0,219327
2002-08-12,1540.0,1470.0,1560.0,1470.0,327644
2002-08-13,1570.0,1580.0,1600.0,1540.0,121752
2002-08-14,1500.0,1520.0,1570.0,1490.0,150158
2002-08-16,1460.0,1530.0,1550.0,1460.0,154445
2002-08-19,1470.0,1480.0,1520.0,1460.0,110943
2002-08-20,1460.0,1500.0,1500.0,1450.0,105813
2002-08-21,1450.0,1450.0,1480.0,1430.0,95057
2002-08-22,1460.0,1460.0,1520.0,1450.0,178738
2002-08-23,1480.0,1480.0,1500.0,1450.0,108932
2002-08-26,1460.0,1500.0,1510.0,1440.0,110841
2002-08-27,1550.0,1480.0,1600.0,1470.0,485802
2002-08-28,1500.0,1570.0,1620.0,1450.0,541489
2002-08-29,1470.0,1500.0,1540.0,1450.0,168611
2002-08-30,1450.0,1480.0,1490.0,1440.0,186830
2002-09-02,1440.0,1430.0,1470.0,1400.0,78676
2002-09-03,1390.0,1420.0,1450.0,1390.0,108854
2002-09-04,1380.0,1360.0,1400.0,1350.0,84608
2002-09-05,1390.0,1390.0,1410.0,1370.0,79670
2002-09-06,1300.0,1360.0,1380.0,1300.0,73044
2002-09-09,1160.0,1310.0,1320.0,1160.0,119572
2002-09-10,1230.0,1140.0,1240.0,1140.0,111406
2002-09-11,1370.0,1230.0,1370.0,1230.0,292696
2002-09-12,1420.0,1500.0,1500.0,1370.0,197404
2002-09-13,1390.0,1400.0,1430.0,1350.0,43802
2002-09-16,1450.0,1260.0,1450.0,1260.0,110441
2002-09-17,1420.0,1400.0,1460.0,1400.0,63443
2002-09-18,1410.0,1420.0,1480.0,1410.0,80731
2002-09-19,1450.0,1410.0,1450.0,1380.0,28879
2002-09-23,1450.0,1420.0,1620.0,1420.0,34317
2002-09-24,1570.0,1390.0,1570.0,1350.0,71786
2002-09-25,1570.0,1600.0,1680.0,1460.0,467683
2002-09-26,1400.0,1650.0,1650.0,1400.0,307639
2002-09-27,1260.0,1410.0,1410.0,1240.0,269343
2002-09-30,1270.0,1170.0,1270.0,1110.0,169440
2002-10-01,1290.0,1260.0,1310.0,1230.0,137596
2002-10-02,1240.0,1280.0,1320.0,1240.0,74822
2002-10-04,1260.0,1240.0,1360.0,1240.0,42634
2002-10-07,1260.0,1210.0,1290.0,1210.0,42570
2002-10-08,1280.0,1300.0,1300.0,1230.0,45192
2002-10-09,1270.0,1270.0,1280.0,1240.0,17013
2002-10-10,1220.0,1250.0,1270.0,1170.0,25954
2002-10-11,1300.0,1260.0,1320.0,1260.0,52590
2002-10-14,1320.0,1340.0,1370.0,1320.0,26807
2002-10-15,1300.0,1320.0,1330.0,1270.0,42785
2002-10-16,1410.0,1310.0,1450.0,1300.0,162687
2002-10-17,1400.0,1420.0,1430.0,1350.0,61079
2002-10-18,1400.0,1490.0,1510.0,1360.0,279087
2002-10-21,1380.0,1420.0,1430.0,1310.0,86318
2002-10-22,1410.0,1410.0,1440.0,1280.0,181885
2002-10-23,1490.0,1470.0,1540.0,1340.0,1016554
2002-10-24,1400.0,1530.0,1540.0,1350.0,448345
2002-10-25,1300.0,1240.0,1390.0,1240.0,263390
2002-10-28,1300.0,1310.0,1340.0,1260.0,210521
2002-10-29,1250.0,1270.0,1300.0,1250.0,255359
2002-10-30,1250.0,1250.0,1290.0,1200.0,118142
2002-10-31,1250.0,1230.0,1280.0,1230.0,92359
2002-11-01,1200.0,1210.0,1260.0,1200.0,99528
2002-11-04,1180.0,1200.0,1230.0,1160.0,107155
2002-11-05,1160.0,1200.0,1220.0,1160.0,131241
2002-11-06,1230.0,1190.0,1230.0,1170.0,99312
2002-11-07,1190.0,1220.0,1230.0,1180.0,66896
2002-11-08,1150.0,1170.0,1170.0,1150.0,53018
2002-11-11,1160.0,1140.0,1170.0,1130.0,64344
2002-11-12,1130.0,1170.0,1170.0,1110.0,49600
2002-11-13,1080.0,1120.0,1140.0,1080.0,73169
2002-11-14,1140.0,1070.0,1160.0,1050.0,147151
2002-11-15,1160.0,1130.0,1170.0,1110.0,135685
2002-11-18,1100.0,1140.0,1190.0,1100.0,42096
2002-11-19,1090.0,1070.0,1130.0,1070.0,94570
2002-11-20,1120.0,1080.0,1150.0,1080.0,70148
2002-11-21,1090.0,1140.0,1150.0,1080.0,69575
2002-11-22,1090.0,1090.0,1130.0,1090.0,68381
2002-11-25,1120.0,1090.0,1140.0,1050.0,70746
2002-11-26,1090.0,1100.0,1130.0,1070.0,72811
2002-11-27,1090.0,1070.0,1110.0,1070.0,24057
2002-11-28,1130.0,1120.0,1190.0,1100.0,181326
2002-11-29,1150.0,1130.0,1160.0,1120.0,53174
2002-12-02,1250.0,1140.0,1260.0,1140.0,114132
2002-12-03,1200.0,1280.0,1280.0,1160.0,172068
2002-12-04,1250.0,1210.0,1340.0,1200.0,466434
2002-12-05,1270.0,1270.0,1280.0,1220.0,115357
2002-12-06,1340.0,1290.0,1360.0,1270.0,157695
2002-12-09,1320.0,1310.0,1370.0,1280.0,110330
2002-12-10,1220.0,1300.0,1470.0,1200.0,774398
2002-12-11,1240.0,1230.0,1260.0,1190.0,86544
2002-12-12,1210.0,1260.0,1290.0,1210.0,106201
