date,close,open,high,low,volume
2002-02-26,7248.0,7248.0,7248.0,7248.0,75765
2002-02-27,8116.0,8116.0,8116.0,8116.0,8854
2002-02-28,7191.0,8574.0,8574.0,7143.0,1308064
2002-03-04,8049.0,8011.0,8049.0,7305.0,1747902
2002-03-05,8526.0,8583.0,8908.0,7840.0,1268635
2002-03-06,9346.0,8583.0,9346.0,8040.0,1307015
2002-03-07,8240.0,8774.0,9728.0,8231.0,1241268
2002-03-08,7543.0,8297.0,8488.0,7496.0,583807
2002-03-11,7582.0,7458.0,7887.0,7391.0,384502
2002-03-12,7286.0,7630.0,7773.0,7248.0,345870
2002-03-13,7295.0,7210.0,7563.0,7153.0,276415
2002-03-14,7438.0,7153.0,7716.0,7153.0,294169
2002-03-15,7286.0,7344.0,7544.0,7286.0,254405
2002-03-18,7725.0,7439.0,7868.0,7363.0,435536
2002-03-19,7496.0,7725.0,7773.0,7487.0,224500
2002-03-20,7868.0,7639.0,7935.0,7534.0,507577
2002-03-21,7391.0,7954.0,8049.0,7344.0,395828
2002-03-22,7391.0,7420.0,7582.0,7344.0,210962
2002-03-25,7210.0,7258.0,7410.0,7191.0,234957
2002-03-26,6513.0,7153.0,7286.0,6447.0,235214
2002-03-27,6294.0,6523.0,6676.0,6256.0,309457
2002-03-28,7047.0,6199.0,7048.0,6199.0,1017728
2002-03-29,6771.0,7038.0,7344.0,6771.0,677986
2002-04-01,7009.0,6914.0,7363.0,6781.0,467217
2002-04-02,6771.0,6953.0,7229.0,6666.0,251128
2002-04-03,6799.0,6771.0,7105.0,6724.0,216167
2002-04-04,6485.0,6724.0,6876.0,6419.0,237657
2002-04-08,6532.0,6485.0,6676.0,6352.0,144040
2002-04-09,6361.0,6295.0,6619.0,6285.0,148258
2002-04-10,5913.0,6399.0,6476.0,5827.0,213903
2002-04-11,5874.0,5913.0,6018.0,5760.0,130884
2002-04-12,5626.0,5799.0,5894.0,5579.0,160515
2002-04-15,5712.0,5551.0,5827.0,5551.0,114551
2002-04-16,5884.0,5722.0,5884.0,5636.0,181822
2002-04-17,5865.0,5923.0,6056.0,5799.0,196209
2002-04-18,5703.0,5923.0,6008.0,5703.0,130840
2002-04-19,5426.0,5722.0,5751.0,5369.0,209067
2002-04-22,4825.0,5417.0,5503.0,4778.0,266794
2002-04-23,4825.0,4626.0,4864.0,4263.0,270324
2002-04-24,4825.0,5102.0,5398.0,4807.0,821013
2002-04-25,4272.0,4263.0,4988.0,4263.0,157288
2002-04-26,4387.0,4292.0,4492.0,4177.0,145539
2002-04-29,3862.0,3910.0,4177.0,3863.0,186946
2002-04-30,3910.0,3739.0,3939.0,3739.0,82731
2002-05-02,4005.0,4101.0,4149.0,3910.0,122877
2002-05-03,3919.0,3920.0,4006.0,3796.0,91323
2002-05-06,4053.0,4006.0,4196.0,3929.0,139246
2002-05-07,4301.0,4006.0,4368.0,4006.0,198010
2002-05-08,4291.0,4482.0,4482.0,4234.0,183289
2002-05-09,4043.0,4378.0,4387.0,4006.0,130491
2002-05-10,3862.0,4006.0,4006.0,3843.0,100818
2002-05-13,3853.0,3910.0,3967.0,3843.0,121373
2002-05-14,3872.0,3882.0,3996.0,3824.0,100044
2002-05-15,3900.0,3948.0,3977.0,3872.0,91850
2002-05-16,4139.0,3958.0,4282.0,3948.0,307667
2002-05-17,4186.0,4149.0,4339.0,4044.0,191063
2002-05-20,4158.0,4273.0,4358.0,4149.0,177369
2002-05-21,3910.0,4158.0,4244.0,3910.0,162847
2002-05-22,3872.0,3834.0,4006.0,3805.0,106018
2002-05-23,4081.0,3910.0,4082.0,3910.0,205483
2002-05-24,4177.0,4196.0,4568.0,4091.0,333761
2002-05-27,3805.0,4177.0,4177.0,3796.0,179568
2002-05-28,3547.0,3815.0,3882.0,3405.0,269197
2002-05-29,3280.0,3452.0,3529.0,3147.0,215675
2002-05-30,3051.0,3338.0,3338.0,3004.0,124269
2002-05-31,2927.0,2976.0,3100.0,2928.0,116844
2002-06-03,2899.0,2928.0,3004.0,2823.0,105586
2002-06-04,2908.0,2861.0,2937.0,2775.0,115554
2002-06-05,2956.0,2995.0,3071.0,2937.0,130872
2002-06-07,3099.0,2957.0,3214.0,2918.0,322325
2002-06-10,3471.0,3243.0,3472.0,3204.0,447300
2002-06-11,3471.0,3529.0,3529.0,3271.0,270702
2002-06-12,3414.0,3472.0,3529.0,3309.0,107515
2002-06-14,3252.0,3367.0,3462.0,3252.0,103518
2002-06-17,3118.0,3271.0,3290.0,3071.0,96168
2002-06-18,2966.0,3195.0,3233.0,2966.0,95223
2002-06-19,2775.0,2966.0,2985.0,2775.0,94628
2002-06-20,2718.0,2670.0,2852.0,2670.0,56062
2002-06-21,2822.0,2680.0,2852.0,2632.0,79043
2002-06-24,2603.0,2766.0,2785.0,2585.0,105340
2002-06-25,2412.0,2623.0,2718.0,2403.0,107119
2002-06-26,2126.0,2270.0,2375.0,2127.0,69686
2002-06-27,2145.0,2127.0,2241.0,2098.0,82011
2002-06-28,2298.0,2127.0,2384.0,2127.0,119748
2002-07-02,2288.0,2213.0,2308.0,2136.0,86031
2002-07-03,2374.0,2308.0,2413.0,2136.0,104973
2002-07-04,2460.0,2413.0,2518.0,2375.0,134475
2002-07-05,2431.0,2470.0,2537.0,2432.0,128288
2002-07-08,2403.0,2480.0,2527.0,2394.0,124127
2002-07-09,2613.0,2346.0,2661.0,2346.0,187177
2002-07-10,2918.0,2670.0,2918.0,2670.0,555151
2002-07-11,2803.0,2957.0,3100.0,2785.0,345271
2002-07-12,2822.0,2957.0,2957.0,2804.0,135558
2002-07-15,2861.0,2899.0,2966.0,2833.0,161365
2002-07-16,3061.0,2890.0,3157.0,2890.0,324504
2002-07-18,2851.0,3080.0,3176.0,2842.0,200216
2002-07-19,2555.0,2852.0,2852.0,2518.0,192417
2002-07-22,2250.0,2480.0,2480.0,2251.0,126220
2002-07-23,2384.0,2127.0,2403.0,2127.0,143770
2002-07-24,2384.0,2222.0,2384.0,2203.0,69295
2002-07-25,2384.0,2527.0,2613.0,2384.0,116906
2002-07-26,2670.0,2461.0,2670.0,2289.0,188426
2002-07-29,2756.0,2985.0,2985.0,2623.0,941018
2002-07-30,2679.0,2785.0,2785.0,2623.0,230950
2002-07-31,2632.0,2737.0,2976.0,2632.0,578397
2002-08-01,2946.0,2632.0,2947.0,2613.0,521968
2002-08-02,2908.0,3004.0,3271.0,2823.0,590278
2002-08-05,2565.0,2909.0,2909.0,2565.0,217806
2002-08-06,2479.0,2403.0,2604.0,2337.0,140051
2002-08-07,2451.0,2527.0,2604.0,2451.0,135892
2002-08-08,2517.0,2480.0,2604.0,2442.0,143345
2002-08-09,2479.0,2804.0,2804.0,2470.0,222916
2002-08-12,2775.0,2480.0,2775.0,2480.0,208953
2002-08-13,3099.0,3100.0,3100.0,3052.0,167762
2002-08-14,2975.0,3309.0,3338.0,2890.0,1167086
2002-08-16,3328.0,3033.0,3328.0,2928.0,1022282
2002-08-19,3385.0,3529.0,3710.0,3214.0,1099274
2002-08-20,3767.0,3433.0,3767.0,3357.0,978198
2002-08-21,3719.0,3758.0,4177.0,3624.0,1324857
2002-08-22,3681.0,3796.0,3863.0,3576.0,483961
2002-08-23,3290.0,3739.0,3777.0,3252.0,394599
2002-08-26,3338.0,3243.0,3424.0,3214.0,309814
2002-08-27,3528.0,3386.0,3529.0,3262.0,330186
2002-08-28,3233.0,3529.0,3643.0,3147.0,423802
2002-08-29,3137.0,3252.0,3290.0,3052.0,201048
2002-08-30,3385.0,3243.0,3510.0,3185.0,811206
2002-09-02,3137.0,3414.0,3433.0,3004.0,514587
2002-09-03,3090.0,3195.0,3204.0,3052.0,297931
2002-09-04,2899.0,3042.0,3042.0,2899.0,210505
2002-09-05,3061.0,2909.0,3166.0,2909.0,358499
2002-09-06,2946.0,2909.0,3033.0,2909.0,196642
2002-09-09,2594.0,3004.0,3052.0,2594.0,431169
2002-09-10,2613.0,2556.0,2651.0,2527.0,276661
2002-09-11,2861.0,2661.0,2899.0,2642.0,330488
2002-09-12,2861.0,2794.0,2928.0,2794.0,213454
2002-09-13,2670.0,2842.0,2861.0,2632.0,165978
2002-09-16,2651.0,2594.0,2728.0,2585.0,106923
2002-09-17,2765.0,2689.0,2785.0,2651.0,148743
2002-09-18,2622.0,2766.0,2766.0,2604.0,90171
2002-09-19,2689.0,2623.0,2728.0,2623.0,140312
2002-09-23,2660.0,2623.0,2709.0,2575.0,71450
2002-09-24,2346.0,2527.0,2623.0,2346.0,102882
2002-09-25,2336.0,2384.0,2499.0,2298.0,184449
2002-09-26,2470.0,2384.0,2604.0,2337.0,174734
2002-09-27,2632.0,2432.0,2670.0,2432.0,212825
