date,close,open,high,low,volume
2001-11-13,4728.0,4729.0,4729.0,4729.0,283532
2001-11-14,4457.0,4574.0,4884.0,4163.0,1346860
2001-11-15,4992.0,4612.0,4992.0,4527.0,719411
2001-11-16,5589.0,5426.0,5589.0,5318.0,106686
2001-11-19,5410.0,5581.0,5736.0,5155.0,809311
2001-11-20,5736.0,5659.0,6054.0,5349.0,1181171
2001-11-21,5255.0,5581.0,5690.0,5124.0,345840
2001-11-22,5193.0,5163.0,5442.0,4922.0,243768
2001-11-23,5139.0,5039.0,5504.0,4953.0,249495
2001-11-26,4806.0,5155.0,5186.0,4806.0,149384
2001-11-27,4806.0,4845.0,5085.0,4729.0,227986
2001-11-28,5379.0,4806.0,5380.0,4806.0,388328
2001-11-29,6023.0,6023.0,6023.0,5814.0,551847
2001-11-30,6744.0,6744.0,6744.0,6744.0,27263
2001-12-03,7550.0,7550.0,7550.0,7550.0,20380
2001-12-04,8449.0,8372.0,8449.0,7829.0,500865
2001-12-05,9457.0,9457.0,9457.0,8217.0,1788226
2001-12-06,9612.0,9457.0,10387.0,8914.0,1023024
2001-12-07,9999.0,9302.0,10736.0,9147.0,1121896
2001-12-10,11162.0,10232.0,11163.0,9767.0,483106
2001-12-11,12480.0,12480.0,12480.0,12480.0,18102
2001-12-12,13953.0,13953.0,13953.0,12790.0,453467
2001-12-13,12712.0,14186.0,15348.0,12519.0,1856388
2001-12-14,11201.0,12868.0,13294.0,11201.0,1207881
2001-12-17,12519.0,11705.0,12519.0,11201.0,1994109
2001-12-18,11046.0,12519.0,13566.0,11046.0,1573669
2001-12-19,9728.0,10852.0,11550.0,9728.0,1329182
2001-12-20,9767.0,9767.0,10504.0,8759.0,1768162
2001-12-21,8604.0,9380.0,10194.0,8604.0,1037969
2001-12-24,7596.0,8217.0,8643.0,7597.0,1859534
2001-12-26,6689.0,7449.0,7736.0,6690.0,1094407
2001-12-27,6705.0,6690.0,7287.0,6449.0,1529757
2001-12-28,6503.0,6736.0,7108.0,6496.0,896370
2002-01-02,7278.0,6736.0,7279.0,6682.0,361085
2002-01-03,8139.0,8062.0,8139.0,7790.0,138986
2002-01-04,7868.0,8876.0,8876.0,7597.0,1457605
2002-01-07,8798.0,7752.0,8798.0,7527.0,921844
2002-01-08,8798.0,8798.0,9573.0,8682.0,943696
2002-01-09,7751.0,8604.0,8953.0,7752.0,656453
2002-01-10,7751.0,7752.0,8333.0,7186.0,541040
2002-01-11,8681.0,7674.0,8682.0,7674.0,1105439
2002-01-14,7984.0,8759.0,9302.0,7984.0,982901
2002-01-15,7906.0,7984.0,8643.0,7721.0,809438
2002-01-16,8371.0,7946.0,8798.0,7907.0,823463
2002-01-17,7984.0,8178.0,8682.0,7829.0,522286
2002-01-18,8216.0,8217.0,8914.0,7984.0,1080537
2002-01-21,8449.0,8372.0,8953.0,8294.0,812987
2002-01-22,8100.0,8527.0,8682.0,7984.0,466096
2002-01-23,8100.0,8217.0,8449.0,8023.0,375523
2002-01-24,7743.0,8139.0,8294.0,7635.0,376948
2002-01-25,7906.0,7752.0,8566.0,7643.0,828973
2002-01-28,7984.0,7907.0,8333.0,7829.0,431147
2002-01-29,8914.0,8449.0,8914.0,8333.0,757986
2002-01-30,9185.0,9225.0,9961.0,9147.0,1759411
2002-01-31,9147.0,9341.0,9418.0,8759.0,669057
2002-02-01,9302.0,9922.0,10232.0,9225.0,1534155
2002-02-04,8526.0,9147.0,9573.0,8217.0,667698
2002-02-05,8875.0,8527.0,8992.0,8139.0,592855
2002-02-06,8371.0,8527.0,8876.0,8333.0,301215
2002-02-07,7689.0,8139.0,8488.0,7635.0,346028
2002-02-08,7441.0,7674.0,7907.0,7139.0,243102
2002-02-14,7441.0,7418.0,7674.0,7411.0,197026
2002-02-15,7596.0,7449.0,7946.0,7449.0,237630
2002-02-18,7596.0,7597.0,7868.0,7597.0,181760
2002-02-19,8294.0,7597.0,8488.0,7597.0,778042
2002-02-20,7906.0,8139.0,8178.0,7790.0,185803
2002-02-21,8216.0,8062.0,8333.0,7713.0,321350
2002-02-22,8526.0,8139.0,9186.0,7984.0,657832
2002-02-25,8720.0,8721.0,9031.0,8217.0,494524
2002-02-26,8914.0,8682.0,9070.0,8566.0,478724
2002-02-27,8526.0,8721.0,9225.0,8527.0,442583
2002-02-28,8061.0,8372.0,8566.0,8023.0,444419
2002-03-04,8526.0,8294.0,8837.0,8062.0,573552
2002-03-05,8526.0,8527.0,8953.0,8372.0,622417
2002-03-06,8371.0,8682.0,8798.0,8372.0,252929
2002-03-07,8061.0,8449.0,8566.0,7946.0,298963
2002-03-08,8061.0,7984.0,8217.0,7984.0,148612
2002-03-11,8294.0,8101.0,8566.0,8101.0,293976
2002-03-12,8216.0,8449.0,8604.0,8178.0,205302
2002-03-13,8100.0,8062.0,8372.0,8062.0,152351
2002-03-14,8216.0,7984.0,8256.0,7984.0,150289
2002-03-15,8953.0,8449.0,9147.0,8256.0,679365
2002-03-18,9263.0,9418.0,9690.0,8992.0,546468
2002-03-19,9689.0,9147.0,9767.0,8837.0,385785
2002-03-20,9302.0,9845.0,10775.0,9302.0,897888
2002-03-21,8836.0,9147.0,9302.0,8682.0,355534
2002-03-22,9883.0,8837.0,9883.0,8837.0,521000
2002-03-25,10348.0,9922.0,10736.0,9651.0,944743
2002-03-26,9960.0,10426.0,10697.0,9767.0,339830
2002-03-27,10387.0,10038.0,10387.0,9806.0,291930
