date,close,open,high,low,volume
2001-08-31,4404.0,4402.0,4402.0,4402.0,365870
2001-09-03,3875.0,4529.0,4529.0,3876.0,1803250
2001-09-04,3446.0,3673.0,3774.0,3420.0,1374899
2001-09-05,3851.0,3448.0,3849.0,3296.0,1906005
2001-09-06,3649.0,3849.0,4024.0,3521.0,2327668
2001-09-07,3573.0,3774.0,3774.0,3446.0,564728
2001-09-10,3397.0,3597.0,3648.0,3395.0,499664
2001-09-11,3523.0,3345.0,3698.0,3345.0,925711
2001-09-12,3119.0,3121.0,3121.0,3121.0,24857
2001-09-13,2919.0,2893.0,3120.0,2893.0,503245
2001-09-14,2592.0,2868.0,3095.0,2592.0,868591
2001-09-17,2290.0,2516.0,2516.0,2289.0,132258
2001-09-18,2440.0,2263.0,2541.0,2263.0,449432
2001-09-19,2390.0,2163.0,2566.0,2163.0,452778
2001-09-20,2290.0,2516.0,2516.0,2138.0,194759
2001-09-21,2290.0,2263.0,2340.0,2113.0,273968
2001-09-24,2541.0,2314.0,2542.0,2314.0,333023
2001-09-25,2566.0,2641.0,2843.0,2541.0,336302
2001-09-26,2868.0,2767.0,2867.0,2514.0,707587
2001-09-27,3196.0,2767.0,3196.0,2767.0,848775
2001-09-28,3246.0,3321.0,3396.0,3094.0,873154
2001-10-04,3523.0,3420.0,3597.0,3371.0,561952
2001-10-05,3623.0,3547.0,3773.0,3446.0,608030
2001-10-08,4050.0,3521.0,4050.0,3521.0,1053818
2001-10-09,4529.0,4251.0,4529.0,4100.0,2003620
2001-10-10,4428.0,5057.0,5057.0,4151.0,4976124
2001-10-11,4881.0,4653.0,4955.0,4276.0,5880801
2001-10-12,5460.0,5006.0,5461.0,4779.0,1220591
2001-10-15,6115.0,6115.0,6115.0,6115.0,156010
2001-10-16,5384.0,6164.0,6769.0,5386.0,3627921
2001-10-17,5535.0,5132.0,5786.0,4854.0,5780778
2001-10-18,4881.0,5282.0,5407.0,4880.0,1328036
2001-10-19,4353.0,4554.0,4880.0,4301.0,2619366
2001-10-22,4831.0,4352.0,4855.0,4352.0,2482334
2001-10-23,4252.0,4830.0,4931.0,4251.0,2161226
2001-10-24,4227.0,4251.0,4402.0,4151.0,1120355
2001-10-25,4026.0,4277.0,4328.0,3926.0,1162157
2001-10-26,4077.0,3926.0,4302.0,3926.0,1129795
2001-10-29,4554.0,4226.0,4555.0,4226.0,1570901
2001-10-30,4026.0,4805.0,4881.0,4027.0,2643659
2001-10-31,4077.0,4152.0,4252.0,3900.0,1061836
2001-11-01,4202.0,4151.0,4327.0,4151.0,982394
2001-11-02,4151.0,4251.0,4402.0,4050.0,1069275
2001-11-05,4151.0,4151.0,4251.0,4074.0,685706
2001-11-06,4252.0,4201.0,4301.0,4151.0,673492
2001-11-07,4327.0,4328.0,4553.0,4201.0,1878506
2001-11-08,4428.0,4276.0,4478.0,4276.0,1018334
2001-11-09,4327.0,4478.0,4502.0,4251.0,789024
2001-11-12,4178.0,4353.0,4379.0,3950.0,1675277
2001-11-13,3976.0,4176.0,4202.0,3950.0,883787
2001-11-14,4050.0,4024.0,4125.0,3974.0,566474
2001-11-15,3925.0,4176.0,4252.0,3900.0,631070
2001-11-16,3824.0,3774.0,3974.0,3748.0,531019
2001-11-19,3824.0,3774.0,3874.0,3774.0,516184
2001-11-20,4101.0,3847.0,4125.0,3847.0,1080101
2001-11-21,3950.0,4100.0,4175.0,3924.0,663800
2001-11-22,4404.0,3975.0,4402.0,3950.0,1354850
2001-11-23,4202.0,4503.0,4830.0,4100.0,4119732
2001-11-26,3999.0,4100.0,4251.0,3823.0,1453879
2001-11-27,3851.0,3975.0,4001.0,3824.0,734611
2001-11-28,3598.0,3900.0,3926.0,3597.0,698041
2001-11-29,3649.0,3622.0,3900.0,3496.0,997553
2001-11-30,3523.0,3698.0,3774.0,3521.0,393192
2001-12-03,3473.0,3497.0,3573.0,3474.0,267400
2001-12-04,3497.0,3446.0,3597.0,3420.0,389049
2001-12-05,3598.0,3521.0,3648.0,3521.0,448749
2001-12-06,3473.0,3648.0,3674.0,3474.0,371221
