date,close,open,high,low,volume
2002-05-16,4813.0,4812.0,4812.0,4812.0,170796
2002-05-17,4633.0,4512.0,5204.0,4235.0,1037340
2002-05-20,4512.0,4806.0,4927.0,4386.0,260384
2002-05-21,3977.0,4006.0,4270.0,3976.0,274310
2002-05-22,3821.0,3910.0,4085.0,3736.0,155623
2002-05-23,3676.0,3845.0,3983.0,3669.0,186494
2002-05-24,3790.0,3687.0,3970.0,3489.0,253587
2002-05-27,3549.0,3669.0,3909.0,3543.0,97638
2002-05-28,3513.0,3489.0,3609.0,3314.0,55099
2002-05-29,3369.0,3495.0,3495.0,3279.0,63654
2002-05-30,3417.0,3309.0,3525.0,3309.0,63092
2002-05-31,3519.0,3459.0,3717.0,3435.0,80390
2002-06-03,3339.0,3573.0,3609.0,3207.0,42845
2002-06-04,3128.0,3248.0,3248.0,3044.0,50418
2002-06-05,3158.0,3127.0,3344.0,3067.0,51404
2002-06-07,3538.0,3249.0,3537.0,3231.0,104819
2002-06-10,3640.0,3771.0,3958.0,3489.0,332087
2002-06-11,3483.0,3639.0,3699.0,3369.0,108836
2002-06-12,3592.0,3555.0,3699.0,3453.0,151472
2002-06-14,3821.0,3676.0,3928.0,3676.0,292533
2002-06-17,3519.0,3940.0,4060.0,3399.0,502033
2002-06-18,3279.0,3603.0,3657.0,3273.0,262547
2002-06-19,2912.0,3188.0,3278.0,2899.0,267617
2002-06-20,3062.0,2887.0,3062.0,2767.0,180376
2002-06-21,3140.0,2906.0,3146.0,2906.0,102711
2002-06-24,3008.0,3067.0,3067.0,2935.0,97938
2002-06-25,2948.0,3067.0,3110.0,2941.0,96376
2002-06-26,2599.0,2737.0,2936.0,2599.0,86761
2002-06-27,2509.0,2544.0,2683.0,2352.0,64373
2002-06-28,2756.0,2587.0,2798.0,2562.0,68246
2002-07-02,2888.0,2634.0,2886.0,2616.0,66483
2002-07-03,3116.0,3224.0,3224.0,2923.0,88178
2002-07-04,3158.0,3176.0,3230.0,3019.0,90931
2002-07-05,3188.0,3303.0,3381.0,3159.0,288177
2002-07-08,3188.0,3303.0,3327.0,3189.0,202909
2002-07-09,3568.0,3243.0,3567.0,3189.0,302120
2002-07-10,3700.0,3615.0,3807.0,3489.0,216053
2002-07-11,3574.0,3699.0,3699.0,3465.0,156314
2002-07-12,3465.0,3609.0,3633.0,3465.0,163092
2002-07-15,3549.0,3344.0,3615.0,3339.0,169958
2002-07-16,3700.0,3675.0,3855.0,3518.0,535785
2002-07-18,4139.0,3880.0,4139.0,3795.0,587817
2002-07-19,3959.0,4042.0,4085.0,3790.0,341958
2002-07-22,3490.0,3730.0,4019.0,3489.0,326655
2002-07-23,3760.0,3351.0,3807.0,3351.0,337246
2002-07-24,3519.0,3669.0,3717.0,3489.0,218268
2002-07-25,3519.0,3729.0,3753.0,3459.0,210482
2002-07-26,3730.0,3549.0,3729.0,3429.0,161916
2002-07-29,3929.0,3789.0,4174.0,3747.0,442487
2002-07-30,4397.0,4090.0,4397.0,3970.0,531426
2002-07-31,4391.0,4397.0,4920.0,4391.0,1194348
2002-08-01,4482.0,4855.0,4855.0,4241.0,664856
2002-08-02,4945.0,4397.0,5017.0,4361.0,979893
2002-08-05,4723.0,4933.0,4975.0,4656.0,295702
2002-08-06,5054.0,4602.0,5053.0,4602.0,498701
2002-08-07,4867.0,5119.0,5355.0,4470.0,815451
2002-08-08,4572.0,4842.0,4855.0,4464.0,430005
2002-08-09,4301.0,4632.0,4710.0,4300.0,360210
2002-08-12,4578.0,4295.0,4608.0,4295.0,298222
2002-08-13,4723.0,4614.0,4872.0,4614.0,405545
2002-08-14,4801.0,4548.0,4842.0,4548.0,253850
2002-08-16,4554.0,4933.0,4963.0,4554.0,226311
2002-08-19,4663.0,4542.0,4753.0,4368.0,364179
2002-08-20,4753.0,4692.0,4782.0,4632.0,260073
2002-08-21,5084.0,4782.0,5137.0,4770.0,584074
2002-08-22,5270.0,5119.0,5504.0,4999.0,785188
2002-08-23,5204.0,5355.0,5457.0,5131.0,491832
2002-08-26,5270.0,5131.0,5384.0,5131.0,322935
2002-08-27,5144.0,5234.0,5409.0,5053.0,353164
2002-08-28,4951.0,5059.0,5161.0,4860.0,286583
2002-08-29,5246.0,4879.0,5325.0,4842.0,382984
2002-08-30,5234.0,5325.0,5409.0,5197.0,361285
2002-09-02,5132.0,5245.0,5372.0,4993.0,448518
2002-09-03,5029.0,5173.0,5185.0,4963.0,246189
2002-09-04,4512.0,4920.0,4920.0,4428.0,1012683
2002-09-05,4391.0,4512.0,4812.0,4331.0,674082
2002-09-06,4301.0,4318.0,4331.0,4150.0,346664
2002-09-09,4097.0,4157.0,4296.0,4001.0,398977
2002-09-10,4217.0,4163.0,4362.0,4163.0,285069
2002-09-11,4271.0,4270.0,4379.0,4270.0,221485
2002-09-12,4121.0,4289.0,4332.0,4121.0,231109
2002-09-13,3808.0,4000.0,4030.0,3681.0,369971
2002-09-16,3899.0,3747.0,3897.0,3723.0,202026
2002-09-17,4295.0,3916.0,4356.0,3916.0,650980
2002-09-18,4295.0,3971.0,4440.0,3971.0,379510
2002-09-19,4211.0,4367.0,4451.0,4210.0,344706
2002-09-23,4356.0,4218.0,4416.0,4193.0,595637
2002-09-24,4019.0,4332.0,4392.0,3971.0,391511
2002-09-25,3899.0,3909.0,4018.0,3699.0,332523
2002-09-26,3851.0,3941.0,4073.0,3765.0,229547
2002-09-27,3790.0,3735.0,3892.0,3651.0,250104
2002-09-30,3609.0,3579.0,3729.0,3549.0,147922
2002-10-01,3760.0,3440.0,3771.0,3440.0,154850
2002-10-02,3875.0,3928.0,3953.0,3795.0,191790
2002-10-04,3917.0,3825.0,3964.0,3765.0,185192
2002-10-07,3712.0,3880.0,3904.0,3699.0,91893
2002-10-08,3796.0,3627.0,3819.0,3609.0,151542
2002-10-09,3670.0,3819.0,3831.0,3579.0,156932
2002-10-10,3490.0,3579.0,3639.0,3345.0,142250
2002-10-11,3490.0,3579.0,3633.0,3134.0,219824
2002-10-14,3700.0,3495.0,3747.0,3495.0,201784
2002-10-15,3953.0,3729.0,4091.0,3669.0,322096
2002-10-16,4067.0,4030.0,4072.0,3945.0,196141
2002-10-17,4235.0,4031.0,4362.0,3989.0,183487
2002-10-18,4663.0,4301.0,4740.0,4283.0,343914
2002-10-21,4518.0,4584.0,4812.0,4481.0,234936
2002-10-22,4247.0,4692.0,4692.0,4241.0,161567
2002-10-23,4338.0,4392.0,4422.0,4253.0,137652
2002-10-24,4361.0,4367.0,4451.0,4318.0,164638
2002-10-25,4331.0,4247.0,4391.0,4247.0,104406
2002-10-28,4741.0,4386.0,4740.0,4386.0,198890
2002-10-29,4500.0,4662.0,4668.0,4421.0,262247
2002-10-30,4241.0,4481.0,4499.0,4150.0,322630
2002-10-31,4181.0,4318.0,4361.0,4150.0,116749
2002-11-01,3929.0,4096.0,4199.0,3867.0,269726
2002-11-04,4013.0,3970.0,4121.0,3970.0,145732
2002-11-05,4205.0,4049.0,4260.0,3983.0,268271
2002-11-06,4313.0,4270.0,4421.0,4240.0,423830
2002-11-07,4361.0,4270.0,4421.0,4235.0,688594
2002-11-08,4693.0,4434.0,4801.0,4428.0,655151
2002-11-11,4512.0,4723.0,4855.0,4464.0,447069
2002-11-12,5054.0,4403.0,5053.0,4337.0,1344413
2002-11-13,5186.0,5403.0,5655.0,4993.0,2964445
2002-11-14,5806.0,5342.0,5805.0,5192.0,1977685
2002-11-15,6047.0,6136.0,6226.0,5805.0,2538649
2002-11-18,6136.0,6196.0,6346.0,5865.0,1928111
2002-11-19,6197.0,6046.0,6256.0,5949.0,981776
2002-11-20,6136.0,6136.0,6678.0,6076.0,2157146
2002-11-21,6257.0,6376.0,6557.0,5974.0,1066397
2002-11-22,6528.0,6467.0,6618.0,6256.0,1108109
2002-11-25,6498.0,6377.0,6708.0,6256.0,1072538
2002-11-26,6407.0,6618.0,6768.0,6317.0,919799
2002-11-27,6136.0,6256.0,6436.0,6045.0,569120
2002-11-28,6076.0,6286.0,6316.0,5992.0,809788
2002-11-29,6498.0,6016.0,6798.0,6016.0,983455
2002-12-02,6678.0,6498.0,6858.0,6377.0,755014
2002-12-03,6648.0,6708.0,6798.0,6467.0,627161
2002-12-04,6197.0,6527.0,6527.0,6076.0,489228
2002-12-05,6468.0,6196.0,6498.0,6196.0,528151
2002-12-06,7220.0,6437.0,7219.0,6317.0,989283
2002-12-09,7039.0,7429.0,7460.0,6919.0,913375
2002-12-10,6858.0,6858.0,6978.0,6737.0,427500
2002-12-11,6618.0,6979.0,7339.0,6618.0,1104542
2002-12-12,6648.0,6528.0,6828.0,6528.0,437337
2002-12-13,6858.0,6647.0,7099.0,6557.0,820024
2002-12-16,6618.0,6798.0,7099.0,6618.0,442232
2002-12-17,6798.0,6827.0,6858.0,6557.0,365091
2002-12-18,7069.0,6708.0,7310.0,6678.0,735166
2002-12-20,7520.0,7099.0,7790.0,7038.0,1116713
2002-12-23,6918.0,7399.0,7609.0,6617.0,1049190
2002-12-24,6197.0,6948.0,7038.0,6136.0,1060849
2002-12-26,5733.0,6076.0,6286.0,5661.0,675919
2002-12-27,5763.0,5564.0,5974.0,5564.0,565622
2002-12-30,5144.0,5595.0,5757.0,5078.0,575597
2003-01-02,5758.0,5270.0,5757.0,5270.0,1008116
2003-01-03,6227.0,5956.0,6376.0,5956.0,997784
2003-01-06,6227.0,6316.0,6376.0,5992.0,797364
2003-01-07,5896.0,6498.0,6528.0,5896.0,667732
2003-01-08,5980.0,5956.0,6196.0,5907.0,507407
2003-01-09,5806.0,5859.0,5908.0,5679.0,622470
2003-01-10,6438.0,5968.0,6498.0,5956.0,3709204
2003-01-13,6678.0,6618.0,6828.0,6287.0,1899248
2003-01-14,6528.0,6708.0,6828.0,6498.0,1099147
2003-01-15,6317.0,6678.0,6737.0,6256.0,706031
2003-01-16,6498.0,6196.0,6798.0,6196.0,1126764
2003-01-17,5908.0,6468.0,6618.0,5908.0,945969
2003-01-20,5793.0,5775.0,5913.0,5697.0,396930
2003-01-21,5775.0,5811.0,5919.0,5733.0,459998
2003-01-22,5384.0,5655.0,5745.0,5300.0,633660
2003-01-23,5414.0,5480.0,5516.0,5294.0,545095
2003-01-24,4825.0,5443.0,5510.0,4782.0,888016
2003-01-27,4578.0,4517.0,4674.0,4421.0,499497
2003-01-28,4915.0,4614.0,4914.0,4608.0,572296
2003-01-29,4620.0,4915.0,5018.0,4590.0,402475
2003-01-30,4963.0,4728.0,4963.0,4728.0,477345
2003-02-03,5228.0,4993.0,5377.0,4860.0,778627
2003-02-04,5150.0,5269.0,5329.0,5119.0,512373
2003-02-05,4981.0,5113.0,5179.0,4981.0,354596
2003-02-06,4862.0,5005.0,5083.0,4764.0,345461
2003-02-07,4747.0,4842.0,4854.0,4686.0,286369
2003-02-10,4741.0,4662.0,4831.0,4662.0,311957
2003-02-11,5000.0,4861.0,5078.0,4632.0,923722
2003-02-12,5084.0,5005.0,5113.0,4866.0,475019
2003-02-13,5114.0,5174.0,5385.0,5114.0,937924
2003-02-14,5114.0,5059.0,5192.0,4993.0,306918
2003-02-17,5625.0,5450.0,5702.0,5372.0,1050819
2003-02-18,5487.0,5594.0,5619.0,5384.0,562453
2003-02-19,5384.0,5661.0,5685.0,5385.0,615080
2003-02-20,5439.0,5390.0,5534.0,5390.0,354162
2003-02-21,5324.0,5246.0,5474.0,5246.0,314500
2003-02-24,5414.0,5390.0,5473.0,5347.0,356888
2003-02-25,5114.0,5277.0,5355.0,5114.0,297582
2003-02-26,4993.0,5191.0,5263.0,4969.0,450754
2003-02-27,4921.0,4872.0,4981.0,4830.0,233374
2003-02-28,4849.0,5029.0,5041.0,4801.0,282894
2003-03-03,4976.0,4753.0,4975.0,4753.0,302774
2003-03-04,4753.0,4891.0,4903.0,4746.0,219915
2003-03-05,4325.0,4218.0,4626.0,4218.0,349899
2003-03-06,3971.0,4362.0,4392.0,3916.0,419608
2003-03-07,3501.0,3807.0,3831.0,3501.0,939832
2003-03-10,3646.0,3519.0,3790.0,3519.0,927551
2003-03-11,3549.0,3518.0,3669.0,3362.0,644705
2003-03-12,3953.0,3639.0,3953.0,3628.0,1305808
2003-03-13,3718.0,3952.0,3970.0,3621.0,799713
2003-03-14,3863.0,3983.0,4073.0,3832.0,906035
2003-03-17,3399.0,3802.0,3832.0,3399.0,681115
2003-03-18,3700.0,3687.0,3747.0,3567.0,879270
2003-03-19,3923.0,3663.0,4007.0,3651.0,1559850
2003-03-20,4271.0,4060.0,4313.0,4042.0,1798593
2003-03-21,4416.0,4266.0,4482.0,4103.0,1295471
2003-03-24,4253.0,4481.0,4560.0,4252.0,935732
2003-03-25,4007.0,3970.0,4108.0,3940.0,593943
2003-03-26,4139.0,4121.0,4301.0,4103.0,755908
2003-03-27,4187.0,4061.0,4271.0,4061.0,368196
2003-03-28,4368.0,4271.0,4386.0,4193.0,789758
2003-03-31,4085.0,4331.0,4487.0,4084.0,716836
2003-04-01,4217.0,4031.0,4218.0,4031.0,543193
2003-04-02,4289.0,4277.0,4325.0,4186.0,516220
2003-04-03,4157.0,4470.0,4530.0,4133.0,686771
2003-04-04,4397.0,4108.0,4397.0,4108.0,420989
2003-04-07,4656.0,4542.0,4734.0,4439.0,845826
2003-04-08,4674.0,4554.0,4686.0,4481.0,516718
2003-04-09,4723.0,4692.0,4957.0,4662.0,1043354
2003-04-10,4704.0,4752.0,4806.0,4638.0,364089
2003-04-11,4585.0,4710.0,4776.0,4572.0,524286
2003-04-14,4633.0,4590.0,4686.0,4584.0,278005
2003-04-15,4741.0,4686.0,4842.0,4638.0,722951
2003-04-16,4873.0,4872.0,4981.0,4842.0,851421
2003-04-17,4903.0,4890.0,5035.0,4884.0,515430
2003-04-18,4903.0,4993.0,5023.0,4890.0,660136
2003-04-21,4862.0,4945.0,4957.0,4831.0,370987
2003-04-22,4668.0,4878.0,4890.0,4668.0,424714
2003-04-23,4626.0,4722.0,4782.0,4626.0,353808
2003-04-24,4615.0,4626.0,4692.0,4590.0,360148
2003-04-25,4133.0,4476.0,4524.0,4060.0,502205
2003-04-28,4049.0,3916.0,4145.0,3916.0,256466
2003-04-29,4283.0,4199.0,4349.0,4144.0,400364
