date,close,open,high,low,volume
2002-12-04,45515.0,45463.0,45463.0,45463.0,18957
2002-12-05,50943.0,50935.0,50935.0,50935.0,30299
2002-12-06,57018.0,56987.0,56987.0,55964.0,109310
2002-12-09,56506.0,59279.0,60413.0,55089.0,97619
2002-12-10,50567.0,56847.0,56847.0,50032.0,36823
2002-12-11,56266.0,49658.0,56606.0,49658.0,49444
2002-12-12,54371.0,54972.0,56225.0,52072.0,26555
2002-12-13,51590.0,53183.0,54325.0,50921.0,18070
2002-12-16,53093.0,51187.0,54850.0,50793.0,26170
2002-12-17,56131.0,54588.0,59377.0,53817.0,81582
2002-12-18,53229.0,55593.0,56735.0,52301.0,22145
2002-12-20,51830.0,52445.0,55084.0,51673.0,17117
2002-12-23,45635.0,50936.0,52552.0,45627.0,25611
2002-12-24,42613.0,43332.0,46750.0,40173.0,16902
2002-12-26,40463.0,41826.0,43353.0,40432.0,7871
2002-12-27,37170.0,36887.0,39772.0,36249.0,12531
2002-12-30,34508.0,39157.0,39157.0,33477.0,6485
2003-01-02,38553.0,34741.0,38544.0,34741.0,11424
2003-01-03,42478.0,40786.0,43085.0,40415.0,15726
2003-01-06,44883.0,41687.0,46513.0,40181.0,36864
2003-01-07,43996.0,46517.0,47132.0,43351.0,16170
2003-01-08,49184.0,44215.0,49154.0,44097.0,60651
2003-01-09,50567.0,49283.0,51174.0,46101.0,64665
2003-01-10,46146.0,51292.0,53064.0,44462.0,49572
2003-01-13,48673.0,46002.0,49673.0,45750.0,35834
2003-01-14,46778.0,48527.0,49024.0,46117.0,19521
2003-01-15,48673.0,48027.0,48657.0,46365.0,18193
2003-01-16,49304.0,47627.0,49532.0,46997.0,17983
2003-01-17,47154.0,48762.0,54324.0,47123.0,51925
2003-01-20,43620.0,46615.0,46615.0,42307.0,21823
2003-01-21,43876.0,44735.0,45476.0,42466.0,14125
2003-01-22,44372.0,42948.0,48650.0,42948.0,51539
2003-01-23,43485.0,45619.0,46762.0,42320.0,15009
2003-01-24,42989.0,44471.0,46770.0,41690.0,45437
2003-01-27,38553.0,41325.0,42327.0,37899.0,15298
2003-01-28,39200.0,37893.0,40311.0,37893.0,9403
2003-01-29,36914.0,39160.0,39680.0,36380.0,10966
2003-01-30,38177.0,36500.0,38903.0,36500.0,7545
2003-02-03,39831.0,38028.0,40320.0,37131.0,8028
2003-02-04,39951.0,40677.0,42315.0,39424.0,16515
2003-02-05,41590.0,39283.0,44340.0,38787.0,25298
2003-02-06,39200.0,41067.0,42202.0,38902.0,9524
2003-02-07,38553.0,39160.0,39679.0,37269.0,6047
2003-02-10,40839.0,37783.0,41068.0,37783.0,10635
2003-02-11,41215.0,41829.0,43467.0,37787.0,29223
2003-02-12,46146.0,42950.0,46101.0,42319.0,25793
2003-02-13,45635.0,48141.0,49297.0,44737.0,73073
2003-02-14,46146.0,45982.0,46502.0,43453.0,21130
2003-02-17,49304.0,47627.0,50170.0,47508.0,46236
2003-02-18,48552.0,49901.0,52436.0,48270.0,61034
2003-02-19,46522.0,49910.0,50044.0,45239.0,32598
