date,close,open,high,low,volume
2003-10-31,2905.0,3300.0,3695.0,2905.0,788359
2003-11-03,2595.0,2850.0,2850.0,2560.0,344980
2003-11-04,2700.0,2695.0,2895.0,2465.0,521355
2003-11-05,2380.0,2685.0,2685.0,2380.0,215153
2003-11-06,2095.0,2313.0,2360.0,2095.0,143861
2003-11-07,2050.0,1895.0,2300.0,1895.0,337756
2003-11-10,2040.0,1985.0,2130.0,1985.0,104612
2003-11-11,1997.0,2000.0,2075.0,1958.0,95753
2003-11-12,1992.0,1975.0,2045.0,1968.0,73887
2003-11-13,2100.0,2000.0,2185.0,1978.0,235943
2003-11-14,2015.0,2050.0,2170.0,1995.0,193492
2003-11-17,1927.0,2000.0,2048.0,1928.0,48358
2003-11-18,1902.0,1928.0,1975.0,1890.0,35597
2003-11-19,1775.0,1948.0,1948.0,1775.0,45249
2003-11-20,1805.0,1780.0,1850.0,1770.0,50440
2003-11-21,1845.0,1758.0,1870.0,1758.0,44105
2003-11-24,1845.0,1845.0,1900.0,1830.0,34873
2003-11-25,1892.0,1855.0,1985.0,1855.0,112738
2003-11-26,1900.0,1900.0,1940.0,1875.0,61724
2003-11-27,1965.0,1925.0,2005.0,1905.0,85468
2003-11-28,1872.0,1970.0,1975.0,1858.0,44252
2003-12-01,1740.0,1850.0,1850.0,1700.0,114250
2003-12-02,1740.0,1750.0,1773.0,1678.0,190386
2003-12-03,1737.0,1758.0,1758.0,1705.0,123194
2003-12-04,1730.0,1740.0,1785.0,1715.0,380028
2003-12-05,1630.0,1745.0,1750.0,1630.0,165558
2003-12-08,1660.0,1590.0,1690.0,1580.0,237658
2003-12-09,1647.0,1665.0,1675.0,1620.0,89099
2003-12-10,1622.0,1608.0,1658.0,1608.0,53993
2003-12-11,1650.0,1643.0,1660.0,1625.0,79872
2003-12-12,1847.0,1665.0,1848.0,1665.0,1118742
2003-12-15,1870.0,1940.0,1960.0,1808.0,522341
2003-12-16,1850.0,1870.0,1978.0,1808.0,518699
2003-12-17,1965.0,1913.0,1970.0,1875.0,508491
2003-12-18,1815.0,2005.0,2035.0,1815.0,388296
2003-12-19,1635.0,1800.0,1845.0,1625.0,300013
2003-12-22,1635.0,1655.0,1733.0,1635.0,287330
2003-12-23,1515.0,1675.0,1675.0,1470.0,320329
2003-12-24,1505.0,1500.0,1570.0,1500.0,133143
2003-12-26,1440.0,1475.0,1510.0,1390.0,166851
2003-12-29,1472.0,1425.0,1518.0,1425.0,131206
2003-12-30,1547.0,1500.0,1548.0,1485.0,111766
2004-01-02,1510.0,1553.0,1575.0,1508.0,81011
2004-01-05,1495.0,1525.0,1525.0,1483.0,63396
2004-01-06,1490.0,1513.0,1560.0,1450.0,94810
2004-01-07,1472.0,1455.0,1525.0,1450.0,160673
2004-01-08,1420.0,1505.0,1505.0,1420.0,126267
2004-01-09,1425.0,1423.0,1485.0,1403.0,81012
2004-01-12,1447.0,1403.0,1475.0,1400.0,118716
2004-01-13,1475.0,1448.0,1590.0,1443.0,162571
2004-01-14,1510.0,1475.0,1525.0,1455.0,95344
2004-01-15,1510.0,1520.0,1548.0,1465.0,70023
2004-01-16,1527.0,1478.0,1603.0,1478.0,175793
2004-01-19,1547.0,1600.0,1600.0,1505.0,127066
2004-01-20,1515.0,1518.0,1573.0,1500.0,37296
2004-01-26,1580.0,1505.0,1583.0,1505.0,147886
2004-01-27,1525.0,1583.0,1600.0,1525.0,73621
2004-01-28,1550.0,1513.0,1575.0,1495.0,64914
2004-01-29,1560.0,1535.0,1573.0,1508.0,56320
2004-01-30,1725.0,1565.0,1745.0,1565.0,516979
2004-02-02,1785.0,1740.0,1785.0,1680.0,313870
2004-02-03,1737.0,1795.0,1795.0,1720.0,165313
2004-02-04,1772.0,1738.0,1790.0,1683.0,185461
2004-02-05,1672.0,1750.0,1780.0,1615.0,170953
2004-02-06,1675.0,1660.0,1750.0,1593.0,126881
2004-02-09,1660.0,1700.0,1770.0,1645.0,229052
2004-02-10,1745.0,1660.0,1750.0,1640.0,173178
2004-02-11,1952.0,1775.0,1953.0,1750.0,652274
2004-02-12,1865.0,1953.0,1960.0,1815.0,410781
2004-02-13,1900.0,1878.0,2015.0,1793.0,636479
2004-02-16,1812.0,1865.0,1900.0,1810.0,242626
2004-02-17,1835.0,1790.0,1860.0,1745.0,312086
2004-02-18,1777.0,1825.0,1860.0,1765.0,141874
2004-02-19,1610.0,1768.0,1798.0,1608.0,323538
2004-02-20,1610.0,1575.0,1655.0,1555.0,145994
2004-02-23,1650.0,1610.0,1690.0,1610.0,147991
2004-02-24,1640.0,1623.0,1685.0,1610.0,82293
2004-02-25,1835.0,1630.0,1835.0,1620.0,490461
2004-02-26,2055.0,1935.0,2055.0,1900.0,1889052
2004-02-27,2300.0,2125.0,2300.0,2010.0,2079694
2004-03-02,2575.0,2450.0,2575.0,2325.0,1261454
2004-03-03,2555.0,2625.0,2650.0,2360.0,1982675
2004-03-04,2387.0,2555.0,2605.0,2373.0,1113150
2004-03-05,2220.0,2360.0,2495.0,2153.0,1010279
2004-03-08,2485.0,2265.0,2485.0,2235.0,1493764
2004-03-09,2300.0,2505.0,2575.0,2235.0,967182
2004-03-10,2422.0,2400.0,2565.0,2360.0,1530275
2004-03-11,2235.0,2515.0,2570.0,2218.0,1008908
2004-03-12,2010.0,2160.0,2210.0,1968.0,711959
2004-03-15,2122.0,1975.0,2200.0,1950.0,657902
2004-03-16,2375.0,2190.0,2375.0,2150.0,693637
2004-03-17,2660.0,2525.0,2660.0,2413.0,837964
2004-03-18,2645.0,2825.0,2975.0,2555.0,2141228
2004-03-19,2725.0,2685.0,2850.0,2535.0,1019425
2004-03-22,3050.0,2775.0,3050.0,2705.0,1286413
2004-03-23,3000.0,3145.0,3360.0,2850.0,1544420
2004-03-24,3050.0,2950.0,3135.0,2860.0,787750
2004-03-25,2950.0,3025.0,3210.0,2950.0,926933
2004-03-26,3300.0,2950.0,3300.0,2755.0,1684283
2004-03-29,3695.0,3510.0,3695.0,3450.0,998382
2004-03-30,3865.0,3825.0,4060.0,3700.0,1299039
2004-03-31,3700.0,3615.0,3945.0,3550.0,678282
2004-04-01,3550.0,3605.0,3800.0,3550.0,501643
2004-04-02,3125.0,3535.0,3640.0,3125.0,618839
2004-04-06,3150.0,3075.0,3370.0,3035.0,1126455
2004-04-07,3060.0,3210.0,3250.0,3000.0,476583
2004-04-08,3075.0,3130.0,3130.0,3005.0,392818
2004-04-09,3225.0,3105.0,3385.0,3105.0,1063990
2004-04-12,3275.0,3300.0,3360.0,3200.0,436459
2004-04-13,3090.0,3320.0,3350.0,3035.0,351930
2004-04-14,2940.0,3100.0,3110.0,2920.0,261899
2004-04-16,3005.0,2915.0,3100.0,2915.0,264460
2004-04-19,3225.0,3000.0,3350.0,3000.0,661344
2004-04-20,3030.0,3205.0,3260.0,3030.0,389405
2004-04-21,3085.0,3005.0,3150.0,3005.0,251327
2004-04-22,3455.0,3455.0,3455.0,3350.0,664130
2004-04-23,3865.0,3700.0,3865.0,3480.0,1111544
2004-04-26,4325.0,3870.0,4325.0,3870.0,1088148
2004-04-27,4200.0,4440.0,4450.0,3990.0,596037
2004-04-28,4200.0,4150.0,4590.0,4130.0,657961
2004-04-29,3810.0,4100.0,4200.0,3810.0,285254
2004-04-30,3625.0,3500.0,3780.0,3500.0,377201
2004-05-03,3800.0,3500.0,3910.0,3500.0,438275
2004-05-04,3900.0,3850.0,4180.0,3810.0,616850
2004-05-06,3510.0,3940.0,4080.0,3510.0,298704
2004-05-07,3430.0,3515.0,3620.0,3230.0,229578
2004-05-10,3040.0,3360.0,3530.0,3020.0,384193
2004-05-11,3065.0,2910.0,3150.0,2810.0,313503
2004-05-12,3430.0,3150.0,3430.0,3130.0,355714
2004-05-13,3525.0,3350.0,3740.0,3350.0,584635
2004-05-14,3270.0,3550.0,3690.0,3150.0,211882
2004-05-17,2880.0,3250.0,3350.0,2880.0,250820
2004-05-18,2915.0,2735.0,3055.0,2660.0,261225
2004-05-19,2960.0,2925.0,3055.0,2925.0,289354
2004-05-20,2605.0,2870.0,2880.0,2605.0,298978
2004-05-21,2605.0,2605.0,2800.0,2555.0,649030
2004-05-24,2610.0,2690.0,2710.0,2600.0,363717
2004-05-25,2790.0,2570.0,2910.0,2385.0,1531456
2004-05-27,2760.0,2845.0,2940.0,2670.0,831560
2004-05-28,2755.0,2800.0,2830.0,2730.0,322479
2004-05-31,2640.0,2715.0,2755.0,2625.0,255833
2004-06-01,2635.0,2695.0,2705.0,2635.0,203231
2004-06-02,2670.0,2635.0,2730.0,2550.0,482128
2004-06-03,2685.0,2760.0,2855.0,2620.0,671885
2004-06-04,2740.0,2650.0,2760.0,2650.0,418781
2004-06-07,3065.0,2850.0,3065.0,2770.0,1544402
2004-06-08,3075.0,3120.0,3190.0,2950.0,1026815
