date,close,open,high,low,volume
2002-06-04,1000.0,1000.0,1000.0,1000.0,286159
2002-06-05,882.0,1050.0,1050.0,880.0,525788
2002-06-07,777.0,826.0,879.0,777.0,155693
2002-06-10,750.0,790.0,791.0,730.0,89979
2002-06-11,720.0,735.0,759.0,718.0,72611
2002-06-12,745.0,711.0,785.0,711.0,125876
2002-06-14,749.0,750.0,770.0,745.0,73617
2002-06-17,730.0,747.0,761.0,725.0,49187
2002-06-18,759.0,747.0,816.0,737.0,180421
2002-06-19,700.0,765.0,777.0,680.0,50862
2002-06-20,690.0,705.0,712.0,660.0,38893
2002-06-21,694.0,663.0,720.0,663.0,52789
2002-06-24,650.0,691.0,694.0,640.0,27883
2002-06-25,633.0,652.0,699.0,633.0,37581
2002-06-26,581.0,616.0,625.0,577.0,35090
2002-06-27,589.0,582.0,599.0,580.0,26936
2002-06-28,619.0,589.0,639.0,585.0,41686
2002-07-02,670.0,598.0,670.0,580.0,55808
2002-07-03,690.0,670.0,710.0,621.0,30956
2002-07-04,700.0,660.0,725.0,660.0,24519
2002-07-05,675.0,710.0,710.0,663.0,16749
2002-07-08,650.0,690.0,699.0,650.0,22966
2002-07-09,675.0,651.0,678.0,646.0,8735
2002-07-10,675.0,685.0,685.0,665.0,10199
2002-07-11,663.0,670.0,674.0,652.0,12449
2002-07-12,685.0,680.0,725.0,662.0,23428
2002-07-15,700.0,675.0,707.0,671.0,11078
2002-07-16,700.0,681.0,745.0,681.0,27556
2002-07-18,710.0,710.0,715.0,691.0,9761
2002-07-19,675.0,705.0,709.0,671.0,7667
2002-07-22,602.0,621.0,674.0,600.0,15747
2002-07-23,674.0,600.0,674.0,600.0,13614
2002-07-24,699.0,722.0,722.0,671.0,8650
2002-07-25,679.0,706.0,710.0,668.0,30405
2002-07-26,701.0,690.0,725.0,672.0,50965
2002-07-29,656.0,710.0,720.0,635.0,30277
2002-07-30,680.0,656.0,700.0,656.0,14330
2002-07-31,671.0,675.0,700.0,664.0,6490
2002-08-01,717.0,680.0,720.0,672.0,19986
2002-08-02,695.0,710.0,750.0,683.0,23408
2002-08-05,720.0,695.0,750.0,694.0,20552
2002-08-06,730.0,710.0,735.0,684.0,46930
2002-08-07,730.0,740.0,758.0,710.0,11665
2002-08-08,720.0,723.0,730.0,707.0,24777
2002-08-09,700.0,705.0,728.0,700.0,32517
2002-08-12,690.0,701.0,710.0,682.0,17371
2002-08-13,694.0,700.0,717.0,680.0,13370
2002-08-14,690.0,681.0,705.0,681.0,13547
2002-08-16,728.0,701.0,739.0,691.0,37514
2002-08-19,758.0,731.0,777.0,715.0,69314
2002-08-20,757.0,762.0,772.0,741.0,17411
2002-08-21,760.0,770.0,770.0,740.0,23908
2002-08-22,763.0,751.0,768.0,749.0,15825
2002-08-23,798.0,755.0,806.0,755.0,50167
2002-08-26,801.0,791.0,809.0,782.0,25590
2002-08-27,775.0,820.0,820.0,775.0,16375
2002-08-28,757.0,775.0,775.0,751.0,14265
2002-08-29,740.0,750.0,770.0,740.0,17674
2002-08-30,781.0,744.0,798.0,744.0,555353
2002-09-02,785.0,795.0,847.0,780.0,68436
2002-09-03,795.0,783.0,800.0,771.0,59505
2002-09-04,790.0,762.0,790.0,762.0,15132
2002-09-05,805.0,800.0,827.0,787.0,136682
2002-09-06,775.0,790.0,839.0,775.0,81967
2002-09-09,868.0,868.0,868.0,855.0,360413
2002-09-10,860.0,951.0,972.0,852.0,700816
2002-09-11,790.0,860.0,880.0,765.0,158318
2002-09-12,801.0,791.0,816.0,790.0,73029
2002-09-13,828.0,751.0,839.0,751.0,118326
2002-09-16,811.0,810.0,828.0,800.0,33017
2002-09-17,908.0,830.0,908.0,811.0,171077
2002-09-18,899.0,910.0,996.0,872.0,276842
2002-09-19,1005.0,910.0,1005.0,890.0,346710
2002-09-23,1005.0,1080.0,1100.0,970.0,375064
2002-09-24,1010.0,975.0,1050.0,975.0,275024
2002-09-25,890.0,996.0,1040.0,890.0,123450
2002-09-26,820.0,865.0,920.0,816.0,147520
2002-09-27,918.0,820.0,918.0,820.0,191328
2002-09-30,949.0,948.0,992.0,880.0,213466
2002-10-01,970.0,928.0,996.0,928.0,182460
2002-10-02,970.0,990.0,990.0,952.0,98144
2002-10-04,1085.0,950.0,1085.0,950.0,363455
2002-10-07,1215.0,1120.0,1215.0,1080.0,554318
2002-10-08,1360.0,1330.0,1360.0,1310.0,324648
2002-10-09,1520.0,1500.0,1520.0,1390.0,224417
2002-10-10,1700.0,1550.0,1700.0,1550.0,206237
2002-10-11,1500.0,1860.0,1900.0,1500.0,1141765
2002-10-14,1680.0,1450.0,1680.0,1380.0,1036568
2002-10-15,1480.0,1800.0,1880.0,1480.0,763002
2002-10-16,1420.0,1480.0,1535.0,1355.0,848006
2002-10-17,1440.0,1420.0,1520.0,1380.0,411783
2002-10-18,1430.0,1480.0,1530.0,1420.0,458095
2002-10-21,1550.0,1420.0,1600.0,1420.0,878900
2002-10-22,1390.0,1610.0,1630.0,1365.0,538996
2002-10-23,1370.0,1430.0,1430.0,1325.0,242976
2002-10-24,1460.0,1370.0,1475.0,1340.0,406752
2002-10-25,1365.0,1440.0,1480.0,1340.0,252888
2002-10-28,1430.0,1380.0,1450.0,1370.0,272026
2002-10-29,1380.0,1450.0,1560.0,1350.0,555938
2002-10-30,1285.0,1390.0,1430.0,1215.0,289250
2002-10-31,1205.0,1305.0,1320.0,1190.0,211363
