date,close,open,high,low,volume
2003-01-21,3322.0,3323.0,3323.0,3323.0,694855
2003-01-22,3186.0,3386.0,3705.0,3113.0,1936964
2003-01-23,2912.0,3268.0,3268.0,2858.0,643883
2003-01-24,2794.0,2922.0,2958.0,2758.0,486705
2003-01-27,2712.0,2713.0,2795.0,2713.0,341479
2003-01-28,2712.0,2713.0,2767.0,2713.0,310792
2003-01-29,2703.0,2722.0,2749.0,2704.0,207259
2003-01-30,2703.0,2713.0,2722.0,2704.0,142984
2003-02-03,2712.0,2704.0,2731.0,2704.0,197188
2003-02-04,2703.0,2704.0,2722.0,2704.0,194397
2003-02-05,2712.0,2713.0,2767.0,2704.0,135920
2003-02-06,2703.0,2704.0,2731.0,2704.0,163487
2003-02-07,2703.0,2704.0,2722.0,2704.0,269388
2003-02-10,2703.0,2704.0,2713.0,2704.0,257241
2003-02-11,2812.0,2713.0,2913.0,2694.0,700917
2003-02-12,2685.0,2913.0,2986.0,2685.0,371861
2003-02-13,2694.0,2704.0,2713.0,2694.0,179443
2003-02-14,2685.0,2694.0,2704.0,2685.0,111045
2003-02-17,2712.0,2713.0,2731.0,2694.0,85695
2003-02-18,2712.0,2704.0,2713.0,2704.0,189691
2003-02-19,2712.0,2704.0,2722.0,2704.0,166670
2003-02-20,2703.0,2713.0,2722.0,2704.0,207665
2003-02-21,2703.0,2704.0,2822.0,2440.0,45023
2003-02-24,2667.0,2640.0,2731.0,2594.0,16653
2003-02-25,2685.0,2394.0,2685.0,2394.0,41568
2003-02-26,2612.0,2558.0,2685.0,2558.0,24084
2003-02-27,2548.0,2658.0,2658.0,2549.0,12800
2003-02-28,2639.0,2640.0,2640.0,2558.0,1866
2003-03-03,2594.0,2449.0,2640.0,2449.0,1916
2003-03-04,2548.0,2485.0,2631.0,2485.0,6260
2003-03-05,2421.0,2376.0,2549.0,2376.0,7897
2003-03-06,2221.0,2394.0,2394.0,2212.0,6580
2003-03-07,1957.0,2185.0,2276.0,1957.0,8838
2003-03-10,2066.0,1930.0,2085.0,1930.0,3595
2003-03-11,2084.0,2094.0,2094.0,1966.0,1691
2003-03-12,2130.0,2139.0,2139.0,2057.0,3517
2003-03-13,2330.0,2276.0,2367.0,2094.0,21210
2003-03-14,2539.0,2403.0,2585.0,2239.0,11410
2003-03-17,2239.0,2549.0,2549.0,2239.0,13239
2003-03-18,2257.0,2239.0,2321.0,2039.0,2479
2003-03-19,2330.0,2276.0,2349.0,2075.0,5580
2003-03-20,2603.0,2303.0,2603.0,2303.0,21407
2003-03-21,2621.0,2603.0,2913.0,2321.0,59120
2003-03-24,2603.0,2731.0,2731.0,2458.0,13532
2003-03-25,2293.0,2321.0,2522.0,2294.0,66551
2003-03-26,2275.0,2157.0,2367.0,2157.0,42065
2003-03-27,2275.0,2203.0,2276.0,2203.0,2857
2003-03-28,2339.0,2230.0,2430.0,2230.0,4289
2003-03-31,2375.0,2248.0,2412.0,2239.0,21437
2003-04-01,2639.0,2267.0,2640.0,2267.0,6766
2003-04-02,2366.0,2640.0,2640.0,2367.0,8456
2003-04-03,2421.0,2367.0,2449.0,2321.0,38894
2003-04-04,2612.0,2321.0,2613.0,2312.0,17661
2003-04-07,2676.0,2558.0,2694.0,2467.0,12897
2003-04-08,2448.0,2576.0,2640.0,2430.0,10345
2003-04-09,2430.0,2421.0,2576.0,2285.0,24085
2003-04-10,2521.0,2321.0,2522.0,2321.0,34961
2003-04-11,2548.0,2549.0,2594.0,2430.0,11378
2003-04-14,2494.0,2531.0,2622.0,2403.0,6894
2003-04-15,2476.0,2458.0,2549.0,2440.0,13681
2003-04-16,2476.0,2421.0,2676.0,2412.0,104470
2003-04-17,2412.0,2585.0,2585.0,2412.0,16885
2003-04-18,2430.0,2503.0,2503.0,2385.0,18366
2003-04-21,2284.0,2276.0,2449.0,2276.0,191086
2003-04-22,2248.0,2303.0,2349.0,2239.0,58521
2003-04-23,2275.0,2312.0,2312.0,2230.0,43252
2003-04-24,2230.0,2239.0,2303.0,2221.0,24849
2003-04-25,2139.0,2212.0,2230.0,2139.0,17954
2003-04-28,2184.0,2003.0,2185.0,2003.0,17620
2003-04-29,2312.0,2194.0,2349.0,2185.0,22301
2003-04-30,2257.0,2321.0,2440.0,2248.0,35973
2003-05-02,2384.0,2330.0,2512.0,2276.0,76160
2003-05-06,2366.0,2376.0,2503.0,2358.0,64465
2003-05-07,2357.0,2394.0,2522.0,2276.0,91634
2003-05-09,2266.0,2294.0,2421.0,2221.0,122323
2003-05-12,2193.0,2267.0,2303.0,2185.0,138085
2003-05-13,2093.0,2167.0,2221.0,2094.0,101880
2003-05-14,2002.0,2112.0,2130.0,2003.0,162000
2003-05-15,2093.0,2021.0,2176.0,1957.0,684788
2003-05-16,2312.0,2176.0,2339.0,2139.0,706762
2003-05-19,2312.0,2294.0,2376.0,2267.0,198395
2003-05-20,2257.0,2230.0,2303.0,2230.0,155059
2003-05-21,2457.0,2312.0,2522.0,2285.0,491844
2003-05-22,2494.0,2412.0,2622.0,2385.0,379872
2003-05-23,2494.0,2512.0,2540.0,2421.0,172973
2003-05-26,2430.0,2549.0,2549.0,2430.0,223985
2003-05-27,2421.0,2458.0,2494.0,2367.0,196605
2003-05-28,2703.0,2449.0,2704.0,2430.0,760706
2003-05-29,2776.0,2749.0,2968.0,2622.0,919026
2003-05-30,2721.0,2776.0,2776.0,2631.0,124089
2003-06-02,2639.0,2694.0,2776.0,2631.0,136856
2003-06-03,2603.0,2594.0,2622.0,2458.0,180499
2003-06-04,2903.0,2567.0,2913.0,2558.0,146961
2003-06-05,2721.0,2776.0,2858.0,2722.0,156313
2003-06-09,2594.0,2685.0,2704.0,2576.0,100767
2003-06-10,2548.0,2594.0,2694.0,2549.0,62752
2003-06-11,2612.0,2567.0,2694.0,2549.0,174236
2003-06-12,2585.0,2649.0,2704.0,2540.0,82065
2003-06-13,2630.0,2613.0,2740.0,2558.0,206330
2003-06-16,2712.0,2685.0,2795.0,2640.0,272803
2003-06-17,2712.0,2776.0,2822.0,2640.0,204561
2003-06-18,2648.0,2713.0,2758.0,2649.0,89214
2003-06-19,2603.0,2758.0,2758.0,2531.0,118043
2003-06-20,2512.0,2603.0,2704.0,2485.0,238154
2003-06-23,2485.0,2467.0,2540.0,2458.0,60655
2003-06-24,2503.0,2394.0,2567.0,2394.0,68171
2003-06-25,2548.0,2567.0,2567.0,2476.0,27288
2003-06-26,2476.0,2494.0,2576.0,2467.0,20965
2003-06-27,2521.0,2476.0,2549.0,2458.0,14288
2003-06-30,2466.0,2476.0,2531.0,2458.0,25771
2003-07-01,2412.0,2467.0,2512.0,2412.0,32498
2003-07-02,2448.0,2394.0,2449.0,2376.0,75315
2003-07-03,2439.0,2503.0,2512.0,2430.0,55023
2003-07-04,2457.0,2412.0,2458.0,2394.0,37730
2003-07-07,2439.0,2458.0,2522.0,2430.0,53539
2003-07-08,2539.0,2467.0,2585.0,2385.0,144709
2003-07-09,2603.0,2558.0,2722.0,2512.0,594746
2003-07-10,2639.0,2649.0,2676.0,2558.0,89872
2003-07-11,2603.0,2576.0,2631.0,2540.0,81914
2003-07-14,2448.0,2603.0,2649.0,2449.0,150215
2003-07-15,2503.0,2458.0,2594.0,2412.0,148087
2003-07-16,2476.0,2503.0,2549.0,2458.0,77480
2003-07-18,2421.0,2458.0,2531.0,2403.0,27298
2003-07-21,2394.0,2449.0,2512.0,2385.0,49547
2003-07-22,2366.0,2349.0,2467.0,2349.0,60332
2003-07-23,2503.0,2394.0,2512.0,2394.0,58341
2003-07-24,2626.0,2512.0,2690.0,2512.0,311133
2003-07-25,2667.0,2622.0,2749.0,2617.0,209459
2003-07-28,2730.0,2740.0,2781.0,2640.0,365255
2003-07-29,2721.0,2731.0,2822.0,2667.0,195300
2003-07-30,2585.0,2676.0,2731.0,2576.0,69945
2003-07-31,2894.0,2567.0,2895.0,2567.0,436269
2003-08-01,3113.0,2949.0,3218.0,2895.0,751563
2003-08-04,3186.0,3095.0,3250.0,3004.0,401857
2003-08-05,3368.0,3150.0,3505.0,3150.0,368126
2003-08-06,3413.0,3450.0,3477.0,3304.0,154404
2003-08-07,3577.0,3350.0,3709.0,3295.0,582705
2003-08-08,3495.0,3577.0,3678.0,3477.0,140559
2003-08-11,3459.0,3468.0,3468.0,3277.0,219723
2003-08-12,3440.0,3423.0,3577.0,3414.0,247506
2003-08-13,3322.0,3523.0,3550.0,3186.0,374505
2003-08-14,3336.0,3332.0,3386.0,3095.0,306119
2003-08-18,3349.0,3368.0,3368.0,3232.0,131608
2003-08-19,3386.0,3350.0,3459.0,3259.0,197848
2003-08-20,3791.0,3432.0,3791.0,3432.0,309787
2003-08-21,3550.0,3987.0,4096.0,3550.0,370049
2003-08-22,3381.0,3591.0,3609.0,3323.0,174160
2003-08-25,3409.0,3327.0,3477.0,3327.0,89448
2003-08-26,3395.0,3368.0,3441.0,3368.0,59482
2003-08-27,3418.0,3377.0,3477.0,3373.0,66684
2003-08-28,3445.0,3414.0,3532.0,3359.0,123647
2003-08-29,3595.0,3514.0,3714.0,3423.0,181890
2003-09-01,3518.0,3641.0,3682.0,3518.0,156602
2003-09-02,3336.0,3523.0,3641.0,3200.0,345635
2003-09-03,3267.0,3336.0,3336.0,3141.0,110318
2003-09-04,3131.0,3268.0,3268.0,3113.0,132375
2003-09-05,2976.0,3068.0,3104.0,2977.0,162943
2003-09-08,2958.0,3050.0,3050.0,2895.0,51254
2003-09-09,2985.0,2867.0,3004.0,2867.0,55430
2003-09-15,3003.0,3022.0,3095.0,2913.0,39356
2003-09-16,2963.0,2968.0,3059.0,2931.0,14954
2003-09-17,2967.0,3040.0,3040.0,2927.0,39874
2003-09-18,2821.0,2922.0,2968.0,2685.0,73554
2003-09-19,2803.0,2867.0,2867.0,2713.0,33705
2003-09-22,2530.0,2735.0,2735.0,2471.0,174527
2003-09-23,2530.0,2558.0,2590.0,2471.0,10983
2003-09-24,2539.0,2508.0,2594.0,2508.0,13180
2003-09-25,2548.0,2508.0,2549.0,2440.0,24996
2003-09-26,2521.0,2640.0,2640.0,2449.0,50252
2003-09-29,2439.0,2440.0,2567.0,2403.0,18956
2003-09-30,2548.0,2508.0,2567.0,2176.0,71721
2003-10-01,2576.0,2549.0,2594.0,2417.0,15561
2003-10-02,2521.0,2594.0,2594.0,2503.0,6657
2003-10-06,2548.0,2640.0,2640.0,2412.0,13231
