date,close,open,high,low,volume
2002-07-16,3304.0,3304.0,3304.0,3304.0,171019
2002-07-18,3688.0,3304.0,3688.0,3114.0,203416
2002-07-19,4121.0,4122.0,4122.0,3938.0,185619
2002-07-22,3638.0,3671.0,4072.0,3638.0,248013
2002-07-23,3354.0,3705.0,4022.0,3304.0,379299
2002-07-24,2953.0,3304.0,3337.0,2954.0,66864
2002-07-25,2743.0,3011.0,3074.0,2744.0,75095
2002-07-26,2760.0,2670.0,2770.0,2670.0,38461
2002-07-29,2737.0,2780.0,2954.0,2737.0,33546
2002-07-30,3064.0,2841.0,3064.0,2740.0,47326
2002-07-31,2920.0,2987.0,3064.0,2911.0,24404
2002-08-01,2757.0,2603.0,2937.0,2603.0,25491
2002-08-02,2770.0,2677.0,2857.0,2677.0,8939
2002-08-05,2519.0,2770.0,2804.0,2510.0,17963
2002-08-06,2639.0,2820.0,2820.0,2506.0,17609
2002-08-07,2573.0,2640.0,2684.0,2480.0,19387
2002-08-08,2633.0,2607.0,2653.0,2520.0,22550
2002-08-09,2663.0,2663.0,2764.0,2623.0,21136
2002-08-12,2686.0,2667.0,2697.0,2637.0,16350
2002-08-13,2753.0,2827.0,2827.0,2707.0,23759
2002-08-14,2686.0,2724.0,2734.0,2644.0,12330
2002-08-16,2583.0,2654.0,2704.0,2533.0,45590
2002-08-19,2636.0,2587.0,2667.0,2587.0,50158
2002-08-20,2950.0,2804.0,2951.0,2720.0,92085
2002-08-21,3137.0,2950.0,3294.0,2950.0,91957
2002-08-22,3237.0,3154.0,3271.0,3120.0,73904
2002-08-23,3320.0,3334.0,3554.0,3271.0,83533
2002-08-26,3304.0,3404.0,3438.0,3271.0,26362
2002-08-27,3337.0,3405.0,3505.0,3271.0,34980
2002-08-28,3160.0,3438.0,3438.0,3107.0,35316
2002-08-29,3190.0,3041.0,3221.0,3037.0,48832
2002-08-30,3287.0,3221.0,3288.0,3171.0,28729
2002-09-02,3404.0,3555.0,3555.0,3288.0,18975
2002-09-03,3337.0,3505.0,3505.0,3308.0,8578
2002-09-04,3237.0,3171.0,3337.0,3171.0,6785
2002-09-05,3437.0,3271.0,3438.0,3254.0,21310
2002-09-06,3604.0,3371.0,3838.0,3321.0,40713
2002-09-09,3337.0,3655.0,3672.0,3338.0,16951
2002-09-10,3337.0,3304.0,3555.0,3304.0,8406
2002-09-11,3437.0,3304.0,3438.0,3254.0,5812
2002-09-12,3370.0,3321.0,3504.0,3317.0,13782
2002-09-13,3387.0,3321.0,3471.0,3271.0,11457
2002-09-16,3320.0,3504.0,3504.0,3284.0,45181
2002-09-17,3237.0,3354.0,3421.0,3037.0,66822
2002-09-18,3097.0,3271.0,3271.0,2970.0,85854
2002-09-19,3074.0,3138.0,3178.0,3004.0,59894
2002-09-23,3040.0,3027.0,3104.0,3011.0,22222
2002-09-24,3104.0,2987.0,3288.0,2987.0,16697
2002-09-25,3117.0,3047.0,3154.0,3040.0,14753
2002-09-26,3037.0,3117.0,3187.0,2977.0,49895
2002-09-27,2937.0,3071.0,3097.0,2937.0,19890
2002-09-30,2649.0,2834.0,2837.0,2587.0,39962
2002-10-01,2623.0,2443.0,2664.0,2443.0,29303
2002-10-02,2599.0,2673.0,2763.0,2600.0,14248
2002-10-04,2599.0,2543.0,2660.0,2543.0,14422
2002-10-07,2586.0,2747.0,2747.0,2577.0,2491
2002-10-08,2603.0,2573.0,2637.0,2573.0,19567
2002-10-09,2603.0,2650.0,2737.0,2603.0,11694
2002-10-10,2589.0,2627.0,2627.0,2466.0,3877
2002-10-11,2569.0,2633.0,2650.0,2520.0,4166
2002-10-14,2633.0,2577.0,2667.0,2537.0,31902
2002-10-15,2646.0,2617.0,2754.0,2617.0,40677
2002-10-16,2830.0,2704.0,2864.0,2690.0,25347
2002-10-17,2797.0,2804.0,2864.0,2737.0,28950
