date,close,open,high,low,volume
2002-12-30,2130.0,2130.0,2130.0,2130.0,432201
2003-01-02,2386.0,2368.0,2384.0,2294.0,1024808
2003-01-03,2668.0,2668.0,2668.0,2556.0,800266
2003-01-06,2849.0,2928.0,2966.0,2742.0,1398912
2003-01-07,2998.0,2897.0,3131.0,2897.0,1026796
2003-01-08,2977.0,3061.0,3114.0,2768.0,537997
2003-01-09,3334.0,3034.0,3332.0,2949.0,1973601
2003-01-10,3419.0,3513.0,3705.0,3284.0,1996522
2003-01-13,3509.0,3514.0,3562.0,3365.0,1065509
2003-01-14,3408.0,3568.0,3855.0,3408.0,1197711
2003-01-15,3675.0,3433.0,3673.0,3141.0,2214363
2003-01-16,3808.0,3737.0,3934.0,3583.0,1723395
2003-01-17,3525.0,3770.0,3882.0,3514.0,707080
2003-01-20,3280.0,3461.0,3530.0,3221.0,626278
2003-01-21,3435.0,3311.0,3524.0,3300.0,611179
2003-01-22,3190.0,3311.0,3417.0,3130.0,543417
2003-01-23,3174.0,3268.0,3300.0,3109.0,426906
2003-01-24,2801.0,3173.0,3269.0,2795.0,714499
2003-01-27,2562.0,2528.0,2672.0,2528.0,481254
2003-01-28,2838.0,2582.0,2865.0,2582.0,767812
2003-01-29,2551.0,2768.0,2874.0,2501.0,557391
2003-01-30,2647.0,2619.0,2730.0,2613.0,293028
2003-02-03,2764.0,2677.0,2826.0,2645.0,576129
2003-02-04,2673.0,2769.0,2790.0,2646.0,788913
2003-02-05,2540.0,2636.0,2668.0,2529.0,690111
2003-02-06,2679.0,2560.0,2725.0,2560.0,1173527
2003-02-07,2876.0,2741.0,2991.0,2725.0,1836003
2003-02-10,3046.0,2918.0,3046.0,2731.0,966137
2003-02-11,3036.0,3119.0,3162.0,2720.0,1663276
2003-02-12,2870.0,2891.0,3131.0,2870.0,963298
2003-02-13,2737.0,2891.0,2950.0,2731.0,710724
2003-02-14,2748.0,2693.0,2805.0,2677.0,569914
2003-02-17,2988.0,2853.0,2986.0,2832.0,765838
2003-02-18,2892.0,2975.0,3007.0,2864.0,494288
2003-02-19,2929.0,2970.0,3146.0,2927.0,1311141
2003-02-20,3169.0,3002.0,3220.0,3002.0,1469635
2003-02-21,3249.0,3215.0,3332.0,3114.0,1322186
2003-02-24,3259.0,3307.0,3371.0,3227.0,1326044
2003-02-25,2982.0,3195.0,3227.0,2971.0,611751
2003-02-26,2993.0,3098.0,3151.0,2965.0,465060
2003-02-27,3057.0,2901.0,3061.0,2901.0,436760
2003-02-28,2934.0,3072.0,3131.0,2928.0,481135
2003-03-03,2775.0,2981.0,2997.0,2619.0,755170
2003-03-04,2716.0,2714.0,2826.0,2645.0,381328
2003-03-05,2423.0,2620.0,2715.0,2391.0,412266
2003-03-06,2349.0,2475.0,2496.0,2209.0,463735
2003-03-07,2311.0,2210.0,2375.0,2210.0,367818
2003-03-10,2588.0,2311.0,2588.0,2311.0,908961
2003-03-11,2471.0,2657.0,2785.0,2460.0,1355097
2003-03-12,2663.0,2544.0,2714.0,2528.0,998380
2003-03-13,2530.0,2661.0,2672.0,2422.0,579620
2003-03-14,2588.0,2715.0,2737.0,2588.0,902333
2003-03-17,2279.0,2550.0,2556.0,2279.0,535526
2003-03-18,2434.0,2443.0,2475.0,2363.0,595488
2003-03-19,2439.0,2385.0,2545.0,2380.0,580179
2003-03-20,2673.0,2513.0,2673.0,2486.0,1000067
2003-03-21,2705.0,2684.0,2721.0,2636.0,547568
2003-03-24,2599.0,2725.0,2741.0,2592.0,657018
2003-03-25,2380.0,2412.0,2508.0,2348.0,613889
2003-03-26,2498.0,2512.0,2613.0,2475.0,1006214
2003-03-27,2460.0,2439.0,2476.0,2407.0,328439
2003-03-28,2588.0,2492.0,2646.0,2481.0,950163
2003-03-31,2349.0,2539.0,2555.0,2331.0,449734
2003-04-01,2423.0,2289.0,2433.0,2289.0,372276
2003-04-02,2599.0,2443.0,2597.0,2395.0,712510
2003-04-03,2583.0,2688.0,2709.0,2528.0,745175
2003-04-04,2663.0,2565.0,2704.0,2565.0,1204532
2003-04-07,2743.0,2746.0,2762.0,2677.0,715171
2003-04-08,2780.0,2741.0,2885.0,2688.0,1260873
2003-04-09,2748.0,2784.0,2832.0,2730.0,563380
2003-04-10,2817.0,2774.0,2918.0,2737.0,1076871
2003-04-11,2716.0,2778.0,2874.0,2693.0,623117
2003-04-14,2817.0,2726.0,2817.0,2694.0,504123
2003-04-15,2860.0,2874.0,2981.0,2832.0,894837
2003-04-16,2982.0,2913.0,3008.0,2913.0,839631
2003-04-17,2988.0,2917.0,2986.0,2912.0,346360
2003-04-18,3249.0,3061.0,3316.0,3013.0,915234
2003-04-21,3387.0,3247.0,3396.0,3151.0,497029
2003-04-22,3302.0,3316.0,3375.0,3231.0,397699
2003-04-23,3233.0,3354.0,3460.0,3162.0,487320
2003-04-24,3089.0,3274.0,3322.0,3002.0,790305
2003-04-25,2822.0,2955.0,3008.0,2721.0,474179
2003-04-28,2753.0,2742.0,2854.0,2715.0,224742
2003-04-29,3004.0,2810.0,3055.0,2810.0,887544
2003-04-30,3036.0,2954.0,3087.0,2949.0,904967
2003-05-02,3115.0,3088.0,3173.0,3046.0,815508
2003-05-06,3078.0,3205.0,3243.0,3067.0,671717
2003-05-07,3190.0,3151.0,3204.0,3071.0,642443
2003-05-09,3185.0,3199.0,3295.0,3103.0,969273
2003-05-12,3131.0,3227.0,3248.0,3131.0,894748
2003-05-13,3179.0,3200.0,3285.0,3168.0,1113234
2003-05-14,2993.0,3194.0,3226.0,2821.0,1003065
2003-05-15,3083.0,3035.0,3184.0,2854.0,890765
2003-05-16,2913.0,3072.0,3072.0,2913.0,522673
2003-05-19,2711.0,2821.0,2853.0,2709.0,638414
2003-05-20,2796.0,2608.0,2794.0,2608.0,462209
2003-05-21,2902.0,2785.0,2923.0,2785.0,545030
2003-05-22,2822.0,2928.0,2971.0,2779.0,537858
2003-05-23,2886.0,2859.0,2913.0,2806.0,609537
2003-05-26,2982.0,2859.0,3035.0,2859.0,750224
2003-05-27,2876.0,3013.0,3034.0,2864.0,467767
2003-05-28,2796.0,2933.0,2954.0,2794.0,455463
2003-05-29,2748.0,2794.0,2842.0,2725.0,484565
2003-05-30,2796.0,2714.0,2805.0,2714.0,396526
2003-06-02,2775.0,2880.0,2885.0,2768.0,420788
2003-06-03,2817.0,2726.0,2865.0,2726.0,524453
2003-06-04,2870.0,2849.0,2875.0,2806.0,391995
2003-06-05,2988.0,2906.0,3045.0,2864.0,1144748
2003-06-09,2993.0,3034.0,3119.0,2965.0,784138
2003-06-10,3025.0,2938.0,3023.0,2922.0,369346
2003-06-11,3004.0,3039.0,3125.0,2991.0,757259
2003-06-12,3067.0,3019.0,3142.0,3019.0,1035474
2003-06-13,3067.0,3094.0,3163.0,3008.0,854147
2003-06-16,3036.0,3039.0,3114.0,3018.0,543388
2003-06-17,3025.0,3135.0,3146.0,2991.0,617322
2003-06-18,2961.0,3034.0,3109.0,2933.0,444607
2003-06-19,2972.0,2965.0,3023.0,2917.0,394048
2003-06-20,3067.0,2934.0,3067.0,2934.0,531916
2003-06-23,3057.0,3087.0,3178.0,3055.0,848364
2003-06-24,3009.0,3055.0,3066.0,2938.0,461206
2003-06-25,3201.0,3007.0,3215.0,3007.0,1343212
2003-06-26,3153.0,3178.0,3364.0,3146.0,1906466
2003-06-27,3083.0,3221.0,3227.0,3040.0,839136
2003-06-30,3211.0,3083.0,3211.0,3008.0,732786
2003-07-01,3275.0,3195.0,3285.0,3179.0,977116
2003-07-02,3121.0,3300.0,3300.0,3061.0,1598299
2003-07-03,2966.0,3163.0,3163.0,2966.0,816977
2003-07-04,3009.0,2981.0,3039.0,2896.0,653981
2003-07-07,3014.0,3008.0,3040.0,2944.0,702185
2003-07-08,3195.0,3062.0,3275.0,3046.0,1806220
2003-07-09,3408.0,3248.0,3578.0,3163.0,2103478
2003-07-10,3584.0,3482.0,3674.0,3472.0,1804705
2003-07-11,3914.0,3514.0,3978.0,3450.0,2290726
2003-07-14,3920.0,3966.0,4179.0,3849.0,2024622
2003-07-15,3765.0,4020.0,4026.0,3706.0,1035109
2003-07-16,3728.0,3827.0,3918.0,3620.0,1420329
2003-07-18,3339.0,3514.0,3658.0,3280.0,998175
2003-07-21,3179.0,3349.0,3488.0,3115.0,725405
2003-07-22,3355.0,3152.0,3355.0,3120.0,728908
2003-07-23,3195.0,3381.0,3402.0,3195.0,665309
2003-07-24,3382.0,3167.0,3380.0,3167.0,649203
2003-07-25,3312.0,3296.0,3429.0,3291.0,439342
2003-07-28,3515.0,3354.0,3513.0,3343.0,768250
2003-07-29,3515.0,3513.0,3577.0,3423.0,626656
2003-07-30,3286.0,3567.0,3641.0,3268.0,804725
2003-07-31,3286.0,3300.0,3348.0,3220.0,435581
2003-08-01,3680.0,3295.0,3678.0,3295.0,1715641
2003-08-04,3856.0,3737.0,3966.0,3737.0,1437001
2003-08-05,3914.0,3924.0,3962.0,3797.0,763977
2003-08-06,4026.0,3860.0,4127.0,3733.0,856723
2003-08-07,3941.0,3971.0,4131.0,3881.0,606029
2003-08-08,3962.0,3946.0,3994.0,3834.0,474172
2003-08-11,4234.0,3934.0,4232.0,3934.0,1385406
2003-08-12,4553.0,4191.0,4739.0,4191.0,1506589
2003-08-13,4420.0,4654.0,4723.0,4420.0,883227
2003-08-14,4500.0,4526.0,4707.0,4393.0,674780
2003-08-18,4591.0,4552.0,4669.0,4483.0,395988
2003-08-19,4228.0,4686.0,4952.0,4153.0,1440118
2003-08-20,4383.0,4227.0,4461.0,4227.0,514397
2003-08-21,4601.0,4579.0,4670.0,4366.0,634056
2003-08-22,4527.0,4525.0,4674.0,4323.0,322273
2003-08-25,4580.0,4525.0,4642.0,4483.0,382197
2003-08-26,4425.0,4585.0,4867.0,4393.0,1093469
2003-08-27,4633.0,4425.0,4670.0,4425.0,903368
2003-08-28,5187.0,5185.0,5185.0,5074.0,1856398
2003-08-29,5299.0,5324.0,5537.0,5249.0,1453606
2003-09-01,5432.0,5404.0,5457.0,5175.0,657965
2003-09-02,5485.0,5565.0,5698.0,5378.0,781412
2003-09-03,5251.0,5537.0,5590.0,5143.0,596555
2003-09-04,5080.0,5091.0,5272.0,5032.0,351741
2003-09-05,5075.0,5117.0,5186.0,5016.0,301959
2003-09-08,4788.0,4951.0,5047.0,4664.0,311377
2003-09-09,4782.0,4787.0,4888.0,4691.0,298293
2003-09-15,4660.0,4791.0,4839.0,4626.0,245521
2003-09-16,4873.0,4648.0,4909.0,4642.0,398937
2003-09-17,4793.0,4903.0,4994.0,4781.0,328113
2003-09-18,4564.0,4791.0,4834.0,4552.0,338495
2003-09-19,4463.0,4578.0,4658.0,4339.0,313060
2003-09-22,3994.0,4292.0,4462.0,3940.0,372092
2003-09-23,4063.0,3999.0,4068.0,3727.0,391516
2003-09-24,4308.0,4063.0,4313.0,3994.0,538770
2003-09-25,4127.0,4052.0,4191.0,4020.0,337745
2003-09-26,4207.0,4127.0,4286.0,4095.0,525561
2003-09-29,4409.0,4260.0,4409.0,4207.0,383875
2003-09-30,4473.0,4478.0,4489.0,4297.0,381085
2003-10-01,4314.0,4264.0,4381.0,4264.0,164925
2003-10-02,4340.0,4377.0,4425.0,4297.0,272309
2003-10-06,4399.0,4365.0,4472.0,4339.0,239021
2003-10-07,4372.0,4446.0,4473.0,4361.0,199387
2003-10-08,4218.0,4403.0,4413.0,4216.0,168127
2003-10-09,4287.0,4216.0,4307.0,4152.0,226267
2003-10-10,4585.0,4297.0,4659.0,4292.0,733561
2003-10-13,4511.0,4664.0,4712.0,4456.0,469178
2003-10-14,4580.0,4568.0,4653.0,4472.0,681315
2003-10-15,4580.0,4637.0,4727.0,4578.0,749932
2003-10-16,4399.0,4525.0,4568.0,4376.0,442250
2003-10-17,4180.0,4372.0,4420.0,4143.0,425095
2003-10-20,4149.0,4099.0,4222.0,4083.0,300095
2003-10-21,4117.0,4152.0,4227.0,4019.0,437352
2003-10-22,4234.0,4365.0,4397.0,4163.0,950750
2003-10-23,4154.0,4248.0,4301.0,4099.0,392900
2003-10-24,4196.0,4153.0,4255.0,4127.0,279223
2003-10-27,4196.0,4185.0,4276.0,4153.0,331666
2003-10-28,4447.0,4259.0,4568.0,4248.0,1005249
2003-10-29,4367.0,4541.0,4573.0,4344.0,522782
2003-10-30,4750.0,4446.0,4750.0,4372.0,1061010
2003-10-31,4793.0,4738.0,4813.0,4621.0,936916
2003-11-03,4804.0,4712.0,4861.0,4605.0,829295
2003-11-04,4500.0,4872.0,4872.0,4489.0,699607
2003-11-05,4473.0,4500.0,4633.0,4047.0,837401
2003-11-06,4346.0,4424.0,4600.0,4296.0,475646
2003-11-07,4596.0,4259.0,4605.0,4259.0,671591
2003-11-10,4756.0,4658.0,4797.0,4605.0,720016
2003-11-11,4537.0,4787.0,4867.0,4489.0,536283
