date,close,open,high,low,volume
2008-11-25,1128.0,1309.0,1474.0,1113.0,12822945
2008-11-26,1296.0,1189.0,1294.0,1168.0,917863
2008-11-27,1434.0,1421.0,1476.0,1296.0,5299419
2008-11-28,1394.0,1521.0,1550.0,1305.0,2757748
2008-12-01,1232.0,1413.0,1460.0,1231.0,2354224
2008-12-02,1145.0,1169.0,1217.0,1144.0,926592
2008-12-03,1151.0,1196.0,1239.0,1129.0,656345
2008-12-04,1017.0,1167.0,1185.0,1001.0,803146
2008-12-05,1022.0,1004.0,1040.0,949.0,449928
2008-12-08,1114.0,1053.0,1172.0,1034.0,1022184
2008-12-09,1047.0,1143.0,1150.0,1045.0,547259
2008-12-10,1084.0,1061.0,1105.0,1027.0,449846
2008-12-11,1247.0,1089.0,1246.0,1048.0,2416168
2008-12-12,1160.0,1282.0,1310.0,1077.0,1796259
2008-12-15,1192.0,1190.0,1258.0,1182.0,738186
2008-12-16,1142.0,1186.0,1186.0,1131.0,410286
2008-12-17,1117.0,1162.0,1173.0,1100.0,467677
2008-12-18,1102.0,1118.0,1140.0,1097.0,201878
2008-12-19,1068.0,1091.0,1095.0,1059.0,242322
2008-12-22,1094.0,1059.0,1113.0,1059.0,180845
2008-12-23,1064.0,1093.0,1100.0,1011.0,165121
2008-12-24,1117.0,1059.0,1135.0,1059.0,888992
2008-12-26,1062.0,1132.0,1132.0,1053.0,237926
2008-12-29,1086.0,1083.0,1087.0,907.0,403235
2008-12-30,1052.0,1083.0,1085.0,1044.0,140581
2009-01-02,1068.0,1062.0,1082.0,1029.0,104738
2009-01-05,1044.0,1090.0,1090.0,1042.0,233533
2009-01-06,1086.0,1042.0,1147.0,1042.0,467982
2009-01-07,1215.0,1096.0,1248.0,1091.0,1587842
2009-01-08,1211.0,1156.0,1218.0,1136.0,349139
2009-01-09,1187.0,1219.0,1237.0,1166.0,178134
2009-01-12,1087.0,1166.0,1181.0,1086.0,242846
2009-01-13,1109.0,1070.0,1121.0,1055.0,168091
2009-01-14,1146.0,1103.0,1155.0,1103.0,129956
2009-01-15,1061.0,1116.0,1116.0,1059.0,179919
2009-01-16,1174.0,1076.0,1201.0,1076.0,197730
2009-01-19,1170.0,1181.0,1181.0,1133.0,136737
2009-01-20,1160.0,1149.0,1158.0,1112.0,85401
2009-01-21,1089.0,1118.0,1156.0,1080.0,108583
2009-01-22,1093.0,1119.0,1132.0,1091.0,88456
2009-01-23,1093.0,1092.0,1114.0,1076.0,85933
2009-01-28,1123.0,1117.0,1132.0,1099.0,81942
2009-01-29,1120.0,1105.0,1144.0,1105.0,75197
2009-01-30,1120.0,1093.0,1117.0,1093.0,67940
2009-02-02,1148.0,1116.0,1163.0,1103.0,221877
2009-02-03,1179.0,1177.0,1200.0,1138.0,188521
