date,close,open,high,low,volume
2007-12-26,363.0,427.0,455.0,362.0,18004973
2007-12-27,309.0,314.0,324.0,308.0,6432700
2007-12-28,277.0,277.0,295.0,267.0,15437545
2008-01-02,273.0,276.0,292.0,265.0,7723560
2008-01-03,273.0,271.0,282.0,268.0,3692606
2008-01-04,268.0,275.0,286.0,266.0,4162137
2008-01-07,253.0,260.0,262.0,253.0,2682248
2008-01-08,258.0,255.0,268.0,253.0,2938764
2008-01-09,249.0,254.0,254.0,247.0,1742410
2008-01-10,249.0,250.0,256.0,248.0,1032743
2008-01-11,244.0,254.0,254.0,238.0,1059894
2008-01-14,233.0,235.0,240.0,231.0,983128
2008-01-15,235.0,232.0,242.0,229.0,840789
2008-01-16,241.0,235.0,241.0,231.0,649040
2008-01-17,261.0,245.0,276.0,245.0,9034289
2008-01-18,250.0,258.0,261.0,246.0,1389439
2008-01-21,268.0,255.0,286.0,247.0,3757998
2008-01-22,263.0,259.0,287.0,245.0,3971194
2008-01-23,277.0,270.0,293.0,265.0,4609673
2008-01-24,271.0,284.0,289.0,267.0,1955106
2008-01-25,265.0,271.0,277.0,262.0,1391852
2008-01-28,269.0,268.0,277.0,260.0,1044495
2008-01-29,291.0,277.0,309.0,272.0,7460786
2008-01-30,264.0,292.0,295.0,261.0,3383827
2008-01-31,274.0,263.0,277.0,248.0,1271910
2008-02-01,267.0,279.0,279.0,267.0,823651
2008-02-04,274.0,275.0,277.0,267.0,752464
2008-02-05,268.0,277.0,277.0,263.0,580452
2008-02-11,255.0,261.0,267.0,254.0,700972
2008-02-12,264.0,253.0,265.0,253.0,270200
2008-02-13,262.0,269.0,269.0,259.0,346424
2008-02-14,268.0,261.0,275.0,261.0,729266
2008-02-15,274.0,267.0,274.0,264.0,949623
2008-02-18,286.0,277.0,294.0,272.0,939633
2008-02-19,284.0,287.0,287.0,276.0,660401
2008-02-20,283.0,283.0,295.0,280.0,953919
2008-02-21,285.0,287.0,290.0,280.0,674831
2008-02-22,286.0,283.0,312.0,282.0,2537676
2008-02-25,288.0,298.0,298.0,284.0,960213
2008-02-26,298.0,288.0,298.0,280.0,726432
2008-02-27,299.0,296.0,303.0,291.0,333197
2008-02-28,299.0,304.0,318.0,298.0,627690
2008-02-29,294.0,294.0,304.0,287.0,576366
2008-03-03,300.0,283.0,302.0,283.0,494991
2008-03-04,303.0,300.0,316.0,292.0,1190541
2008-03-05,320.0,305.0,321.0,302.0,712303
2008-03-06,319.0,329.0,329.0,314.0,383167
2008-03-07,320.0,306.0,328.0,306.0,541735
2008-03-10,309.0,320.0,321.0,306.0,544720
2008-03-11,305.0,305.0,310.0,302.0,366306
2008-03-12,303.0,320.0,320.0,302.0,504782
2008-03-13,296.0,296.0,307.0,285.0,616973
2008-03-14,281.0,296.0,302.0,272.0,471378
2008-03-17,268.0,275.0,275.0,266.0,416426
2008-03-18,266.0,275.0,277.0,263.0,214008
2008-03-19,271.0,269.0,274.0,263.0,645159
2008-03-20,285.0,270.0,284.0,270.0,470235
2008-03-21,278.0,291.0,291.0,277.0,382782
2008-03-24,287.0,283.0,291.0,281.0,452531
2008-03-25,277.0,291.0,296.0,276.0,275585
2008-03-26,285.0,279.0,288.0,275.0,274015
2008-03-27,285.0,288.0,288.0,277.0,326548
2008-03-28,287.0,287.0,287.0,277.0,450028
2008-03-31,293.0,285.0,297.0,282.0,572389
2008-04-01,300.0,284.0,308.0,284.0,849683
2008-04-02,308.0,305.0,311.0,300.0,1013144
2008-04-03,303.0,312.0,317.0,303.0,1556450
2008-04-04,309.0,299.0,308.0,299.0,520536
2008-04-07,320.0,303.0,319.0,303.0,872791
2008-04-08,329.0,321.0,345.0,317.0,1495438
2008-04-10,342.0,333.0,352.0,328.0,2693061
2008-04-11,367.0,348.0,392.0,339.0,6835021
2008-04-14,362.0,366.0,371.0,352.0,2549561
2008-04-15,353.0,361.0,373.0,344.0,1428005
2008-04-16,342.0,352.0,358.0,338.0,907734
2008-04-17,362.0,342.0,387.0,342.0,2040164
2008-04-18,371.0,364.0,376.0,357.0,1341425
2008-04-21,378.0,376.0,401.0,370.0,1215243
2008-04-22,396.0,380.0,396.0,378.0,914450
2008-04-23,393.0,401.0,403.0,384.0,601207
2008-04-24,393.0,393.0,403.0,384.0,578202
2008-04-25,380.0,396.0,396.0,378.0,651544
2008-04-28,380.0,382.0,389.0,376.0,824837
2008-04-29,398.0,384.0,421.0,377.0,1119925
2008-04-30,433.0,399.0,444.0,399.0,1675471
2008-05-02,417.0,440.0,440.0,417.0,904750
2008-05-06,422.0,417.0,433.0,413.0,542187
2008-05-07,427.0,419.0,443.0,419.0,590923
2008-05-08,428.0,428.0,438.0,423.0,399776
2008-05-09,413.0,428.0,429.0,412.0,503380
2008-05-13,419.0,413.0,433.0,410.0,406750
2008-05-14,419.0,422.0,422.0,405.0,209627
2008-05-15,418.0,411.0,417.0,402.0,785001
2008-05-16,417.0,424.0,425.0,406.0,388246
2008-05-19,403.0,419.0,421.0,403.0,402044
2008-05-20,381.0,398.0,408.0,378.0,1611625
2008-05-21,397.0,381.0,398.0,377.0,339239
