date,close,open,high,low,volume
2004-01-08,3047.0,2722.0,3046.0,2722.0,52256
2004-01-09,3409.0,3408.0,3408.0,3408.0,13629
2004-01-12,3815.0,3814.0,3814.0,3814.0,30018
2004-01-13,3952.0,4257.0,4257.0,3745.0,1762425
2004-01-14,4420.0,4095.0,4420.0,4058.0,1584539
2004-01-15,3896.0,4682.0,4944.0,3895.0,2053300
2004-01-16,4021.0,3920.0,4101.0,3783.0,619552
2004-01-19,3571.0,3895.0,3970.0,3539.0,773997
2004-01-20,3584.0,3508.0,3621.0,3390.0,397902
2004-01-26,3434.0,3521.0,3608.0,3433.0,331535
2004-01-27,3309.0,3396.0,3433.0,3227.0,291856
2004-01-28,3371.0,3246.0,3371.0,3246.0,219363
2004-01-29,3496.0,3283.0,3671.0,3283.0,531940
2004-01-30,3359.0,3496.0,3583.0,3333.0,209898
2004-02-02,3359.0,3421.0,3458.0,3327.0,159207
2004-02-03,3403.0,3408.0,3415.0,3252.0,301652
2004-02-04,3434.0,3371.0,3621.0,3308.0,332653
2004-02-05,3340.0,3433.0,3433.0,3290.0,146955
2004-02-06,3434.0,3321.0,3465.0,3277.0,230512
2004-02-09,3378.0,3458.0,3546.0,3371.0,169864
2004-02-10,3265.0,3396.0,3396.0,3265.0,112004
2004-02-11,3471.0,3265.0,3527.0,3265.0,418200
2004-02-12,3296.0,3471.0,3496.0,3240.0,373293
2004-02-13,3197.0,3358.0,3408.0,3165.0,235690
2004-02-16,3078.0,3146.0,3159.0,3040.0,263701
2004-02-17,3128.0,3102.0,3134.0,3077.0,126220
2004-02-18,3065.0,3102.0,3215.0,3065.0,182372
2004-02-19,2903.0,2703.0,3084.0,2703.0,178572
2004-02-20,3015.0,2915.0,3015.0,2809.0,141308
2004-02-23,2909.0,2984.0,3009.0,2909.0,68065
2004-02-24,2797.0,2915.0,2915.0,2753.0,96915
2004-02-25,2753.0,2772.0,2846.0,2709.0,56429
2004-02-26,3022.0,2784.0,3021.0,2647.0,235505
2004-02-27,2853.0,2934.0,3009.0,2809.0,105202
2004-03-02,2772.0,2846.0,2928.0,2772.0,59069
2004-03-03,2722.0,2803.0,2803.0,2678.0,141582
2004-03-04,2710.0,2684.0,2759.0,2678.0,126369
2004-03-05,2741.0,2703.0,2772.0,2684.0,87421
