date,close,open,high,low,volume
2007-07-25,8658.0,10152.0,11648.0,8656.0,4155561
2007-07-26,7548.0,8500.0,9208.0,7500.0,1397517
2007-07-27,6950.0,7563.0,7807.0,6885.0,640578
2007-07-30,6926.0,6816.0,7240.0,6816.0,286946
2007-07-31,6856.0,7082.0,7090.0,6846.0,233746
2007-08-01,6588.0,6855.0,7107.0,6532.0,239569
2007-08-02,6494.0,6736.0,6823.0,6295.0,236980
2007-08-03,6328.0,6611.0,6650.0,6320.0,203454
2007-08-06,6328.0,6217.0,6548.0,6115.0,270979
2007-08-07,6258.0,6429.0,6649.0,6248.0,205146
2007-08-08,6218.0,6319.0,6374.0,6208.0,124539
2007-08-09,6297.0,6280.0,6547.0,6264.0,229308
2007-08-10,5856.0,6170.0,6178.0,5792.0,164706
2007-08-13,5840.0,5926.0,5981.0,5784.0,77095
2007-08-14,5155.0,5784.0,5840.0,5155.0,260829
2007-08-16,4384.0,4824.0,4848.0,4384.0,200702
2007-08-17,4368.0,4384.0,4446.0,4013.0,152713
2007-08-20,4573.0,4501.0,4737.0,4423.0,195695
2007-08-21,4494.0,4572.0,4619.0,4469.0,95778
2007-08-22,5163.0,4533.0,5163.0,4533.0,396075
2007-08-23,4958.0,5194.0,5422.0,4934.0,370841
2007-08-24,4754.0,4965.0,4996.0,4736.0,115200
2007-08-27,4880.0,4864.0,5100.0,4690.0,267367
2007-08-28,4849.0,4918.0,5343.0,4847.0,317491
2007-08-29,4644.0,4642.0,4824.0,4572.0,119444
2007-08-30,4644.0,4800.0,4831.0,4619.0,85167
2007-08-31,4660.0,4721.0,4760.0,4595.0,45520
2007-09-03,4652.0,4682.0,4721.0,4556.0,76385
2007-09-04,4722.0,4651.0,4800.0,4612.0,74329
2007-09-05,4841.0,4799.0,5271.0,4736.0,321178
2007-09-06,5046.0,4831.0,5154.0,4736.0,153595
2007-09-07,4958.0,5116.0,5210.0,4887.0,145112
2007-09-10,4919.0,4832.0,4919.0,4667.0,73246
2007-09-11,4896.0,4886.0,4957.0,4760.0,68168
2007-09-12,4841.0,4902.0,5020.0,4760.0,71696
2007-09-13,4872.0,4784.0,4903.0,4737.0,53655
2007-09-14,4904.0,4824.0,5075.0,4824.0,76436
2007-09-17,5038.0,5036.0,5232.0,4957.0,116558
2007-09-18,4966.0,5084.0,5312.0,4966.0,197253
2007-09-19,4919.0,5021.0,5100.0,4769.0,100293
2007-09-20,4597.0,4902.0,4902.0,4595.0,87579
2007-09-21,4463.0,4572.0,4642.0,4375.0,72125
2007-09-27,4282.0,4384.0,4446.0,4257.0,133321
2007-09-28,4203.0,4225.0,4320.0,4170.0,76549
2007-10-01,4345.0,4295.0,4375.0,4092.0,70426
2007-10-02,4250.0,4406.0,4461.0,4201.0,86873
2007-10-04,4140.0,4304.0,4304.0,4116.0,43365
2007-10-05,4156.0,4107.0,4162.0,4012.0,51596
2007-10-08,3935.0,4108.0,4226.0,3931.0,106861
2007-10-09,3727.0,3903.0,3918.0,3717.0,77122
2007-10-10,3770.0,3772.0,3816.0,3698.0,38900
2007-10-11,3810.0,3784.0,3848.0,3737.0,45407
2007-10-12,3770.0,3800.0,3800.0,3548.0,48103
2007-10-15,3802.0,3769.0,3816.0,3620.0,25323
2007-10-16,3621.0,3698.0,3768.0,3532.0,37980
2007-10-17,3542.0,3541.0,3648.0,3408.0,36674
2007-10-18,3494.0,3541.0,3604.0,3478.0,15617
2007-10-19,3778.0,3619.0,3903.0,3497.0,88441
2007-10-22,3676.0,3548.0,3737.0,3540.0,34836
2007-10-23,3609.0,3660.0,3773.0,3537.0,40050
2007-10-24,3471.0,3619.0,3741.0,3469.0,26841
2007-10-25,3424.0,3422.0,3596.0,3395.0,23949
2007-10-26,3330.0,3422.0,3462.0,3194.0,26252
2007-10-29,3330.0,3332.0,3458.0,3296.0,36008
2007-10-30,3389.0,3352.0,3477.0,3328.0,42817
2007-10-31,3357.0,3384.0,3470.0,3266.0,45119
2007-11-01,3270.0,3316.0,3356.0,3265.0,26982
2007-11-02,3349.0,3207.0,3423.0,3203.0,70955
2007-11-05,3502.0,3443.0,3714.0,3431.0,154685
2007-11-06,3440.0,3469.0,3690.0,3430.0,104778
2007-11-07,3586.0,3422.0,3604.0,3403.0,108093
2007-11-08,4117.0,3627.0,4115.0,3611.0,389907
2007-11-09,4172.0,4438.0,4595.0,4012.0,669309
2007-11-12,3621.0,4060.0,4123.0,3580.0,224169
2007-11-13,3542.0,3699.0,3699.0,3344.0,118980
2007-11-14,4070.0,3662.0,4068.0,3540.0,315036
2007-11-15,3684.0,4154.0,4383.0,3682.0,344466
2007-11-16,3774.0,3729.0,3832.0,3556.0,83727
2007-11-19,4124.0,3872.0,4242.0,3808.0,290113
2007-11-20,4258.0,3989.0,4343.0,3855.0,219106
2007-11-21,3818.0,4264.0,4296.0,3816.0,101468
2007-11-22,3798.0,3820.0,3919.0,3707.0,58546
2007-11-23,3830.0,3855.0,4004.0,3804.0,84582
2007-11-26,3900.0,3958.0,4155.0,3900.0,142496
2007-11-27,3644.0,3876.0,3876.0,3317.0,105810
2007-11-28,3534.0,3564.0,3733.0,3477.0,70017
2007-11-29,3357.0,3557.0,3620.0,3305.0,109130
2007-11-30,3443.0,3360.0,3455.0,3344.0,48120
2007-12-03,3381.0,3422.0,3501.0,3367.0,43259
2007-12-04,3377.0,3360.0,3438.0,3360.0,29372
2007-12-05,3440.0,3379.0,3516.0,3375.0,34662
2007-12-06,3514.0,3462.0,3753.0,3462.0,105403
2007-12-07,3483.0,3580.0,3580.0,3383.0,42899
2007-12-10,3322.0,3462.0,3532.0,3320.0,68941
2007-12-11,3094.0,3375.0,3375.0,3092.0,108508
2007-12-12,3026.0,3036.0,3131.0,3013.0,50747
2007-12-13,3050.0,3013.0,3135.0,3013.0,18221
2007-12-14,3034.0,3052.0,3116.0,3032.0,12975
2007-12-17,2794.0,2993.0,3092.0,2788.0,48354
2007-12-18,2873.0,2872.0,2888.0,2754.0,42176
2007-12-20,2711.0,2912.0,2982.0,2711.0,53362
2007-12-21,2637.0,2718.0,2796.0,2596.0,27958
2007-12-24,2625.0,2628.0,2734.0,2596.0,29952
2007-12-26,2621.0,2636.0,2691.0,2534.0,27827
2007-12-27,2645.0,2659.0,2659.0,2620.0,15518
2007-12-28,2641.0,2620.0,2663.0,2572.0,44214
2008-01-02,2672.0,2620.0,2711.0,2620.0,18270
2008-01-03,2735.0,2714.0,2753.0,2517.0,39616
2008-01-04,2708.0,2679.0,2820.0,2643.0,48953
2008-01-07,2676.0,2652.0,2746.0,2596.0,34926
2008-01-08,2676.0,2676.0,2731.0,2640.0,26934
2008-01-09,2676.0,2616.0,2691.0,2616.0,14389
2008-01-10,2676.0,2676.0,2738.0,2628.0,15290
2008-01-11,2755.0,2698.0,2911.0,2651.0,64465
2008-01-14,2786.0,2745.0,2930.0,2679.0,21127
2008-01-15,2664.0,2825.0,2825.0,2526.0,26970
2008-01-16,2582.0,2553.0,2656.0,2549.0,15725
2008-01-17,2582.0,2541.0,2620.0,2487.0,30947
2008-01-18,2610.0,2580.0,2608.0,2497.0,18286
2008-01-21,2460.0,2608.0,2663.0,2439.0,36727
2008-01-22,2192.0,2368.0,2368.0,2093.0,119869
2008-01-23,2125.0,2203.0,2278.0,2006.0,36783
2008-01-24,2204.0,2128.0,2292.0,2128.0,57395
2008-01-25,2278.0,2211.0,2313.0,2183.0,47752
2008-01-28,2208.0,2238.0,2273.0,2206.0,20235
2008-01-29,2216.0,2206.0,2265.0,2206.0,22305
2008-01-30,2157.0,2226.0,2261.0,2060.0,39208
2008-01-31,2106.0,2155.0,2202.0,2045.0,20354
2008-02-01,2196.0,2116.0,2254.0,2100.0,22981
2008-02-04,2235.0,2203.0,2274.0,2156.0,21063
2008-02-05,2263.0,2249.0,2312.0,2214.0,35277
2008-02-11,2282.0,2207.0,2282.0,2163.0,109792
2008-02-12,2362.0,2222.0,2548.0,2222.0,126247
2008-02-13,2358.0,2380.0,2474.0,2281.0,46005
2008-02-14,2326.0,2475.0,2475.0,2325.0,27078
2008-02-15,2267.0,2285.0,2340.0,2234.0,16698
2008-02-18,2243.0,2266.0,2333.0,2219.0,44362
2008-02-19,2239.0,2333.0,2333.0,2227.0,13909
2008-02-20,2200.0,2245.0,2249.0,2195.0,23949
2008-02-21,2416.0,2215.0,2510.0,2211.0,94465
2008-02-22,2401.0,2368.0,2415.0,2308.0,44350
2008-02-25,2413.0,2501.0,2501.0,2376.0,22566
2008-02-26,2397.0,2372.0,2431.0,2336.0,30051
2008-02-27,2401.0,2360.0,2486.0,2332.0,30495
2008-02-28,2448.0,2407.0,2497.0,2403.0,19834
2008-02-29,2436.0,2440.0,2447.0,2392.0,9564
2008-03-03,2314.0,2423.0,2423.0,2289.0,24184
2008-03-04,2247.0,2312.0,2360.0,2222.0,32864
2008-03-05,2278.0,2250.0,2301.0,2219.0,13808
2008-03-06,2377.0,2243.0,2376.0,2239.0,28358
2008-03-07,2424.0,2368.0,2467.0,2254.0,55595
2008-03-10,2389.0,2443.0,2443.0,2344.0,31792
2008-03-11,2550.0,2359.0,2659.0,2359.0,143256
2008-03-12,2538.0,2564.0,2627.0,2482.0,63756
2008-03-13,2747.0,2529.0,2808.0,2529.0,205406
2008-03-14,2708.0,2792.0,2816.0,2675.0,91768
2008-03-17,2617.0,2707.0,2872.0,2534.0,75170
2008-03-18,2542.0,2635.0,2639.0,2474.0,79074
2008-03-19,2688.0,2596.0,2698.0,2540.0,144737
2008-03-20,2676.0,2672.0,2754.0,2616.0,100092
2008-03-21,2550.0,2639.0,2722.0,2544.0,81983
2008-03-24,2464.0,2525.0,2556.0,2462.0,86738
2008-03-25,2385.0,2494.0,2494.0,2380.0,75724
2008-03-26,2381.0,2384.0,2392.0,2290.0,82182
2008-03-27,2448.0,2360.0,2474.0,2360.0,81173
2008-03-28,2464.0,2439.0,2509.0,2384.0,70752
2008-03-31,2432.0,2416.0,2475.0,2384.0,45808
2008-04-01,2432.0,2432.0,2581.0,2305.0,60935
2008-04-02,2409.0,2439.0,2501.0,2399.0,43552
2008-04-03,2294.0,2375.0,2466.0,2292.0,32733
2008-04-04,2354.0,2289.0,2431.0,2285.0,68020
2008-04-07,2290.0,2356.0,2439.0,2290.0,30448
2008-04-08,2306.0,2289.0,2304.0,2230.0,29694
2008-04-10,2334.0,2321.0,2344.0,2262.0,9413
2008-04-11,2270.0,2352.0,2352.0,2270.0,33991
2008-04-14,2278.0,2227.0,2282.0,2207.0,17796
2008-04-15,2235.0,2278.0,2290.0,2235.0,21321
2008-04-16,2235.0,2235.0,2337.0,2235.0,69024
2008-04-17,2251.0,2281.0,2281.0,2234.0,47334
2008-04-18,2220.0,2277.0,2277.0,2218.0,9232
2008-04-21,2165.0,2257.0,2257.0,2163.0,51068
2008-04-22,2231.0,2180.0,2231.0,2124.0,63009
2008-04-23,2208.0,2238.0,2238.0,2167.0,31120
2008-04-24,2204.0,2183.0,2210.0,2147.0,27920
2008-04-25,2204.0,2202.0,2234.0,2163.0,27881
2008-04-28,2157.0,2202.0,2202.0,2136.0,73806
2008-04-29,2161.0,2179.0,2210.0,2124.0,53303
2008-04-30,2326.0,2160.0,2408.0,2140.0,109604
2008-05-02,2586.0,2325.0,2672.0,2286.0,265526
2008-05-06,2526.0,2534.0,2596.0,2451.0,78367
2008-05-07,2700.0,2540.0,2816.0,2525.0,228566
