date,close,open,high,low,volume
2012-03-21,6521.0,5680.0,6520.0,5680.0,777379
2012-03-22,7489.0,7488.0,7488.0,7295.0,1854943
2012-03-23,8587.0,8328.0,8586.0,8166.0,1889295
2012-03-26,9845.0,9618.0,9845.0,9522.0,877797
2012-03-27,10265.0,11297.0,11297.0,10135.0,5528343
2012-03-28,8974.0,9812.0,9974.0,8747.0,4115629
2012-03-29,8684.0,9102.0,9392.0,8102.0,3549856
2012-03-30,8554.0,8489.0,8941.0,8424.0,2640589
2012-04-02,7844.0,8586.0,8650.0,7843.0,2038283
2012-04-03,8231.0,7908.0,8231.0,7746.0,2541724
2012-04-04,7295.0,8133.0,8231.0,7295.0,1352770
2012-04-05,7651.0,7326.0,7682.0,7036.0,1371256
2012-04-06,7102.0,7714.0,7714.0,7036.0,901787
2012-04-09,6036.0,6939.0,7036.0,6036.0,975408
2012-04-10,6230.0,5926.0,6436.0,5816.0,780848
2012-04-12,6198.0,6132.0,6487.0,5971.0,678454
2012-04-13,6301.0,6455.0,6778.0,6300.0,1197720
2012-04-16,6301.0,6197.0,6300.0,6022.0,458329
2012-04-17,5991.0,6371.0,6520.0,5971.0,774122
2012-04-18,5842.0,6061.0,6074.0,5751.0,490475
2012-04-19,5933.0,5809.0,5991.0,5751.0,364632
2012-04-20,5430.0,5939.0,5997.0,5293.0,539322
2012-04-23,5262.0,5345.0,5564.0,5229.0,523317
2012-04-24,5223.0,5099.0,5480.0,5099.0,467467
2012-04-25,4978.0,5312.0,5351.0,4958.0,452085
2012-04-26,5119.0,5132.0,5415.0,4970.0,820624
2012-04-27,5571.0,5119.0,5751.0,5106.0,1433608
2012-04-30,5403.0,5590.0,5738.0,5338.0,557941
2012-05-02,5662.0,5403.0,5668.0,5319.0,666100
2012-05-03,5533.0,5713.0,5713.0,5506.0,321119
2012-05-04,5217.0,5467.0,5525.0,5202.0,548311
2012-05-07,5229.0,5254.0,5267.0,5144.0,224885
2012-05-08,5616.0,5377.0,5758.0,5274.0,603074
2012-05-09,5345.0,5558.0,5655.0,5319.0,397254
2012-05-10,5597.0,5280.0,5597.0,5196.0,316801
2012-05-11,5403.0,5629.0,5693.0,5364.0,308167
2012-05-14,5229.0,5377.0,5390.0,5041.0,199599
2012-05-15,5010.0,5041.0,5157.0,5009.0,163862
2012-05-16,4519.0,4906.0,5009.0,4519.0,265369
2012-05-17,4513.0,4434.0,4699.0,4324.0,174063
2012-05-18,4074.0,4389.0,4409.0,4073.0,238267
2012-05-21,4164.0,4073.0,4176.0,4002.0,136997
2012-05-22,4261.0,4266.0,4395.0,4183.0,177758
2012-05-23,4099.0,4292.0,4312.0,4099.0,121923
2012-05-24,4113.0,4099.0,4254.0,4086.0,106572
2012-05-25,4726.0,4157.0,4725.0,4111.0,705520
2012-05-29,5100.0,4680.0,5299.0,4654.0,1082189
2012-05-30,5016.0,5132.0,5138.0,4841.0,416916
2012-05-31,5094.0,4879.0,5093.0,4796.0,298921
