date,close,open,high,low,volume
2016-07-27,2910.0,4000.0,4090.0,2910.0,27283167
2016-07-28,2985.0,2930.0,3345.0,2920.0,12272157
2016-07-29,2900.0,3080.0,3130.0,2885.0,3603807
2016-08-01,2775.0,2920.0,2920.0,2690.0,2725272
2016-08-02,2610.0,2720.0,2820.0,2600.0,1638829
2016-08-03,2655.0,2600.0,2780.0,2520.0,1986265
2016-08-04,2655.0,2685.0,2730.0,2600.0,815832
2016-08-05,2555.0,2660.0,2710.0,2555.0,887362
2016-08-08,2640.0,2580.0,2765.0,2515.0,2018215
2016-08-09,2555.0,2650.0,2700.0,2555.0,878245
2016-08-10,2540.0,2580.0,2600.0,2515.0,625312
2016-08-11,2470.0,2505.0,2575.0,2460.0,1470817
2016-08-12,2375.0,2460.0,2460.0,2345.0,1678961
2016-08-16,2310.0,2385.0,2415.0,2310.0,829374
2016-08-17,2320.0,2310.0,2360.0,2305.0,410319
2016-08-18,2335.0,2320.0,2410.0,2320.0,576368
2016-08-19,2330.0,2340.0,2385.0,2310.0,377060
2016-08-22,2310.0,2330.0,2345.0,2310.0,244085
2016-08-23,2305.0,2345.0,2345.0,2300.0,463560
2016-08-24,2420.0,2325.0,2440.0,2305.0,999682
2016-08-25,2390.0,2385.0,2445.0,2365.0,360361
2016-08-26,2335.0,2410.0,2420.0,2330.0,430537
2016-08-29,2125.0,2200.0,2210.0,2095.0,1651848
2016-08-30,2070.0,2135.0,2175.0,2060.0,521997
2016-08-31,2000.0,2090.0,2100.0,1985.0,569837
2016-09-01,2010.0,1990.0,2050.0,1990.0,331021
2016-09-02,2115.0,2030.0,2115.0,2010.0,381402
2016-09-05,2120.0,2095.0,2140.0,2075.0,273980
2016-09-06,2080.0,2100.0,2120.0,2075.0,276926
2016-09-07,2055.0,2095.0,2110.0,2030.0,296560
2016-09-08,2020.0,2070.0,2075.0,2010.0,282340
2016-09-09,2005.0,2055.0,2055.0,2005.0,221097
2016-09-12,1960.0,1980.0,2000.0,1940.0,301162
2016-09-13,1970.0,1970.0,2035.0,1950.0,259408
2016-09-19,2000.0,1970.0,2000.0,1960.0,161357
2016-09-20,2035.0,2000.0,2065.0,1995.0,253110
2016-09-21,2095.0,2080.0,2120.0,2055.0,424461
2016-09-22,2110.0,2100.0,2165.0,2075.0,395162
2016-09-23,2330.0,2135.0,2580.0,2090.0,9936466
2016-09-26,2430.0,2340.0,2480.0,2270.0,4888180
2016-09-27,2350.0,2435.0,2475.0,2310.0,2287837
2016-09-28,2330.0,2360.0,2430.0,2305.0,1453320
2016-09-29,2380.0,2360.0,2405.0,2240.0,1183098
2016-09-30,2305.0,2390.0,2390.0,2270.0,648876
2016-10-04,2315.0,2305.0,2365.0,2280.0,545917
2016-10-05,2335.0,2315.0,2345.0,2275.0,489872
2016-10-06,2405.0,2375.0,2470.0,2355.0,1931985
2016-10-07,2485.0,2400.0,2495.0,2360.0,2246388
2016-10-10,2400.0,2510.0,2575.0,2400.0,2205712
2016-10-11,2330.0,2410.0,2435.0,2290.0,1182671
2016-10-12,2520.0,2330.0,2560.0,2315.0,4356356
2016-10-13,2535.0,2510.0,2565.0,2405.0,1593936
2016-10-14,2480.0,2550.0,2600.0,2480.0,1258176
2016-10-17,2410.0,2510.0,2520.0,2390.0,571350
2016-10-18,2420.0,2405.0,2475.0,2390.0,392026
2016-10-19,2350.0,2405.0,2425.0,2315.0,576216
2016-10-20,2265.0,2350.0,2385.0,2230.0,767140
2016-10-21,2250.0,2230.0,2305.0,2215.0,412092
2016-10-24,2275.0,2290.0,2350.0,2245.0,507191
2016-10-25,2225.0,2265.0,2275.0,2160.0,593610
2016-10-26,2165.0,2195.0,2225.0,2090.0,779819
2016-10-27,2125.0,2130.0,2210.0,2115.0,937720
2016-10-28,2080.0,2125.0,2125.0,2035.0,965425
2016-10-31,2080.0,2135.0,2180.0,2050.0,1138334
2016-11-01,2085.0,2100.0,2125.0,2055.0,590184
2016-11-02,2005.0,2070.0,2095.0,1980.0,718435
2016-11-03,2040.0,1970.0,2040.0,1970.0,334717
2016-11-04,2015.0,2020.0,2040.0,1990.0,369395
2016-11-07,2015.0,2015.0,2035.0,2000.0,434230
2016-11-08,2120.0,2025.0,2145.0,2010.0,920757
2016-11-09,2055.0,2110.0,2185.0,1900.0,1517288
2016-11-10,2095.0,2110.0,2145.0,2075.0,980483
2016-11-11,2145.0,2090.0,2145.0,2065.0,484106
2016-11-14,2135.0,2150.0,2175.0,2100.0,548103
2016-11-15,2095.0,2120.0,2140.0,2085.0,471637
2016-11-16,2135.0,2110.0,2145.0,2090.0,344951
2016-11-17,2180.0,2135.0,2220.0,2100.0,770256
2016-11-18,2210.0,2190.0,2230.0,2150.0,625823
2016-11-21,2230.0,2280.0,2335.0,2205.0,1563115
2016-11-22,2185.0,2245.0,2260.0,2150.0,475533
2016-11-23,2175.0,2215.0,2310.0,2155.0,1233757
2016-11-24,2100.0,2145.0,2190.0,2090.0,512876
2016-11-25,2095.0,2100.0,2135.0,2055.0,271185
2016-11-28,2050.0,2095.0,2110.0,2050.0,270110
2016-11-29,2065.0,2050.0,2085.0,2030.0,299673
2016-11-30,2045.0,2055.0,2075.0,2035.0,234756
2016-12-01,2030.0,2055.0,2070.0,2020.0,320030
2016-12-02,2035.0,2010.0,2090.0,2010.0,316646
2016-12-05,1990.0,2020.0,2040.0,1970.0,521043
2016-12-06,2055.0,2005.0,2055.0,1990.0,230137
