date,close,open,high,low,volume
2004-12-08,4225.0,4800.0,5000.0,4225.0,770889
2004-12-09,3720.0,3720.0,3720.0,3720.0,3769
2004-12-10,3275.0,3400.0,3650.0,3275.0,2783484
2004-12-13,3320.0,3280.0,3570.0,3210.0,2034089
2004-12-14,3445.0,3370.0,3690.0,3140.0,1384689
2004-12-15,3220.0,3380.0,3530.0,3185.0,986158
2004-12-16,3190.0,3200.0,3350.0,3170.0,669701
2004-12-17,2980.0,3190.0,3270.0,2960.0,611094
2004-12-20,3005.0,2980.0,3030.0,2920.0,527761
2004-12-21,2955.0,3010.0,3070.0,2955.0,339773
2004-12-22,2950.0,2915.0,3180.0,2855.0,876835
2004-12-23,2895.0,2975.0,3010.0,2895.0,320316
2004-12-24,2860.0,2895.0,2925.0,2810.0,268090
2004-12-27,2915.0,2840.0,2940.0,2840.0,197935
2004-12-28,2855.0,2900.0,3020.0,2855.0,355740
2004-12-29,2980.0,2860.0,3020.0,2860.0,300143
2004-12-30,3020.0,3030.0,3040.0,2950.0,191439
2005-01-03,3250.0,3040.0,3260.0,3035.0,380008
2005-01-04,3400.0,3200.0,3450.0,3180.0,614304
2005-01-05,3350.0,3400.0,3550.0,3310.0,437567
2005-01-06,3640.0,3370.0,3750.0,3370.0,852164
2005-01-07,3700.0,3740.0,3740.0,3500.0,404837
2005-01-10,4000.0,3800.0,4100.0,3760.0,560644
2005-01-11,4050.0,4085.0,4145.0,3860.0,411485
2005-01-12,4300.0,4145.0,4440.0,3965.0,1041783
2005-01-13,4385.0,4360.0,4430.0,4175.0,446345
2005-01-14,4330.0,4350.0,4500.0,4200.0,387272
2005-01-17,4750.0,4350.0,4750.0,4350.0,937473
2005-01-18,4800.0,4900.0,4900.0,4485.0,426846
2005-01-19,4600.0,4805.0,4995.0,4585.0,547693
2005-01-20,4100.0,4530.0,4590.0,4050.0,983144
2005-01-21,4405.0,4100.0,4490.0,4100.0,860616
2005-01-24,4800.0,4410.0,4850.0,4350.0,1509404
2005-01-25,4870.0,5000.0,5210.0,4805.0,2171989
2005-01-26,4800.0,5050.0,5070.0,4500.0,872656
2005-01-27,4555.0,4800.0,4900.0,4550.0,570525
2005-01-28,4670.0,4500.0,4775.0,4365.0,674133
2005-01-31,4630.0,4610.0,4770.0,4610.0,549508
2005-02-01,4910.0,4680.0,5000.0,4650.0,1149729
2005-02-02,4675.0,4910.0,4910.0,4630.0,539846
2005-02-03,4450.0,4670.0,4730.0,4450.0,386460
2005-02-04,4370.0,4360.0,4555.0,4360.0,357284
2005-02-07,4605.0,4480.0,4670.0,4430.0,384879
2005-02-11,4665.0,4625.0,4750.0,4500.0,392924
2005-02-14,4730.0,4700.0,4875.0,4675.0,533678
2005-02-15,4700.0,4740.0,4830.0,4650.0,457994
2005-02-16,5260.0,4795.0,5260.0,4760.0,1692326
2005-02-17,5200.0,5260.0,5400.0,5080.0,936950
2005-02-18,5300.0,5180.0,5510.0,5070.0,1006191
2005-02-21,5110.0,5410.0,5450.0,5080.0,594365
2005-02-22,4570.0,4950.0,5160.0,4500.0,569546
2005-02-23,4645.0,4300.0,4645.0,4300.0,455476
2005-02-24,4550.0,4620.0,4820.0,4550.0,343013
2005-02-25,4425.0,4570.0,4675.0,4350.0,297325
2005-02-28,4595.0,4540.0,4675.0,4470.0,263936
2005-03-02,4610.0,4660.0,4800.0,4575.0,251660
2005-03-03,4580.0,4700.0,4720.0,4440.0,216916
2005-03-04,4650.0,4550.0,4660.0,4510.0,252256
2005-03-07,4680.0,4745.0,4935.0,4570.0,502759
2005-03-08,4150.0,4675.0,4675.0,4120.0,451632
2005-03-09,4120.0,4150.0,4270.0,4030.0,199284
2005-03-10,3900.0,4050.0,4180.0,3830.0,223761
2005-03-11,3995.0,3750.0,3995.0,3750.0,323273
2005-03-14,4000.0,3985.0,4045.0,3955.0,211108
2005-03-15,3800.0,4000.0,4005.0,3765.0,146453
2005-03-16,3780.0,3755.0,3835.0,3650.0,180250
2005-03-17,3620.0,3680.0,3700.0,3595.0,167263
2005-03-18,3570.0,3555.0,3640.0,3460.0,132438
2005-03-21,3500.0,3575.0,3600.0,3460.0,93007
2005-03-22,3520.0,3445.0,3600.0,3445.0,93885
2005-03-23,3440.0,3465.0,3540.0,3440.0,75507
2005-03-24,3495.0,3425.0,3530.0,3425.0,110930
2005-03-25,3715.0,3510.0,3750.0,3510.0,136549
2005-03-28,3745.0,3800.0,3870.0,3745.0,144746
2005-03-29,3535.0,3710.0,3760.0,3485.0,119906
2005-03-30,3550.0,3490.0,3850.0,3480.0,85746
2005-03-31,3445.0,3600.0,3650.0,3445.0,123703
2005-04-01,3640.0,3450.0,3665.0,3430.0,143161
2005-04-04,3850.0,3600.0,3945.0,3580.0,277873
2005-04-06,3900.0,3815.0,3910.0,3750.0,104448
2005-04-07,3800.0,3925.0,3925.0,3770.0,94481
2005-04-08,3845.0,3910.0,3960.0,3840.0,148201
2005-04-11,3650.0,3780.0,3895.0,3650.0,88499
2005-04-12,3590.0,3600.0,3680.0,3560.0,69119
2005-04-13,3560.0,3655.0,3670.0,3540.0,82068
2005-04-14,3560.0,3520.0,3620.0,3520.0,64704
2005-04-15,3590.0,3450.0,3600.0,3450.0,81810
2005-04-18,3150.0,3480.0,3560.0,3100.0,190809
2005-04-19,3225.0,3175.0,3280.0,3175.0,102290
2005-04-20,3220.0,3260.0,3335.0,3200.0,155635
2005-04-21,3110.0,3185.0,3185.0,3060.0,72750
2005-04-22,3110.0,3280.0,3280.0,3080.0,123010
2005-04-25,3270.0,3150.0,3340.0,3115.0,245300
2005-04-26,3200.0,3300.0,3330.0,3200.0,116035
2005-04-27,3120.0,3140.0,3195.0,3100.0,75586
2005-04-28,3080.0,3120.0,3155.0,3080.0,102239
2005-04-29,2945.0,2915.0,3000.0,2915.0,92275
2005-05-02,2925.0,2965.0,2965.0,2800.0,213674
2005-05-03,2925.0,2925.0,2990.0,2910.0,73921
2005-05-04,3090.0,2935.0,3165.0,2935.0,125254
2005-05-06,3300.0,3100.0,3350.0,3100.0,137575
2005-05-09,3180.0,3390.0,3390.0,3110.0,63624
2005-05-10,3140.0,3270.0,3270.0,3080.0,44192
2005-05-11,3110.0,3100.0,3180.0,3090.0,18408
2005-05-12,3200.0,3080.0,3220.0,3080.0,49285
2005-05-13,3250.0,3200.0,3440.0,3200.0,279712
2005-05-16,3245.0,3290.0,3330.0,3220.0,95488
2005-05-17,3180.0,3280.0,3290.0,3165.0,71137
2005-05-18,3220.0,3160.0,3280.0,3160.0,117760
2005-05-19,3335.0,3260.0,3370.0,3230.0,116543
2005-05-20,3195.0,3310.0,3380.0,3190.0,73782
2005-05-23,3190.0,3195.0,3215.0,3140.0,59506
2005-05-24,3185.0,3215.0,3250.0,3175.0,63269
2005-05-25,3265.0,3185.0,3270.0,3185.0,102253
2005-05-26,3410.0,3360.0,3485.0,3340.0,307498
2005-05-27,3405.0,3410.0,3440.0,3365.0,91641
2005-05-30,3420.0,3465.0,3465.0,3360.0,127879
2005-05-31,3435.0,3375.0,3520.0,3375.0,268587
2005-06-01,3400.0,3440.0,3470.0,3320.0,120018
2005-06-02,3500.0,3400.0,3500.0,3385.0,128745
2005-06-03,3500.0,3470.0,3540.0,3410.0,112768
2005-06-07,3535.0,3500.0,3600.0,3450.0,177301
2005-06-08,3535.0,3580.0,3625.0,3420.0,130051
2005-06-09,3410.0,3505.0,3550.0,3400.0,112244
2005-06-10,3400.0,3470.0,3470.0,3390.0,73094
2005-06-13,3530.0,3370.0,3575.0,3360.0,279885
2005-06-14,3435.0,3695.0,3700.0,3370.0,220268
2005-06-15,3470.0,3410.0,3470.0,3375.0,99128
2005-06-16,3400.0,3450.0,3500.0,3380.0,89858
2005-06-17,3350.0,3400.0,3445.0,3350.0,94991
2005-06-20,3170.0,3330.0,3360.0,3170.0,159496
2005-06-21,3065.0,3135.0,3200.0,3065.0,112515
2005-06-22,3360.0,3065.0,3410.0,3065.0,345713
2005-06-23,3245.0,3400.0,3715.0,3200.0,897744
2005-06-24,3185.0,3245.0,3245.0,3130.0,81614
2005-06-27,3135.0,3100.0,3330.0,3080.0,304307
2005-06-28,3250.0,3105.0,3285.0,3105.0,222391
2005-06-29,3215.0,3330.0,3345.0,3205.0,167912
2005-06-30,3210.0,3195.0,3260.0,3185.0,111219
2005-07-01,3300.0,3195.0,3335.0,3195.0,146157
2005-07-04,3295.0,3320.0,3390.0,3255.0,142779
2005-07-05,3270.0,3275.0,3325.0,3235.0,125682
2005-07-06,3410.0,3295.0,3430.0,3265.0,304053
2005-07-07,3400.0,3375.0,3460.0,3375.0,158971
2005-07-08,3400.0,3400.0,3465.0,3380.0,149011
2005-07-11,3460.0,3450.0,3520.0,3435.0,216355
2005-07-12,3350.0,3485.0,3515.0,3325.0,205189
2005-07-13,3400.0,3350.0,3400.0,3305.0,95883
2005-07-14,3400.0,3405.0,3465.0,3360.0,218825
2005-07-15,3385.0,3425.0,3445.0,3355.0,67365
2005-07-18,3360.0,3430.0,3430.0,3300.0,131079
2005-07-19,3325.0,3335.0,3400.0,3320.0,122956
2005-07-20,3300.0,3325.0,3350.0,3200.0,232542
2005-07-21,3200.0,3275.0,3340.0,3200.0,124965
2005-07-22,3085.0,3175.0,3175.0,3005.0,146581
2005-07-25,3210.0,3130.0,3210.0,3115.0,91959
2005-07-26,3200.0,3170.0,3245.0,3160.0,77807
2005-07-27,3200.0,3220.0,3250.0,3180.0,74624
2005-07-28,3285.0,3245.0,3395.0,3180.0,169774
2005-07-29,3255.0,3310.0,3340.0,3245.0,57951
2005-08-01,3225.0,3205.0,3285.0,3200.0,34452
2005-08-02,3155.0,3175.0,3220.0,3155.0,80615
2005-08-03,3140.0,3235.0,3235.0,3105.0,47853
2005-08-04,3060.0,3100.0,3140.0,3035.0,76531
2005-08-05,3000.0,2990.0,3150.0,2900.0,152852
2005-08-08,2960.0,3000.0,3020.0,2940.0,37012
