date,close,open,high,low,volume
2009-10-28,3818.0,4444.0,4519.0,3784.0,6647000
2009-10-29,4386.0,3725.0,4384.0,3543.0,5857794
2009-10-30,4204.0,4816.0,5036.0,4104.0,7623705
2009-11-02,4090.0,4012.0,4475.0,3945.0,2190151
2009-11-03,4394.0,4170.0,4618.0,4156.0,3723300
2009-11-04,4333.0,4739.0,4762.0,4309.0,2111673
2009-11-05,4257.0,4293.0,4467.0,4171.0,834502
2009-11-06,4243.0,4352.0,4482.0,4164.0,1090999
2009-11-09,4090.0,4240.0,4361.0,4089.0,696929
2009-11-10,3970.0,4171.0,4194.0,3907.0,641936
2009-11-11,3811.0,3967.0,4012.0,3785.0,587941
2009-11-12,3833.0,3839.0,4043.0,3792.0,687722
2009-11-13,3878.0,3862.0,4005.0,3839.0,503107
2009-11-16,3655.0,3937.0,3960.0,3653.0,567086
2009-11-17,3541.0,3740.0,3744.0,3540.0,413684
2009-11-18,3545.0,3527.0,3673.0,3510.0,402827
2009-11-19,3692.0,3546.0,3744.0,3546.0,340684
2009-11-20,3811.0,3694.0,3846.0,3614.0,279421
2009-11-23,3742.0,3808.0,3892.0,3698.0,278556
2009-11-24,3650.0,3785.0,3808.0,3634.0,185971
2009-11-25,3636.0,3625.0,3694.0,3558.0,222867
2009-11-26,3712.0,3665.0,3823.0,3638.0,303429
2009-11-27,3485.0,3634.0,3660.0,3460.0,281560
2009-11-30,3560.0,3562.0,3626.0,3527.0,109909
2009-12-01,3962.0,3596.0,4051.0,3559.0,700040
2009-12-02,4279.0,4255.0,4445.0,4165.0,2380182
2009-12-03,4121.0,4210.0,4279.0,4104.0,664395
2009-12-04,4273.0,4149.0,4352.0,4149.0,858961
2009-12-07,4243.0,4248.0,4323.0,4134.0,528204
2009-12-08,4151.0,4323.0,4505.0,4043.0,1188870
2009-12-09,4083.0,4104.0,4125.0,3997.0,443374
2009-12-10,4165.0,4095.0,4255.0,4065.0,561978
2009-12-11,4311.0,4279.0,4399.0,4202.0,984217
2009-12-14,4288.0,4300.0,4370.0,4194.0,511472
2009-12-15,4326.0,4284.0,4330.0,4202.0,454115
2009-12-16,4204.0,4475.0,4633.0,4187.0,1684792
2009-12-17,4099.0,4203.0,4210.0,4096.0,534314
2009-12-18,4144.0,4095.0,4202.0,4035.0,330506
2009-12-21,4264.0,4164.0,4399.0,4164.0,819807
2009-12-22,4136.0,4278.0,4292.0,4133.0,417989
2009-12-23,4257.0,4156.0,4536.0,4074.0,1944697
2009-12-24,4621.0,4377.0,4618.0,4285.0,1544609
2009-12-28,4417.0,4709.0,4709.0,4413.0,898771
2009-12-29,4326.0,4369.0,4475.0,4278.0,638610
2009-12-30,4303.0,4309.0,4422.0,4269.0,363656
2010-01-04,4583.0,4338.0,4579.0,4292.0,700180
2010-01-05,4356.0,4543.0,4574.0,4353.0,728110
2010-01-06,4243.0,4399.0,4437.0,4218.0,693726
2010-01-07,4250.0,4279.0,4377.0,4240.0,478700
2010-01-08,4204.0,4309.0,4316.0,4156.0,366733
