date,close,open,high,low,volume
2005-12-20,8278.0,9733.0,10558.0,8274.0,1361948
2005-12-21,7041.0,8084.0,8159.0,7036.0,502008
2005-12-22,6988.0,7081.0,7450.0,6781.0,491412
2005-12-23,7160.0,6820.0,8009.0,6820.0,710567
2005-12-26,6667.0,7156.0,7278.0,6513.0,331324
2005-12-27,6328.0,6661.0,6809.0,6247.0,218154
2005-12-28,6383.0,6326.0,6477.0,6212.0,178500
2005-12-29,6313.0,6421.0,6622.0,6307.0,179705
2006-01-02,6434.0,6324.0,6475.0,6303.0,121083
2006-01-03,6599.0,6439.0,6811.0,6318.0,258471
2006-01-04,6667.0,6625.0,6933.0,6552.0,234918
2006-01-05,6404.0,6595.0,6729.0,6379.0,123569
2006-01-06,6374.0,6429.0,6511.0,6325.0,111012
2006-01-09,6442.0,6441.0,6484.0,6327.0,89963
2006-01-10,6554.0,6467.0,6916.0,6467.0,216076
2006-01-11,6480.0,6665.0,6665.0,6380.0,63632
2006-01-12,6396.0,6369.0,6510.0,6369.0,81399
2006-01-13,6583.0,6295.0,6811.0,6227.0,116478
2006-01-16,6428.0,6580.0,6656.0,6425.0,42134
2006-01-17,6285.0,6408.0,6528.0,6282.0,74556
2006-01-18,5992.0,6228.0,6318.0,5771.0,87784
2006-01-19,5872.0,5989.0,6401.0,5869.0,48121
2006-01-20,4994.0,5835.0,5909.0,4989.0,364987
2006-01-23,4277.0,4754.0,4790.0,4275.0,234526
2006-01-24,4381.0,4188.0,4406.0,4016.0,157552
2006-01-25,4417.0,4339.0,4713.0,4339.0,172141
2006-01-26,4637.0,4439.0,4641.0,4342.0,97833
2006-01-27,4868.0,4790.0,4985.0,4699.0,109316
2006-01-31,4920.0,4952.0,5049.0,4766.0,97482
2006-02-01,4612.0,4810.0,4863.0,4524.0,98969
2006-02-02,4583.0,4661.0,4708.0,4460.0,77249
2006-02-03,4478.0,4452.0,4474.0,4264.0,86749
2006-02-06,4344.0,4303.0,4527.0,4273.0,65443
2006-02-07,4327.0,4278.0,4390.0,4278.0,50708
2006-02-08,4267.0,4300.0,4434.0,4224.0,90921
2006-02-09,4291.0,4414.0,4414.0,4288.0,90178
2006-02-10,4628.0,4376.0,4774.0,4368.0,224579
2006-02-13,4643.0,4623.0,4759.0,4579.0,137603
2006-02-14,4561.0,4640.0,4699.0,4535.0,92299
2006-02-15,4381.0,4600.0,4638.0,4376.0,104590
2006-02-16,5034.0,4384.0,5030.0,4362.0,775338
2006-02-17,4868.0,5129.0,5225.0,4829.0,346212
2006-02-20,4860.0,4863.0,4983.0,4779.0,183366
2006-02-21,5063.0,4962.0,5493.0,4902.0,532862
2006-02-22,5055.0,5021.0,5104.0,4842.0,182745
2006-02-23,5152.0,5103.0,5162.0,4975.0,126841
2006-02-24,4981.0,5088.0,5162.0,4946.0,153119
2006-02-27,5168.0,5030.0,5336.0,4984.0,193738
2006-02-28,5280.0,5238.0,5404.0,5148.0,313673
2006-03-02,5280.0,5538.0,5724.0,5274.0,616263
2006-03-03,5063.0,5268.0,5420.0,5013.0,285817
2006-03-06,5017.0,5012.0,5095.0,4947.0,154678
2006-03-07,4853.0,4953.0,4976.0,4850.0,134635
2006-03-08,4792.0,4787.0,4847.0,4578.0,176754
2006-03-09,4853.0,4828.0,4990.0,4812.0,119229
2006-03-10,4883.0,4961.0,5012.0,4849.0,106320
2006-03-13,5055.0,4887.0,5059.0,4887.0,159350
2006-03-14,4943.0,5036.0,5081.0,4923.0,91908
2006-03-15,4868.0,5014.0,5053.0,4829.0,111091
2006-03-16,4718.0,4788.0,4891.0,4715.0,149840
2006-03-17,4672.0,4660.0,4787.0,4638.0,80163
2006-03-20,4680.0,4676.0,4735.0,4645.0,59052
2006-03-21,4637.0,4663.0,4739.0,4611.0,57088
2006-03-22,4417.0,4630.0,4653.0,4391.0,161049
2006-03-23,4404.0,4461.0,4506.0,4363.0,76784
2006-03-24,4327.0,4366.0,4434.0,4240.0,92796
2006-03-27,4277.0,4275.0,4409.0,4275.0,103480
2006-03-28,4127.0,4288.0,4288.0,4069.0,247773
2006-03-29,4417.0,4115.0,4413.0,4046.0,145053
2006-03-30,4492.0,4381.0,4555.0,4374.0,95436
2006-03-31,4702.0,4496.0,4727.0,4487.0,131750
