date,close,open,high,low,volume
2005-12-02,5868.0,5103.0,5867.0,5103.0,210308
2005-12-05,5070.0,6296.0,6405.0,5011.0,334802
2005-12-06,4625.0,5087.0,5087.0,4583.0,101889
2005-12-07,4080.0,4533.0,4559.0,4080.0,86542
2005-12-08,4684.0,3886.0,4684.0,3861.0,218387
2005-12-09,4197.0,4457.0,4583.0,4197.0,89760
2005-12-12,4038.0,4054.0,4180.0,3911.0,40726
2005-12-13,4038.0,3987.0,4298.0,3987.0,45183
2005-12-14,4189.0,4046.0,4374.0,4004.0,58060
2005-12-15,4164.0,4365.0,4365.0,4164.0,30019
2005-12-16,3887.0,3870.0,4071.0,3777.0,31024
2005-12-19,3610.0,3820.0,3929.0,3568.0,41832
2005-12-20,3442.0,3542.0,3635.0,3433.0,25299
2005-12-21,3467.0,3366.0,3676.0,3366.0,19818
2005-12-22,3190.0,3476.0,3526.0,3089.0,39673
2005-12-23,3266.0,3123.0,3358.0,3039.0,22462
2005-12-26,3358.0,3265.0,3475.0,3181.0,21247
2005-12-27,3190.0,3316.0,3316.0,3148.0,15788
2005-12-28,3064.0,3097.0,3248.0,3063.0,16019
2005-12-29,2938.0,3097.0,3114.0,2887.0,26614
2006-01-02,2955.0,2904.0,2954.0,2812.0,60503
2006-01-03,3114.0,3013.0,3131.0,2954.0,88543
2006-01-04,3576.0,3157.0,3576.0,3157.0,139999
2006-01-05,3560.0,3576.0,3727.0,3417.0,90428
2006-01-06,3761.0,3560.0,3862.0,3560.0,87398
2006-01-09,4323.0,3895.0,4323.0,3795.0,142860
2006-01-10,4365.0,4432.0,4650.0,4256.0,95853
2006-01-11,5003.0,4230.0,5011.0,4046.0,137080
2006-01-12,4962.0,5104.0,5356.0,4886.0,83802
2006-01-13,5356.0,4810.0,5356.0,4802.0,42341
2006-01-16,5692.0,5305.0,5691.0,5053.0,36201
2006-01-17,5541.0,5792.0,5792.0,5373.0,21984
2006-01-18,6027.0,5397.0,6245.0,5037.0,44473
2006-01-19,5457.0,5876.0,6044.0,5457.0,33703
2006-01-20,4643.0,5205.0,5406.0,4643.0,49436
2006-01-23,4089.0,4105.0,4306.0,3954.0,45207
2006-01-24,4701.0,4079.0,4700.0,3819.0,27271
2006-01-25,4625.0,4533.0,5019.0,4449.0,14496
2006-01-26,5037.0,4516.0,5037.0,4390.0,12804
2006-01-27,5322.0,5289.0,5625.0,5121.0,40476
2006-01-31,4919.0,5154.0,5204.0,4868.0,5628
2006-02-01,4584.0,4878.0,4919.0,4550.0,10855
2006-02-02,4483.0,4416.0,4500.0,4223.0,117740
2006-02-03,4080.0,4315.0,4567.0,3895.0,67128
2006-02-06,3820.0,3862.0,4080.0,3660.0,57147
2006-02-07,3862.0,3744.0,3979.0,3710.0,48098
2006-02-08,3761.0,3786.0,3929.0,3627.0,43833
2006-02-09,3601.0,3795.0,3862.0,3601.0,26976
2006-02-10,3408.0,3525.0,3643.0,3307.0,69831
2006-02-13,3358.0,3357.0,3508.0,3190.0,67423
2006-02-14,3324.0,3316.0,3357.0,3156.0,91570
2006-02-15,3517.0,3441.0,3660.0,3374.0,116091
2006-02-16,3727.0,3626.0,3979.0,3450.0,124639
2006-02-17,3501.0,3761.0,3778.0,3501.0,55333
2006-02-20,3501.0,3442.0,3501.0,3341.0,48393
2006-02-21,3526.0,3442.0,3635.0,3442.0,147569
2006-02-22,3610.0,3501.0,3711.0,3501.0,33440
2006-02-23,3568.0,3752.0,3752.0,3567.0,21758
2006-02-24,3458.0,3559.0,3559.0,3450.0,26623
2006-02-27,3543.0,3450.0,3542.0,3441.0,28463
2006-02-28,3450.0,3509.0,3568.0,3425.0,16136
2006-03-02,3467.0,3525.0,3567.0,3441.0,31852
2006-03-03,3660.0,3501.0,3752.0,3501.0,94022
2006-03-06,3736.0,3693.0,3778.0,3593.0,35946
2006-03-07,3736.0,3677.0,3736.0,3601.0,36613
2006-03-08,3711.0,3702.0,3895.0,3693.0,32988
2006-03-09,3744.0,3769.0,3769.0,3627.0,26356
2006-03-10,3845.0,3668.0,3853.0,3660.0,36397
2006-03-13,3853.0,3895.0,3895.0,3777.0,15932
2006-03-14,3820.0,3820.0,3853.0,3627.0,32710
2006-03-15,3719.0,3786.0,3870.0,3702.0,19222
2006-03-16,3744.0,3702.0,3752.0,3635.0,15558
2006-03-17,3668.0,3668.0,3744.0,3660.0,5742
2006-03-20,3643.0,3618.0,3685.0,3618.0,7221
2006-03-21,3627.0,3777.0,3777.0,3626.0,5339
2006-03-22,3593.0,3609.0,3609.0,3408.0,26967
2006-03-23,3458.0,3492.0,3660.0,3458.0,6098
2006-03-24,3366.0,3442.0,3492.0,3324.0,38001
2006-03-27,3400.0,3291.0,3400.0,3291.0,24037
2006-03-28,3308.0,3450.0,3450.0,3273.0,19006
2006-03-29,3308.0,3215.0,3341.0,3215.0,16075
2006-03-30,3417.0,3316.0,3517.0,3274.0,28270
2006-03-31,3501.0,3358.0,3509.0,3358.0,14188
2006-04-03,3534.0,3585.0,3593.0,3476.0,26617
2006-04-04,3517.0,3517.0,3592.0,3458.0,21540
2006-04-05,3610.0,3585.0,3618.0,3492.0,19390
2006-04-06,3685.0,3560.0,3727.0,3560.0,261748
2006-04-07,3862.0,3769.0,3895.0,3702.0,103466
2006-04-10,3862.0,3794.0,4037.0,3777.0,193210
2006-04-11,3979.0,4021.0,4114.0,3920.0,130857
2006-04-12,3962.0,3962.0,3987.0,3878.0,47543
2006-04-13,4290.0,3920.0,4508.0,3920.0,242415
2006-04-14,4273.0,4239.0,4449.0,4231.0,70177
2006-04-17,4181.0,4331.0,4356.0,4180.0,50069
2006-04-18,4181.0,4138.0,4197.0,4004.0,73865
2006-04-19,4273.0,4248.0,4290.0,4080.0,63309
2006-04-20,4130.0,4281.0,4340.0,4088.0,40451
2006-04-21,4114.0,4206.0,4206.0,4021.0,38813
2006-04-24,4265.0,4155.0,4416.0,4155.0,89766
2006-04-25,4365.0,4273.0,4440.0,4273.0,62162
2006-04-26,4332.0,4407.0,4474.0,4264.0,29988
2006-04-27,4248.0,4298.0,4365.0,4139.0,32373
2006-04-28,4164.0,4214.0,4214.0,4063.0,24554
2006-05-02,4114.0,4273.0,4281.0,4114.0,23755
2006-05-03,4055.0,4114.0,4164.0,3987.0,34347
2006-05-04,4063.0,3987.0,4097.0,3920.0,21685
2006-05-08,3996.0,4079.0,4096.0,3853.0,37599
2006-05-09,3979.0,3912.0,3996.0,3836.0,12441
2006-05-10,3954.0,3912.0,3962.0,3820.0,23193
2006-05-11,3962.0,3895.0,3979.0,3886.0,13678
2006-05-12,4080.0,3979.0,4114.0,3853.0,9943
2006-05-15,3962.0,4071.0,4071.0,3911.0,10643
2006-05-16,3845.0,4046.0,4046.0,3744.0,17591
2006-05-17,3879.0,3845.0,3879.0,3668.0,75068
2006-05-18,3879.0,3677.0,3904.0,3677.0,19739
2006-05-19,3761.0,3786.0,3879.0,3693.0,18407
2006-05-22,3769.0,3736.0,3778.0,3652.0,24442
2006-05-23,3778.0,3676.0,3794.0,3626.0,13628
2006-05-24,3786.0,3710.0,3786.0,3693.0,5626
2006-05-25,3693.0,3702.0,3794.0,3609.0,11952
2006-05-26,3711.0,3744.0,3744.0,3635.0,8047
2006-05-29,3693.0,3702.0,3719.0,3618.0,11256
2006-05-30,3660.0,3685.0,3727.0,3601.0,20134
2006-06-01,4013.0,3719.0,4205.0,3685.0,460289
2006-06-02,3853.0,4130.0,4163.0,3769.0,103543
2006-06-05,3693.0,3895.0,3903.0,3651.0,67446
2006-06-07,3358.0,3483.0,3592.0,3198.0,62045
2006-06-08,3383.0,3232.0,3483.0,3223.0,42500
2006-06-09,3425.0,3450.0,3543.0,3366.0,35673
2006-06-12,3458.0,3458.0,3500.0,3374.0,40907
2006-06-13,3341.0,3375.0,3459.0,3324.0,33031
2006-06-14,3442.0,3273.0,3618.0,3273.0,67608
2006-06-15,3442.0,3500.0,3534.0,3349.0,95141
2006-06-16,3437.0,3950.0,3955.0,3406.0,326807
2006-06-19,3321.0,3366.0,3406.0,3230.0,78193
2006-06-20,3135.0,3260.0,3306.0,3044.0,57976
2006-06-21,3200.0,3099.0,3346.0,3024.0,68214
2006-06-22,3120.0,3220.0,3250.0,3094.0,38628
2006-06-23,3034.0,3084.0,3084.0,2953.0,22269
2006-06-26,2994.0,2983.0,3094.0,2928.0,31933
2006-06-27,3019.0,3029.0,3094.0,2999.0,31768
2006-06-28,2934.0,2978.0,3019.0,2908.0,33546
2006-06-29,3059.0,2933.0,3089.0,2888.0,48620
2006-06-30,3170.0,3104.0,3220.0,3044.0,40483
2006-07-03,3145.0,3124.0,3205.0,3104.0,20080
2006-07-04,3261.0,3155.0,3270.0,3119.0,18802
2006-07-05,3366.0,3119.0,3371.0,3119.0,16570
2006-07-06,3422.0,3321.0,3537.0,3321.0,29099
2006-07-07,3382.0,3396.0,3426.0,3280.0,29504
2006-07-10,3175.0,3346.0,3346.0,3084.0,55174
2006-07-11,3120.0,3079.0,3180.0,3079.0,20793
2006-07-12,3059.0,2983.0,3099.0,2968.0,129449
2006-07-13,2919.0,3029.0,3054.0,2918.0,98995
2006-07-14,2642.0,2913.0,2913.0,2490.0,234770
2006-07-18,2526.0,2546.0,2641.0,2445.0,58460
2006-07-19,2571.0,2526.0,2621.0,2526.0,69387
2006-07-20,2586.0,2596.0,2631.0,2551.0,71138
2006-07-21,2456.0,2566.0,2586.0,2455.0,83812
2006-07-24,2322.0,2385.0,2453.0,2264.0,160491
2006-07-25,2322.0,2339.0,2370.0,2294.0,116039
2006-07-26,2365.0,2322.0,2367.0,2309.0,244399
2006-07-27,2350.0,2352.0,2377.0,2304.0,94627
2006-07-28,2355.0,2339.0,2354.0,2226.0,166731
