date,close,open,high,low,volume
2018-08-20,9596.0,9494.0,10437.0,9427.0,12093086
2018-08-21,9966.0,9494.0,10067.0,9444.0,2931258
2018-08-22,9461.0,10083.0,10201.0,9427.0,1579794
2018-08-23,9091.0,9528.0,9629.0,8720.0,1573596
2018-08-24,8889.0,9040.0,9091.0,8653.0,897170
2018-08-27,9444.0,8989.0,9747.0,8905.0,1322207
2018-08-28,8973.0,9410.0,9478.0,8922.0,616684
2018-08-29,8922.0,8888.0,9208.0,8888.0,378948
2018-08-30,8855.0,8939.0,9141.0,8821.0,300063
2018-08-31,9208.0,8837.0,9325.0,8803.0,517541
2018-09-03,9107.0,9123.0,9393.0,9056.0,259407
2018-09-04,8973.0,9208.0,9309.0,8973.0,317084
2018-09-05,9242.0,8955.0,9477.0,8821.0,612419
2018-09-06,9932.0,9174.0,10049.0,9022.0,1252718
2018-09-07,11447.0,9931.0,12558.0,9713.0,4345709
2018-09-10,11784.0,11447.0,12406.0,11245.0,1035722
2018-09-11,13670.0,11818.0,14983.0,11599.0,5846577
2018-09-12,14141.0,14073.0,15706.0,13417.0,3382576
2018-09-13,15656.0,14645.0,16093.0,14359.0,2943845
2018-09-14,15656.0,15150.0,16767.0,14746.0,2361347
2018-09-17,17980.0,15370.0,18417.0,15353.0,2935265
2018-09-18,17710.0,18888.0,20066.0,17171.0,2853511
2018-09-19,15858.0,17709.0,17979.0,15858.0,1614973
2018-09-20,15336.0,15605.0,17137.0,15016.0,2603918
2018-09-21,15757.0,15453.0,16228.0,15268.0,1105824
2018-09-27,16700.0,16430.0,16784.0,15891.0,1122266
2018-09-28,17037.0,17508.0,17643.0,16767.0,1392684
2018-10-01,17340.0,16935.0,17407.0,16548.0,714562
2018-10-02,15555.0,17171.0,17339.0,15555.0,906555
2018-10-04,15858.0,15773.0,16430.0,15184.0,672870
2018-10-05,14613.0,15808.0,16010.0,14613.0,590837
2018-10-08,13788.0,14141.0,14545.0,13788.0,633735
2018-10-10,12946.0,13804.0,15151.0,12811.0,1279303
2018-10-11,11666.0,12154.0,12608.0,11346.0,1203958
2018-10-12,12525.0,11767.0,12710.0,11599.0,1466939
2018-10-15,12424.0,12912.0,13619.0,12137.0,1172126
2018-10-16,12946.0,12693.0,12996.0,12424.0,537755
2018-10-17,13232.0,13636.0,13636.0,12878.0,455968
2018-10-18,12710.0,13198.0,13215.0,12710.0,309160
2018-10-19,13047.0,12440.0,13063.0,12121.0,412553
2018-10-22,13990.0,13165.0,14192.0,12794.0,541931
2018-10-23,13384.0,13872.0,14259.0,13282.0,518711
2018-10-24,13468.0,13956.0,14074.0,12996.0,590959
2018-10-25,13468.0,12895.0,13535.0,12643.0,435250
2018-10-26,14478.0,13838.0,14999.0,13131.0,919418
2018-10-29,15825.0,14697.0,16835.0,14680.0,2640992
2018-10-30,15656.0,15992.0,16262.0,14982.0,897755
2018-10-31,16077.0,16127.0,16582.0,15588.0,1080702
2018-11-01,15185.0,16700.0,16801.0,14713.0,1365687
2018-11-02,15555.0,15184.0,15605.0,14864.0,735595
2018-11-05,15555.0,15622.0,15672.0,15268.0,341669
2018-11-06,16414.0,15723.0,16414.0,15504.0,851356
2018-11-07,15993.0,16413.0,16615.0,15841.0,544707
2018-11-08,15707.0,16245.0,16380.0,15538.0,518204
2018-11-09,15286.0,15572.0,15740.0,14831.0,499362
2018-11-12,14478.0,14999.0,15387.0,14040.0,379480
2018-11-13,14478.0,14107.0,14595.0,13619.0,615283
2018-11-14,14377.0,14275.0,14696.0,13905.0,467937
2018-11-15,13434.0,14376.0,14595.0,13231.0,673191
2018-11-16,13838.0,13467.0,14040.0,13231.0,525771
2018-11-19,14680.0,13972.0,15353.0,13720.0,750944
2018-11-20,13905.0,14410.0,14561.0,13837.0,410967
2018-11-21,13754.0,13770.0,14073.0,13299.0,413456
2018-11-22,13182.0,13788.0,13905.0,13114.0,491438
2018-11-23,12458.0,13131.0,13451.0,12458.0,442208
2018-11-26,13316.0,12457.0,13316.0,12390.0,395907
2018-11-27,13249.0,13333.0,13467.0,12996.0,247409
2018-11-28,13316.0,13248.0,13720.0,13164.0,360469
2018-11-29,12929.0,13568.0,13602.0,12929.0,213536
2018-11-30,12862.0,12794.0,13181.0,12491.0,230302
2018-12-03,13165.0,13148.0,13333.0,12962.0,213361
2018-12-04,13165.0,13165.0,13299.0,12996.0,201158
2018-12-05,12643.0,12828.0,12929.0,12508.0,285059
2018-12-06,11515.0,12659.0,12727.0,11447.0,676452
2018-12-07,12070.0,11581.0,12423.0,11295.0,402726
2018-12-10,12222.0,11902.0,12373.0,11649.0,205203
2018-12-11,12357.0,12693.0,13316.0,12340.0,599257
2018-12-12,12761.0,12457.0,12777.0,12289.0,259104
2018-12-13,12693.0,12743.0,12861.0,12541.0,144829
2018-12-14,12676.0,12625.0,13164.0,12608.0,251193
2018-12-17,12222.0,12676.0,12794.0,11750.0,253898
2018-12-18,11969.0,12086.0,12305.0,11766.0,218553
2018-12-19,11868.0,11985.0,12171.0,11834.0,260949
2018-12-20,11498.0,11767.0,12053.0,11498.0,324283
2018-12-21,11700.0,11497.0,12137.0,11497.0,376293
2018-12-24,11616.0,11666.0,11885.0,11447.0,348073
2018-12-26,11043.0,11362.0,11463.0,10857.0,617263
2018-12-27,11363.0,11295.0,11817.0,11295.0,733157
2018-12-28,10976.0,11464.0,11683.0,10622.0,668890
2019-01-02,11969.0,11245.0,11969.0,11127.0,567425
2019-01-03,11346.0,12221.0,12372.0,11346.0,326193
2019-01-04,11464.0,11093.0,11649.0,11026.0,306220
2019-01-07,11498.0,11649.0,11733.0,11312.0,159762
2019-01-08,11397.0,11498.0,11615.0,11245.0,201936
2019-01-09,11969.0,11413.0,11969.0,11312.0,245752
2019-01-10,12070.0,11935.0,12373.0,11733.0,343888
2019-01-11,13131.0,12154.0,13164.0,12154.0,763567
2019-01-14,12761.0,13131.0,13282.0,12710.0,294907
2019-01-15,13384.0,12761.0,13788.0,12643.0,566774
2019-01-16,13047.0,13400.0,13400.0,13013.0,247317
2019-01-17,13215.0,13063.0,13450.0,12608.0,359127
2019-01-18,12963.0,13165.0,13299.0,12946.0,195648
2019-01-21,12660.0,12963.0,13165.0,12575.0,179213
2019-01-22,12525.0,12609.0,12777.0,12221.0,261234
2019-01-23,12794.0,12457.0,12962.0,12339.0,155290
2019-01-24,13232.0,12710.0,13349.0,12625.0,310773
2019-01-25,13451.0,13282.0,13703.0,13181.0,299374
2019-01-28,13367.0,13636.0,13636.0,13299.0,197974
2019-01-29,12878.0,13265.0,13282.0,12878.0,175530
2019-01-30,12963.0,12963.0,13282.0,12828.0,180413
2019-01-31,13619.0,13012.0,13635.0,13012.0,214585
2019-02-01,13973.0,13602.0,14410.0,13333.0,433747
2019-02-07,14309.0,13871.0,14612.0,13770.0,307883
2019-02-08,14293.0,14309.0,14562.0,14191.0,136029
2019-02-11,15353.0,14477.0,15454.0,14376.0,422990
2019-02-12,15421.0,15488.0,15589.0,14966.0,260043
2019-02-13,15387.0,15420.0,15824.0,15319.0,189302
2019-02-14,15454.0,15571.0,15571.0,15083.0,189729
2019-02-15,15017.0,15421.0,15421.0,14983.0,199607
2019-02-18,14983.0,15016.0,15269.0,14730.0,221154
2019-02-19,15471.0,15033.0,15622.0,14982.0,238193
2019-02-20,15555.0,15420.0,15588.0,15066.0,296983
2019-02-21,15656.0,15841.0,15959.0,15639.0,197294
2019-02-22,15909.0,15555.0,16161.0,15538.0,180392
2019-02-25,15724.0,15724.0,15926.0,15690.0,124886
2019-02-26,15959.0,15942.0,16144.0,15773.0,169572
2019-02-27,15808.0,16060.0,16060.0,15538.0,150722
2019-02-28,15993.0,15824.0,16666.0,15790.0,315026
2019-03-04,16448.0,16498.0,16784.0,16212.0,272279
2019-03-05,16599.0,16447.0,16767.0,16279.0,219533
2019-03-06,16498.0,16733.0,16733.0,16346.0,140936
2019-03-07,16111.0,16498.0,16599.0,15151.0,264302
2019-03-08,16279.0,15992.0,16312.0,15639.0,218036
2019-03-11,17205.0,17171.0,17642.0,16767.0,627679
2019-03-12,20202.0,17205.0,20538.0,17003.0,1483707
2019-03-13,20673.0,20403.0,21683.0,20033.0,993346
2019-03-14,20976.0,20740.0,21312.0,20538.0,514102
2019-03-15,17912.0,21211.0,21750.0,17002.0,2043983
2019-03-18,17946.0,18518.0,19158.0,17339.0,826337
2019-03-19,17879.0,17946.0,18518.0,17138.0,737253
2019-03-20,18013.0,17911.0,18114.0,17541.0,313208
2019-03-21,17744.0,18181.0,18316.0,17744.0,254263
2019-03-22,18619.0,17507.0,20403.0,17305.0,940796
2019-03-25,18148.0,18383.0,19528.0,17777.0,612010
2019-03-26,18417.0,18518.0,18619.0,17979.0,328230
2019-03-27,18182.0,18283.0,18687.0,18148.0,247459
2019-03-28,16330.0,18215.0,18316.0,16330.0,696484
2019-03-29,17171.0,16362.0,17406.0,16346.0,414938
2019-04-01,17677.0,17272.0,17946.0,17104.0,329383
2019-04-02,19225.0,18517.0,20167.0,18315.0,1448846
2019-04-03,19158.0,19528.0,19797.0,19056.0,400463
2019-04-04,19495.0,19326.0,19764.0,18754.0,352186
2019-04-05,19158.0,19292.0,19494.0,18922.0,292582
2019-04-08,19427.0,19292.0,19494.0,18854.0,247516
2019-04-09,19629.0,19460.0,20167.0,19258.0,474818
2019-04-10,19023.0,19696.0,19864.0,18955.0,311536
2019-04-11,19259.0,19023.0,19360.0,18922.0,258219
2019-04-12,18990.0,19427.0,19528.0,18956.0,156585
2019-04-15,17912.0,19191.0,19292.0,17507.0,531429
2019-04-16,18619.0,17642.0,18753.0,17002.0,405345
2019-04-17,18350.0,18653.0,18888.0,18215.0,206768
2019-04-18,18586.0,18855.0,19023.0,17979.0,287441
2019-04-19,18821.0,18484.0,18955.0,18080.0,325741
2019-04-22,19360.0,18888.0,20067.0,18585.0,719409
2019-04-23,18451.0,19360.0,19360.0,18417.0,448116
2019-04-24,19427.0,18551.0,19763.0,18282.0,521120
2019-04-25,18047.0,23131.0,24242.0,17844.0,4189163
2019-04-26,15589.0,17945.0,17979.0,15336.0,2535796
2019-04-29,16515.0,15589.0,17137.0,15117.0,1354737
2019-04-30,16549.0,16532.0,16700.0,16144.0,463253
2019-05-02,16397.0,16498.0,16801.0,16279.0,285487
2019-05-03,15589.0,16329.0,16430.0,15521.0,565123
2019-05-07,15808.0,15185.0,16649.0,15168.0,472042
2019-05-08,15219.0,15623.0,15875.0,15219.0,350502
2019-05-09,14091.0,15269.0,15404.0,13855.0,879894
2019-05-10,14343.0,13871.0,14359.0,13299.0,659193
2019-05-13,14579.0,14259.0,15100.0,13888.0,422229
2019-05-14,14326.0,13635.0,14713.0,13635.0,412657
2019-05-15,14495.0,14444.0,14680.0,14309.0,239930
2019-05-16,14511.0,14511.0,14645.0,14308.0,235407
2019-05-17,14815.0,14562.0,14932.0,14444.0,244540
2019-05-20,14208.0,14814.0,14999.0,14090.0,317933
2019-05-21,13720.0,14124.0,14427.0,13635.0,293351
2019-05-22,14579.0,13770.0,14663.0,13770.0,387505
2019-05-23,14225.0,15049.0,15100.0,13989.0,324883
2019-05-24,13922.0,13972.0,14140.0,13787.0,228787
2019-05-27,14124.0,13820.0,14410.0,13820.0,245279
2019-05-28,14511.0,14494.0,15941.0,14241.0,1191906
2019-05-29,14040.0,14477.0,14477.0,13753.0,306704
2019-05-30,13586.0,14023.0,14107.0,13501.0,342195
2019-05-31,13754.0,13568.0,13972.0,13551.0,195399
2019-06-03,13737.0,13602.0,13939.0,13602.0,164921
2019-06-04,13754.0,13737.0,13939.0,13568.0,193195
2019-06-05,14006.0,14022.0,14258.0,13803.0,294278
2019-06-07,13905.0,14006.0,14022.0,13736.0,195390
2019-06-10,13754.0,13905.0,13972.0,13636.0,187814
2019-06-11,13804.0,13719.0,13921.0,13686.0,135795
2019-06-12,13586.0,13821.0,13821.0,13468.0,237097
2019-06-13,13602.0,13517.0,13703.0,13231.0,304049
2019-06-14,13703.0,13484.0,13804.0,13484.0,200258
2019-06-17,13131.0,13703.0,13703.0,13063.0,257718
2019-06-18,12424.0,13114.0,13366.0,12019.0,794938
2019-06-19,12727.0,12423.0,12895.0,12322.0,254486
2019-06-20,12946.0,12676.0,13013.0,12491.0,121162
2019-06-21,12794.0,12861.0,13063.0,12474.0,176424
2019-06-24,12474.0,12625.0,12810.0,11817.0,332976
2019-06-25,12087.0,12541.0,12642.0,12070.0,248205
2019-06-26,12289.0,12002.0,12457.0,11834.0,214160
2019-06-27,11144.0,12221.0,12288.0,11144.0,453360
2019-06-28,11363.0,10925.0,11952.0,10925.0,432820
2019-07-01,11717.0,11279.0,11851.0,11279.0,230721
2019-07-02,11717.0,11615.0,11834.0,11582.0,106906
2019-07-03,11700.0,11683.0,11868.0,11531.0,122029
2019-07-04,11212.0,11649.0,11649.0,11077.0,243979
2019-07-05,11767.0,11093.0,11767.0,11076.0,187736
2019-07-08,11010.0,11683.0,11683.0,10841.0,380023
2019-07-09,10050.0,10942.0,11127.0,10016.0,584543
2019-07-10,10892.0,10016.0,10925.0,10016.0,471682
2019-07-11,11161.0,10841.0,11245.0,10740.0,162159
2019-07-12,11178.0,11211.0,11211.0,10975.0,134841
2019-07-15,10825.0,11060.0,11245.0,10757.0,140137
2019-07-16,10505.0,10673.0,10909.0,10370.0,229369
2019-07-17,10858.0,10622.0,11060.0,10386.0,214659
2019-07-18,10522.0,10656.0,10791.0,10454.0,117253
2019-07-19,10538.0,10521.0,10672.0,10403.0,165509
2019-07-22,10421.0,10437.0,10740.0,10404.0,135329
2019-07-23,10134.0,10420.0,10605.0,10117.0,224974
2019-07-24,9865.0,10083.0,10353.0,9747.0,241332
