date,close,open,high,low,volume
2006-07-07,3480.0,3750.0,4310.0,3460.0,1288970
2006-07-10,2965.0,3369.0,3449.0,2960.0,430439
2006-07-11,2980.0,3030.0,3150.0,2970.0,244411
2006-07-12,3100.0,3010.0,3150.0,2910.0,198276
2006-07-13,3195.0,3100.0,3490.0,3100.0,397781
2006-07-14,3430.0,3120.0,3440.0,3070.0,177572
2006-07-18,3940.0,3470.0,3940.0,3420.0,632930
2006-07-19,3850.0,4190.0,4310.0,3660.0,690209
2006-07-20,3880.0,3990.0,4045.0,3700.0,336177
2006-07-21,4190.0,3840.0,4190.0,3840.0,370789
2006-07-24,4280.0,4315.0,4470.0,4200.0,409937
2006-07-25,4135.0,4250.0,4320.0,3979.0,357786
2006-07-26,3980.0,4230.0,4250.0,3880.0,298847
2006-07-27,3950.0,3980.0,4000.0,3560.0,418909
2006-07-28,4005.0,3834.0,4050.0,3720.0,361114
2006-07-31,3870.0,4300.0,4380.0,3869.0,525413
2006-08-01,3500.0,3790.0,3850.0,3340.0,538105
2006-08-02,3325.0,3470.0,3655.0,3315.0,277990
2006-08-03,3230.0,3340.0,3400.0,3140.0,389230
2006-08-04,3150.0,3270.0,3325.0,3150.0,360194
2006-08-07,2960.0,3050.0,3120.0,2860.0,795293
2006-08-08,3100.0,2960.0,3100.0,2930.0,505535
2006-08-09,2930.0,3055.0,3070.0,2930.0,335473
2006-08-10,2830.0,2890.0,2980.0,2820.0,279721
2006-08-11,3105.0,2889.0,3200.0,2840.0,808451
2006-08-14,3030.0,3170.0,3174.0,2945.0,415869
2006-08-16,2920.0,3085.0,3090.0,2920.0,387612
2006-08-17,2790.0,2910.0,2954.0,2750.0,488479
2006-08-18,2775.0,2789.0,2900.0,2765.0,344697
2006-08-21,2690.0,2835.0,2835.0,2670.0,261314
2006-08-22,2685.0,2675.0,2750.0,2645.0,235342
2006-08-23,2565.0,2720.0,2729.0,2560.0,324302
2006-08-24,2660.0,2630.0,2760.0,2615.0,521874
2006-08-25,2650.0,2680.0,2710.0,2615.0,308900
2006-08-28,2605.0,2685.0,2689.0,2585.0,234811
2006-08-29,2760.0,2625.0,2780.0,2610.0,540868
2006-08-30,2720.0,2745.0,2750.0,2675.0,261472
2006-08-31,2710.0,2740.0,2785.0,2710.0,283338
2006-09-01,2855.0,2720.0,2869.0,2705.0,350737
2006-09-04,2845.0,2860.0,2895.0,2805.0,267312
2006-09-05,2975.0,2835.0,2985.0,2765.0,465667
2006-09-06,3040.0,3020.0,3110.0,2955.0,582764
2006-09-07,3055.0,2995.0,3090.0,2960.0,435872
2006-09-08,3060.0,3070.0,3135.0,3030.0,315977
2006-09-11,3230.0,3054.0,3330.0,3040.0,756056
2006-09-12,3040.0,3190.0,3190.0,3040.0,417786
2006-09-13,3040.0,3080.0,3100.0,3025.0,221752
2006-09-14,3070.0,3040.0,3150.0,3030.0,199377
2006-09-15,3200.0,3070.0,3220.0,3050.0,254600
2006-09-18,3185.0,3200.0,3240.0,3120.0,156101
2006-09-19,3200.0,3195.0,3280.0,3155.0,196308
2006-09-20,3170.0,3175.0,3190.0,3104.0,125465
2006-09-21,3080.0,3200.0,3215.0,3080.0,148984
2006-09-22,2820.0,3055.0,3080.0,2785.0,242605
2006-09-25,2850.0,2820.0,2890.0,2760.0,131059
2006-09-26,2695.0,2875.0,2880.0,2690.0,136977
2006-09-27,2705.0,2735.0,2740.0,2689.0,114725
2006-09-28,2720.0,2705.0,2730.0,2650.0,73469
2006-09-29,2830.0,2720.0,2865.0,2720.0,155776
2006-10-02,2845.0,2880.0,2950.0,2835.0,119857
2006-10-04,2750.0,2825.0,2825.0,2745.0,76389
2006-10-09,2500.0,2715.0,2745.0,2340.0,160994
2006-10-10,2540.0,2500.0,2580.0,2475.0,77428
2006-10-11,2530.0,2500.0,2580.0,2455.0,60950
2006-10-12,2570.0,2530.0,2640.0,2525.0,73414
2006-10-13,2600.0,2630.0,2640.0,2575.0,55009
2006-10-16,2690.0,2640.0,2744.0,2610.0,72308
2006-10-17,2650.0,2670.0,2695.0,2580.0,66218
2006-10-18,2725.0,2720.0,2820.0,2700.0,175639
2006-10-19,2735.0,2700.0,2765.0,2675.0,53322
2006-10-20,2795.0,2795.0,2865.0,2760.0,131345
2006-10-23,2760.0,2800.0,2825.0,2740.0,103804
2006-10-24,2700.0,2775.0,2800.0,2690.0,70545
2006-10-25,2630.0,2690.0,2710.0,2625.0,55536
2006-10-26,2605.0,2635.0,2649.0,2600.0,49942
2006-10-27,2630.0,2640.0,2640.0,2580.0,45507
2006-10-30,2600.0,2610.0,2685.0,2600.0,37438
2006-10-31,2585.0,2609.0,2649.0,2560.0,60896
2006-11-01,2655.0,2625.0,2655.0,2589.0,85102
2006-11-02,2710.0,2654.0,2725.0,2640.0,98958
2006-11-03,2760.0,2710.0,2790.0,2710.0,101583
2006-11-06,2840.0,2800.0,2880.0,2710.0,110162
2006-11-07,3030.0,2885.0,3134.0,2885.0,284599
2006-11-08,2985.0,3030.0,3185.0,2985.0,125337
2006-11-09,3020.0,2970.0,3090.0,2950.0,82697
2006-11-10,3015.0,3029.0,3120.0,3000.0,85090
2006-11-13,2980.0,3050.0,3110.0,2965.0,57357
2006-11-14,2700.0,3020.0,3025.0,2700.0,187899
2006-11-15,2730.0,2750.0,2790.0,2695.0,105312
2006-11-16,2650.0,2710.0,2720.0,2590.0,135979
2006-11-17,2600.0,2640.0,2665.0,2515.0,368520
2006-11-20,2615.0,2600.0,2625.0,2530.0,236137
2006-11-21,2560.0,2605.0,2615.0,2555.0,89232
2006-11-22,2540.0,2525.0,2585.0,2520.0,102321
2006-11-23,2595.0,2550.0,2615.0,2530.0,215106
2006-11-24,2610.0,2595.0,2615.0,2565.0,58274
2006-11-27,2600.0,2580.0,2610.0,2535.0,76255
2006-11-28,2620.0,2555.0,2630.0,2540.0,94286
2006-11-29,2700.0,2630.0,2700.0,2575.0,89543
2006-11-30,2750.0,2670.0,2750.0,2665.0,61342
2006-12-01,2735.0,2695.0,2760.0,2680.0,41436
2006-12-04,2720.0,2700.0,2720.0,2670.0,38134
2006-12-05,2630.0,2690.0,2700.0,2580.0,124562
2006-12-06,2550.0,2605.0,2630.0,2500.0,110644
2006-12-07,2480.0,2555.0,2555.0,2440.0,98079
2006-12-08,2350.0,2425.0,2430.0,2275.0,174897
2006-12-11,2310.0,2340.0,2360.0,2280.0,67498
2006-12-12,2205.0,2310.0,2330.0,2175.0,124768
2006-12-13,2230.0,2180.0,2260.0,2180.0,55533
2006-12-14,2305.0,2270.0,2320.0,2230.0,82492
2006-12-15,2290.0,2300.0,2315.0,2285.0,50395
2006-12-18,2400.0,2300.0,2420.0,2300.0,62304
2006-12-19,2430.0,2400.0,2435.0,2360.0,34189
2006-12-20,2435.0,2400.0,2440.0,2400.0,41388
2006-12-21,2395.0,2420.0,2430.0,2370.0,31319
2006-12-22,2390.0,2385.0,2430.0,2385.0,26609
2006-12-26,2395.0,2390.0,2420.0,2335.0,43762
2006-12-27,2410.0,2370.0,2410.0,2365.0,19482
2006-12-28,2425.0,2405.0,2440.0,2355.0,35677
2007-01-02,2360.0,2420.0,2420.0,2360.0,22602
2007-01-03,2290.0,2345.0,2360.0,2275.0,32877
2007-01-04,2240.0,2275.0,2290.0,2225.0,26191
2007-01-05,2340.0,2245.0,2365.0,2245.0,63143
2007-01-08,2340.0,2340.0,2375.0,2275.0,26081
2007-01-09,2275.0,2320.0,2360.0,2275.0,14070
2007-01-10,2250.0,2255.0,2290.0,2215.0,20414
2007-01-11,2235.0,2235.0,2270.0,2220.0,26982
2007-01-12,2205.0,2235.0,2260.0,2200.0,30556
2007-01-15,2190.0,2205.0,2235.0,2175.0,32944
2007-01-16,2190.0,2185.0,2220.0,2185.0,17179
2007-01-17,2120.0,2155.0,2200.0,2105.0,26552
2007-01-18,2080.0,2100.0,2135.0,2080.0,18295
2007-01-19,2040.0,2050.0,2055.0,1980.0,46278
2007-01-22,1995.0,2050.0,2075.0,1980.0,21469
2007-01-23,1990.0,1960.0,2025.0,1960.0,27848
2007-01-24,2045.0,1995.0,2050.0,1995.0,16837
2007-01-25,2040.0,2020.0,2080.0,2005.0,19463
2007-01-26,2050.0,2045.0,2050.0,1980.0,14436
2007-01-29,2040.0,2050.0,2070.0,2010.0,9195
2007-01-30,2085.0,2010.0,2085.0,2000.0,24885
2007-01-31,2080.0,2090.0,2100.0,2035.0,7426
2007-02-01,2075.0,2085.0,2085.0,2025.0,16263
2007-02-02,2085.0,2080.0,2100.0,2050.0,21369
2007-02-05,2085.0,2100.0,2100.0,2050.0,21069
2007-02-06,2085.0,2080.0,2120.0,2065.0,21068
2007-02-07,2095.0,2100.0,2100.0,2045.0,27867
2007-02-08,2050.0,2075.0,2100.0,1995.0,31628
2007-02-09,2020.0,1960.0,2020.0,1960.0,29366
2007-02-12,1970.0,1960.0,2035.0,1920.0,31006
2007-02-13,1960.0,1950.0,1990.0,1945.0,19793
2007-02-14,1935.0,1960.0,1985.0,1890.0,43060
2007-02-15,1850.0,1935.0,1940.0,1805.0,74992
2007-02-16,1880.0,1820.0,1895.0,1815.0,29666
2007-02-20,1850.0,1850.0,1915.0,1845.0,26452
2007-02-21,1825.0,1840.0,1870.0,1790.0,39264
2007-02-22,1840.0,1820.0,1840.0,1795.0,56540
2007-02-23,1855.0,1840.0,1854.0,1805.0,16970
2007-02-26,1820.0,1870.0,1870.0,1820.0,17118
2007-02-27,1835.0,1825.0,1834.0,1805.0,15759
2007-02-28,1820.0,1750.0,1820.0,1750.0,36735
2007-03-02,1785.0,1780.0,1820.0,1780.0,13500
2007-03-05,1705.0,1765.0,1790.0,1705.0,14321
2007-03-06,1605.0,1700.0,1725.0,1580.0,171504
2007-03-07,1610.0,1615.0,1705.0,1605.0,117659
2007-03-08,1595.0,1625.0,1625.0,1590.0,34723
2007-03-09,1585.0,1595.0,1640.0,1580.0,110750
2007-03-12,1540.0,1585.0,1610.0,1525.0,122490
2007-03-13,1460.0,1530.0,1555.0,1435.0,364091
2007-03-14,1535.0,1440.0,1545.0,1435.0,228604
2007-03-15,1565.0,1560.0,1565.0,1525.0,154032
2007-03-16,1590.0,1560.0,1650.0,1560.0,153080
2007-03-19,1600.0,1585.0,1605.0,1540.0,87208
2007-03-20,1665.0,1600.0,1715.0,1580.0,216483
2007-03-21,1670.0,1670.0,1700.0,1630.0,90713
2007-03-22,1700.0,1680.0,1710.0,1640.0,106357
2007-03-23,1695.0,1685.0,1705.0,1640.0,63176
2007-03-26,1685.0,1700.0,1710.0,1615.0,93528
2007-03-27,1655.0,1670.0,1690.0,1655.0,38555
2007-03-28,1610.0,1650.0,1700.0,1605.0,86818
2007-03-29,1550.0,1630.0,1630.0,1545.0,98821
2007-03-30,1555.0,1570.0,1575.0,1540.0,48495
2007-04-02,1505.0,1540.0,1550.0,1500.0,98280
2007-04-03,1500.0,1490.0,1530.0,1475.0,112895
2007-04-04,1490.0,1520.0,1525.0,1475.0,85924
2007-04-05,1495.0,1490.0,1495.0,1460.0,80026
2007-04-06,1490.0,1505.0,1510.0,1480.0,77300
2007-04-09,1505.0,1495.0,1525.0,1480.0,64552
2007-04-10,1590.0,1525.0,1635.0,1510.0,196981
2007-04-11,1620.0,1615.0,1630.0,1570.0,74375
2007-04-12,1600.0,1630.0,1675.0,1585.0,88621
2007-04-13,1660.0,1615.0,1660.0,1585.0,71278
2007-04-16,1670.0,1730.0,1730.0,1665.0,90156
2007-04-17,1765.0,1680.0,1860.0,1680.0,503425
2007-04-18,1720.0,1800.0,1800.0,1705.0,165936
2007-04-19,1630.0,1720.0,1720.0,1630.0,114708
2007-04-20,1700.0,1635.0,1700.0,1635.0,89643
2007-04-23,1720.0,1725.0,1770.0,1700.0,96781
2007-04-24,1725.0,1720.0,1760.0,1690.0,48243
2007-04-25,1685.0,1730.0,1730.0,1655.0,57477
2007-04-26,1665.0,1685.0,1700.0,1655.0,35234
2007-04-27,1615.0,1650.0,1685.0,1615.0,46663
2007-04-30,1570.0,1605.0,1610.0,1560.0,29803
2007-05-02,1550.0,1575.0,1590.0,1525.0,53888
2007-05-03,1665.0,1560.0,1715.0,1550.0,148786
2007-05-04,1720.0,1670.0,1720.0,1615.0,86703
2007-05-07,1720.0,1720.0,1750.0,1690.0,62347
2007-05-08,1670.0,1720.0,1755.0,1670.0,47446
2007-05-09,1670.0,1680.0,1700.0,1655.0,34507
2007-05-10,1920.0,1710.0,1920.0,1700.0,424643
2007-05-11,1900.0,1850.0,2115.0,1845.0,509484
2007-05-14,1755.0,1925.0,1945.0,1735.0,191893
2007-05-15,1670.0,1775.0,1775.0,1665.0,88728
2007-05-16,1585.0,1580.0,1615.0,1550.0,168073
2007-05-17,1665.0,1610.0,1665.0,1580.0,146349
2007-05-18,1615.0,1645.0,1650.0,1610.0,51144
2007-05-21,1620.0,1615.0,1630.0,1585.0,31469
2007-05-22,1625.0,1650.0,1670.0,1620.0,34072
2007-05-23,1605.0,1625.0,1640.0,1575.0,35458
2007-05-25,1650.0,1605.0,1655.0,1580.0,39728
2007-05-28,1725.0,1665.0,1730.0,1640.0,56349
2007-05-29,1770.0,1730.0,1785.0,1695.0,61012
2007-05-30,1765.0,1780.0,1780.0,1715.0,35021
2007-05-31,1885.0,1770.0,1915.0,1750.0,114414
2007-06-01,2000.0,1925.0,2130.0,1855.0,258058
2007-06-04,2200.0,2035.0,2250.0,1920.0,445604
2007-06-05,2320.0,2230.0,2350.0,2135.0,416907
2007-06-07,2400.0,2300.0,2415.0,2230.0,270447
2007-06-08,2400.0,2360.0,2400.0,2290.0,132580
2007-06-11,2370.0,2470.0,2600.0,2305.0,259400
2007-06-12,2335.0,2360.0,2455.0,2290.0,119012
2007-06-13,2450.0,2335.0,2510.0,2335.0,184308
2007-06-14,2700.0,2460.0,2740.0,2460.0,202268
2007-06-15,2880.0,2720.0,2950.0,2720.0,193211
2007-06-18,2910.0,2920.0,2974.0,2814.0,121442
2007-06-19,2910.0,2914.0,2945.0,2830.0,88411
2007-06-20,2840.0,2880.0,2930.0,2765.0,82760
2007-06-21,2655.0,2765.0,2835.0,2620.0,175681
2007-06-22,2645.0,2660.0,2765.0,2510.0,110156
2007-06-25,2595.0,2640.0,2669.0,2570.0,57317
2007-06-26,2730.0,2590.0,2975.0,2590.0,219066
2007-06-27,2750.0,2790.0,2830.0,2705.0,77417
2007-06-28,2880.0,2750.0,2940.0,2750.0,202208
2007-06-29,2880.0,2860.0,2900.0,2790.0,89002
2007-07-02,2860.0,2880.0,2880.0,2810.0,33541
2007-07-03,2865.0,2880.0,2945.0,2820.0,53777
2007-07-04,2600.0,2845.0,2930.0,2440.0,208042
2007-07-05,2690.0,2604.0,2764.0,2604.0,73013
2007-07-06,2770.0,2650.0,2804.0,2604.0,66800
2007-07-09,2910.0,2814.0,2985.0,2800.0,122521
2007-07-10,2900.0,2985.0,2995.0,2890.0,67572
2007-07-11,2915.0,2880.0,2960.0,2829.0,97291
2007-07-12,3350.0,3030.0,3350.0,2930.0,598301
2007-07-13,3240.0,3380.0,3500.0,3090.0,361313
2007-07-16,3155.0,3285.0,3420.0,3100.0,233286
2007-07-18,2900.0,3155.0,3300.0,2685.0,959031
2007-07-19,3060.0,3000.0,3125.0,2940.0,330239
2007-07-20,3075.0,3095.0,3125.0,2855.0,200805
2007-07-23,2950.0,3010.0,3085.0,2950.0,89000
2007-07-24,2910.0,3025.0,3050.0,2820.0,153558
2007-07-25,2855.0,2855.0,2895.0,2820.0,124935
2007-07-26,2860.0,2850.0,2995.0,2840.0,179008
2007-07-27,2810.0,2880.0,2880.0,2740.0,65551
2007-07-30,2810.0,2840.0,2840.0,2650.0,102274
2007-07-31,2980.0,2780.0,3100.0,2780.0,304755
2007-08-01,2800.0,3000.0,3005.0,2775.0,139399
2007-08-02,2900.0,2850.0,3100.0,2810.0,593334
2007-08-03,2990.0,3000.0,3054.0,2900.0,317079
2007-08-06,2985.0,3100.0,3215.0,2929.0,733603
2007-08-07,2730.0,3000.0,3050.0,2730.0,362897
2007-08-08,2600.0,2710.0,2750.0,2535.0,277392
2007-08-09,2590.0,2605.0,2665.0,2560.0,135193
2007-08-10,2605.0,2590.0,2769.0,2560.0,196804
2007-08-13,2610.0,2650.0,2735.0,2604.0,137537
2007-08-14,2550.0,2620.0,2620.0,2220.0,236992
2007-08-16,2170.0,2310.0,2465.0,2170.0,206847
2007-08-17,2050.0,2170.0,2235.0,1990.0,141224
2007-08-20,2130.0,2030.0,2190.0,2030.0,192348
2007-08-21,2365.0,2225.0,2430.0,2215.0,320354
2007-08-22,2400.0,2430.0,2480.0,2325.0,154017
2007-08-23,2325.0,2480.0,2480.0,2325.0,118445
2007-08-24,2420.0,2325.0,2460.0,2285.0,104829
2007-08-27,2395.0,2460.0,2460.0,2390.0,66140
2007-08-28,2350.0,2390.0,2400.0,2315.0,66993
2007-08-29,2295.0,2250.0,2320.0,2250.0,56921
2007-08-30,2360.0,2335.0,2430.0,2330.0,58291
2007-08-31,2380.0,2355.0,2400.0,2340.0,47989
2007-09-03,2405.0,2380.0,2445.0,2380.0,59659
2007-09-04,2515.0,2415.0,2560.0,2415.0,104844
2007-09-05,2470.0,2530.0,2530.0,2445.0,55190
2007-09-06,2660.0,2550.0,2770.0,2500.0,166270
2007-09-07,2580.0,2645.0,2715.0,2560.0,94469
2007-09-10,2455.0,2530.0,2545.0,2450.0,52452
2007-09-11,2470.0,2470.0,2575.0,2430.0,49930
2007-09-12,2390.0,2500.0,2510.0,2315.0,76384
2007-09-13,2385.0,2350.0,2395.0,2325.0,28595
2007-09-14,2380.0,2390.0,2450.0,2355.0,107890
2007-09-17,2395.0,2470.0,2525.0,2365.0,154056
2007-09-18,2220.0,2365.0,2365.0,2220.0,100321
2007-09-19,2250.0,2270.0,2275.0,2185.0,83836
2007-09-20,2205.0,2255.0,2285.0,2205.0,31415
2007-09-21,2130.0,2170.0,2255.0,2110.0,96271
2007-09-27,2140.0,2135.0,2160.0,2100.0,85772
2007-09-28,2150.0,2160.0,2160.0,2095.0,32267
2007-10-01,2200.0,2145.0,2265.0,2105.0,147134
2007-10-02,2290.0,2220.0,2290.0,2210.0,67667
2007-10-04,2330.0,2290.0,2350.0,2260.0,82014
2007-10-05,2335.0,2305.0,2335.0,2270.0,74174
2007-10-08,2220.0,2340.0,2340.0,1985.0,59049
2007-10-09,2155.0,2220.0,2250.0,2140.0,41309
2007-10-10,2155.0,2155.0,2175.0,2034.0,111789
2007-10-11,2255.0,2090.0,2255.0,2090.0,88188
2007-10-12,2180.0,2200.0,2250.0,2160.0,28722
2007-10-15,2130.0,2180.0,2180.0,2100.0,43810
2007-10-16,1920.0,2075.0,2130.0,1920.0,99551
2007-10-17,2010.0,1930.0,2010.0,1890.0,70008
2007-10-18,2020.0,2010.0,2040.0,1990.0,26775
2007-10-19,1935.0,1945.0,2034.0,1934.0,28920
2007-10-22,1880.0,1850.0,1920.0,1660.0,26999
2007-10-23,1925.0,1904.0,1964.0,1900.0,23536
2007-10-24,1930.0,1925.0,1975.0,1910.0,42319
2007-10-25,1915.0,1930.0,1954.0,1894.0,20374
2007-10-26,1860.0,1915.0,1950.0,1860.0,28576
2007-10-29,1930.0,1865.0,1945.0,1860.0,29166
2007-10-30,1870.0,1915.0,1915.0,1870.0,27852
2007-10-31,1865.0,1890.0,1900.0,1855.0,17938
2007-11-01,1845.0,1884.0,1900.0,1820.0,23626
2007-11-02,1750.0,1845.0,1845.0,1700.0,80385
2007-11-05,1775.0,1750.0,1810.0,1745.0,40679
2007-11-06,1825.0,1775.0,1830.0,1755.0,26066
2007-11-07,1890.0,1815.0,1915.0,1815.0,30724
2007-11-08,1900.0,1870.0,1950.0,1830.0,42520
2007-11-09,2000.0,1950.0,2045.0,1930.0,20418
2007-11-12,2035.0,1990.0,2145.0,1970.0,57457
2007-11-13,2045.0,2080.0,2090.0,2035.0,31100
2007-11-14,1975.0,2090.0,2090.0,1954.0,48142
2007-11-15,1860.0,1990.0,1990.0,1845.0,37869
2007-11-16,1850.0,1820.0,1895.0,1795.0,13503
2007-11-19,1880.0,1850.0,1905.0,1770.0,20884
2007-11-20,1840.0,1860.0,1880.0,1785.0,13375
2007-11-21,1835.0,1805.0,1834.0,1745.0,40166
2007-11-22,1715.0,1800.0,1830.0,1670.0,42866
2007-11-23,1700.0,1740.0,1745.0,1650.0,46466
2007-11-26,1710.0,1795.0,1795.0,1695.0,14292
2007-11-27,1650.0,1640.0,1710.0,1590.0,45558
2007-11-28,1670.0,1665.0,1695.0,1660.0,9180
2007-11-29,1685.0,1725.0,1725.0,1660.0,10000
2007-11-30,1720.0,1725.0,1725.0,1650.0,8866
2007-12-03,1685.0,1735.0,1735.0,1680.0,9256
2007-12-04,1670.0,1665.0,1700.0,1655.0,11845
2007-12-05,1730.0,1700.0,1730.0,1660.0,18462
2007-12-06,1735.0,1745.0,1750.0,1710.0,16658
2007-12-07,1715.0,1730.0,1760.0,1715.0,17183
2007-12-10,1745.0,1710.0,1750.0,1710.0,11511
2007-12-11,1710.0,1770.0,1780.0,1705.0,15631
2007-12-12,1720.0,1725.0,1740.0,1680.0,14114
2007-12-13,1750.0,1720.0,1775.0,1710.0,20979
2007-12-14,1740.0,1750.0,1760.0,1695.0,14123
2007-12-17,1700.0,1740.0,1760.0,1700.0,15528
2007-12-18,1700.0,1635.0,1720.0,1635.0,79414
2007-12-20,1675.0,1720.0,1720.0,1650.0,26034
2007-12-21,1650.0,1665.0,1695.0,1615.0,48755
2007-12-24,1625.0,1690.0,1690.0,1595.0,25888
2007-12-26,1590.0,1580.0,1655.0,1580.0,25079
2007-12-27,1580.0,1570.0,1610.0,1570.0,12715
2007-12-28,1575.0,1570.0,1605.0,1570.0,8247
2008-01-02,1540.0,1605.0,1605.0,1540.0,17720
2008-01-03,1545.0,1530.0,1565.0,1525.0,12866
2008-01-04,1540.0,1550.0,1550.0,1520.0,22565
2008-01-07,1530.0,1530.0,1555.0,1515.0,10781
2008-01-08,1500.0,1530.0,1580.0,1500.0,47386
2008-01-09,1540.0,1500.0,1540.0,1475.0,11264
2008-01-10,1525.0,1530.0,1545.0,1505.0,13151
2008-01-11,1565.0,1520.0,1600.0,1515.0,22190
2008-01-14,1500.0,1540.0,1565.0,1490.0,18203
2008-01-15,1460.0,1485.0,1530.0,1420.0,21763
2008-01-16,1430.0,1410.0,1460.0,1395.0,69656
2008-01-17,1430.0,1400.0,1455.0,1355.0,21243
2008-01-18,1420.0,1425.0,1475.0,1380.0,16653
2008-01-21,1380.0,1410.0,1420.0,1370.0,19822
2008-01-22,1310.0,1300.0,1345.0,1250.0,81436
2008-01-23,1335.0,1330.0,1335.0,1265.0,34007
2008-01-24,1345.0,1335.0,1355.0,1310.0,13921
2008-01-25,1350.0,1360.0,1380.0,1345.0,11034
2008-01-28,1360.0,1400.0,1400.0,1345.0,21499
2008-01-29,1430.0,1340.0,1560.0,1335.0,273030
2008-01-30,1430.0,1395.0,1430.0,1310.0,140483
2008-01-31,1475.0,1380.0,1480.0,1365.0,28005
2008-02-01,1475.0,1475.0,1485.0,1420.0,19864
2008-02-04,1500.0,1475.0,1505.0,1440.0,32447
2008-02-05,1520.0,1500.0,1535.0,1480.0,12288
2008-02-11,1460.0,1455.0,1480.0,1430.0,21533
2008-02-12,1455.0,1480.0,1480.0,1435.0,14190
2008-02-13,1480.0,1445.0,1500.0,1445.0,11851
2008-02-14,1500.0,1510.0,1515.0,1450.0,9083
2008-02-15,1515.0,1460.0,1520.0,1455.0,8912
2008-02-18,1565.0,1535.0,1580.0,1530.0,18679
2008-02-19,1550.0,1565.0,1565.0,1510.0,7409
2008-02-20,1570.0,1550.0,1580.0,1510.0,22959
2008-02-21,1570.0,1580.0,1585.0,1545.0,9952
2008-02-22,1570.0,1570.0,1570.0,1540.0,10223
2008-02-25,1620.0,1580.0,1620.0,1580.0,16236
2008-02-26,1550.0,1590.0,1620.0,1550.0,12486
2008-02-27,1535.0,1530.0,1575.0,1515.0,5905
2008-02-28,1560.0,1540.0,1575.0,1535.0,6612
2008-02-29,1510.0,1535.0,1560.0,1505.0,14704
2008-03-03,1430.0,1480.0,1530.0,1420.0,29335
2008-03-04,1400.0,1450.0,1450.0,1400.0,11389
2008-03-05,1400.0,1385.0,1415.0,1380.0,7854
2008-03-06,1370.0,1405.0,1435.0,1370.0,11654
2008-03-07,1370.0,1370.0,1405.0,1365.0,8970
2008-03-10,1335.0,1350.0,1390.0,1330.0,17989
2008-03-11,1350.0,1310.0,1410.0,1310.0,6501
2008-03-12,1375.0,1420.0,1420.0,1355.0,3648
2008-03-13,1410.0,1390.0,1410.0,1350.0,6771
2008-03-14,1330.0,1420.0,1420.0,1330.0,10996
2008-03-17,1315.0,1310.0,1345.0,1290.0,19062
2008-03-18,1285.0,1290.0,1320.0,1285.0,6969
2008-03-19,1300.0,1300.0,1320.0,1290.0,4017
2008-03-20,1310.0,1280.0,1315.0,1270.0,7543
2008-03-21,1330.0,1305.0,1340.0,1305.0,7641
2008-03-24,1285.0,1340.0,1340.0,1135.0,23239
2008-03-25,1260.0,1295.0,1300.0,1240.0,18703
2008-03-26,1265.0,1265.0,1280.0,1230.0,19269
2008-03-27,1250.0,1280.0,1280.0,1245.0,15685
2008-03-28,1250.0,1255.0,1275.0,1240.0,4416
2008-03-31,1205.0,1255.0,1270.0,1200.0,26679
2008-04-01,1205.0,1205.0,1265.0,1150.0,64465
2008-04-02,1200.0,1210.0,1230.0,1155.0,44554
