date,close,open,high,low,volume
2015-06-12,29000.0,27000.0,30550.0,25000.0,2090373
2015-06-15,29500.0,29400.0,30300.0,28550.0,487564
2015-06-16,28800.0,29900.0,29900.0,26950.0,319771
2015-06-17,27200.0,28300.0,28750.0,27100.0,208578
2015-06-18,27000.0,27300.0,28000.0,26850.0,200044
2015-06-19,25600.0,27400.0,27550.0,25150.0,203122
2015-06-22,25850.0,25650.0,27300.0,24450.0,233836
2015-06-23,27200.0,26150.0,28400.0,26050.0,215131
2015-06-24,26600.0,27350.0,27600.0,26500.0,74009
2015-06-25,26650.0,25800.0,27050.0,25800.0,45638
2015-06-26,27800.0,26900.0,29000.0,26650.0,187910
2015-06-29,27750.0,27400.0,28100.0,26750.0,79090
2015-06-30,28800.0,27250.0,29200.0,26800.0,120742
2015-07-01,30700.0,28950.0,31400.0,28350.0,205657
2015-07-02,31500.0,30750.0,32200.0,30200.0,141590
2015-07-03,31300.0,31400.0,31550.0,30350.0,93561
2015-07-06,31000.0,30500.0,31850.0,30000.0,105380
2015-07-07,29600.0,31450.0,31800.0,29250.0,116911
2015-07-08,29300.0,29600.0,29950.0,28900.0,49113
2015-07-09,28550.0,28650.0,29000.0,27900.0,57866
2015-07-10,30000.0,28900.0,30600.0,28400.0,46655
2015-07-13,30200.0,30450.0,30650.0,29550.0,30636
2015-07-14,30300.0,30300.0,30850.0,30100.0,32118
2015-07-15,32400.0,30500.0,33500.0,30400.0,196419
2015-07-16,33750.0,32100.0,33750.0,31800.0,108379
2015-07-17,34250.0,35000.0,35650.0,33750.0,128628
2015-07-20,34700.0,34900.0,34950.0,33750.0,62392
2015-07-21,34050.0,34900.0,34900.0,33400.0,51374
2015-07-22,34800.0,34100.0,34900.0,33500.0,57049
2015-07-23,34050.0,35000.0,35200.0,33350.0,45082
2015-07-24,34500.0,34050.0,35050.0,33750.0,42496
2015-07-27,33900.0,34150.0,34900.0,33250.0,41946
2015-07-28,32650.0,33900.0,33900.0,32500.0,29899
2015-07-29,31900.0,32700.0,33200.0,31450.0,20820
2015-07-30,32500.0,32200.0,32950.0,31500.0,16915
2015-07-31,34000.0,32100.0,34350.0,32100.0,45693
2015-08-03,33300.0,33900.0,33950.0,33100.0,15492
2015-08-04,34350.0,34200.0,36200.0,34150.0,132985
2015-08-05,35650.0,34450.0,35800.0,33900.0,73346
2015-08-06,37000.0,35800.0,37000.0,35150.0,137666
2015-08-07,37700.0,36250.0,37700.0,36150.0,71242
2015-08-10,36700.0,38000.0,38000.0,35500.0,62934
2015-08-11,36450.0,37050.0,37500.0,35650.0,74214
2015-08-12,33650.0,36350.0,36500.0,33550.0,70783
2015-08-13,34850.0,33400.0,35300.0,32900.0,41217
2015-08-17,30550.0,34550.0,34750.0,30350.0,140509
2015-08-18,30250.0,30150.0,31300.0,28550.0,89595
2015-08-19,28550.0,29800.0,30200.0,27450.0,66587
2015-08-20,27500.0,28100.0,29700.0,27500.0,30564
2015-08-21,26000.0,26500.0,28000.0,25500.0,71407
2015-08-24,24300.0,25150.0,26900.0,23550.0,89872
2015-08-25,25000.0,24700.0,25750.0,24150.0,52415
2015-08-26,26950.0,25300.0,27200.0,24850.0,68051
2015-08-27,29200.0,26950.0,29200.0,26650.0,95954
2015-08-28,29100.0,29350.0,31000.0,28650.0,63522
2015-08-31,28300.0,28900.0,29150.0,28150.0,18818
2015-09-01,27500.0,28300.0,28550.0,27100.0,33267
2015-09-02,27450.0,26550.0,27750.0,26550.0,16910
2015-09-03,27650.0,28000.0,28050.0,27450.0,17884
2015-09-04,26150.0,27650.0,28000.0,25500.0,35013
2015-09-07,25700.0,25700.0,26350.0,25250.0,10306
2015-09-08,24650.0,25950.0,25950.0,24300.0,25730
2015-09-09,25300.0,25200.0,25550.0,24700.0,29949
2015-09-10,25950.0,25150.0,26200.0,24700.0,20225
2015-09-11,25600.0,25700.0,26050.0,25250.0,18216
2015-09-14,25300.0,25700.0,26100.0,24900.0,32128
2015-09-15,25200.0,25250.0,25900.0,25000.0,15923
2015-09-16,25350.0,25700.0,25900.0,24800.0,64030
2015-09-17,25000.0,25500.0,25500.0,24300.0,40629
2015-09-18,25650.0,25100.0,25650.0,24600.0,66900
2015-09-21,25400.0,25550.0,25900.0,25250.0,26044
2015-09-22,26200.0,25350.0,26650.0,25350.0,36103
2015-09-23,25500.0,25800.0,26200.0,25250.0,30823
2015-09-24,25550.0,25500.0,25700.0,25200.0,38466
2015-09-25,25550.0,25600.0,25950.0,25000.0,18568
2015-09-30,24350.0,25150.0,25450.0,24350.0,33697
2015-10-01,24450.0,24650.0,24650.0,24300.0,38606
2015-10-02,24600.0,24650.0,24950.0,24250.0,11536
2015-10-05,26000.0,25050.0,26500.0,24450.0,29756
2015-10-06,25300.0,26600.0,26600.0,25200.0,41206
